index,question,answer
61oREuQ5JU8-1,"[0.10002281, 0.100013085, 0.100080185, 0.59980375, 0.10008016]","[0.10002665, 0.10003265, 0.1000287, 0.10002906, 0.59988296]"
61oREuQ5JU8-2,"[0.10002281, 0.10002281, 0.100062266, 0.10000991, 0.5998822]","[0.5999943, 0.1000015, 0.1000015, 0.10000142, 0.1000013]"
61oREuQ5JU8-3,"[0.10001485, 0.10003121, 0.59990823, 0.10002283, 0.10002283]","[0.10000677, 0.100005284, 0.5999741, 0.1000065, 0.100007355]"
61oREuQ5JU8-4,"[0.5998871, 0.100022845, 0.100014575, 0.10005266, 0.100022845]","[0.5999736, 0.1000073, 0.10000642, 0.10000618, 0.10000648]"
61oREuQ5JU8-5,"[0.10008018, 0.1000228, 0.1000228, 0.5998514, 0.1000228]","[0.10002009, 0.10002275, 0.59991515, 0.10001495, 0.100027055]"
61oREuQ5JU8-6,"[0.5998745, 0.10004886, 0.1000287, 0.100019254, 0.10002871]","[0.100016326, 0.5999432, 0.10001424, 0.100013, 0.1000132]"
61oREuQ5JU8-7,"[0.1000377, 0.100037694, 0.5997833, 0.10010362, 0.10003772]","[0.10000534, 0.10001838, 0.10001615, 0.5999457, 0.10001439]"
61oREuQ5JU8-8,"[0.10003959, 0.100031845, 0.10002664, 0.59984964, 0.10005229]","[0.10001176, 0.10001908, 0.100014284, 0.10001648, 0.59993833]"
61oREuQ5JU8-9,"[0.599968, 0.10000603, 0.10000518, 0.10001181, 0.10000895]","[0.10000857, 0.100006975, 0.10001035, 0.10001167, 0.5999624]"
61oREuQ5JU8-10,"[0.10001983, 0.10002188, 0.10001983, 0.5999154, 0.100023076]","[0.100026235, 0.10002658, 0.5999, 0.100023314, 0.100023836]"
61oREuQ5JU8-11,"[0.100020215, 0.5999124, 0.10002641, 0.1000229, 0.1000181]","[0.10002288, 0.10004359, 0.10002288, 0.100033484, 0.5998772]"
61oREuQ5JU8-12,"[0.10012238, 0.10012262, 0.10002283, 0.10002283, 0.59970933]","[0.599899, 0.10002896, 0.10002058, 0.100022525, 0.10002895]"
61oREuQ5JU8-13,"[0.10003599, 0.599856, 0.100035995, 0.10003599, 0.10003599]","[0.10002001, 0.1000214, 0.59991604, 0.10001773, 0.10002485]"
61oREuQ5JU8-14,"[0.100022845, 0.100022845, 0.5999135, 0.100022845, 0.10001801]","[0.10003955, 0.10002562, 0.10002562, 0.10003956, 0.59986967]"
61oREuQ5JU8-15,"[0.10028321, 0.100283116, 0.10002283, 0.59912777, 0.10028308]","[0.10421897, 0.104218945, 0.104279175, 0.58306396, 0.104218975]"
xzIIY9k6mPY-1,"[0.100055285, 0.100104034, 0.59974784, 0.10005528, 0.10003755]","[0.10000514, 0.10000446, 0.10000489, 0.5999804, 0.100005135]"
xzIIY9k6mPY-2,"[0.1001412, 0.100141115, 0.5996379, 0.10003988, 0.10003988]","[0.10000837, 0.100012235, 0.100006364, 0.5999602, 0.10001283]"
xzIIY9k6mPY-3,"[0.10002281, 0.10008017, 0.5998038, 0.10008011, 0.100013085]","[0.10000199, 0.5999923, 0.10000183, 0.100002035, 0.100001924]"
xzIIY9k6mPY-4,"[0.10014208, 0.10014147, 0.5995512, 0.10014242, 0.10002288]","[0.10001699, 0.100015156, 0.5999282, 0.10002177, 0.10001786]"
xzIIY9k6mPY-5,"[0.100022815, 0.5998039, 0.10001309, 0.10008008, 0.10008008]","[0.10000459, 0.5999797, 0.10000702, 0.100004815, 0.10000391]"
xzIIY9k6mPY-6,"[0.5998514, 0.10002281, 0.100080125, 0.10002281, 0.10002281]","[0.10002782, 0.100025564, 0.100026496, 0.5998948, 0.10002528]"
xzIIY9k6mPY-7,"[0.599637, 0.10003989, 0.10014157, 0.1000399, 0.10014169]","[0.1000438, 0.10004381, 0.5998298, 0.100043796, 0.100038774]"
xzIIY9k6mPY-8,"[0.59912735, 0.100283176, 0.100022845, 0.10028332, 0.100283325]","[0.59998715, 0.10000324, 0.10000322, 0.10000335, 0.10000301]"
xzIIY9k6mPY-9,"[0.10003086, 0.10004706, 0.100057065, 0.5998399, 0.10002511]","[0.10001056, 0.10000967, 0.100012735, 0.10001084, 0.5999562]"
xzIIY9k6mPY-10,"[0.59988225, 0.1000099, 0.10006223, 0.1000228, 0.1000228]","[0.10001518, 0.100010335, 0.10000989, 0.100015186, 0.5999494]"
xzIIY9k6mPY-11,"[0.10001309, 0.1000802, 0.59980375, 0.10008014, 0.10002282]","[0.59998906, 0.10000263, 0.100002445, 0.10000321, 0.100002706]"
xzIIY9k6mPY-12,"[0.5997082, 0.10012296, 0.10002283, 0.10012318, 0.10002283]","[0.1000038, 0.10000392, 0.1000038, 0.59998614, 0.100002326]"
xzIIY9k6mPY-13,"[0.5999171, 0.1000228, 0.10001447, 0.1000228, 0.1000228]","[0.5999296, 0.10001647, 0.10001136, 0.100021295, 0.100021295]"
xzIIY9k6mPY-14,"[0.10003772, 0.10010398, 0.10003772, 0.10003772, 0.5997829]","[0.10002027, 0.5999186, 0.100018166, 0.10002347, 0.10001952]"
xzIIY9k6mPY-15,"[0.59985155, 0.10002281, 0.10002281, 0.1000228, 0.10008001]","[0.10000774, 0.10000456, 0.1000068, 0.59997344, 0.100007474]"
GzNSRz0UEgw-1,"[0.10002281, 0.1000526, 0.100010596, 0.5998912, 0.10002281]","[0.100028455, 0.59987843, 0.10002822, 0.10003403, 0.10003086]"
GzNSRz0UEgw-2,"[0.10002934, 0.10004099, 0.10002934, 0.10002285, 0.5998775]","[0.10000378, 0.100003965, 0.100003965, 0.10000343, 0.5999849]"
GzNSRz0UEgw-3,"[0.10002282, 0.10002282, 0.5997096, 0.10012252, 0.100122266]","[0.10002367, 0.100025855, 0.100021034, 0.5999028, 0.10002663]"
GzNSRz0UEgw-4,"[0.59983635, 0.100029744, 0.10007445, 0.10002974, 0.10002974]","[0.10000654, 0.10000721, 0.5999745, 0.10000436, 0.100007385]"
GzNSRz0UEgw-5,"[0.100018196, 0.100015126, 0.100018196, 0.59992564, 0.10002284]","[0.59998685, 0.100003295, 0.10000299, 0.100003615, 0.100003265]"
GzNSRz0UEgw-6,"[0.5998851, 0.10003851, 0.100019, 0.100028686, 0.100028686]","[0.5999181, 0.1000229, 0.10002593, 0.10001446, 0.10001857]"
GzNSRz0UEgw-7,"[0.100022845, 0.100033574, 0.100022845, 0.5998872, 0.100033574]","[0.10001026, 0.10000964, 0.100011624, 0.10001146, 0.599957]"
GzNSRz0UEgw-8,"[0.59989387, 0.10002287, 0.10002287, 0.10002287, 0.10003753]","[0.10000364, 0.100002706, 0.5999882, 0.10000249, 0.10000297]"
GzNSRz0UEgw-9,"[0.59976393, 0.100018546, 0.10009946, 0.1000995, 0.100018546]","[0.10002207, 0.5999101, 0.1000208, 0.10002772, 0.10001934]"
GzNSRz0UEgw-10,"[0.10002871, 0.100022875, 0.10001423, 0.5999113, 0.10002287]","[0.59989375, 0.10002589, 0.10002412, 0.100026384, 0.100029804]"
GzNSRz0UEgw-11,"[0.59990746, 0.100016125, 0.10003184, 0.10001789, 0.100026645]","[0.10002959, 0.10002959, 0.10003048, 0.59988314, 0.100027226]"
-Plz3v68kjY-1,"[0.10002691, 0.100040816, 0.10004083, 0.599859, 0.10003245]","[0.5998927, 0.100028336, 0.10002571, 0.10002733, 0.10002595]"
-Plz3v68kjY-2,"[0.10001695, 0.59990555, 0.10001947, 0.100035176, 0.10002287]","[0.10002281, 0.5999243, 0.10001504, 0.10001504, 0.10002281]"
-Plz3v68kjY-4,"[0.10001562, 0.10001697, 0.10002051, 0.5999299, 0.10001697]","[0.100026004, 0.100036144, 0.5998711, 0.10003424, 0.100032516]"
-Plz3v68kjY-5,"[0.5830078, 0.10422467, 0.10422467, 0.1043182, 0.10422467]","[0.10000491, 0.10000605, 0.100005716, 0.10000643, 0.5999769]"
-Plz3v68kjY-6,"[0.10000895, 0.59993035, 0.10001506, 0.10002284, 0.10002284]","[0.100022815, 0.100015044, 0.100022815, 0.100011215, 0.59992814]"
-Plz3v68kjY-10,"[0.10000395, 0.10000325, 0.10000417, 0.10000325, 0.59998536]","[0.10002283, 0.100122586, 0.1001224, 0.10002282, 0.59970933]"
-Plz3v68kjY-11,"[0.10002513, 0.100026235, 0.10002413, 0.10002624, 0.5998982]","[0.10000719, 0.100007035, 0.5999724, 0.10000615, 0.10000719]"
-Plz3v68kjY-12,"[0.10001317, 0.100010864, 0.1000167, 0.59995, 0.100009255]","[0.5999614, 0.10000955, 0.10001267, 0.100008674, 0.10000775]"
-Plz3v68kjY-13,"[0.10421998, 0.104256384, 0.1042316, 0.58307284, 0.104219206]","[0.10000503, 0.100004256, 0.100003965, 0.5999822, 0.10000453]"
-Plz3v68kjY-14,"[0.10024572, 0.10024585, 0.10001957, 0.10024573, 0.5992431]","[0.1000133, 0.100009926, 0.10001331, 0.5999433, 0.10002019]"
-Plz3v68kjY-15,"[0.5997466, 0.10009588, 0.1000307, 0.10009615, 0.1000307]","[0.10000606, 0.10000775, 0.10000541, 0.59997344, 0.10000739]"
-Plz3v68kjY-16,"[0.10003263, 0.100032635, 0.59989434, 0.10002282, 0.10001754]","[0.10000846, 0.10000942, 0.10000733, 0.10001064, 0.59996414]"
-Plz3v68kjY-17,"[0.10001447, 0.1000228, 0.10001447, 0.10005262, 0.5998956]","[0.10423039, 0.58300734, 0.10423166, 0.10427569, 0.104254924]"
-Plz3v68kjY-18,"[0.100022845, 0.10028318, 0.10028319, 0.5991276, 0.100283176]","[0.1000053, 0.10000531, 0.10000755, 0.10000367, 0.59997815]"
-Plz3v68kjY-19,"[0.10434057, 0.5829421, 0.104235835, 0.10423494, 0.10424656]","[0.59996796, 0.10000664, 0.10001139, 0.10000903, 0.10000496]"
-Plz3v68kjY-20,"[0.100229695, 0.59926826, 0.10022971, 0.1002296, 0.100042716]","[0.10000556, 0.10000829, 0.10000557, 0.5999759, 0.10000465]"
-Plz3v68kjY-21,"[0.10002284, 0.10028315, 0.100283116, 0.59912765, 0.100283265]","[0.10001391, 0.5999434, 0.100012325, 0.10001729, 0.10001307]"
-Plz3v68kjY-22,"[0.10003882, 0.100017995, 0.10003881, 0.59987783, 0.100026526]","[0.100004554, 0.100005604, 0.5999807, 0.10000456, 0.100004554]"
-Plz3v68kjY-23,"[0.100022845, 0.10028312, 0.59912765, 0.10028317, 0.1002832]","[0.10000719, 0.5999748, 0.100005254, 0.10000586, 0.10000691]"
-Plz3v68kjY-24,"[0.10423757, 0.10425989, 0.104243696, 0.1043009, 0.5829579]","[0.5997834, 0.100037694, 0.1000377, 0.1000377, 0.100103475]"
-Plz3v68kjY-25,"[0.100025624, 0.100033484, 0.100016184, 0.59988517, 0.10003956]","[0.10005274, 0.10004271, 0.59985423, 0.10002309, 0.10002725]"
