index,question,answer
DUZSGw1wYuk-1,"[0.0007616591, 0.0006175993, 0.0006571714, 0.00059878797, 0.00055580377, 0.0006667243, 0.0006307741, 0.0007023398, 0.0006790973, 0.0006809622, 0.0008696258, 0.0006498591, 0.00070077466, 0.0005426155, 0.0011788718, 0.00052981894, 0.0007262285, 0.0010915693, 0.0006606223, 0.0006317779, 0.0006761087, 0.00055610086, 0.00078923715, 0.9802138, 0.0005741729, 0.00056026643, 0.0006153725, 0.0006619455, 0.0005407976, 0.00067953015]","[6.5198146e-06, 5.2866603e-06, 5.625398e-06, 5.1256347e-06, 4.7576896e-06, 5.7071707e-06, 5.3994368e-06, 6.01204e-06, 5.813084e-06, 5.8290475e-06, 0.95872265, 5.5628047e-06, 5.998643e-06, 4.6447976e-06, 1.0091162e-05, 4.5352585e-06, 6.2165277e-06, 9.343851e-06, 5.654938e-06, 5.4080297e-06, 5.7875013e-06, 4.7602325e-06, 6.755883e-06, 0.02776013, 4.9149294e-06, 4.7958897e-06, 5.2675987e-06, 0.0133609595, 4.629236e-06, 5.8167893e-06]"
DUZSGw1wYuk-2,"[0.00094061875, 0.0007627106, 0.1568636, 0.0007394793, 0.0006863956, 0.000823378, 0.000778981, 0.0008673617, 0.0008386582, 0.0008409613, 0.0010739532, 0.0008025502, 0.0008654289, 0.0006701086, 0.0014558599, 0.00065430533, 0.39824083, 0.0013480447, 0.0008158423, 0.42194209, 0.00083496736, 0.00068676245, 0.0009746765, 0.0010069706, 0.0007090807, 0.0006919068, 0.0007599606, 0.0008174764, 0.0006678635, 0.00083919277]","[0.26104748, 8.913767e-06, 9.484908e-06, 0.033637356, 8.021876e-06, 9.622784e-06, 9.103918e-06, 1.01368205e-05, 0.019059291, 9.828279e-06, 0.035332106, 9.37937e-06, 1.01142305e-05, 7.831531e-06, 0.50141466, 7.646839e-06, 1.04816045e-05, 1.5754542e-05, 9.534715e-06, 0.050561152, 9.758229e-06, 8.026163e-06, 1.1391004e-05, 0.030119998, 8.2869965e-06, 8.086286e-06, 8.881628e-06, 0.068620056, 7.805293e-06, 9.80761e-06]"
DUZSGw1wYuk-3,"[0.6773737, 0.0025908947, 0.002756904, 0.0025119793, 0.002331656, 0.0027969794, 0.0026461645, 0.00294639, 0.0028488855, 0.24225236, 0.0036481726, 0.0027262282, 0.0029398242, 0.0022763298, 0.004945493, 0.0022226467, 0.0030466057, 0.0045792493, 0.0027713808, 0.0026503757, 0.0028363478, 0.0023329023, 0.003310934, 0.0034206354, 0.0024087164, 0.0023503774, 0.002581553, 0.0027769317, 0.0022687034, 0.0028507013]","[0.73188335, 8.139439e-05, 8.660967e-05, 7.891522e-05, 7.325027e-05, 8.7868655e-05, 8.3130726e-05, 9.256248e-05, 8.949931e-05, 8.9745095e-05, 0.00011460936, 8.564597e-05, 9.235621e-05, 7.151216e-05, 0.00015536539, 6.982568e-05, 9.5710806e-05, 0.00014385965, 8.7064465e-05, 8.326302e-05, 0.15506396, 7.328941e-05, 0.00010401482, 0.00010746115, 7.567115e-05, 7.3838404e-05, 8.110092e-05, 0.110614285, 7.1272574e-05, 8.955636e-05]"
DUZSGw1wYuk-4,"[0.00028335315, 0.00022975988, 0.00024448155, 0.1761845, 0.00020677065, 0.00024803542, 0.00023466119, 0.0002612851, 0.00025263842, 0.8166273, 0.000323519, 0.0002417612, 0.00026070286, 0.00020186434, 0.000438565, 0.00019710374, 0.00027017223, 0.00040608665, 0.00024576535, 0.00023503463, 0.0002515266, 0.00020688116, 0.00029361277, 0.00030334105, 0.00021360433, 0.00020843085, 0.00022893146, 0.00024625758, 0.00020118803, 0.00025279945]","[0.0003050536, 0.0002473559, 0.00026320503, 0.00023982175, 0.00022260608, 0.00026703105, 0.0002526326, 0.0002812955, 0.0002719866, 0.0002727335, 0.00034829552, 0.00026027634, 0.00028066864, 0.000217324, 0.8568745, 0.00021219882, 0.00029086322, 0.00043718657, 0.00026458714, 0.1355995, 0.00027078963, 0.00022272505, 0.00031609894, 0.00032657228, 0.00022996312, 0.00022439341, 0.00024646407, 0.0002651171, 0.00021659592, 0.00027215996]"
DUZSGw1wYuk-5,"[0.00091030856, 0.0007381332, 0.00078542845, 0.00071565056, 0.0006642774, 0.0007968457, 0.0007538794, 0.00083941215, 0.0008116335, 0.0008138624, 0.0010393466, 0.00077668903, 0.00083754153, 0.00064851524, 0.5264126, 0.0006332212, 0.00086796307, 0.0013046057, 0.00078955287, 0.0007550791, 0.3444474, 0.0006646324, 0.10767797, 0.00097452226, 0.0006862315, 0.000669611, 0.00073547184, 0.00079113425, 0.0006463425, 0.0008121508]","[0.00011733189, 9.5139796e-05, 0.00010123579, 9.224195e-05, 8.562033e-05, 0.00010270739, 9.7169344e-05, 0.000108193875, 0.00010461342, 0.00010490071, 0.11003605, 0.00010010935, 0.00010795277, 8.358871e-05, 0.27083677, 8.161742e-05, 0.00011187388, 0.00016815381, 0.00010176739, 0.47661132, 0.000104153034, 8.566609e-05, 0.000121580226, 0.00012560855, 8.845005e-05, 8.6307795e-05, 9.4796764e-05, 0.13985711, 8.330866e-05, 0.000104680104]"
DUZSGw1wYuk-6,"[0.0016696999, 0.0013538937, 0.0014406432, 0.0013126557, 0.0012184263, 0.111178465, 0.0013827754, 0.0015396609, 0.0014887089, 0.72462845, 0.0019063831, 0.0014246133, 0.0015362297, 0.0011895151, 0.0025843086, 0.0011614626, 0.0015920294, 0.12437781, 0.0014482082, 0.001384976, 0.0014821573, 0.0012190775, 0.0017301561, 0.0017874816, 0.0012586948, 0.0012282094, 0.0013490121, 0.001451109, 0.00118553, 0.0014896578]","[0.00034652482, 0.00028098328, 0.00029898706, 0.0002724249, 0.00025286878, 0.10096917, 0.00028697733, 0.00031953686, 0.00030896245, 0.35479873, 0.0003956454, 0.00029566023, 0.0003188248, 0.00024686864, 0.53600866, 0.00024104668, 0.00033040528, 0.00049662095, 0.00030055706, 0.00028743403, 0.00030760275, 0.00025300393, 0.00035907174, 0.00037096892, 0.000261226, 0.00025489912, 0.0002799702, 0.00030115907, 0.00024604154, 0.0003091594]"
DUZSGw1wYuk-7,"[0.0048598354, 0.0039406484, 0.004193142, 0.003820621, 0.0035463567, 0.8728037, 0.004024712, 0.004481343, 0.004333042, 0.004344941, 0.0055487263, 0.004146485, 0.0044713565, 0.0034622075, 0.007521899, 0.0033805578, 0.004633767, 0.006964857, 0.004215161, 0.0040311166, 0.004313973, 0.003548252, 0.0050357995, 0.005202651, 0.0036635622, 0.003574831, 0.00392644, 0.0042236033, 0.0034506083, 0.004335804]","[9.2464456e-05, 7.4975775e-05, 7.9779784e-05, 7.26921e-05, 6.747388e-05, 8.0939484e-05, 7.657518e-05, 8.5263164e-05, 8.2441555e-05, 0.5102852, 0.00010557147, 7.889207e-05, 8.507316e-05, 6.587284e-05, 0.4874395, 6.431935e-05, 8.816322e-05, 0.00013251514, 8.019871e-05, 7.669705e-05, 8.207874e-05, 6.750994e-05, 9.581239e-05, 9.898696e-05, 6.970386e-05, 6.801564e-05, 7.4705444e-05, 8.035935e-05, 6.5652144e-05, 8.24941e-05]"
DUZSGw1wYuk-8,"[0.0012859234, 0.0010427044, 0.0011095149, 0.3681707, 0.00093837397, 0.0011256431, 0.0010649478, 0.0011857734, 0.0011465327, 0.5266499, 0.0014682055, 0.0010971694, 0.001183131, 0.073474064, 0.0019903113, 0.0008945032, 0.0012261053, 0.001842917, 0.0011153411, 0.0010666426, 0.0011414869, 0.0009388755, 0.001332484, 0.0013766332, 0.00096938683, 0.00094590837, 0.0010389449, 0.001117575, 0.00091303873, 0.0011472635]","[3.4124023e-05, 2.7669823e-05, 2.9442743e-05, 2.6827032e-05, 2.4901246e-05, 2.9870731e-05, 2.8260085e-05, 3.1466385e-05, 0.10752705, 0.34322616, 3.8961167e-05, 2.9115134e-05, 3.1396263e-05, 2.4310382e-05, 0.3296507, 2.3737066e-05, 3.2536653e-05, 4.8904734e-05, 2.959735e-05, 0.16645205, 3.0291174e-05, 2.4914554e-05, 3.5359582e-05, 3.6531153e-05, 2.5724223e-05, 2.5101182e-05, 2.7570057e-05, 0.052392773, 2.4228935e-05, 3.0444462e-05]"
DUZSGw1wYuk-9,"[0.0031953338, 0.29925606, 0.002756984, 0.002512052, 0.0023317235, 0.0027970604, 0.0026462413, 0.0029464755, 0.002848968, 0.0028567917, 0.0036482783, 0.0027263071, 0.0029399095, 0.0022763957, 0.62185216, 0.0022227112, 0.0030466942, 0.004579382, 0.0027714611, 0.0026504525, 0.00283643, 0.0023329698, 0.0033110299, 0.0034207345, 0.0024087862, 0.0023504454, 0.002581628, 0.0027770123, 0.002268769, 0.002850784]","[0.19684878, 0.000350388, 0.0003728388, 0.0003397156, 0.000315329, 0.0003782585, 0.0003578626, 0.00039846456, 0.0003852782, 0.48277506, 0.0004933724, 0.00036869023, 0.00039757663, 0.00030784679, 0.15585941, 0.0003005868, 0.154728, 0.0006192895, 0.00037479663, 0.0003584321, 0.00038358264, 0.00031549754, 0.00044776482, 0.00046260064, 0.0003257505, 0.00031786086, 0.00034912466, 0.00037554733, 0.00030681543, 0.00038552377]"
DUZSGw1wYuk-10,"[0.004859836, 0.003940649, 0.0041931425, 0.0038206214, 0.003546357, 0.8728037, 0.004024712, 0.0044813436, 0.0043330425, 0.0043449416, 0.005548727, 0.0041464856, 0.004471357, 0.003462208, 0.0075218994, 0.003380558, 0.0046337675, 0.0069648577, 0.0042151613, 0.004031117, 0.0043139732, 0.0035482524, 0.0050358, 0.0052026515, 0.0036635625, 0.0035748312, 0.0039264406, 0.0042236038, 0.0034506086, 0.0043358044]","[5.1684125e-05, 4.1908617e-05, 4.4593875e-05, 4.063213e-05, 3.771534e-05, 4.5242105e-05, 4.2802625e-05, 4.7658876e-05, 4.6081703e-05, 0.11923296, 0.6367019, 4.409768e-05, 4.7552672e-05, 3.682042e-05, 7.999505e-05, 3.5952078e-05, 4.92799e-05, 7.407094e-05, 4.482804e-05, 4.287074e-05, 4.5878904e-05, 3.7735495e-05, 5.3555497e-05, 0.1851443, 3.8961818e-05, 3.8018163e-05, 4.175751e-05, 0.05772838, 3.669706e-05, 4.6111076e-05]"
