index,question,answer
DUZSGw1wYuk-1,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.006888146), (1, 0.0068126027), (2, 0.0067315088), (3, 0.7954198), (4, 0.0077726655), (5, 0.00706275), (6, 0.0072184857), (7, 0.006716761), (8, 0.0068368847), (9, 0.006456576), (10, 0.007649727), (11, 0.0066854632), (12, 0.0066817002), (13, 0.007569494), (14, 0.0073305373), (15, 0.0068747476), (16, 0.00746059), (17, 0.007791168), (18, 0.007252815), (19, 0.006784628), (20, 0.0072163963), (21, 0.0066655767), (22, 0.0064802943), (23, 0.007841449), (24, 0.006757671), (25, 0.0069989483), (26, 0.0067672906), (27, 0.006999966), (28, 0.007069282), (29, 0.007206044)]"
DUZSGw1wYuk-2,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.00934277), (1, 0.34289092), (2, 0.009130314), (3, 0.009294984), (4, 0.010542492), (5, 0.009579595), (6, 0.009790828), (7, 0.009110311), (8, 0.009273241), (9, 0.008757408), (10, 0.010375744), (11, 0.00906786), (12, 0.009062757), (13, 0.01026692), (14, 0.009942809), (15, 0.38889566), (16, 0.010119207), (17, 0.010567588), (18, 0.009837391), (19, 0.009202363), (20, 0.009787994), (21, 0.0090408875), (22, 0.008789578), (23, 0.010635788), (24, 0.009165799), (25, 0.009493058), (26, 0.009178847), (27, 0.009494438), (28, 0.009588455), (29, 0.009773953)]"
DUZSGw1wYuk-3,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.0054531596), (1, 0.0053933538), (2, 0.005329154), (3, 0.005425268), (4, 0.00615341), (5, 0.005591389), (6, 0.005714681), (7, 0.0053174784), (8, 0.005412577), (9, 0.005111497), (10, 0.006056083), (11, 0.005292701), (12, 0.0052897222), (13, 0.0059925644), (14, 0.005803389), (15, 0.0054425527), (16, 0.005906348), (17, 0.0061680577), (18, 0.0057418584), (19, 0.0053712074), (20, 0.0057130265), (21, 0.0052769575), (22, 0.005130274), (23, 0.0062078643), (24, 0.005349866), (25, 0.005540879), (26, 0.0053574815), (27, 0.0055416846), (28, 0.83821064), (29, 0.005704831)]"
DUZSGw1wYuk-4,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.0068872147), (1, 0.0068116817), (2, 0.0067305984), (3, 0.006851988), (4, 0.0077716145), (5, 0.007061795), (6, 0.0072175097), (7, 0.006715853), (8, 0.0068359603), (9, 0.0064557027), (10, 0.0076486925), (11, 0.0066845594), (12, 0.006680797), (13, 0.0075684707), (14, 0.007329546), (15, 0.006873818), (16, 0.0074595814), (17, 0.0077901147), (18, 0.007251835), (19, 0.006783711), (20, 0.7958109), (21, 0.0066646757), (22, 0.006479418), (23, 0.007840389), (24, 0.0067567574), (25, 0.006998002), (26, 0.0067663756), (27, 0.0069990195), (28, 0.007068326), (29, 0.00720507)]"
DUZSGw1wYuk-5,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.0038502775), (1, 0.0038080509), (2, 0.0037627218), (3, 0.0038305842), (4, 0.004344699), (5, 0.0039478764), (6, 0.004034928), (7, 0.0037544782), (8, 0.003821624), (9, 0.0036090421), (10, 0.0042759795), (11, 0.0037369838), (12, 0.0037348804), (13, 0.0042311316), (14, 0.004097562), (15, 0.0038427883), (16, 0.0041702576), (17, 0.0043550413), (18, 0.0040541175), (19, 0.8856073), (20, 0.00403376), (21, 0.0037258677), (22, 0.0036223), (23, 0.004383147), (24, 0.0037773456), (25, 0.003912213), (26, 0.0037827229), (27, 0.003912782), (28, 0.0039515276), (29, 0.004027974)]"
DUZSGw1wYuk-6,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.014521503), (1, 0.014362243), (2, 0.014191282), (3, 0.014447229), (4, 0.016386235), (5, 0.014889601), (6, 0.015217921), (7, 0.014160191), (8, 0.014413434), (9, 0.0136116715), (10, 0.016127057), (11, 0.01409421), (12, 0.014086277), (13, 0.015957912), (14, 0.015454146), (15, 0.014493257), (16, 0.015728323), (17, 0.016425243), (18, 0.015290294), (19, 0.014303268), (20, 0.015213517), (21, 0.014052285), (22, 0.013661675), (23, 0.5707907), (24, 0.014246437), (25, 0.014755094), (26, 0.014266716), (27, 0.01475724), (28, 0.014903371), (29, 0.015191692)]"
DUZSGw1wYuk-7,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.006886485), (1, 0.00681096), (2, 0.0067298855), (3, 0.0068512624), (4, 0.007770791), (5, 0.007061047), (6, 0.58907014), (7, 0.0067151412), (8, 0.006835236), (9, 0.0064550187), (10, 0.0076478827), (11, 0.0066838516), (12, 0.0066800895), (13, 0.21433216), (14, 0.0073287697), (15, 0.0068730903), (16, 0.007458791), (17, 0.0077892896), (18, 0.0072510666), (19, 0.0067829923), (20, 0.0072146566), (21, 0.0066639697), (22, 0.006478732), (23, 0.007839559), (24, 0.0067560417), (25, 0.0069972607), (26, 0.006765659), (27, 0.006998278), (28, 0.0070675774), (29, 0.007204307)]"
DUZSGw1wYuk-8,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.0038502065), (1, 0.0038079808), (2, 0.0037626524), (3, 0.0038305137), (4, 0.004344619), (5, 0.0039478033), (6, 0.004034854), (7, 0.0037544088), (8, 0.0038215534), (9, 0.0036089756), (10, 0.004275901), (11, 0.0037369148), (12, 0.0037348117), (13, 0.004231054), (14, 0.0040974864), (15, 0.0038427175), (16, 0.0041701808), (17, 0.0043549608), (18, 0.0040540425), (19, 0.0037923444), (20, 0.42517743), (21, 0.003725799), (22, 0.0036222334), (23, 0.4650564), (24, 0.003777276), (25, 0.0039121406), (26, 0.003782653), (27, 0.0039127097), (28, 0.0039514545), (29, 0.0040278994)]"
DUZSGw1wYuk-9,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.004514115), (1, 0.004464608), (2, 0.0044114636), (3, 0.0044910265), (4, 0.005093781), (5, 0.004628541), (6, 0.004730602), (7, 0.0044017984), (8, 0.004480521), (9, 0.004231287), (10, 0.203646), (11, 0.004381288), (12, 0.0043788217), (13, 0.0049606333), (14, 0.0048040343), (15, 0.6673108), (16, 0.004889264), (17, 0.005105906), (18, 0.0047530993), (19, 0.004446275), (20, 0.0047292323), (21, 0.0043682554), (22, 0.0042468314), (23, 0.005138858), (24, 0.004428609), (25, 0.0045867288), (26, 0.004434913), (27, 0.0045873956), (28, 0.004632822), (29, 0.004722448)]"
DUZSGw1wYuk-10,"[(0, 0.032578375), (1, 0.032221083), (2, 0.031837538), (3, 0.032411743), (4, 0.036761824), (5, 0.033404186), (6, 0.03414076), (7, 0.031767786), (8, 0.032335926), (9, 0.030537207), (10, 0.03618037), (11, 0.03161976), (12, 0.031601965), (13, 0.0358009), (14, 0.03467072), (15, 0.032515004), (16, 0.035285823), (17, 0.036849335), (18, 0.034303125), (19, 0.032088775), (20, 0.03413088), (21, 0.031525705), (22, 0.030649388), (23, 0.037087146), (24, 0.031961277), (25, 0.03310243), (26, 0.032006774), (27, 0.033107243), (28, 0.03343508), (29, 0.034081914)]","[(0, 0.004516944), (1, 0.004467406), (2, 0.0044142283), (3, 0.004493841), (4, 0.005096973), (5, 0.0046314416), (6, 0.64716196), (7, 0.004404557), (8, 0.0044833287), (9, 0.004233939), (10, 0.0050163553), (11, 0.0043840334), (12, 0.004381566), (13, 0.004963742), (14, 0.0048070448), (15, 0.0045081577), (16, 0.0048923274), (17, 0.005109106), (18, 0.004756078), (19, 0.0044490616), (20, 0.004732196), (21, 0.0043709925), (22, 0.0042494927), (23, 0.0051420783), (24, 0.2233544), (25, 0.0045896033), (26, 0.004437692), (27, 0.0045902706), (28, 0.0046357247), (29, 0.0047254073)]"
