index,distribution
61oREuQ5JU8-1,"[0.07550276100588, 0.04356671363001569, 0.0703972456205201, 0.06004295619116932, 0.09495298833175812, 0.09893867147775874, 0.1438788378549731, 0.11514227700889937, 0.09542426187954306, 0.2021532869994819]"
61oREuQ5JU8-2,"[0.07350923851766035, 0.061011824191782416, 0.08580010596620642, 0.005845622490513758, 0.03984368729118801, 0.2431335997169441, 0.059399541301851815, 0.12056289572055716, 0.058383411042811584, 0.252510073760485]"
61oREuQ5JU8-3,"[0.025716382202312787, 0.09696496962292941, 0.19292681956573504, 0.02376480438745063, 0.09508525484312805, 0.10965302967842133, 0.13029623464505105, 0.10267226280994379, 0.0630480052297305, 0.1598722370152977]"
61oREuQ5JU8-4,"[0.06620429453580928, 0.05021145419796211, 0.046214244583920434, 0.025508150693854828, 0.10707135359533702, 0.11397786560055909, 0.10255830630133715, 0.1630677043855871, 0.10310726920862721, 0.22207935689700609]"
61oREuQ5JU8-5,"[0.045560503648179373, 0.0002731500839384416, 0.09360335091387208, 0.030616674922896797, 0.07119506482862258, 0.1520387155181518, 0.11089977271438659, 0.055035687255336294, 0.12119475867336833, 0.3195823214412472]"
61oREuQ5JU8-6,"[0.02639277734374528, 0.1024504216550612, 0.07878092423458172, 0.04588506603435287, 0.15559875188667543, 0.14588306614713464, 0.11985598870611389, 0.04070306139678182, 0.07427567709303921, 0.2101742655025137]"
61oREuQ5JU8-7,"[0.07853671927853931, 0.43752866538065344, 0.021700267028676924, 0.0006839369243627862, 0.03445870020400162, 0.04777140099121381, 0.05715219411360797, 0.10384967107507843, 0.020681426639067118, 0.1976370183647986]"
61oREuQ5JU8-8,"[0.03716329904286892, 0.04668119625789609, 0.06431455808138216, 0.00019847709702281837, 0.06551642435139207, 0.09656697000786729, 0.08604219544831947, 0.20525185570726084, 0.09685705000904195, 0.3014079739969486]"
61oREuQ5JU8-9,"[0.0284155320085183, 0.06372891495239925, 0.1359037580118404, 0.08026663331313016, 0.015823319831769416, 0.14301407017298892, 0.02498128586720245, 0.37081719999242696, 0.036226473037392334, 0.10082281281233142]"
61oREuQ5JU8-10,"[0.07136400829209764, 0.0664266085765185, 0.05302793717053168, 0.03723014460763669, 0.09078198664486775, 0.1699519918661674, 0.16165456731070643, 0.10569124903359127, 0.08718950494799997, 0.1566820015498826]"
61oREuQ5JU8-11,"[0.1282477525574092, 0.0010793102609186346, 0.027546484147799144, 0.0995001564794224, 0.052777266018451424, 0.13714121276400004, 0.09882807975268744, 4.9597907023288365e-05, 0.2985884039556881, 0.15624173615660045]"
61oREuQ5JU8-12,"[0.019805226873379312, 0.0002828510570046604, 0.1450486305709071, 0.03274809848141589, 0.1209318846846733, 0.28699287639576654, 0.22383287502465088, 0.04209638827204111, 0.014305520438899095, 0.11395564820126249]"
61oREuQ5JU8-13,"[0.031814718719761166, 0.08176608735863956, 0.0478583191018666, 0.029893711000653463, 0.07652230958233566, 0.29058345531790625, 0.14762330149113265, 0.17239107838884565, 1.3748664557592239e-05, 0.12153327037430144]"
61oREuQ5JU8-14,"[0.00027699357899442723, 0.10846314266688493, 0.12386008658287735, 3.724749628897489e-05, 0.0015788416497736885, 0.19658184649017238, 0.006211977386825346, 0.12671173912837236, 0.23431860982266772, 0.20195951519714286]"
61oREuQ5JU8-15,"[0.33345495489370486, 0.0001554223436875562, 0.000210665749895632, 0.00024468936286613376, 0.00013093757353205155, 0.00022808799285216685, 0.6648866254758726, 0.0003438779287676284, 0.00019368274839797863, 0.0001510559304234068]"
xzIIY9k6mPY-1,"[0.09738963043377939, 0.05619754533823307, 0.0484919627613348, 0.0921635827688883, 0.0001077972650784618, 0.15319407393253642, 0.06945066732223666, 0.023664107897180212, 0.08507355904886954, 0.37426707323186315]"
xzIIY9k6mPY-2,"[7.243675463877352e-05, 0.00011377729233143515, 0.04844061282544893, 0.0002879945744411423, 0.000362695248420368, 0.07651898233973087, 0.3601210031120851, 0.09740913183881561, 0.04234694899672803, 0.37432641701735964]"
xzIIY9k6mPY-3,"[0.0956479976862147, 0.03206241243481102, 0.05388164875999381, 0.03334670664707271, 0.08581268163264871, 0.15730650374519892, 0.14600540894691327, 0.0843736266567203, 0.10841558604540555, 0.20314742744502048]"
xzIIY9k6mPY-4,"[0.12520619661073193, 0.0779004841335783, 0.04712411907341212, 0.01933875349292246, 0.18395103425281306, 0.08902262279535314, 0.06431529323872873, 0.08260734012373125, 0.19187805473919956, 0.11865610153952977]"
xzIIY9k6mPY-5,"[0.0613365838122788, 1.1446778665814089e-05, 0.10538695780027425, 4.4790153526353316e-05, 0.2901721198302068, 0.028882201856478183, 0.1001747932203952, 0.0007540459408618985, 0.3425543536746835, 0.07068270693262942]"
xzIIY9k6mPY-6,"[0.11245249513071905, 0.07071258422921395, 0.07017409147232322, 0.024682633319373724, 0.18155543902559365, 0.12878456348380127, 0.10381161128313626, 0.03462411974694966, 0.17256185900023796, 0.10064060330865143]"
xzIIY9k6mPY-7,"[0.13116267542194757, 0.03289594063714878, 0.05125694413551021, 0.0007696498428020034, 0.2773883176257505, 0.10474638891292076, 0.12530140480257307, 0.13606267043238576, 0.1281502173169071, 0.012265790872054183]"
xzIIY9k6mPY-8,"[0.05166667058176433, 0.043428094325147, 0.08679065153495984, 0.040258433458859995, 0.13484847136942607, 0.1064847689136969, 0.25060530792343544, 0.07705808649431524, 0.09891653247666311, 0.10994298292173253]"
xzIIY9k6mPY-9,"[0.10061137059422182, 0.05423697439082748, 0.08100200398091213, 0.05821390985764735, 0.030668635546454468, 0.11506760063922768, 0.22360031053854074, 0.05994742614374679, 0.12085228408659544, 0.15579948422182624]"
xzIIY9k6mPY-10,"[0.0005456955917801071, 0.10913431120854238, 0.12408955766474596, 0.217345605401635, 7.310122611496805e-05, 0.050523249546685495, 0.24492377347926042, 0.14371302222816976, 0.011548768445885389, 0.09810291520718034]"
xzIIY9k6mPY-11,"[0.12101271646766967, 0.06131592213482525, 0.05313269310744812, 0.09679572876963112, 0.054577511891116655, 0.12190109248510747, 0.18367147209147278, 0.11820360927524494, 0.09304156476261008, 0.09634768901487364]"
xzIIY9k6mPY-12,"[0.10911978773861361, 0.05379399559535005, 0.07216328047472965, 0.01846659744179754, 0.09218535666599527, 0.09661246057089176, 0.10481358080538078, 0.16495857335674863, 0.0858202604626435, 0.20206610688784943]"
xzIIY9k6mPY-13,"[0.014764102199848923, 0.006683956498627118, 0.01519721558562319, 0.03311918864462868, 0.02628745925018175, 0.1517436243056971, 0.38285443726792284, 0.000194719332973098, 0.2878859614656752, 0.08126933544882216]"
xzIIY9k6mPY-14,"[0.03631358609568112, 0.06058026429975947, 0.032073435406400966, 0.04780270253992392, 0.0016741709738502595, 0.15023277723720652, 0.2204777669999874, 0.06697711243446404, 0.24605509262126762, 0.13781309139145867]"
xzIIY9k6mPY-15,"[0.002496609273524551, 0.21972368859645264, 0.09021588570754589, 3.993149774283985e-05, 0.010313968102368877, 0.46618944391587713, 0.03245008280348726, 5.750323773950384e-05, 0.14429163723006122, 0.03422124963520008]"
GzNSRz0UEgw-1,"[0.1161949637446428, 0.05370932938811423, 0.07831702314748822, 0.06143580355473484, 0.07860328434495885, 0.11440546117636088, 0.17941100997643405, 0.07548742046974725, 0.08766869892091154, 0.15476700527660783]"
GzNSRz0UEgw-2,"[0.08099045214090629, 0.022140638006667306, 0.054171686271225365, 0.031730188819128785, 0.041817076728309636, 0.1851312371665777, 0.19941133013407172, 0.08785772370962726, 0.11180329670623179, 0.184946370317253]"
GzNSRz0UEgw-3,"[0.038622074155573206, 0.09374071082667018, 0.071957953300363, 0.06994427417055389, 0.059716857938540875, 0.16583386095944627, 0.17402987382592958, 0.08437667952810948, 0.04464513106573826, 0.19713258422907545]"
GzNSRz0UEgw-4,"[0.057283554584640045, 0.028362881077525354, 0.08466781642302408, 0.020324642501325527, 0.062234802233290004, 0.18390244172149928, 0.11792779359882963, 0.17343305286645136, 0.07881136111966389, 0.193051653873751]"
