question,answer,start_time,end_time
เวลาเราระลึกถึงพระรัตนตรัย ควรมีความรู้สึกอย่างไร ตอนระลึกถึงสามารถเชื่อมต่อได้ เป็นไปได้ไหมคะว่า ตอนพระอาจารย์ระลึกถึง พุทโธเมนาโถ แล้วเกิดความรู้สึกบางอย่าง แล้วความรู้สึกนั้นแหละ ที่เป็นตัวไปเชื่อมกับพระรัตนตรัย แต่ถ้าคนอื่นทำตามพระอาจารย์แล้ว เขาเกิดความรู้สึกอีกแบบ เลยทำให้เชื่อมไม่ได้ เป็นไปได้ไหม,สาเหตุที่ทำให้พระอาจารย์ได้นำการระลึกถึงพระรัตนตรัยจนเกิดการเชื่อมต่อกับจิตนี้ เนื่องมาจากการที่พระอาจารย์ได้ถึงจุดที่ไปต่อไม่ได้ทางด้านการปฏิบัติ เรียกว่าหลังชนฝาแล้ว ตัดสินใจในการที่จะลาสิกขา แล้วก็พูดง่าย ๆ ว่า เกิดความรู้สึกว่าพระพุทธศาสนาเราทั้งหมด ไม่มีมรรคผล ไม่มีแก่นสาร ไม่มีอะไรที่จะเป็นคุณงามความดี รองรับจิตได้จริง ๆ แล้วช่วงนั้น เพราะว่าข้อปฏิบัติทั้งหมดที่ปฏิบัติมามันเสื่อมหมดเลย เสื่อมนี่คือจิตกลับมาเป็นปกติ จิตเหมือนกับไม่ได้เกิดการปฏิบัติอะไรมาก่อน ก็เหมือนเป็นปถุชนคนธรรมดาทั่วไป ก็เลยสงสัยว่าที่เราปฏิบัติมาทั้งหมด ก็ทุ่มเททางด้านการปฏิบัติ อดนอน อดอาหารในการปฏิบัติ แต่ก็ยังไม่สามารถที่จะเข้าถึงผลอะไรในศาสนานี้ได้เลย แม้แต่คุณธรรมเบื้องต้นบางอย่างที่ควรจะมีในจิต มันก็ไม่มีเลยในเวลาที่จิตประสบกับอารมณ์หรือความทุกข์อยู่ขณะนั้น สภาพจิตตอนนั้นย่ำแย่ ย่ำแย่ถึงที่สุดเลย ย่ำแย่แล้วก็เคว้งคว้าง ร่อยรอย ไม่มีหลักยึด ก็เลยรู้สึกว่าความเศร้าหมองของจิต และความที่มีอารมณ์บีบคั้นภายในอย่างรุนแรงอย่างนี้ คงต้องไปอบายภูมิแน่นอน คือด้วยความรู้ที่เคยศึกษามา ก็พยากรณ์ตัวเองได้ว่าถ้าสภาพจิตอย่างนี้ไปอบายภูมิแน่นอน แล้วอะไรสามารถเป็นเครื่องรองรับจิตเราได้ ทีนี้ก็เลยตั้งคำถามขึ้นมา อะไรจะเป็นเครื่องรองรับจิตเราได้ ความรู้ของเราที่เรารู้มา เราก็บอก พระพุทธ พระธรรม พระสงฆ์ คือพระรัตนตรัย พระอาจารย์ก็เลยเดินไปหน้าพระพุทธรูป แล้วก็มองหน้าพระพุทธรูป แล้วอธิฐานว่าขอให้พระพุทธเจ้า คือโดยยึดองค์พระพุทธรูปนั้นเป็นที่ยึดพึ่งทางใจของข้าพเจ้าด้วยเถิด เพราะว่าข้าพเจ้าไม่มีที่พึ่งอะไรอีกแล้ว ก็เลยก้มลงกราบ ก็เป็นเฉยๆ ธรรมดา ก็ไม่มีความรู้สึก มีอะไรตอบรับทางใจ ก็พยายามรำลึกถึงองค์คุณของพระพุทธเจ้า ในบทอิติปิโสภะคะวา ก็ธรรมดา ไม่มีอะไรตอบรับทางใจ จึงรู้สึกภาวะที่เราสิ้นหวัง สิ้นหวังก็คือเอาอะไรไม่ได้อีกแล้วในศาสนานี้ เพราะเราก็ทุ่มเททางด้านการปฏิบัติมา ไม่ใช่ปฏิบัติแบบเล่นๆ เอากันจริงๆ เลย นอนวันละ 1 ชั่วโมง ฉันเข้าวันละ 5 คำ หนักมากทางด้านการปฏิบัติ เพื่อที่จะได้คุณธรรมอะไรบางอย่างในศาสนา ก็เลยเดินเข้าไปในห้อง เดินเข้าไปในห้องก็เกิดการทบทวน หรือว่าในศาสนานี้เราไม่มีที่พึ่งอะไรอีกแล้ว แล้วอะไรที่สามารถเป็นที่พึ่งได้นอกจากพระพุทธศาสนา อะไรจะสามารถเป็นที่พึ่งได้ นอกจากพระรัตนตรัยแล้วจะพึ่งอะไรได้ ตอนนั้นยังคิดเลยว่า ถ้าหากว่าศาสนาคริสต์มีที่พึ่งก็ยังจะไปนับถือคริสต์ด้วยซ้ำ ณ ตอนนั้น ถึงขั้นนั้นเลย ทั้ง ๆ ที่ตัวเองเป็นพระอยู่ ก็เลยนั่งคิดทบทวน ถ้าเรายังไม่สามารถหาที่ยึดพึ่งทางใจได้แล้ว เราก็ไม่มีกำลังใจในการที่จะอยู่ต่อในเพศสมณะหรือบวช เพราะว่าบวชไปถ้ายังไม่สามารถที่จะหาทางพ้นทุกข์ หรือประพฤติกุศลธรรมให้เกิดเครื่องรองรับทางใจอย่างใดอย่างหนึ่ง ก็คล้ายๆ กับว่ากล่าวโทษตัวเองว่า หลักศาสนาเฉยๆ อย่างนี้ อยู่ไปก็รกศาสนา เปลืองข้าวชาวบ้าน ตำหนิตัวเองอย่างนี้ ก็นั่งทบทวนอยู่ในจิตในใจตัวเองว่าอะไรเป็นที่พึ่งสำหรับเรา อะไรคือที่พึ่งในจิตใจ เพราะมันเคว้งคว้าง ล่องลอย ความทุกข์มันเต็มไปหมด ทุกอณูของดวงจิตไม่มีส่วนแห่งความสุข นิดหนึ่งก็ไม่มี มีแต่ความทุกข์ ความเศร้าหมอง ความอ่อนแอ อารมณ์บีบคั้นทางจิตทางใจ คว้างคว้างเหมือนกับนุ่นที่ลอยไปตามลม มันคล้อยตามไปหมด มันไม่มีตัวยึดเลย ไม่รู้จะไปตกตรงไหน จังหวะนั้นก็ตัดสินใจว่าถ้าไม่มีอะไรเป็นที่พึ่งก็ไม่พึ่งอะไรอีกแล้ว ถ้าจะตกนรกก็ตกไปเถอะ ก็ไม่ทำความดีอะไรด้วยตอนนั้น ไม่คิดจะทำความดีอะไรสักอย่าง พอแล้ว เพราะว่าดันมาถึงจนที่สุดขนาดนี้แล้ว มันไม่มีอะไรมาตอบสนองทางใจก็จะไม่เอาอะไร ตอนนั้นปลดผ้าจีวรตัวเองออก ตอนนั้นก็รู้ดีว่าหลวงปู่คำสุขท่านไม่ให้ลาสิกขาแน่นอน เพราะอยู่กับท่าน ก็ตั้งใจที่จะปลดผ้าจีวรออกเอง ถ้าไม่ทุกข์ขนาดนั้นมันจะถึงขั้นนั้นไหม ทุกข์ที่สุดในชีวิตคือตอนบวชเป็นพระนี่แหละ ตอนเป็นฆราวาสไม่เคยทุกข์ขนาดนี้ ตอนเป็นพระทำไมทุกข์ขนาดนี้ ใครบอกว่าบวชแล้วสบาย อยากให้มาบวชเหลือเกิน คำว่าสบายไม่มี สำหรับผู้ประพฤติธรรม ประพฤติธรรมคือต้องต้องประพฤติ ไม่ใช่อยู่ไปวันๆ ไม่ได้รู้ว่าถูกผิด ปฏิบัติหรือไม่ปฏิบัติ ดีชั่ว นุ่งผ้าเหลือง โกนหัวโล้น อยู่กินข้าวชาวบ้านเขาผ่านไปวัน ๆ เฉย ๆ ไม่ได้ทำอะไร อันนั้นมันก็อยู่ไปเพื่อรอนรก แต่เราไม่ต้องการอย่างนั้น แต่ทำไมวงจรถึงหมุนเข้าไปสู่ความทุกข์ในใจได้ แล้วมันโน้มไปในทางนรกมากกว่า ตอนดีมันก็ดีนะ ตอนทรงสมาธิได้ก็ดี แต่ตอนมันเสื่อมนี่ แทบไม่เหลืออะไรเลย จากนั้นก็เลยตัดสินใจแบบเด็ดขาดเลยว่าคงต้องเปลืองผ้าจีวรตัวเองออก ไม่อยู่แล้ว จะว่าผ้าจีวรร้อนคงเข้าใจ สำนวนเขาพูด ผ้าเหลืองร้อน ตอนนั้นก็มีเสียงดังขึ้นมา เป็นเสียงดังกังวานมากกว่า พระพุทธเจ้า พระธรรม พระสงฆ์เป็นที่พึ่งมาแต่ไหนแต่ไรแล้วทำไมไม่พึ่ง มันสะกิดใจเรา ทำไมเราจะไม่พึ่งพระพุทธ พระธรรม พระสงฆ์ เราพึ่งมาตั้งแต่เป็นเด็ก ยายปลุกมาทำวัตร ตั้งแต่ตีห้า กราบไหว้ อิติปิโสภะคะวา โยโสภะคะวา ตอนเช้า ตอนเย็นก็ อิติปิโสภะคะวา ทำไมเราจะไม่พึ่ง เราก็พึ่งพระรัตนตรัยมาตลอด ความรู้สึกว่าที่พึ่งทางใจ ทำไมมันไม่มีเลยอย่างนี้ มันเป็นคำแย้งออกมา เราพึ่งมาตั้งแต่เด็ก ทำไมเราจะไม่พึ่ง มันแย้งออกมาอย่างนั้น แล้วเสียงมันก็ย้ำอีกว่า พระพุทธเจ้า พระธรรม พระสงฆ์เป็นที่พึ่งมาแต่ไหนแต่ไรแล้ว ทำไมไม่พึ่ง ก็เกิดการนั่งคิดว่า ทำไมไม่พึ่ง หรือว่าที่ผ่านมาเราไม่เคยพึ่งพระรัตนตรัยเลย เราอาจจะเป็นเพียงแค่สวด หรือกล่าวไปตามบทที่คนอื่นนำกล่าว หรือพากล่าว เป็นแค่เสียงที่ผ่านออกมาจากริมฝีปาก เพื่อพร่ำบ่นถึงอะไรบางอย่างที่เราไม่เคยรู้ว่าคืออะไร ฉะนั้นแล้วเลยกลับมาทบทวน คำว่าพึ่ง พึ่งอย่างไร ถ้าหากว่าพระพุทธเจ้าที่ยังสามารถพึ่งได้ยังมีอยู่ ถ้าหากว่าพระธรรมที่สามารถพึ่งได้ยังมี ถ้าหากว่าพระสงฆ์ที่ยังสามารถพึ่งได้ยังมีอยู่ ข้าพเจ้าจะขอพึ่งพระพุทธเจ้าที่พึ่งได้ ขอพึ่งพระธรรมที่พึ่งได้ ขอพึ่งพระสงฆ์ที่พึ่งได้ อยู่ที่ไหนไม่รู้ เพราะเราไม่เคยรู้ว่าที่ ๆ จะเป็นที่พึ่งจริงๆ ทางใจเรามันคืออะไรกันแน่ เพราะที่ผ่านมาเราก็เคยพึ่งมาหมดแล้ว ตามรูปแบบขนบธรรมเนียมประเพณี พิธีกรรม ทำมาหมดแล้ว และที่พึ่งทางใจที่แท้จริงเป็นอย่างไร แล้วเราก็ไม่เคยรู้ด้วยว่ามันอยู่ตรงไหน อยู่อย่างไร ฉะนั้นก็เลยประกาศขึ้นมา เป็นการตะโกนจากภายใน เป็นเสียงจากข้างใน ตะโกนร้องออกมาเลยว่า หากว่าพระพุทธเจ้าที่สามารถพึ่งได้ยังมีอยู่ หากว่าพระธรรมที่สามารถพึ่งได้ยังมีอยู่ หากว่าพระสงฆ์ที่สามารถพึ่งได้ยังมีอยู่ ข้าพเจ้าขอพึ่งพระพุทธ พระธรรม พระสงฆ์ที่พึ่งได้นั้น หากมีอยู่จงเกิดปรากฏรองรับจิตใจข้าพเจ้าด้วยเถิด ตะโกนเรียกร้องมาจากข้างใน ที่พึ่งอื่นของข้าพเจ้าไม่มี พระพุทธเจ้าเป็นที่พึ่งอันประเสริฐของข้าพเจ้า ขออำนาจแห่งพระพุทธเจ้าจงเกิดขึ้นมารองรับจิตใจข้าพเจ้าด้วย เพราะตอนนั้นมันต้องการเครื่องรองรับทางใจ เครื่องยึดพึ่งทางใจจริงๆ ที่เราเคยทำมาทั้งหมด พอถึงจุดหนึ่งมันไม่จริง ไม่มีปรากฏให้เห็นทางจิตทางใจเรา ก็เลยก้มกราบลงไป พอก้มกราบลงไปเท่านั้นแหละ หัวจรดพื้น พอดีจังหวะนั้น มันเกิดเป็นเหมือนกับลูกแก้วขึ้นมา ถ้าจะเปรียบเหมือนกับเราเอาหลอดไปจุ่มน้ำสบู่หรือน้ำแฟ้บ มาเป่าเป็นฟอง ออกมาเป็นลูกใสๆ กลมๆ อย่างนั้นแหละ วาบขึ้นมาอยู่รอบตัวพระอาจารย์ ความทุกข์ก่อนหน้านี้หายไปแบบทันทีทันใด ขณะที่สภาพการณ์นั้นปรากฏ ความรู้สึกที่จิตเชื่อมโยงกับพระรัตนตรัยพร้อมกันกับที่เป็นลูกแก้ว มันวาบปรากฏขึ้นมา ความทุกข์ที่มีอยู่ก่อนหน้านั้นหายไปหมดเลย ดับไปหมดเลย ไม่เหลือเลย แล้วรู้สึกว่าภายในจิตเรามันมีตัวรองรับอยู่ข้างใน มันมีตัวรองรับจริงๆ มันรับจิตรับใจเราไว้ไม่ให้โอนเองคล้อยไปตามเรื่องราวอารมณ์ทั้งหลายที่มันมีอยู่ก่อนหน้านี้ ในจิตเรามีอารมณ์ลึกๆ ที่จิตเรามักจะกินอารมณ์เก่าๆ ที่มันสะสมอยู่ภายในตัวมันเอง มันไม่มีตัวรองรับตรงนี้ เพราะถ้าไม่มีตัวรองรับ จิตมันก็จะไปหยิบอารมณ์นั้นอารมณ์นี้อารมณ์โน้นที่มันเคยเป็น โดยเฉพาะอารมณ์ที่มันเป็นอกุศล หยิบขึ้นมาเพื่อเสวย หรือว่าปรุงแต่งตัวของมันเอง แล้วเราก็กินอารมณ์ แล้วก็ทำให้จมปลักอยู่กับอารมณ์อย่างนั้น แล้วก็จิตใจก็อ่อนแอ ท้อแท้ ไม่มีกำลังใจ พอเห็นตัวนี้เกิดขึ้น กระแสพระรัตนตรัยเป็นอย่างนี้เหรอ ก็เลยพูดอีกเป็นครั้งที่ 2 ว่าที่พึ่งอื่นของข้าพเจ้าไม่มี พระธรรมเป็นที่พึ่งอันประเสริฐของข้าพเจ้า ขออำนาจแห่งพระธรรมจงเกิดขึ้นมารองรับจิตใจข้าพเจ้าด้วย ก้มลงกราบอีกครั้งที่ 2 ก็เกิดเป็นลูกแก้วนี่แหละ เหมือนฟองสบู่ใส ๆ ขึ้นมาอีก เหมือนกับว่ามันขึ้นมาจากข้างใน แต่มันครอบร่างอาตมาไว้ เหมือนกับเรานั่งอยู่ในลูกแก้วอันนั้น ก็อธิษฐานอีก ที่พึ่งอื่นของข้าพเจ้าไม่มี พระสงฆ์เป็นที่พึ่ง คำว่าพระสงฆ์ในความหมายในใจที่เราพูด คือพระสงฆ์ที่พึ่งได้นะ คือพระพุทธที่พึ่งได้ พระธรรมที่พึ่งได้ พระสงฆ์ที่พึ่งได้ อันพึ่งไม่ได้ไม่พึ่งอีก  จะไม่ขอพึ่ง เพราะเคยพึ่งมาแล้วอะไรประมาณนี้ คิดอย่างนั้น พระสงฆ์ที่พึ่งได้ จงเป็นที่รองรับจิตใจข้าพเจ้าด้วย ก็กราบลงไปอีก เกิดเป็นลูกแก้วอันที่ 3 ขึ้นมารองรับจิตใจ อันแรกมันก็ทำให้ 12.31 อันที่ 2 ที่ 3 มันย้ำภายในจิตเรา สักพักหนึ่งลูกแก้วก็ค่อยหมุน 3 อัน หมุนรวมกันเป็นอันเดียว เป็นแสงสว่าง ไม่ถึงกับสว่าง คือความใสของมัน ใสจน... อันนี้คือตาเปล่า ไม่ได้อยู่ในสมาธิ ปกติใจที่มันอยู่กับความวุ่นวาย ความอ่อนแอ ความอารมณ์บีบคั้น อกุศลวิตกอะไรต่างๆ เต็มไปหมดอยู่ในหัวใจ มันไม่ได้อยู่ในสมาธิ เห็นอย่างนี้เลย เห็นต่อหน้าต่อตาอย่างนี้เลย เห็นเหมือนกับเรามองเห็น ความทุกข์หายไป แล้วก็กำหนดดูว่า กระแสรัตนตรัยนี้มาจากไหน คือตอนนั้นเข้าใจคำว่ารัตนะเลยนะ รัตนะแปลว่าแก้วอันประเสริฐ ไตรแปลว่าสาม มันเป็นนิมิตทำให้เราได้ทราบกระแสพระรัตนตรัยว่ามีอยู่ กระแสรัตนตรัยที่มีอยู่ แล้วมันสามารถเชื่อมต่อกับใจ หรือเกิดรองรับใจ แล้วทำไมแต่ก่อน พ่อแม่ปู่ย่าตายายเราไม่สอนให้เราเข้าถึงรัตนตรัยแบบนี้ เราเข้าถึงรัตนตรัยแบบผิดวิธีกันมายาวนาน ทีนี้ก็เลยกำหนดเพื่อสืบทราบหรือสำรวจหาว่า ตรงนี้มาจากไหน เพราะอาตมาเป็นนักพิสูจน์ไงว่า จู่ ๆ มันจะเกิดขึ้นมาลอย ๆ มันต้องมีที่มาที่ไป กำหนดดูว่าที่มาที่ไปมาจากไหน ก็เลยเกิดความรู้คล้ายๆ กับว่าแหวกภาพสมมุติของโลกทั้งหมดที่มีอยู่ ภาพปรุงแต่งในโลกมนุษย์ แหวกออกไปทั้งหมด เหลือแต่เป็นห้วงอวกาศ เมื่อเห็นแต่ภาวะห้วงอวกาศที่เวิ้งว้างว่างเปล่าอย่างไร้ขอบเขต ไม่มีขอบเขต เห็นพลังคล้ายๆ กับว่าคือ ถ้าจะพูดในด้านนามธรรม แล้วพูดออกมาในเชิงของรูปธรรม อาจจะให้ความหมายได้ไม่ค่อยดีสักเท่าไหร่ แต่จะพูดให้ฟังว่า มันเหมือนกับเป็นพลังอะไรบางอย่างในทางธรรมชาติ เป็นพลังงานที่ดี คือพลังแห่งพุทธะ พลังแห่งสังฆะ เป็นพลังงานที่ดี แล้วในจิตก็เลยถามว่า นี่คืออะไร เขาบอก นี่แหละคือพลังแห่งพระรัตนตรัย ภาวะแห่งพุทธะ ภาวะแห่งธรรมะ ภาวะแห่งสังฆะ คำว่าพุทธะ ไม่ได้หมายถึงพระพุทธเจ้า แต่หมายถึงว่าบุคคลาใดก็ตามที่มาตรัสรู้กระแสแห่งธรรม พลังแห่งการตรัสรู้เหล่านั้นยังตกค้างอยู่ในวัฏจักรนี้ ไม่ได้หายไปไหน แต่ตัวพุทธะ ปรินิพพาน ก็ปรินิพพานไป แต่พระรัตนตรัยยังคงอยู่ พลังแห่งธรรมะคือพลังแห่งสัจจะหรือความจริง พลังแห่งสังฆะ คือพลังแห่งความบริสุทธิ์หมดจดแห่งจิตของอริยสงฆ์สาวกที่ท่านหลุดพ้นไปพระนิพพาน ติดตามพระพุทธเจ้าเข้าสู่พระนิพพาน ทั้งหมดดวงจิตดวงใจทุกดวงเหล่านั้น ดับสนิท แต่พลังเหล่านี้ยังตกค้างไว้ในจักรวาล เพื่อให้มนุษย์ได้พึ่งพา ฉะนั้นจะมีพระพุทธเจ้าไม่มีพระพุทธเจ้าก็ตาม พระรัตนตรัยยังคงอยู่ แต่มนุษย์ลืมในการที่จะเชื่อมต่อจิต จึงเข้าใจความหมายที่พวกเราสวดกันมาแต่ไหนแต่ไรว่า พุทธังสะระณังคัจฉามิ แปลว่าข้าพเจ้าเข้าถึงพระพุทธเจ้าโดยการระลึก แต่เคยระลึกไหมหรือพูดไปเฉยๆ พุทธังสะระณังคัจฉามิ เฉยๆ ก็เพิ่งกลับมาระลึกตอนสอน,00.01.05,00.15.41
เวลาท่อง พุทโธเมนาโถ ที่พระอาจารย์เคยบอกเป็นภาษาอังกฤษ May the Wisdom be with me ประมาณนี้ไหม,ประมาณนั้น อาตมาก็เอาจากที่คนแปลมาพูดเหมือนกัน ใครเก่งภาษาอังกฤษก็แนะนำมาหน่อย,1900-01-15 10:04:48,1900-01-16 00:43:12
,,,
2 คำนี้ กับภาษาไทยให้ความรู้สึกคนละอย่างเลย คือพุทโธเมนาโถ ไม่เข้าใจเลย เพราะว่าเราไม่เข้าใจภาษาบาลี May the Wisdom be with me เหมือนอำนาจมาจากเรา แต่ที่พึ่งข้าพเจ้าไม่มี ข้าพเจ้ามีพระพุทธเจ้าเป็นที่พึ่ง จะเป็นรูปพระพุทธเจ้าลอยมา แล้วเหมือนเราขอท่าน เหมือนเราขอ ก็เลยไม่แน่ใจว่า ต้องขอท่าน หรือเรามีแล้วเราเลียนแบบท่านอยู่,ตรงนี้คือปัญหาหนึ่งสำหรับบุคคลผู้ระลึกถึงพระรัตนตรัย เพราะยังไม่เห็นสภาพพระรัตนตรัยมาก่อน พระอาจารย์เลยบอกว่า อย่านึกถึงแต่องค์พระ อย่านึกถึงแม้แต่พระพุทธเจ้า เพราะไม่มีใครเห็นพระพุทธเจ้า มันจึงเป็นเพียงแค่ภาพแห่งจิตนาการที่เป็นรูปลักษณ์ที่ถูกปรุงแต่งให้ยึดถือว่าภาพพระพุทธเจ้าเป็นอย่างนั้น แต่ความจริงไม่ใช่ พระอาจารย์จึงให้ระลึกถึงตัวหนังสือ พยัญชนะ หรืออักขระคำว่า พุทโธเมนาโถ แล้วนึกถึงตัวนี้ เพราะภาษาเป็นภาษาที่เชื่อมต่อกับสภาวะทางธรรมชาติที่ตรงกับความเป็นจริง ภาษาบาลีคือภาษาธรรมชาติ แม้ตอนนั้นเราจะไม่รู้สึกอะไรก็ตาม แต่เราพูดคำ ๆ นี้โดยการที่นึกถึงคำ ๆ นี้ทางใจ คำ ๆ นี้มันจะค่อยๆ เชื่อมต่อกันกับกระแสธรรมชาติแห่งพระรัตนตรัยนั้นเข้ามาทางใจ เพราะใจเป็นผู้ระลึก สิ่งนั้นก็จะเชื่อมเข้ามาหาใจของผู้ระลึกนั่นเอง,00.15.42,00.16.03
แล้วความรู้สึกก็ไม่เป็นไรอย่างนี้หรือ ,ความรู้สึก ตอนนั้นเรายังไม่สามารถปรุงแต่งความรู้สึกให้รับรู้พระพุทธ พระธรรม พระสงฆ์ได้ แต่ถ้าเรามีความรู้สึกรับรู้ต่อพระพุทธ พระธรรม พระสงฆ์ได้ อันนั้นก็จะเป็นส่วนหนึ่งที่ทำให้รู้สึกเข้าถึงได้เร็ว สำหรับบุคคลผู้เข้าใจ เพราะบางคนต้องอาศัยสร้างความรู้สึกที่ถูกต้อง กับสภาพที่ตัวเองกำลังพูดถึง หรือเชื่อมต่อถึง ระลึกถึง กลุ่มประเภทนี้ก็ได้ อีกประเภทหนึ่ง เขาน่าจะมีศรัทธาไว้ก่อน แล้วก็ทำตามสิ่งที่พระอาจารย์บอก นึกถึงแต่ตัวหนังสือ เพราะเขาเชื่อมต่อได้ แต่บางคนก็ใช้เวลานาน 2 ปี 3 ปีก็มี แต่คนที่ระลึกถึงองค์คุณ หรือความรู้สึกทางใจต่อพระพุทธ พระธรรม พระสงฆ์ เขาก็สามารถเชื่อมต่อกันได้เร็ว ความเข้าใจความหมายของพระพุทธ พระธรรม พระสงฆ์ แต่ภาษาอังกฤษให้ความรู้สึกได้ดีกว่า,00.16.04,00.17.34
เมื่อฟังแล้วรู้สึกฮึกเหิม มีพลัง หรือเราต้องรู้สึกสงบ คือมันได้ทันทีถ้าพูดคำนี้ หรือแม้แต่คำว่า ขออำนาจแห่งปัญญาจงอยู่กับข้าพเจ้า รู้สึกได้ทันทีเลย ,ปัญญาแห่งความรู้แจ้ง พลังแห่งสัจธรรม พลังแห่งความดีทั้งหลาย แสดงว่าคำ ๆ นี้ให้ความหมายดีกว่า,00.17.34,00.18.35
,,,
,,,
,,,
เพราะว่าหนูอาจจะศึกษามาทางศาสตร์ตะวันตกเยอะ แล้วเขาจะเป็นแนวแบบตัวเองอะไรอย่างนี้ แล้วมันได้ทันที แต่ถ้าถามว่าพระรัตนตรัยเข้ามาอยู่ในตัวหรือยัง หนูมั่นใจว่ามีแล้วแน่นอน เพราะว่าตั้งแต่ที่ปลายปีที่แล้วไปกับครูเงาะ หนูตัดสินใจเรียบร้อยแล้วว่า คือวางแผนชีวิตได้หมดยันวันตาย ว่าหนูจะทำอะไรบ้าง แล้วเรื่องนี้เป็นเรื่องสุดท้ายที่หนูหามาตั้งนาน ใช้เวลา 4 ปี ในการหา พอมาฟังพระอาจารย์ต้นแล้วได้ความหมาย ก็เลยเลือกเลยว่าเรื่องนี้ แม้กระทั่งว่าหนูไปฟังทางตะวันตก โหราศาสตร์ หรืออะไรก็แล้วแต่ แต่รู้ว่าอันนี้คือที่สุด ก็เลยเลือกเลยว่าเอาทางนี้แน่นอน แม้ว่าคนอื่นจะไม่เห็นด้วย แล้วมั่นใจว่าตัวเองทำได้แน่นอน แล้วกำหนดระยะเวลาเอาไว้ เพื่อเป็นการเร่งตัวเอง หนูสังเกตว่าหลังจากที่ รอบนั้นหนูเห็นบางอย่างว่า ,ไปรอบไหน ครั้งแรกหรือครั้งที่สอง,00.18.37,00.19.15
