question,answer,start_time,end_time
หลังจากที่พาเขาไปปฏิบัติที่เชียงราย เขาก็ปฏิบัติได้ดี จริงจริงวันนี้เขาจะมาเองก็อยากมาเจอพระอาจารย์มาก แต่ว่าอยู่ดีดีก็ไม่มา ใจก็ไม่แน่ใจมันเกิดอะไรขึ้น ไม่ได้มาไม่ได้ แต่อยู่ดีดีก็เปลี่ยนใจกะทันหัน ที่นี่คือเขาปฏิบัติตามหลักพระอาจารย์มาคือพระรัตนตรัยเป็นอัตโนมัติและแล้วก็กำหนดรู้อารมณ์ เขาก็ไปเห็นว่ามันเกิดดับเกิดดับ เกิดดับอยู่ตลอดเวลาก็คือเกิดดับเป็นอัตโนมัติ ทีนี้เขาบอกว่าเขาฟังเพลงอยู่ เพลงมันเป็นเพลงที่เศร้าและหดหู่ มันก็กำหนดรู้ว่าเกิดความเศร้า เกิดความหดหู่ แล้วมันก็ถูกชัตดาวน์เข้าไปอยู่ในความว่างว่าง ตัดขาดจากโลกภายนอกเข้าไปมีความว่างว่าง,ระบบที่เป็นสัมปติคือเรื่องที่เราไม่เคยเห็นความขาดสายมันเลย เวลาเรามีสติเข้าไปรับรู้มันเกิดการขาดสาย ขาดห่วงของการสติได้สามารถทำได้ ไอ้ที่มันดับแล้วมันมีช่วงว่างยิ่งถ้าเราเห็นดับบ่อยบ่อย ระยะห่างของความว่างมันจะเพิ่มมากขึ้น เพราะฉะนั้นแต่ก่อนถ้าเราไม่มีสติเข้าไปรู้มันจะเป็นปกติเลยไม่มีช่วงว่างให้เห็นเลยต่อเนื่องสืบต่อโดยไม่มีอะไรขั้น แต่พอเริ่มมีสติมากเข้าและการที่เห็นความว่างระยะห่างของความว่างมากเข้ามากเข้ามากเข้ามันก็จะขยายความว่าง มันเห็นจากข้างในขยายความว่างออกมาข้างนอก,00:00:00,00:01:46
เขาก็บอกว่าที่นี้จิตเขาเนี่ยก็พยายามหาคำตอบว่าอันนี้มันคืออะไรเพราะว่าทุกขณะเขารู้หมดจิตมันกำหนดรู้หมดแต่มันไม่เคยเจอสติ,มันคือสติตั้งแต่พุทธานุสติ ธรรมานุสติ สังฆานุสติและสติในการรู้การเกิดการดับ การรู้ความเกิดความดับนี่คือสติที่นำไปสู่สัมปชัญญะ แล้วก็สติรองรับจิตอย่างนี้จนกว่าจะแทงตลอดอริยสัจหมายความว่าต้องอธิบายอริยสัจในจิตให้เข้าใจด้วย ถ้าแทงตลอดอริยสัจแล้วนั่นแหละเราก็รอการเข้าถึงผลระยะต่อจากนั้นก็เป็นการเข้าถึงผลควบคุมไม่ได้,00:01:46,00:02:36
ก็แนะนำให้เขากำหนดลงอริยสัจ เพราะว่าตอนแรกน้องเขายังไม่ได้กำหนดอริยสัจอันนี้ก็คือถูกต้องอยู่ใช่ไหมคะ,"พอเห็นการดับนิโรธสัจจะเป็นตัวทำให้เราได้เห็นชัดสภาวะเกิดดับ เกิดดับ ทำไมปกติวิถีชีวิตเราเห็นแต่ เกิด เกิด เกิด เกิด เกิด เกิด เกิด เกิด เนี่ยดับไม่เห็นจริงจริง ภาวะพิโรจมันมีดับแต่เราไม่เคยเข้าไปปฏิบัติ พอเราไม่ได้ไปปฏิบัติเราก็ไม่เห็นว่าดับอย่างไรเห็นแต่เกิด บุคคลที่เห็นความเกิดย่อมสำคัญว่ามีอัตตาจึงเป็นอัตตาทิฐิ ความเห็นว่าเป็นตนจึงมี พอเห็นแต่ส่วนเกินจึงลงความเห็นว่าเป็นตนหรือเที่ยงนั่นเอง บุคคลผู้เห็นส่วนดับก็ลงความเห็นว่าเป็น
สิ่งที่เฉดขาดสูญ เห็นดับอย่างเดียวแต่ไม่เห็นเกิด อันนั้นก็เห็นแบบขาดสูญเป็นเฉดทิฐิหรือตอนแรกเห็นนัตถิกทิฏฐิคือความไม่มี พอเห็นความไม่มีปุ๊บหนักเข้าหนักเข้าก็เป็นเฉด ส่วนเห็นที่เป็นส่วนเกิดก็คือเห็นแต่มันเกิดติดต่อเนื่องกัน ก็เป็นสัตตะคือเที่ยงจากจากสิ่งที่เห็นว่าเที่ยงก็เกิดเป็นอัตตา อัตตาที่ดีขึ้นแต่พอเห็นทั้งเกิดเห็นทั้งดับ เห็นเกิดเห็นดับเนี่ยได้สติแต่ยังไม่ได้อริยมรรค จะได้อริยมรรคต้องอธิบายอริยสัจให้เข้าใจภาวะที่เกิดจากอะไรเป็นทุกข์ เป็นสมุทัย เป็นนิโรธ เป็นมรรค ตัวนี้อธิบายได้ปั๊บจิตจะเกิดการเรียนรู้ความเกิดความดับผ่านความรู้ของอริยสัจ ไม่ใช่รู้เฉยเฉย แต่เรียนรู้ผ่านความรู้ของอริยมรรคตรงนี้แหละที่จะเป็นตัวนำเราเข้าไปสู่ผลของการตรัสรู้ได้",00:02:36,00:04:28
เขาแค่ท่องพระรัตนตรัยแล้วก็ท่องธาตุแต่ว่ายังไม่ได้พิจารณากายทุกขั้นตอน จำเป็นไหมที่ต้องกลับมาพิจารณากายด้วย,ก็จำเป็นในระยะนี้ก็กลับมาที่พิจารณาร่างกายก่อนได้,00:04:29,00:04:46
พอเขาปฏิบัติได้เขาจะป่วยหนักขึ้นเรื่อยเรื่อย,"ไม่หรอกป่วยหนักนะคือมันจะหาย มันก็จะหาย ไม่ยอมป่วยมันจะไม่หาย ใครกลัวป่วยก็สักกายะขบนำ กลัวตัวเองจะป่วยก็ร่างกายป่วยได้ พระพุทธเจ้ายังป่วยเลยจะไปปกปิดมันไว้ทำไมความจริง ความจริงเป็นลักษณะที่มันต้องแสดงออกตามภาวะการณ์ของมัน เราอาจจะปกปิดหรือกลบเกลื่อนมันไว้ด้วยวิธีการใดวิธีการหนึ่ง มันก็ยังไม่ใช่การเข้าไปยอมรับความเป็นจริงที่มัน สักกายะก็จะครอบงำใจเราอยู่อย่างนี้ ครอบงำใจก็คือครอบงำเราไว้กับความทุกข์วงจรแห่งความทุกข์ วิถีแห่งความทุกข์ เส้นทางทุกข์มันอยู่ในวงจรของทุกข์ในสักกายะ ไม่ทำให้เราหนีจากทุกข์ จริงดูเหมือนมันไม่ป่วย มันเหมือนจะดี แต่จริงจริงแล้วไม่ได้ดี ความป่วยนี่แหละเป็นตัวเตือนสติเราได้อย่างดี ความไม่เจ็บไม่ป่วยทำให้เราเพลิดเพลินหลงยึดออก พระพุทธเจ้าบอกว่าเป็นความประมาทอย่างหนึ่ง เราไม่เจ็บ เราไม่ป่วย เรายังแข็งแรงอยู่ ก็ยังหนุ่มอยู่ประมาณในวัย ก็ยังอยู่ได้อีกนานอยู่นะ ไม่ได้แก่เท่าไหร่หรอกนะเรานี่ มันไปเอาอายุจิตเนี่ย จิตมันไม่เคยแก่สักทีใช่ไหมล่ะ ก็ไม่รู้สึกว่าเราไม่แก่ง่าย อย่าเพิ่งเลย อย่าเพิ่งปฏิบัติเลยอะไรงี้ก็ไม่ได้มันประมาทแล้ว ความประมาทเหล่านี้มันก็
ทำให้เราวนเวียนหรือว่าเชื่องช้าอยู่กับวัฏจักร วัฏจักรมันก็ขยายออกไปอย่างนี้ที่มันเวียนว่ายตายเกิดหรือสังสารวัฏมันขยายออกไป ก็ขยายออกไปจากความประมาทของมนุษย์นี่ พระพุทธเจ้าบอกว่ามีสิ่งเดียวเท่านั้นแหละที่ทำให้มนุษย์เข้าถึงความเสื่อมไม่ถึงความเจริญถึงความสัมพันธ์ สิ่งที่ทำให้มนุษย์เขาถึงความเจริญไม่เสื่อมเลยก็คือความไม่ประมาท อะไรก็ตามจะเสื่อมอ่ะแต่ว่าเมื่อไม่ประมาทแล้วจะไม่เข้าไปสู่ความเสื่อม นอกจากจะไม่เข้าไปสู่ความเสื่อมแล้วยังเข้าถึงความเจริญโดยฝ่ายเดียว ส่วนเดียวก็ไม่เห็นพระพุทธเจ้าตรัสธรรมข้อไหนว่าจะเป็นธรรมที่ทำให้เจริญโดยฝ่ายเดียวได้นี่เราบอกว่าไม่ประมาท ประมาทอะไรแบบประมาทในวัยกว่าเนี่ยด้วยความไม่มีโรคประมาทในความเป็นหนุ่มสาวประมาณในอะไรอีก อายุหรือยังไง อายุกับวัยอันเดียวกันไหมความไม่ประมาทมีกี่อย่าง",00:04:47,00:08:08
มันช้าไปแล้ว,ไม่ช้าตราบใดที่ยังมีลมหายใจอยู่ ถ้าบอกว่าช้าอยู่ก็ยังประมาท เอาช้าไปแล้วนี่ประมาทมีลมหายใจอยู่เมื่อไหร่ปฏิบัติได้เมื่อนั้น หายใจเข้าอันนี้ทุกหายใจออกอันนี้ทุกข์ นี่คือไม่ประมาทในการงาน ไม่ประมาทในการปฏิบัติ ไม่ประมาทในการงานเวลาวัย งานคืองานคืองานการปฏิบัตินะ เห็นไหมเขาบอกว่าโอ้สายไปแล้วมีประมาทในการงานคิดว่าจะปฏิบัติไม่ได้ ปฏิบัติได้สิถ้ายังมีลมหายใจอยู่ปฏิบัติได้ พระพุทธเจ้าบอกว่าแม้ก่อนใกล้จะตายเนี่ย พะงาบพะงาบพะงาบอยู่ จิตถ้ามันพิจารณาอริยสัจรู้ความเป็นจริงในขณะที่ก่อนใกล้จะตายเขาเรียกว่า บรรลุ พร้อมกับมองว่าพระอรหันต์สามารถเข้าถึงได้บางทีมันไปในคราวเดียวได้เลยเพราะความจริงประจักษ์กับใจแล้ว,00:08:11,00:09:18
ตอนถามท่านว่าเมื่อเกิดความเป็นห่วง เขาจะเดินทางกันทั้งแฟมิลี่อย่างนี้เราก็เป็นห่วงจะเกิดอะไรขึ้นกับเขาหรือเปล่านะ แต่พอนึกถึงพระรัตนตรัยก็จะนอนได้ แต่พอตื่นมาก็เป็นห่วงอีก เมื่อไหร่จะหายห่วงทำยังไงคะเราไม่ต้องไปบอกให้หายห่วง,"ให้เรียนรู้ให้เรียนรู้จิต
จิตเรื่องผูกติดอยู่นี่ก็คือจิต
จิตหนึ่งอารมณ์หนึ่งความรู้สึกหนึ่งที่มันเกิดขึ้นมันแสดงภาวะการของการยึดโยงเราระหว่าง
ลูกหลาน
แฟมิลี่ครอบครัวทั้งหลายแล้วเนี่ยเกิดการยืดโยงกันอย่างนี้มันตัดกันไม่ขาด ตัดกันยากมากเลยของพวกนี้
หลักการก็คือเรียนรู้ความเกิดและความดับ
ของอารมณ์นี้ให้เข้าไปทักอารมณ์
ถ้าอารมณ์มาเอา ความห่วงกำลังเกิดขึ้นกับจิต
จิตกำลังมีความห่วง
ความห่วงกำลังปรุงแต่งจิต
จิตกำลังถูกความห่วงปรุงแต่งอยู่ ให้รู้อย่างนี้
พอเข้าไปรู้มากเข้ามากเข้ามาเข้าอยู่เรื่อยเรื่อยทั้งตอนเกิดตอนดับตอนเกิดตอนดับทุกครั้งอ่ะที่เรารู้
เรารู้ทันเมื่อไหร่เป็นสติเมื่อนั้น
เป็นสติเมื่อไหร่สติก็จะรับรู้อาการอารมณ์ความรู้สึกห่วง
ไว้อยู่เสมอ
การปฏิบัติไม่ได้เป็นการปฏิบัติเพื่อให้
อาการห่วงหายไป
เราต้องห่วงเราต้องกังวลเป็นเรื่องปกติเป็นเรื่องธรรดา
มีสายใยกันอยู่
แต่เราจะรับรู้อารมณ์กันด้วยสติ
อย่างน้อยระลึกถึงพุทโธเมนาโถ ระลึกถึงพระรัตนตรัยมันก็ยังตัดได้ใช่ไหมล่ะ แต่นั้นไม่ใช่การตัดอันนั้นเป็นแค่รักษาใจเราไม่ให้ไปอยู่กับความวิตกในคราบของความห่วง
แต่มันก็มาเกิดขึ้นมาอีกครั้งอยู่ดีเอาวิธีการตัดจริงจริงคือการเข้าไปเรียนรู้หรือทักอารมณ์
ความห่วงกำลังเกิดขึ้นกับจิต จิตกำลังมีความห่วง ความห่วงกำลัง
เกิดอยู่ในจิต จิตกำลังถูกความหวงปรุงแต่งอยู๋
ความห่วงกำลังปรุงแต่งจิตก็ไปทักอย่างนี้ย้ำซ้ำซ้ำ
รับเข้าไปรับรู้อารมณ์ด้วยสติ
การไปรับรู้อารมณ์ด้วยสติไม่จำเป็นต้องให้มันหายไปเพื่อให้มันรับรู้ด้วยสติ
ไม่จำเป็นต้องไปตัด สติที่เพียงพอต่อการรู้แล้วมันจะตัดของมันเอง
ในการตัดไม่ใช่หน้าที่ของเรา
เพราะเราปฏิบัติอยู่บนหลักการของอนัตตาคือไม่มีตัวตนของผู้ปฏิบัติ แต่มีการปฏิบัติ อะไรเป็นตัวปฏิบัติ สติปฏิบัติ
สมาธิเป็นตัวปฏิบัติ ปัญญาเป็นตัวปฏิบัติ อริยมรรคเป็นตัวปฏิบัติ
ปฏิบัติต่อสิ่งนั้นนะ
แต่ไม่มีเรา
ฉะนั้นเราจึงต้องทำหน้าที่ของเราคือสร้างสติ
สร้างสมาธิสร้างปัญญาสร้างอริยมรรค
ขึ้นมา
ถ้าเราสร้างมาแล้วตัวนี้จะเข้าไปสู่การตัดการละการคลายถ้ามันพอมันจะตัดเอง
มันจะลงเอง มันจะคายออกเอง มันจะวางเอาเอง แต่ถ้าสติยังไม่พอก็ต้องฝึกโดยการเข้าไปรู้ การเรียนรู้จะเป็นตัวสร้างสถิติเวลาขณะที่เราเรียนรู้อารมณ์ที่เกิดขึ้นแต่ละครั้งก็แล้ว
วิชาคือการเรียนรู้ ปัญญาคือการรอบรู้ สติคือการระลึกรู้ ญาณคือการหยั่งรู้ตามความเป็นจริง มันจะต้องพัฒนาไปถึงขั้นยาจะเกิดขึ้นเมื่อถูก
ถูกปฏิบัติก็จะตั้งแต่สติไปวิชา เรียนรู้ก่อให้เกิดสติ สติก่อให้เกิดสมาธิ สมาธิก่อให้เกิดปัญญา ก่อให้เกิดญาณไปสู่อริยมรรค
ตามลำดับ
มันพัฒนาตัวเองไปอย่างนี้เรื่อยเรื่อยเรื่อยเรื่อยพอเข้าถึงอริยมรรคแล้วก็มรรคญาณอีกทีนี่ยังมีญาณประกอบอยู่มักญาณดีกว่า
มันจะตัดเอง
จังหวะตัดเองปั๊บเนี่ย
เวลาลูกจะไป
ครอบครัวจะไปไหนก็ก็บอกไปไหนก็ไป
ไม่ได้กังวลแล้วทีนี้ไปไหนก็ไปเลย
เราอยู่กับความวิเวกได้หายห่วงมาเนี่ย",00:09:32,00:13:38
การสวดมนต์ช่วยไหมคะ,"ฝึกปฏิบัติอย่างนี้การสวดมนต์มันช่วยในระดับแค่สงบระงับมันไม่ได้ช่วยในการด้านปัญญา
พระจารย์กำลังสอนให้เราเข้าถึงปัญญา
การเข้าถึงปัญญานี้คือการเข้าไปรู้ความเป็นจริงรู้ธรรมชาติแห่งความเป็นจริงของอารมณ์ที่มันเกาะเกี่ยวผูกติดเกิดดับเกิดดับเกิดดับอย่างนี้
ใช้หลัก
การเข้าไปรู้ธรรมชาติที่มันเกิดกับใจเราอย่างนี้อยู่ตลอดเวลานั่นแหละคือลักษณะของการ
เข้าไปตัด
ห่วงโซ่ของวงจร
อวิชชาอาสวะอนุสัยกิเลสอยู่ในนั้น
มันจะต้องขุดเรื่องพวกนี้ขึ้นมามันก็เท่าใดอาการห่วงกังวลวิตก
หรือ
กลัวว่าเขาจะได้รับทุกข์รับโทษรับอะไรหรือเปล่าในขณะที่เขาไปเที่ยว
ใช่ไหมอันนั้นเป็นเรื่องปกติธรรมดามันเป็นธรรมชาติเพราะจิตหัวใจของคนเป็นแม่เป็นอย่างนี้แหละ
พูดไปเที่ยวก็ไม่ได้ห่วงก็ห่วงเที่ยวก็ห่วงว่าเขาจะได้เที่ยวดีหรือไม่ดีนะ
ไม่ได้หวงแม่หรอก
แม่ก็เป็นห่วงเขาอย่างนั้น
ไม่ต้องกังวลถ้าจะเอาอีกรูปแบบหนึ่งคือการพิจารณาถึงกรรมทุกคนมีกรรมเป็นของของตน
มีกรรมเป็นผู้ให้ผลมีกรรมเป็นแดนเกิดมีกรรมเป็นผู้ติดตามมีกรรมเป็นที่พึ่งอาศัย
เขามีกรรมดีของเขากรรมดีจะรักษาเขาไว้เองถ้าเขามีกรรมไม่ดีของเขาแม้เราอยากจะไปเปลี่ยนแปลงเขาก็เปลี่ยนแปลงกรรมที่เขาจะได้รับไม่ได้
ปัญหาจะให้เขาพ้นไปยังไงจากวิถีของกรรมนะครับ
กันคนไม่ได้กรรมจะรักษาเขาไว้เอง
กรรมจะปกป้องเข้าไปเองเราก็มีคำของเรา
ถ้าเราไปเปลี่ยนแปลงกรรมของเขา
ใช้ความอยากใช้ความกลัวใช้ความวิตกกังวลอันนี้มันก็คือเราไปรับวิบากไปรับกรรมของเขา
มันก็ไม่ถูกต้อง
ต้องเข้าใจนะ
กลับมารู้อารมณ์นี่คือการทำลายอาสวะที่รากเหง้าเลยนะทำลายกิเลสที่รากเหง้า
ลำพังการสวดมนต์แม้กระทั่งระลึกถึงว่าไตก็ยังไม่ใช่การตัดรัตนตรัย
ก็ยังแค่เป็นตัวตั้งสติเป็นการฝึกในการสร้างสติระลึกถึงพระพุทธเจ้าพระนามประสงค์เขาเรียกว่าเป็นสติในพื้นฐาน
นั่นเอง",00:13:43,00:16:15
"ในกรณีอย่างของคุณน้อยเนี่ยจิตของแม่ที่ห่วงไปถึงลูกนี้ถ้าเปลี่ยนเป็นส่งความปรารถนาดีแผ่เมตตาไปเนี่ย
ได้เหมือนกันใช่ไหมคะก็จะรู้สึกไหมคะลูกหลานน่ะค่ะเขาจะรับ
กระแสนี้ได้ไหมคะ","เขารับไม่ได้หรอกแต่ว่าพลังทางใจของแม่
ยังติดตาม
ปกปักรักษาคุ้มครองอยู่แต่ขนาดนี้แล้วก็ยังไม่อยากให้ทำอย่างนี้
รุ่นนี้แล้วก็ต้อง
เอากลับมาหาใจตัวเองนี่แหละผิดเพราะผิดได้นะมันเป็นกุศลธรรมแต่ว่าเป็นกุศลที่เกลือไปด้วยอวิชชา
จัดเวลา
วันฉะนั้น
กลับมาแก้ไขจิตใจตัวเองเนี่ยสำคัญที่สุด
เพราะว่าอะไรเพราะการทำอย่างนั้นก็คือยังเป็นสักกายะอยู่
สักกายะคือ
ความเห็นผิดในใจ
ที่ก่อให้เกิดทุกข์
ในเวลา
มองเลยมองมองโทษของพวกนี้ให้เยอะเยอะเพราะอะไรเพราะทำลายสักยะได้แล้วเนี่ย
มันทำลายแม้กระทั่งความเป็นแม่เป็นลูกกันด้วยนะ
ทำลายขนาดนั้นเลยนะแต่ไม่ได้ทิ้งความเป็นแม่เป็นลูกเราก็ไม่หลับ
แต่มันจะทำลายทำลายแรงยึดทำลายแรงเกาะเพราะมันไม่มีความสำคัญมั่นหมายว่าเป็นต้น
ในไกลสังกัด
เมื่อไม่มีความสำคัญนั่นหมายความเป็นตนมันก็ต้องรู้ไปถึงลูกก็ไม่ใช่ลูก
เพราะสิ่งที่มีอยู่จริงอะไรเอา
ลูกมีอยู่จริงไหม
เรามีอยู่จริงไม่เอา
ผู้หญิงผู้ชายไม่มีอยู่จริงแต่สิ่งที่มีอยู่จริงคือดินน้ำไปลง
อันนั้นคือสสกะดินน้ำไฟลมไม่มีคำว่าพ่อแม่ลูกนะครับ
ในวัฏจักรแห่งการเดินว่าไฟเกิดเนี่ยบินไม่รู้จักน้ำน้ำไม่รู้จักไฟไฟไม่รู้จักลม
ไม่รู้จักกันสักอย่าง
แต่เมื่อมันมีการเกาะเกี่ยวเวียนเวียนว่ายตายเกิดในวัฏจักรมันก็เริ่มรู้จักกัน
แล้วเราว่าเกิดภาวะคำว่าสัมภาวะสภาวะคือการ
อะไรเกี่ยวข้องกัน
สัมภาวะไมตรีคือคือการเกี่ยวข้องกัน
พอมันมีการรู้จักกันแต่เป็นดินก็ยังไม่รู้จักกันอยู่ดีนั่นแหละดินน้ำไฟลมแต่ทั้งที่มีผู้รู้จักก็เพราะว่าดินน้ำไปลงประกอบกันแล้วก็มีจิตเข้ามาเกี่ยวข้อง
พอมีจิตเข้ามาเกี่ยวข้องเนี่ยระบบของกายกับจิตเนี่ยที่ท่องเที่ยวในวตะพอมันเห็นกันบ่อยมากเข้าสัมผัสกันเกี่ยวข้องกันกลัวพันธุ์กันมากเข้า
ก็เกิดสันนิวาสเนี่ยภาวะการอยู่ร่วมกันใช้เวลา
เกิดภาวะสันนิวาสคือการสันนิวาสคือการอยู่อยู่ร่วมกันอยู่ด้วยกัน
อยู่ด้วยกันด้วยความเป็นครอบครัว
แต่ก่อนที่มีคำว่าครอบครัว
เอามนุษย์โอปติกะเริ่มแรกที่มีครอบครัว
ของใครก็โดนโดนเดี่ยวเดียวเลย
ระบบทาสระบบขันไม่เคยรู้จักกัน
ไม่มีการรู้จักกันและไม่มีการเป็นญาติมิตรกันมีที่มีพ่อไม่มีแม่ก็เป็นอุปาติกในมนุษย์เริ่มแรก
อุปปาติกะไม่อาศัยมารดาอาศัยบิดาไม่มีพี่ไม่มีน้อง
ไม่มีพระสงฆ์โพเจ้า
ศาสนาไม่ดีไม่มีนรกไม่มีสวรรค์
อุปาติกมนุษย์เริ่มแรกมีมนุษย์ขึ้นมาแบบต้นกับเนี่ยมนุษย์อุปติกะคือ
ก็เรียกว่ามาตามเหตุปัจจัยในการก่อตัวขึ้นจากระบบสังขตะ
เพราะสังขตะก่อตัวให้มีรูปกับนามเกาะเกี่ยวกันดำรงตนอยู่บนโลกนี้
วัฏจักรเริ่มแล้วที่นี่ทั้งสารวัตรเริ่มเริ่มไปจาก
การดำเนินชีวิต
และเวลา
พอเริ่มมีการสันนิบาตอยู่ด้วยกันมันก็
เกิดความคุ้นเคยเห็นไหมวิสาสะวิสาสะวิสาขาแววว่าความคุ้นเคย
เพราะฉะนั้นที่สาขาปรมายาตรีหรือความคุ้นเคยเป็นญาติต่อให้เกิดญาติที่นี่
พอมีญาติปุ๊บมีญาติมีมิตรมีบริวารมีเพื่อนฝูงมี
พอมีขึ้นมาก็ยึดเกาะสิ่งที่มีทั้งหมดพอสำคัญมากหน่อยเป็นตนขึ้นมาแล้วก็ยึดเกาะจริงทั้งหมดว่าของเราจัดเรา
ลูกเรา
สกายินสิค์ก็ค่อยค่อยก่อตัวขึ้นมากเข้ามาเข้ามากเข้าแล้ววนเวียนอย่างนี้ชาติเดียวไหมล่ะ
ไม่
ถ้าเจอกันชาติหนึ่ง
แล้วตายจากกันไปชาติหนึ่งแล้วไม่มีการก่อตัวอีก
ความเกาะเกี่ยวก็คงจะไม่มี
นี่มีอะไรมากก็แทกออกเกี่ยวในขณะที่เป็นอยู่แต่พอเริ่มจากกันแล้วก็แล้วไปใช่ไหมล่ะ
แต่มันไม่ใช่ชาติเดียว
มันก็เลยความรู้จักกันจึงก่อให้เกิดกรรมสัมภาวะกว่าสัมภาวะและกรรมสมกรรมสมปบคือการดึงเข้ามา
อยู่ร่วมกันในฐานะของความเป็นครอบครัวพ่อแม่พี่น้อง
ทันทีเลยทีนี้กรรมสมอบรมสมอกรมสัมภาษณ์
มันมาด้วยแรงยึดไงแรงเกาะเกี่ยวในเรื่องของกรรมแรงยึดแรงเกาะเกี่ยวทั้งหลายเหล่านี้แหละก็พบต่อชาตินี้อีกนะ
นั่นหมายถึงว่าขณะใดก็ตามที่จิตเรากังวลห่วงใยวิตก
เขาจะปลอดภัยเขาไม่ปลอดภัย
วางใจเป็นเรื่องของกรรมซะ
พอกลับทำกรรมดีมากรรมดีจะคุ้มครองเขาเองเขาทำกรรมไม่ดีมาเราก็ไปเปลี่ยนแปลงกรรมไม่ได้ไม่มีใครเปลี่ยนแปลงกรรมได้
รักษาใจเราให้อยู่ในกรรมที่ดี
ระลึกถึงพระทัยรู้อารมณ์เกิดดับทางใจมันจะเกิดการขาดช่วงอย่างที่
ยงก้อยว่าเนี่ยคือเห็นเกิดดำบ่อยบ่อยมันจะเกิดการขาดช่วง
ขอตัวสันตติระยะห่าง
พอมันตรงนั้นน่ะมันเจอความบ้างแล้วบาง
กังวลและห่วงใยและ
จะเกิดปัญญา",00:16:16,00:22:27
"มันมีเหตุการณ์ที่เรียกว่าไม่น่าเลยเราจะ
วางใจและแก้ไขยังไง
ยกตัวอย่างนะคะ เช่น เรามีเพื่อนสนิท
เขาวนเวียนอยากจะมาคุยอะไรกับเราแต่ตอนนั้นเราก็จะยุ่งอยู่
เราก็ไม่ได้ให้ความสำคัญกับเขา
จนกระทั่งอีกสองวันมันรู้ว่าเขาเสียชีวิตไปแล้ว
เราก็จะไม่น่าเลยไอ้คำว่าไม่น่าเลยแบบนี้ในหลายหลายกรณีที่
หรือหลายเหตุการณ์แบบนี้เราควรจะทำยังไง",เราพูดได้ ไม่น่าเลยนะ เราพูดได้แต่ความรู้สึกข้างในไม่น่าเลยคือมองความผิดตัวเอง,00:22:35,00:23:32
