question,answer,start_time,end_time
*วิดีโอเปิด คำสอนพระอาจารย์ต้น*,"มนุษย์ทั้งหลายไม่ค่อยจะเข้าใจความเป็นธรรมดาที่พระองค์ตรัสสอนแล้วชี้ให้เราได้เห็น ที่มันประจําอยู่ในจิตในใจหรือในตัวในตนในธาตุในขันธ์นี่แหละเพราะฉะนั้นมันเป็นสัจจะ เมื่อไม่เข้าใจก็ปฏิบัติต่อมันไม่ถูกเมื่อปฏิบัติต่อมันไม่ถูกก็เลยเก็บเอาความวุ่นวายมาเป็นปัญหาต่อ หลักการของพุทธศาสนาคือให้ไปเห็นว่าไอความวุ่นวายมันเกิดแล้วมันดับไปตามกฎสัจธรรม หน้าที่ของเราคือเข้าใจการเกิดขึ้นของมัน เข้าใจการตั้งอยู่หรือปรุงแต่งจิตเราอยู่ให้เป็นความวุ่น แรกๆจิตอาจจะยังไม่สามารถอดทนต่ออาการวุ่นวายที่มาปรุงแต่งจิตได้ แต่เมื่อเรายอมเพื่อที่จะเรียนรู้มันต่อไปเราจะมีสติปัญญาขึ้นมารับรู้ในความวุ่นวายนั้น เมื่อสติปัญญามันได้เกิดขึ้นแล้วความวุ่นวายที่ผ่านเข้ามาในจิตจะไม่ทําให้เรามีความทุกข์กับความวุ่นวายที่กําลังเป็นอยู่ จิตเราก็จะอยู่เหนือความวุ่นวายนี้ได้
",00.00.16,00.01.10
*ครูเงาะเช็คเสียง เช็คไลฟ์ กราบพระอาจารย์ต้น*,"สวัสดีทุกคนนะคะ เอ่อรบกวนเช็กเสียงทีค่ะภาพชัดไหมแล้วก็เสียงได้ยินชัดหรือเปล่าถ้าชัดแล้วรบกวน
พิมพ์คําว่าชัดมาให้ด้วยนะคะทั้งภาพและเสียงถ้าอะไรไม่ชัดบอกให้ทีนะคะจะได้แก้ไขกัน ตอนนี้ร้อยหกสิบแปดคนแล้วสาธุกับทุกท่านที่เข้ามานะคะตอนนี้ครูเงาะอยู่ที่ดอยธรรมนาวานะคะอ่ากับพระอาจารย์ต้นนะคะที่จะมาให้ปัญญากับพวกเรานะคะใครเข้ามาแล้วตอนนี้สองร้อยกว่าท่านแล้วนะคะเสียงชัดไหมเอ่ย อะชัดนะคะทุกคนบอกว่าชัดโอเคถ้าอย่างงั้น
เราใครอยากถามคําถามอะไรก็ทิ้งคําถามไว้ในนี้ได้เลยนะคะอ่าครูจะพยายามแคปแล้วก็อ่านถามให้ให้ทันนะคะตอนนี้พวกเรากราบนมัสการพระอาจารย์พร้อมกันนะ
",00.01.23,00.02.41
อยากเรียนสอบถามว่าการเดินจงกรม จะต้องเดินวนไปเวียนมาเท่านั้นหรือเปล่าคะ เราสามารถเดินไปเรื่อยๆได้ไหมคะ,เดินไปเรื่อยๆก็ได้ การเดินจงกรมไม่ได้มีข้อกําหนดว่าจะต้องเดินกลับไปกลับมาเท่านั้นหรือเดินวนเวียนไปมา จะเดินแบบไหนก็ได้ที่เราสามารถกระทํากิจการภาวนาหรือพิจารณาทําอย่างใดอย่างหนึ่งไว้ในใจ แล้วการเดินนั้นก็ส่งเสริมและอํานวยต่อการพิจารณานั้นได้อย่างติดต่อเนื่องเป็นสําคัญและเกิดความรู้ในขณะที่เดินจงกรมนั้นได้ไม่เป็นปัญหาอะไรทั้งสิ้น,00.02.42,00.03.34
อาจารย์เคยบอกว่าการเดินจงกรมนี่พระพุทธเจ้าให้คุณไว้ว่าอย่างไรบ้างขอโอกาสอีกทีเจ้าค่ะ,อานิสงส์การเดินจงกรมมีอยู่ห้าประการ ข้อที่หนึ่งก็คืออ่าสามารถอดทนต่อการเดินทางไกลได้ ข้อที่สองก็คืออ่าสามารถย่อยอาหารได้ดีหรือว่าไฟทาสมีไฟทาสที่แข็งแรงนะย่อยอาหารได้ดี อันที่สามจิตเป็นสมาธิเร็ว อันที่สี่จิตที่เป็นสมาธินั้นย่อมไม่เสื่อมง่าย อันที่ห้าอันที่ห้าอันนี้ทนต่อการเดินทางไกลหรือเปล่าอันแรกไปแล้วใช่ไหม เนี่ยอะใครจําได้บ้าง searchค่ะ ก็จําไม่ได้เหมือนกันค่ะ จําได้ที่แค่ว่าอานิสงส์ห้าประการเนี่ยแหละ ที่พระองค์ตรัสไว้นี่แหละประมาณนี้แหละ,00.03.35,00.04.26
เราจะต่อสู้กับกามอารมณ์ที่มันหนักอย่างไรดีคะ,"ถ้าเรากําลังปฏิบัติอยู่นะการจะเกิดขึ้นก็ให้มันเกิดขึ้นยังไม่ใช่หน้าที่ที่เราจะต้องไปแก้ไขหรือละมันเพราะนั่นไม่ใช่วิสัยโดยปกติที่เราจะไปทําได้ เพราะว่ากิจของการละกามราคะเป็นเรื่องของพระอนาคามีหรือพระสกาดอนาคามี ที่ท่านจะต้องทําความเพียรละ ซึ่งหมายถึงว่าท่านจะต้องผ่านขั้นตอนการเอ่อเข้าสู่อริยมรรคเบื้องต้นก่อนแล้วถ้าเรายังเป็นปุถุชนอยู่ เราก็ต้องมากําหนดรอบรู้ขันธ์ห้าไว้หรือตั้งจิตไว้กับพระรัตนตรัยและก็เจริญกรรมฐานช่องธาตุพิจารณาร่างกายอย่างนี้ไปเรื่อยเรื่อย ส่วนกามราคะมันจะเกิดขึ้นอย่างไรก็ตามอย่าเพิ่งเข้าไปแก้ไขและกําจัด เพราะกําลังการแก้ไขในจิตเราเนี่ยไม่มีกําลังเพียงพอที่จะแก้ไขมันได้ ฉะนั้นในวิสัยของเราทําในสิ่งที่เราทําได้ไปก่อนนะถ้าเราไปแก้ไขกามเนี่ยซึ่งยังไม่ใช่วิสัยที่เราจะแก้เนี่ยกามมันจะมันจะครอบงำใจเรามากและเราก็จะเป็นทุกข์มากนะ เจริญกุศลไว้มากมากเดี๋ยวมันก็ค่อยๆกันเรื่องตกามไม่ให้มันถลําลึกหรือมันก็แค่เป็นสิ่งที่เกิดแล้วก็ดับไปเท่านั้นเอง
ถึงแม้จะยังละมันไม่ได้ก็ตามแต่ก็ยังรู้ว่ามันเกิดแล้วมันดับไปได้อย่างไร
",00.04.28,00.05.52
การกําหนดใหม่ลักษณะแห่งการดับไว้ในความทรงจํานี่คือหมายถึงต้องทําอย่างอะคะ,เวลาความโกรธมันดับมันดับลงไปที่ไหน เพราะที่ที่มันดับไปมันบ่งบอกที่ที่มันเกิด ถ้าเราเห็นการดับและกําหนดหมายได้ว่ามันดับลงไปที่ไหนเราจะรู้เท่าทันต่อการเกิดเมื่อเรารู้รู้เท่าทันต่อการเกิดนะเราจะรู้เท่าทันต่อการดับในคราวครั้งต่อไปอีกได้เรื่อยเรื่อย และเมื่อเรารู้เท่าทันต่อการเกิดการดับในแต่ละครั้งแต่ละคราวได้อย่างเท่าทันจิตก็จะรู้การเกิดการดับได้อย่างติดต่อเนื่องแล้วมันจะเกิดผลในเรื่องของการตัดกระแสหรือรากเหง้าของการก่อตัวขึ้นของความโกรธได้ ,00.06.14,00.07.35
เวลาสังเกตอะค่ะ เวลาความโกรธของตัวเองมันหายอะค่ะพระอาจารย์ มันก็หายไปแล้วก็หายไปที่ไหน ไม่รู้มันหายไปที่ไหน,นี่ไงเขาไม่รู้ก็ยังต้องครอบงําใจเราอยู่ใช่ไหม มันต้องรู้เพราะกิจของนิโรจน์ก็ต้องรู้แล้วทําให้แจ้งในนิโรธคือการดับ ไม่งั้นถ้าเรานิโรจน์มันมีอยู่แต่เราไม่ทํากิจคือทําให้แจ้งขึ้นมาเนี่ย เราก็จะไม่รู้ว่ามันดับไปที่ไหนใช่ไหม มันต้องให้แจ้ง เพราะว่าอวิชชาเนี่ยมันจะตั้งอยู่ที่การไม่รู้ทุกข์ไม่รู้เหตุของทุกข์ ไม่รู้ความดับคือไม่รู้นิโรจน์ว่ามันดับไปยังไง มันดับไปที่ไหน อันเนี้ยถึงเราถึงจะรู้ได้ว่าดับแล้วเหลือมันไม่เหลือยังไงถ้าเราไม่รู้ว่ามันดับไปที่ไหนเนี่ยอภิชาก็ยังกั้นได้ทําให้เราไม่รู้ครบรอบอริยสัจถ้าเรารู้สัจจะไม่ครบส่วนอริยมรรคก็ไม่เกิด แล้วก็รู้ได้ว่า อ๋อ!วิธีการรู้การเกิดดับอย่างนี้คือมรรค พอรู้อย่างนี้แล้วก็รู้ว่ามักต้องเจริญขึ้นก็ต้องรู้เห็นการเกิดดับอย่างนี้ได้ทุกทุกคราว ฉะนั้นลําพังแค่รู้จักทุกข์ยังไม่พอต้องรู้เหตุแล้วก็รู้ความดับคือนิโรจน์แล้วก็รู้มรรคต่อไปด้วยมั นถึงจะเกิดเป็นปริวัตรและเวียนรอบในการเจริญขึ้นในจิต,00.07.42,00.08.58
พอเราเห็นเกิดเราก็เฝ้าดูการอยู่ของมันเลยใช่ไหมคะ จนเห็นมันดับเราถึงจะรู้ว่ามันดับลงไปที่ไหน,ใช่ตามลงไปดูเลยดับไปที่ไหน ตั้งคําถามที่จะรู้เลยว่าไอ้ดับเมื่อกี้เนี่ยความโกรธอารมณ์ทั้งหลายทั้งปวงที่มันดับมันดับลงไปที่ไหนตามลงไปในที่ที่มันไปน่ะมันดับน่ะมันต้องเห็นสิ มันเป็นเรื่องที่อยู่ในใจเราตอนเกิดมันยังรู้เลยถ้าตอนดับทําไมมันจะไม่รู้ว่ามันไปที่ไหน ใช่ไหมแล้วเราจะเห็นเห็นธรรมชาติอันหนึ่งปรากฏหลังจากนั้นแล้วเราจะเกิดความรู้และความเข้าใจเพิ่มมากขึ้น ,00.08.59,00.09.34
เห็นตอนเกิดนี่มันจะเหมือนง่ายกว่าไหมคะ ,"ส่วนมากเห็นตอนเกิดแล้ว ถ้าเราเห็นตอนดับปุ๊บเราจะเห็นตอนเกิดจริงจริง ตอนเกิดจริงจริงคือ
ตอนที่มันกําลังก่อตัวเกิดขึ้นหรือผัสสะกระทบแล้วเกิดจะรู้ที่นั่นทันที
",00.09.36,00.09.52
การที่อยากประสบความสําเร็จทางโลก อยากมีบ้านมีรถเพื่ออํานวยความสะดวก อยากมีเงินเพื่อใช้จ่ายส่วนตัว ช่วยเหลือคนอื่นแบบนี้ถือว่าโลภไหมคะ,"เป็นความโลภในด้านกุศลธรรมนะ ความโลภในด้านกุศลธรรมพระพุทธองค์ไม่กล่าวถึงโทษของความโลภแต่จะกล่าวว่าหากเรายังติดอยู่ในภาวะความโลภอย่างงี้จะทําให้เราหลุดพ้นไม่ได้นะความทุกข์ก็ยังจะต้องมีและเกิดขึ้นกับเรา ฉะนั้นวิธีการก็คือให้เข้าใจแต่ความโลภที่มันเกิดขึ้นกับใจเราแล้วก็ใช้ความโลภนี้ให้เกิดประโยชน์แล้วก็หาโอกาสเจริญสติปัญญาพิจารณาเพื่อไม่ให้เกิดการผูกติดหรือยึดติด แล้วเราก็สามารถพ้นออกจากกองทุกข์ได้ทั้งทั้งที่ความโลภนี้ก็ยังอยู่กับเรา เราก็ยังสามารถที่จะปฏิบัติเจริญภาวนาออกจากวัฏฏะ 
",00.10.04,00.11.48
