question,answer,start_time,end_time
พระอาจารย์ ทำบุญด้วยจิตอุเบกขา กับทำบุญด้วยจิตปีติ จิตไหนได้บุญมากกว่ากัน,มันแบ่งอย่างงี้นะ จิตที่ประกอบไปด้วยปีติเนี่ย จะได้รับบุญมากกว่า แต่จะได้รับปัญญาจากอุเบกขาน้อยกว่า การที่จิตของเราเนี่ย เกิดผลบุญตามกระแสของปีติคือความเอิบอิ่ม ยิ่งมีปีติคือความเอิบอิ่มในจิต ก็ยิ่งเพิ่มพูนในบุญ คือเพิ่มพูนบุญกุศล ตามกระแสหรือตามกำลังของปีติ เพราะความยินดีเนี่ย มันก่อให้เกิดน้ำหนักของบุญที่เพิ่มมากขึ้น ตามกระแสของความยินดี จึงมีคำบัญญัติในหลักการของการทำบุญไว้ว่า ก่อนให้ก็ยินดี ขณะให้ก็ยินดี แล้วก็ หลังจากให้เสร็จแล้วก็ตั้งจิตยินดี อันนี้คือการทำให้บุญทรงอยู่กับเราทั้ง 3 กาล ก่อนให้ ขณะให้ แล้วก็หลังให้ บุญที่ทรงอยู่ก็จะ สะสมเพิ่มพูนอยู่ในจิตอยู่ตลอดเวลา ส่วนการทำบุญด้วยจิตอุเบกขาเนี่ย มันจะได้ปัญญา ปัญญาคือรู้จักบุญที่ปรุงแต่งจิต ว่าบุญก็เป็นสังขาร ปรุงแต่งจิตให้เราเกิดกุศลจิต กุศลทาน กุศลศีล กุศลสมาธิ กุศลปัญญา อุเบกขาเนี่ยมันจะเป็นเครื่องพิจารณาทางปัญญา ที่ทำการวาง คือไม่ยึดถือบุญนั่นเอง ทำบุญอยู่ แต่ไม่ยึดถือบุญ คำว่าไม่ยึดถือบุญไม่ใช่ว่าไม่ทำ ทำอยู่ ก็ยินดีในการที่จะทำ แต่ว่า มันมีอุเบกขาอยู่ในจิต เป็นการทำบุญเพื่อประดับจิต การทำบุญเพื่อประดับจิตอันเนี้ย เป็นการทำบุญที่ น่าพุทธเจ้าน่าจะสรรเสริญ ที่นางวิสาขา พระพุทธองค์ตรัสว่า การทำบุญบุคคลปรารภการทำบุญด้วยเหตุ 10 ประการ คือการให้ทานเนี่ย 10 ประการ พระนางวิสาขาก็ฟังสิ่งที่พระองค์สาธยายตั้งแต่ การให้ทานเพราะ ปรารถนาในบุญ การให้ทานเพราะ เห็นว่าบุคคลผู้รับทานไม่มีของบริโภค การให้ทานเพราะ ภิกษุสงฆ์ไม่สามารถทำการงานได้ การให้ทานเพราะทำตามๆ กันมา การให้ทานเพราะอยากจะให้ การให้ทานเพราะ คือความประสงค์หลายอย่างในทาน ก็จนมาถึง ข้อที่ 10 ก็คือการให้ทานแบบเป็นเครื่องประดับจิต นางวิสาขาก็บอกว่า ข้าพระองค์ให้ทานเพื่อเป็นเครื่องประดับจิต ก็คือประกอบด้วยอุเบกขาก็คือ เป็นเครื่องประดับภายในตัวจิตเอง เนื่องจากว่าเขาจะดูว่า ใคร ดูคุณธรรมของแต่ละจิตแต่ละดวงเนี่ยว่า ใครมีปัญญาไม่มีปัญญาเนี่ย เขาดูตรงที่ การให้ทานนี่ เขาดูที่เครื่องประดับ นางวิสาขาเนี่ยเป็นผู้ให้ทานเพื่อเป็นเครื่องประดับจิตอย่างเงี้ย นี่คือสิ่งที่ พระพุทธองค์มีมาในหลักคำสอนที่พระพุทธองค์ได้พูดถึงเกี่ยวกับ การให้ทาน ที่ประกอบไปด้วยองค์ประกอบภายในจิต แต่ละคุณสมบัติของจิตแต่ละอย่างก็ไม่เท่ากัน ขึ้นอยู่กับว่า ใครปรารบการให้ทานเพื่อสิ่งใด ความต่างก็คือ จิตที่มีอุเบกขาเนี่ยจะประกอบไปด้วยปัญญา แต่ถ้าจิตที่มีปีติเนี่ยจะเกิดบุญมากกว่า ปัญญากับบุญก็ต้องมาพิจารณาว่า เราต้องการอันไหน ถ้าบุญก็คือการอำนวยผลเป็นไปในวัฏที่ดี ก็จะส่งผลยืดยาวนานเหมือนกัน แต่ถ้าอุปัญญาเนี่ยก็นำเราไปสู่การหลุดพ้น ก็คือเห็นการปรุงแต่งของบุญที่ปรุงแต่งจิตเราอยู่ ว่าบุญที่ปรุงแต่งจิตก็เป็นกุศลสังขาร กุศลสังขารก็เป็นสังขารหนึ่งๆ สังขารทั้งหลายทั้งปวงไม่เที่ยง สังขารทั้งหลายทั้งปวงเป็นทุกข์ สังขารทั้งหลายทั้งปวง ไม่มีตัวตนที่เที่ยงแท้ยั่งยืน เสื่อมสิ้นได้ คือเสวยผลบุญเหล่าใดที่ทำมา บุญที่ถูกเสวยผลนั้นก็เสื่อมสิ้นได้ ประมาณเนี้ย คือต้องเข้าใจอย่างงี้ คือทางด้านปัญญา ถ้าเกิดอุเบกขาแล้ว วางการปรุงแต่งได้ จิตก็จะสามารถหลุดพ้นได้,00.01.28,00.06.11
การทุกอารมณ์กับโยนิโส คืออันเดียวกันไหมเจ้าคะ รักษาสุขภาพด้วยเจ้าค่ะ,ก็พยายามรักษาอยู่ อนุโมทนา โยนิโสคือการ ทำไว้ในใจด้วยอุบายอันหยาบคาย คือมีอุบายสอนจิต คือเราจะหาข้อธรรมที่เหมาะกับใจเราแล้วนำคำคำนั้นมาใส่ไว้ในใจ จริงๆ โยนิโสเนี่ยมันมีคำว่ามนสิการ คือกระทำไว้ในใจก็คือ อาอุบายธรรมใดธรรมหนึ่งที่มันตรงกับเรา เช่น ถ้าโกรธก็มีเมตตา มาเป็นอุบายสอนใจ ใส่ใจ ถ้าหลงก็พิจารณาธาตุ พิจารณกาย เพื่อให้ถอดถอนความยึดมั่นถือมั่นที่จะหลงกาย ว่ากายเป็นตนตนเป็นกาย ก็คือแล้วแต่ว่าเราจะเลือกเอา ธรรมข้อไหนมากระทำไว้ในใจโดยอุบายอันแยบคายที่จะ ควบคุมใจตัวเองเพราะ กิเลสมันเกิดขึ้นที่ใจ ใจเราเองเราก็รู้ใจเรา เราก็ต้องแก้ไขใจเรา ก็ขึ้นอยู่กับว่า หลักธรรมที่พระพุทธองค์ตรัสไว้อันไหนมันเหมาะที่จะมาสู่การแก้ไขจิตใจเรา ราก็แก้ไขสิ่งนั้น แต่พระอาจารย์ตอบไม่ได้ว่าการทุกอารมณ์เนี่ยมันคืออะไร,00.06.41,00.08.26
ลูกกำลังจะไปถือศีล ขอธรรม ขอแนวทางพระอาจารย์ในการปฏิบัติ,อ่อ เป็นอย่างงี้ การถือศีลนี่ เราต้องเข้าใจนะว่า ศีลคือ สิกขาบทที่ พระพุทธองค์ให้เราตั้งเจตนาเพื่องดเว้น ตัวศีลอยู่ที่ตัวเจตน เมื่อตัวศีลอยู่ที่ตัวเจตนา ก็กลับมาดูที่เจตนาเรา ก็คือการรักษาศีลก็คือรักษาที่เจตนา ฉะนั้น การถือศีลที่เราได้เจตนางดเว้นในข้อใดๆ ก็ตาม พึงรักษาเจตนาเพื่อไม่ให้เราาละเมิดในสิกขาบทนั้นๆ ให้ดี ไม่ให้ขาด ไม่ให้ทำลาย ตลอดวันคืนที่สมาทานงดเว้นรักษาอยู่ อันนี้ก็คือ การรักษาศีลที่ถูกต้อง เพราะ จริงๆ เนี่ย ศีลเนี่ยถ้าเรารักษาด้วยแรงแห่งเจตนาที่เรา ไม่ให้เจตนาเราถูกทำลายลง คือไม่ละเมิดเจตนาของตัวเอง ตามสิกขาบทที่เราได้สมาทานไว้เนี่ย มันจะเกิดกำลังในภายใน มันจะเป็นกำลังของการงดเว้นเนี่ย กำลังของการงดเว้นเนี่ยมันจะสะสมไปเพื่อก่อให้เกิดความตั้งมั่นของใจ ความตั้งมั่นของใจนี่แหละ คือตั้งมั่นในการที่จะงดเว้นสิ่งที่มันเป็นโทษ สิ่งที่เป็นความผิด ไม่ให้กายวาจาใจเราคุ้นเคยไปเพื่อที่จะให้คล้อยตามโทษทีเข้ามาสู่วิถีแห่งชีวิตที่เราเกี่ยวข้อง จริงๆ แล้วการรักษาศีลเนี่ยมันมีประโยชน์มากต่อชีวิตประจำวัน เพราะว่าชีวิตประจำวันของเราถ้าไม่มีศีลเป็นตัวกำหนดขอบเขตในการใช้ชีวิต เราก็แยกแยะไม่ออกในเส้นแบ่งระหว่างความถูกความผิดในสิ่งที่เราพูดเราคิดและเราทำ สิ่งที่เราคิดทุกความคิดจะนำไปสู่การพูดและนำไปสู่การกระทำ นั้นหมายถึงว่า เจตนา คือความตั้งใจที่เราตั้งใจงดเว้นเนี่ย มันจะเป็นเส้นทางหรือว่าต้นตอของการหยุดการที่เราจะใช้กายวาจาใจไปโทษ เราต้อง เนี่ยกลับมาดูที่เจตนาของเราเนี่ย และรักษาเจตนาของเรา คือ ความคิด ความจงใจ ความดำริใดๆ ก็ตาม อย่าให้มันไปแตะในส่วนที่เป็นโทษ เราจะมีเส้นแบ่งอยู่ในเนี้ยว่าถ้ามัน ความคิดเรามันไปแตะ เส้นแบ่งของสิกขาบทที่เขากำหนดว่าเป็นโทษอย่างเงี้ย คิดที่จะฆ่าแต่ยังไม่ได้ฆ่า ในสัตว์ชนิดนั้นๆ แม้เราจะฆ่ามันได้ในสัตว์ชนิดนั้นๆ ตัวเล็กๆ เนี่ย แต่เราก็จะไม่ฆ่า คิดจะรักแต่เราไม่รักอย่างเงี้ย คือความคิดมันจะผุด ผุดขึ้นก่อน คิดจะโกหกก็ไม่โกหกอย่างเงี้ย คิดที่จะดื่มสุราแต่ก็ไม่ดื่มคือมันจะมี มีกำลัง คือความตั้งมั่นของใจอยู่ต้วเนี้ย ความตั้งมั่นของใจนี่แหละคือสมาธิ ฉะนั้นศีลจะนำมาสู่สมาธิอย่างเนี้ย ถ้าเราฝึกอยู่บ่อยๆ อยู่เรื่อยๆ เข้าใจอย่างงั้น ศีลไม่ใช่ข้อบังคับนะ และไม่ใช่ข้อ ระเบียบอะไรที่จะมาตีกรอบ บีบคั้นให้เราอยู่ในสภาพที่จะต้องเป็นอย่างงั้น แต่มันเป็นความฝึกฝน เป็นเรื่องราวของการฝึกฝนจิตใจทำให้จิตใจรู้จัก สิ่งที่เป็นโทษหรือสิ่งที่เป็นประโยชน์ ในชีวิตประจำวันของเรา,00.08.35,00.12.20
หากทุกข์เพราะหัวหน้าลำเอียงต้องทำใจอย่างไร,ให้เข้าใจว่า การที่หัวหน้าลำเอียงเนี่ย ก็เป็นกรรมอย่างหนึ่งของเรา การลำเอียงมันเป็นวิสัยของคนทั่วๆ ไป เราจะไปหาไหนในคนที่ปกติทั่วไปที่ไม่มีความลำเอียงเนี่ย เราหาได้ยากมาก แม้แต่โยมท่านหนึ่งเคยมาเล่าให้ฟังว่า มีลูกอยู่ 4 คนเนี่ย ขนาดว่าลูก 4 คน ยังลำเอียงเพื่อที่จะรักลูกเลย ทำไม ก็ลูกคนนี้ทำถูกใจ ลูกคนนี้ทำไม่ถูกใจ ลูกคนนี้ทำดีชอบ ลูกคนนี้ทำไม่ดีไม่ชอบ เนี้ย คือความลำเอียงมันก็มี เราก็ต้องมาดูว่า ความลำเอียงเนี่ย มันเป็นเรื่องปกติ แล้วเราต้องมีกรรมบางอย่างที่เกี่ยวข้องที่จะต้องให้ ต้องถูกลำเอียง ในเรื่องนี้ เราเองก็อาจจะมีความลำเอียงอยู่เหมือนกัน ในกรรมก่อนๆ ถ้าไม่ใช่ชาตินี้ก็ คงจะเป็นชาติที่ผ่านมา แต่วิธีการที่เราควรที่จะทำความเข้าใจก็คือว่า เรารู้พื้นฐานว่า ความลำเอียงมันเกิดจากความชอบใจความไม่ชอบใจ มันมีอยู่ 4 อย่างนะ 1 ลำเอียงเพราะรัก 2 ลำเอียงเพราะกลัว 3 ลำเอียงเพราะหลง 4 ลำเอียงเพราะโกรธ 4 ประการ อคติ 4 คือความลำเอียง 4 ประการ ลำเอียงเพราะรัก เพราะโกรธ เพราะกลัว แล้วก็เพราะหลง อย่างเงี้ย ความลำเอียงเหล่าเนี้ย ถ้าลำเอียงเพราะรัก ทำให้หัวน่ารัก หัวหน้าก็จะลำเอียงคนๆ นั้น ปทางที่จะชอบใจคนๆ นั้น ลำเอียงเพราะโกรธ ถ้าทำให้โกรธหัวหน้าก็ลำเอียงในการที่จะ ดูแลหรือว่า จัดการ ในทางที่ไม่พอใจกับ เราลำเอียงเพราะหลงก็คือ ความหลงของหัวหน้าที่ไม่รู้เหตุรู้ผลรู้ว่า ใครควรที่จะส่งเสริมใครควรที่จะจัดการดูแลอย่างไรแต่ละบุคคล ให้มันตรงกับสิ่งที่เขา คือตัวคนถามลูกน้องทำ ก็คือประเมินคนไม่ออก คือความหลง ไม่รู้เห็นลูกผล แยกแยะไม่ออกว่า ใครทำประโยชน์อะไร ได้ดีกว่าใค รอย่างเงี้ย คือเมื่อประเมินคนไม่ได้ ประมวลคนไม่ออก การปกครองการดูแลก็ต้องมีการลำเอียงไป แล้วลำเอียงเพราะ ความกลัวเหรอ ความกลัว ความหลงความกลัว ความกลัวอาจจะมีความกลัว กลัวลูกน้องไม่รักคนนั้นไม่รักคนนี้ ไม่ชอบใจคนนั้น อะไร ไม่อยู่ภายใต้การปกครอง ก็มีความลำเอียงได้เหมือนกัน ในความลำเอียง อคติ 4 ประการ มองว่าอาจจะเป็นกรรมอย่างหนึ่ง แต่ถ้าเรารู้เหตุอย่างเงี้ย เราก็พยายามทำให้ถูกเหตุ เหตุคือ ให้เป็นไปตามหลักแห่งความถูกต้อง,00.12.28,00.15.34
ผู้สูงอายุที่บ้านเป็นคนคิดมาก มีวิธีการอย่างไรให้จิตสงบครับพระอาจารย์อ่ะ,ขอแนะนำให้ ฝึกระลึกถึงบทพระรัตนตรัยย้ำๆ ซ้ำๆ อยู่ในใจเสมอ ด้วยบทที่ว่า พุทโธเมนาโถ พระพุทธเจ้าเป็นที่พึ่งอันประเสริฐของข้าพเจ้า ธัมโมเมนาโถ พระธรรมเป็นที่พึ่งอันประเสริฐของข้าพเจ้า สังโคเมนาโถ พระสงฆ์เป็นที่พึ่งอันประเสริฐของข้าพเจ้า ฝึก ระลึกถึงพระรัตนตรัยย้ำๆ ซ้ำๆ อย่างเงี้ย ติดต่อเนื่องกันในใจ ฝึกให้ท่านคิดอย่างเงี้ย ให้ท่านใช้บทเนี่ย เป็นเครื่องระลึกทางใจอยู่เสมอ ความคิดก็จะโน้มเอียงมาทางพระรัตนตรัย ความคิดที่โน้มเอียงมาทางพระราชเราก็สามารถทำให้จิตสงบได้, 00.15.40,00.16.31
บุญข้าวสากของชาวอีสาน แต่ก่อนโยมทำตามปู่ย่าตายายทำตามกันแบบผิดๆ ทุกวันนี้โยมปรับเปลี่ยนเป็นอุทิศบุญแทนได้ไหมคะ,โยมอุทัยต้องเข้าใจอย่างงี้นะว่า ในประเพณีอีสานจะมีบุญอยู่สองบุญที่อยู่ในช่วงเวลาเข้าพรรษาเนี่ย หลักๆ เลยก็คือ 1 บุญข้าวสาก 2 บุญข้างสากก็คือบุญ เอ๊ะ เดี๋ยวก่อนนะ ข้าวสาสกนี่คือข้าว ข้าวสลากภัตรไหม ข้าวประดับดินไหม บุญข้าวประดับดินหรือเปล่า บุญข้าวสากอันนี้ สากใช่ไหม บุญข้าวสากคือบุญเดือนสิบ เดือน 10 เพ็ญบุญข้าวสาก เดือน 9 ดับบุญข้าวประดับดิน เดือน 10 เพ็ญเป็นบุญข้าวสาก น่าจะใช้อย่างงั้น จริงๆ บุญ การทำบุญข้าวสากเนี่ย คือบุญการทำบุญเพื่ออุทิศส่วนกุศลให้กับบรรพบุรุษที่ละชีวิตไป ชาวอีสานแต่ก่อนทำยังไงก็ไม่ทราบเหมือนกันชาวอีสาน พระอาจารย์ก็อีสานเหมือนกันแต่ก็ บุญข้าวสากก็เห็นเขาทำบุญอุทิศส่วนกุศลกันตามธรรมดานี่แหละ จริงๆ มาจากคำว่าข้าวสลากภัตร ข้าวสาก ข้าวสลากภัตรคือการ ครั้งพุทธกาลมีภิกษุที่ ดำรงชีพด้วยความฝืดเคืองจากทุพภิกขภัย พระองค์จึงให้ภิกษุเนี่ยดำรงอยู่ได้ด้วยข้าวสลากภัตร คือจับสลาก ใครได้ของสิ่งใดอันควรค่าแก่การบริโภคใช้สอยใน มากหรือน้อยอย่างไร ตามสลากที่ตัวเองจับได้เนี่ย ก็บริโภคเท่านั้น อย่าพยายามเรียกร้องให้เกินไปกว่านั้น เพราะว่า ญาติโยมเขาก็ลำบาก ญาติโยมเขาก็ฝืดเคืองเหมือนกัน เพราะการที่เราเรียกร้องให้ได้มากเกินไปกว่านี้แล้วทำให้ เกิดความลำบาก สำหรับญาติโยมที่เขาดูแลอยู่ ก็เลยมีการทำบุญสลาก จับสลากกันขึ้นมา ซึ่งการทำบุญสลากนี้ก็คือเป็น สังฆภัตอย่างหนึ่ง คือภัตถวายแด่สงฆ์ เป็นสังฆทาน การทำบุญอุทิศส่วนกุศลก็ถูกต้องดีแล้ว อนุโมทนาด้วยที่มีความตั้งใจอย่างนี้ ใช่ไหม บุญข้าวสากของชาวอีสาน บุญชิงเปรตของชาวภาคใต้ แล้วก็บุญสลากภัตรของชาวเหนือ แล้วก็บุญข้าวสากของทางภาคกลาง อันนี้ก็คือ ความหมาย ข้าวสากอะไรอย่างเงี้ย ซึ่งจะ เขาจะตรงกันทุกภาคก็คือ วันเพ็ญเดือนสิบ วันเพ็ญเดือนสิบ แต่บุญบุญหนึ่ง ทางอีสานคือบุญข้าวประดับดิน คือวัน เดือน 9 แรม แรม 1 ค่ำ เดือน 9 ดับ บุญข้าวประดับดิน,00.16.45,00.19.35
ระหว่างท้าวกุเวรกับท้าวเวสสุวรรณ มีความเกี่ยวข้องกับพุทธศาสนาอย่างไรครับ ชาวพุทธมีความเคารพต่อพระรัตนตรัยควรวางใจอย่างไรกับการเคารพนับถือเทวดาเหล่านั้นครับผม,คือท้าวกุเวรกับท้าวเวสสุวรรณเนี่ย เขาเป็นคนคนเดียวกัน คือเวสสุวรรณเนี่ย เวสสุวรรณน่าจะเป็นตำเหน่งนะ คือท้าวกุเวรเนี่ย ได้อยู่ในตำแหน่งเป็นเป็นเวสสุวรรณ ตำแหน่งของการเป็นผู้ปกครองเหล่ายักษ์ คือมันจะมีฐานะของบุคคลผู้ปกครองชาวทิพย์ มันเป็น มันเป็นสายการปกครองของชาวทิพย์ คือเทวดา ตั้งแต่จาตุมหาราชิกาลงมาเนี่ย เขาเรียกว่า โลกปาละ คือเรียกว่า เป็นเทวดาที่ปกป้องดูแลโลก และมีสายการปกครองโดยสายการปกครองที่ดูแล 4 สาย ก็คือ 1 ท้าวธตรฐ ปกครองเหล่าคนธรรพ์ ท้าววิรุฬหก ปกครองเหล่า ครุฑ ท้าววิรูปักษ์ ปกครองเหล่านาค และก็ท้าวกุเวร หรือว่าท้าวเวสสุวรรณเนี่ย ปกครองเหล่ายักษ์ ตามทิศ 4 ทิศ คือทิศเหนือ ทิศตะวันออก ทิศตะวันตก และทิศใต้ เนี่ยตาม 4 ทิศ ท้าวจตุโลกบาลทั้ง 4 ท้าวกุเวรหรือท้าวเวสสุวรรณนี่มีความเกี่ยวข้องกับพระพุทธศาสนาตรงที่ เขาเป็นผู้นับถือพระรัตนตรัย แล้วก็ ชาวพุทธผู้มีความเคารพต่อพระรัตนตรัยควรวางใจกับการเคารพนับถือเทวดาเหล่านั้นอย่างไร ก็คือ ท้าวเวสสุวรรณเป็นคนพูดเอง คือท่านพูดเองว่า หากใครเหล่าใดปรารถนาจะบูชาท่าน พึงให้ทานแล้วอุทิศส่วนกุศลมาให้เราเถอะ การให้ทานและอุทิศส่วนกุศลมาให้เราน่ะ นั่นแหละได้ชื่อว่าเป็นการบูชาเรา เป็นการนับถือเรา เป็นการให้บรรณาการกับเรา การทำนอกเหนือจากเนี้ย ไม่ได้เชื่อว่าเป็นการบูชาท้าวเวสสุวรรณ ไม่เชื่อว่าเป็นการบูชาเท่ากุเวรเลย ฉะนั้น การสร้างรูปท้าวกุเวรหรือท้าวเวสสุวรรณขึ้นมาแล้วสักการบูชาเนี่ย ขอให้เข้าใจว่า นั่นเป็นการปฏิบัติผิด และแน่นอนว่าท้าวเวสสุวรรณไม่ได้ไปอยู่ในรูปปั้นนั้น เพราะท่านเป็นมหาราช ในจตุโลกบาล ชั้นสวรรค์ชั้นที่ 1 เทวดาผู้อยู่ในสรวงสวรรค์ไม่เข้าไปอยู่ในรูปเคารพเด็ดขาด ไม่ใช่ฐานะและไม่ใช่สิ่งที่จะเป็นอย่างนั้นได้ ขอให้เข้าใจ ฉะนั้น รูปปั้นก็คือรูปปั้นนะฮะ แล้วก็ การไปสักการะบูชาที่คิดว่าสักการะเวสสุวรรณก็ไม่ใช่เป็นการสักการะบูชาเวสสุวรรณ เป็นการบูชารูปปั้นเท่านั้นเอง ตรงนี้ต้องแยกแยะให้ออกนะ เราชาวพุทธนะ ชาวพุทธคือ ศาสนของความรู้นะ อย่าหลง ถ้าหลง ก็ไม่ใช่ชาวพุทธ และหากยังประกาศตนว่าเป็นชาวพุทธ แต่ยังหลงอยู่ คำประกาศในฐานะแห่งความเป็นชาวพุทธที่ตนเองคิดว่าตัวเองเป็น ก็ไม่ถือว่าเป็น และไม่ได้เป็นชาวพุทธ และไม่ได้นับว่าเป็นชาวพุทธ และเป็นชาวพุทธไม่ได้เพราะ การประพฤติการกระทำ มันไม่ได้ส่อให้รู้ให้เข้าถึงความเป็นพุทธได้เลย ให้เข้าใจอย่างงั้น,00.19.37,00.23.00
กินเนื้อวัวในวันพระ บาปจริงเหรอคะ,พระพุทธองค์ตรัสว่า บาปจะเกิดขึ้นก็เกิดขึ้นทางใจ ใจที่คิดในเรื่องที่ประกอบไปด้วย โลภะอันประกอบด้วยทุจริต โทสะอันประกอบด้วยทุจริต และก็โมหะอันประกอบด้วยทุจริต นี่แหละ บาปมันอยู่ตรงนี้ พระองค์เคยบอกว่า ใครก็ตามแม้บริโภคข้าวฟ่าง ลูกเดือย เผือก มัน พืชผักผลไม้ใดๆ ก็ตาม แต่เป็นการบริโภคด้วยจิตอันประกอบไปด้วย โลภะ โทสะ โมหะ การบริโภคนั้นก็ชื่อว่าเป็นการบริโภคที่ไม่บริสุทธิ์ มีอยู่คราวครั้งหนึ่งที่พระองค์บัญญัติในข้อสุราเมระยะไว้สำหรับภิกษุ สุราเมระยะปาเนปาจิตติยัง ก็คือ ภิกษุใดก็ตามบริโภค หรือว่าดื่มสุราเมรัยเนี่ย เชื่อว่าเป็นการทำความดีให้ตก ปาจิตติยัง คือเป็นการทำความดีให้ตกไป ต้องอาบัติ ในสิกขาบทข้อนี้ ในสิกขาบทข้อนี้ได้อธิบายไว้ว่า หากภิกษุ ฉันนำเปล่าโดยมีเจตนาตั้งใจในน้ำเปล่านั้นว่าเป็นน้ำสุราแล้วดื่ม ภิกษุนั้นก็ได้ชื่อว่า เป็นผู้ดื่มน้ำสุรา ต้องอาบัติเหมือนกัน คือต้องอาบัติ ตรงๆ เลยว่าต้องอาบัติเหมือนกับผู้ดื่มน้ำสุรา เพราะไปคิดว่าน้ำเปล่าเนี่ยเป็นน้ำสุรา ก็มีโทษเหมือนกัน ทางพระวินัยนะ มีโทษทางพระวินัย ฉะนั้นแม้แต่บริโภค สิ่งที่ไม่ใช่เนื้อสัตว์ แต่พยายามไปคิดให้มันเป็นเนื้อสัตว์หรือพยายามทำให้ดูเหมือนเป็นเนื้อสัตว์ และพยายามคิดจะทำให้อาหารมังสวิรัติหรือเจนั้นให้เป็น ให้เป็นรูปเนื้อไก่เนื้อหมูเนื้ออะไรก็ตามที่เขาคิด คิดที่จะให้เป็น คือคิดอยากจะกินนั่นแหละ คิดอยากจะกินเนื้อชนิดนั้นๆ แต่ แต่โดยสภาพของอาหารไม่ใช่เนื้อ เพราะว่า ถือการกิน หรือบริโภคเจอยู่ หรือมังสวิรัติอยู่ก็ การกินด้วยความคิดอย่างนั้นก็ถือว่าเป็นการกินเนื้อ นี่คือชาวพุทธ นี่คือพระพุทธเจ้าที่พระองค์ให้ความสำคัญ เหตุปัจจัยที่จิตเนี่ยเราก่อตัวขึ้น จิตเนี่ยแหละมันเป็นตัวเสวยหรือเสพที่แท้จริง ร่างกายไม่รู้เรื่องอะไรหรอก จิตมันรู้เรื่อง จิตมันรู้มันกินอะไรอยู่ กายร่างกายไม่ทราบอะไร ทุกอย่างจึงไปรวมลงสู่จิต กรรมทั้งหมดจึงตกอยู่กับจิตเป็นผู้รับภาระในการที่จะเสวยผล ให้เข้าใจอย่างงั้น พระศาสดาเราเป็นผู้รอบรู้ในเหตุปัจจัยเหล่านี้จึงได้สอนหลักการของการทำจิตให้พ้นออกมาจากสิ่งที่จิตยึดกเกาะอยู่ ส่วนกายมันยึดเกาะอะไรไม่ได้อยู่แล้ว กายจะกินอะไรก็กินเพื่อให้มันเติบโตไปจนถึงรอวันความเสื่อมความสิ้น แต่จิตที่เกาะติดอยู่นี่แหละ มันผูกติดกันไปยืดยาวนาน ด้วยอำนาจแห่ง ความโลภ ความโกรธ ความหลง หรือ ความไม่มีปัญญา ความไม่เข้าใจไม่เข้าใจ ให้เข้าใจอย่างงั้น,00.23.48,00.26.18
คำถามที่แล้วน่าจะหมายถึงการทักอารมณ์กับโยนิโส อ๋อ มีคนมาขยายคำถามให้ทำให้เกิดความเข้าใจ,คือการทักอารมณ์เนี่ย มันเป็นการฝึกสติ แต่โยนิโสเนี่ยมันเป็นการเลือกหาอุบายอันควรแก่จิต ที่จิตเราเป็นอยู่ในเวลานั้น ถามว่าทั้งสองอย่างเนี่ยเป็นอุบาย ที่ทำให้จิตของเราสงบได้หรือจิตของเราเนี่ย ไม่ถูกอารมณ์ครอบงำได้ ทั้งการทักอารมณ์และก็การเลือกอุบายธรรมมาใช้กับจิตของตัวเองให้เหมาะสมกับสภาพจิตที่เป็น ให้มันตรงกัน หรือแก้ไขกันได้เนี่ย จริงๆ มันก็ถือว่าเป็นโยนิโสได้เหมือนกันนะ ทักอารมณ์ก็จัดเป็นโยนิโสเป็นอุบายธรรมอันหนึ่ง ที่พระอาจารย์พยายามคิดขึ้นมา หรือว่า พยายามหาแง่มุมในการที่จะควบคุมอารมณ์ที่เกิดกับจิตแล้วให้อารมณ์เหล่านั้นอะถูก รับรู้ด้วยสติอย่างไ รที่จะเท่าทันต่อสภาพอารมณ์ที่ไม่ชักลากดึงใจเราไปสู่การตกอยู่ในห้วงอารมณ์หรือเป็นทาสของอารมณ์ อันเนี้ย การทักอารมณ์จึงจะช่วยได้ค่อนข้างจะดีมาก ก็หลายๆ คนก็บอกว่า ใช้ได้ดีเลยทีเดียว อาจจะ นับเนื่องอยู่ในความเป็นโยนิโสก็ได้ เพราะเป็นอุบายในการทำให้จิตสงบ ก็อยู่ในกรณีเดียวกัน แต่ถ้าโดย องค์ทำจริงๆ แล้ว โยนิโสคือการเลือกอุบายธรรมมาแก้ไข เช่น มีความโกรธ ก็ต้องใช้เมตตา มีความติดอยู่ในความสวยความงามก็ใช้ อสุภะอย่างเงี้ย ติดอยู่กับความหลงก็พิจารณาแยกธาตุแยกขันธ์ ในกายในใจ คิดว่ากายเป็นตนตนเป็นกาย ว่าพิจารณาแยก แยกธาตุแยกขันธ์ให้ได้,00.26.55,00.28.40
บทสวดยันธปริตร สวดก่อนนอนได้ไหมคะ,ได้ ก่อนนอนก็ได้,00.28.43,00.28.50
