question,answer,start_time,end_time
ตํานานของพระอุปคุตเป็นตํานานหรือเป็นเรื่องจริง,เรื่องของพระอัปครุตเป็นเรื่องที่แต่งขึ้นมาในภายหลัง สอดแทรกเข้ามาในยุคสมัยพระเจ้าอโศกช่วงประมาณ พ.ศ. สามร้อยถึงสี่ร้อยปีประมาณ เป็นการแต่งขึ้นมาเพื่อทำให้เนื้อเรื่องเกิดความพิสดารก็ผูกโยงอยู่กับพิธีอันศักดิ์สิทธิ์ที่พระเจ้าอโศกได้ทำการฉลองพระวิหารพรรณวิหารที่พระองค์ทรงสร้างขึ้น ในคราวครั้งนั้นเรื่องพระอุปคุตเพราะฉะนั้นเรื่องภาพพระพุทธก็เลยมีอยู่ในตอนนั้นซึ่งเป็นเรื่องแต่งขึ้นตามคัมภีร์หรือแทรกเข้ามาในคัมภีร์ เรื่องของพระเจ้าอโศกมหาราชข้อมูลความจริงไม่ได้ปรากฏว่ามีอยู่,00.04.35,00.05.32
เรื่องของกายภาพบําบัด เวลาเขากดไปในจุดที่เราเจ็แต่เรากลับรู้สึกชอบ เพราะว่ามันโดนจุดที่เราปวดอยู่เราสามารถเรียกมันว่าทุกขเวทนาได้ใช่ไหม แต่ความรู้สึกชอบมันกลายเป็นความพึงใจ ความกามราคะใช่ไหม,ถ้าเป็นทุกขเวทนาราคะจะไม่นอนเรื่อง นั่นหมายถึงว่าราคะนอนเรื่องจะนอนเนื่องในสุข เจ็บก็คือเจ็บแต่ถ้าเจ็บส่วนมากปฏิฆะจะนอนเรื่องแต่ทีนี้ราคะนอนเรื่องซึ่งแสดงว่าความเจ็บนั้นอยู่ในพื้นฐานของสุขเวทนา รู้แค่นี้ก็พอรู้แค่ว่านี้คือความคิด นี่คือความคิดของจิต นี่คือสิ่งที่จิตคิดรู้แค่นี้ก็พอ จะเป็นกุศลหรืออกุศลก็คือความคิดอันเดียวกันคือการปรุงแต่งทางความคิดการที่จะไปแยกว่าสิ่งนี้เป็นกุศลสิ่งนี้เป็นอกุศล เราจะแยกก็ต่อเมื่อความคิดที่เกิดขึ้นกับจิตปรุงแต่งจนหาที่สิ้นสุดไม่ได้ เราถึงจะไปตั้งความคิดแยกว่าอันนี้กุศลหรืออกุศลแต่ถ้ามันเป็นความคิดธรรมดาธรรมดาแค่ก็รู้ว่านี่คือความคิดของจิต นี่คือสิ่งที่จิตคิด ความคิดกําลังเกิดขึ้นกับจิต จิตกําลังคิดต่อเรื่องนี้,00.05.40,00.08.09
บางคนไม่ได้เป็นพุทธศาสนิกชนแต่อยากได้หลักการปฏิบัติเพราะว่าหลักการปฏิบัติก็เป็นธรรมชาติเป็นของกลางแล้วเขาจะเริ่มปฏิบัติอย่างไร ถ้าเกิดเขาไม่สามารถท่องพระรัตนตรัยได้แล้วควรที่จะเริ่มฝึกหัดดูการเกิดดับอย่างไรที่จะไม่หลงไปกับความคิด,สามารถพิจารณากายได้เลยหรือว่าท่องธาตุกรรมฐานสี่ได้เลยเพราะธาตุกรรมฐานสี่ไม่ได้เป็นของผู้ใด ธาตุกรรมฐานสี่เป็นของกลางประจำโลกประจำจักรวาล ดิน น้ำ ไฟ ลมของใครผู้ใด ไม่ใช่ของศาสนาไหน เป็นกลางมาโดยตลอด เขาเรียกว่าเป็นอภัยยากตธรรมธรรมที่เป็นกลางโดยตัวของธาตุอยู่แล้วไม่ได้มีใครเป็นเจ้าของโดยผูกขาดหรือถาวรทั้งสิ้น เป็นเรื่องธรรมชาติที่ทุกคน ทุกชนชาติ ทุกศาสนา ทุกเชื้อชาติก็อิงอาศัยธาตุสี่ดินน้ำไฟลมนี้เป็นประจักษ์ต่อสัจจะแห่งความเป็นจริงแล้วก็คําว่าสัจจะนี้ไม่ได้แบ่งแยกใครผู้คนใดทั้งสิ้นแต่เป็นสัจจะมันมีเกิดได้ทุกๆคนแม้กระทั่งพระองค์ตรัสไว้ว่าทุกขสัจจะก็ไม่ใช่เกิดเฉพาะหมู่ชาวพุทธเท่านั้น พระองค์ค้นคว้าหลักความจริงนี้อย่างกระจ่างแจ้งถ่องแท้แล้วว่าความทุกข์มันเกิดขึ้นกับคนทุกคนโดยที่ไม่มีใครสามารถคัดค้านได้ไม่ว่าจะเป็น พุทธ อิสลาม ความฮินดู ทุกศาสนามีความทุกข์เหมือนกันหมดหมายถึงว่าทุกคนมีปัญหาอันเดียวกันคือมีทุกข์เป็นปัญหามีเหตุของปัญหาคือตัณหาอันเดียวกันมีการดับไปของปัญหาว่าทุกข์กับเหตุเป็นสิ่งที่ดับได้เหมือนกันสามารถดับได้ไม่ได้เหมือนกันแต่กระบวนการเขาไปดับแน่นอนว่าแต่ละคนไม่มีกระบวนการที่เหมือนกันฉะนั้นในทางพุทธศาสนาจึงสอนกระบวนการที่เข้าไปดับแล้วดับได้อย่างถาวรก็คือกระบวนการแห่งมรรค มรรคจึงมีในพระพุทธศาสนาเหมือนดั่งคราวที่พระองค์ตรัสไว้กับสุภัททะ ปริพาชกในคราวที่ก่อนจะปรินิพพานที่เป็นสาวกองค์สุดท้ายโดยสุภัททะ ปริพาชก เป็นนักบวชกลุ่มปริพาชกนอกพระพุทธศาสนาแต่ด้วยความที่สงสัยในธรรมะว่าอะไรคือจริงอะไรคือเท็จพระอรหันต์ในศาสนาอื่นมีอยู่หรือไม่หรือบุคคลผู้สิ้นอาสวะกิเลสในศาสนาอื่นมีอยู่หรือไม่หรือว่าศาสนาอื่นๆที่มีอยู่ในโลกในเวลานี้รวมถึงพระพุทธศาสนาในคราวครั้งนั้นเป็นศาสนาที่แท้จริงหรือไม่หรือศาสนาไหนกันแน่ที่เป็นศาสนาแห่งแก่นสานสาระก็เข้าไปกราบทูลพบพระองค์ พระองค์ไม่ได้บอกว่าศาสนาไหนดีหรือไม่ดีแต่พระองค์บอกว่าหากศาสนาไหนก็ตามสอนเรื่องอริยมรรคแปดคือสอนเรื่องสมาธิสัมมาสังกัปปะ สัมมาวาจา สัมมากัมมันตะ สัมมาอาชีวะ สัมมาวายามะ สัมมาสติ สัมมาสมาธิ ศาสนานั้นจะไม่ว่างจากบุคคลผู้รู้แจ้งในธรรมไม่ว่างจากบุคคลผู้พ้นทุกข์ ไม่ว่างจากสวรรณะที่จะพึงเกิดขึ้นฉะนั้นการที่พระองค์ไม่ได้บอกว่าศาสนาไหนสอนถูกสอนผิดแต่พระองค์บอกว่าทุกศาสนาถ้าเข้ามาปฏิบัติอยู่ในรูปรอยนี้สามารถดับทุกข์ได้เหมือนกันเหมือนกันหมดเลย,00.08.13,00.11.38
อนาคตถูกกําหนดด้วยเหตุปัจจัยหรืออนาคตไม่สามารถกําหนดได้เป็นไปตามหลักความไม่แน่นอนของอนิจจัง,อนาคตเป็นไปจากเหตุแห่งการกระทำในปัจจุบันนี้ถ้าเราทำอะไรในปัจจุบันนี้อนาคตจะส่งผลไปตามเหตุแห่งการกระทำในขณะนี้อนาคตไม่ได้เกิดขึ้นเองการกระทำในขณะนี้จะส่งผลต่ออนาคต อดีตส่งผลในปัจจุบัน ปัจจุบันส่งผลต่ออนาคต นั่นหมายถึงว่าอดีตจะมีมาอย่างไรก็ตามหากเราทำปัจจุบันนี้อย่างถูกต้องตามเหตุปัจจัย เราสามารถเปลี่ยนแปลงอนาคตต่อชีวิตของเราที่เราจะเป็นไปแต่ถ้าเราไม่รู้จักเหตุปัจจัยในการกระทำในปัจจุบันนี้อดีตส่งผลมาอย่างไรก็ตามวิบากที่ได้รับในปัจจุบันนี้ก็จะเป็นตัวปัจจัยหนึ่งที่จะส่งต่อวิบากเก่าวิบากเดิมไปสู่อนาคตให้เป็นแบบเดิมไม่ได้เปลี่ยนแปลงแต่ถ้าเราเกิดการมีการกระทำต่อการเปลี่ยนแปลงในขณะปัจจุบันนี้อนาคตเปลี่ยนทันที,00.11.41,00.12.53
ภาวะเข้าใจเราจำเป็นต้องน้อมกลับมาแล้วก็บอกจิตตัวเองว่ามันคือภาวะปิติในการเข้าใจเรียกว่าสุขเวทนาไหม,จัดอยู่ในสุขเวทนาแต่เป็นสุขเวทนาที่อาศัยมรรคเกิดอาศัยปัญญาเกิด อาศัยสติเกิด อาศัยความเข้าใจเกิดการที่ สุขเวทนาอันอาศัยมรรคอาศัยสติอาศัยปัญญาเกิดเป็นฝ่ายที่ควรเจริญขึ้นเพราะเป็นฝ่ายของมรรคต้องเจริญขึ้น ไม่ต้องไปกำหนดรู้ไม่ต้องไปแก้ไขเป็นเรื่องของเวทนาทางใจหมายความว่าอย่างเช่นเรามีความปิติอย่างเช่นเรามีความรู้สิ่งเหล่านี้เป็นนามธรรม นามธรรมเหล่านี้เขาเรียกว่าธรรมอารมณ์เหล่านี้ย่อมสั่งเลยว่าย่อมส่งผลไปถึงเวทนาเป็นเวทนาทางใจอย่างเช่นในกรณีนี้มันเป็นสุขเวทนาทางใจถ้าหากจะกำหนดรู้ว่ามันเป็นความรู้ก็เข้าใจว่ามันเป็นความรู้ถ้ากำหนดรู้ว่ามีเวทนาด้วยก็ให้เข้าใจว่าเป็นสุขเวทนาทางใจด้วยก็ให้เข้าใจแบบนี้,00.13.08,00.14.59
ทุกวันนี้ต้องทำงานกับคนที่เราสังเกตได้ว่าชอบจับผิดเราตลอดเวลา แล้วชอบบอกหัวหน้างานว่าเราผิดนู่นผิดนี้ตลอดเวลาแล้วชอบโยนความผิดให้คนอื่นตลอดเวลาเราควรวางตัวอย่างไร นิ่งเฉยหรือตอบโต้กลับไป คือหลายครั้งที่เราพยายามนิ่งเฉยปล่อยวางเขาก็ยิ่งสร้างประเด็นใหม่ตลอดเวลา,เรื่องการทำงานอย่างนี้มันเป็นการทำงานที่เกี่ยวเนื่องกับพวกผู้คนที่ส่งผลกระทบต่อเราแต่ถ้าเรามองว่าการทำงานของเราไม่ได้เสียหายเลยแม้เขาจะว่ากล่าวในด้านความผิดโยนความผิดให้กับเราแจ้งความผิดของเราต่อว่าผู้เป็นเจ้านายให้รับรู้รับทราบในความเป็นของเราก็อย่าไปกังวลใจถ้าเรายังทำหน้าที่ทางการงานของเราได้อย่างดีได้อย่างถูกต้องได้อย่างไม่บกพร่องเลยเราก็ทำต่อไปในการงานนั้น แต่ถ้าเรามองดูว่าในความผิดหรือโทษที่เขากล่าวมาเรามีความบกพร่องในด้านนี้ในการงานที่เรากําลังทำอยู่ จริงๆก็แก้ไขการงานนั้นให้สมบูรณ์บริบูรณ์และดีขึ้นไปเรื่อยๆก็จะเป็นประโยชน์กับเรามาก เวลาเราทำงานการงานร่วมกับคนอื่นเรามีหัวหน้าหรือว่ามีบุคคลระดับสูงกว่าเราเป็นผู้ดูแลอยู่แล้ว สำหรับเพื่อนร่วมงานด้วยกัน ถ้าหากว่าไม่มีเหตุการณ์ใดที่จำเป็นต้องชี้แจงก็อย่าเพิ่งไปชี้แจงเราแค่จำเป็นต้องสํารวจตรวจสอบตัวเองให้ดีที่สุดว่าเราทำดีที่สุดหรือยังอาตมาเชื่ออยู่อย่างหนึ่งว่าสำหรับบุคคลผู้ทําดีจะมีความมั่นใจในตัวเองระดับหนึ่งถ้าหากจำเป็นต้องชี้แจงจริงๆหมายความว่าอย่างเช่นหัวหน้างานเรียกเราไปทั้งสองคนเพื่อคุยกันจำเป็นต้องชี้แจงค่อยชี้แจงออกไป ใช้ความจริงที่ตัวเองกระทำอยู่ตอนนั้น ชี้แจงออกไปซึ่งความจริงใครจะฟังแล้วว่ามันเป็นขัดหูขัดใจอะไรก็ก็ช่างมันขอให้พูดความจริงออกไปเดี๋ยวความจริงจะได้เปิดเผยออกมา,00.15.13,00.18.05
จุดเริ่มต้นของการชักชวนให้คนในครอบครัวให้หันมาปฏิบัติแล้วมาศึกษพุทธศาสนาเราควรเริ่มจากตรงไหนดีเพื่อที่จะง่ายและไม่เกิดการต่อต้าน ,ควรเริ่มจากการอธิษฐานจิตเข้าถึงพระรัตนตรัยจนให้เขาเห็นประจักษ์แจ้งในกระแสพระรัตนตรัยที่บังเกิดกับจิต มันจะง่ายขึ้นถ้าเขาได้เห็นสภาพจิตกับพระรัตนตรัยเชื่อมโยงกันสามารถรับรู้รับทราบต่อกันได้แล้วทางใจจิตมันจะโน้มเอียงเข้ามาสู่หนทางในด้านการปฏิบัติได้ดีและอีกอย่างหนึ่งพระพุทธเจ้าตรัสไว้ว่าหากเรารักเคารพใคร มุ่งหมายอยากจะให้สิ่งดีดีกับใครจงบอกพระรัตนตรัยนั้นกับเขาเหล่านั้นเพราะพระรัตนตรัยทรงคุณค่าและมีคุณค่ามากที่สุด ดั่งที่พระเจ้าพิมพิสารส่งรัตนสูตรหรือว่ารัตนปริต บันทึกใส่แผ่นทองคําส่งไปถวายเป็นบรรณาการแก่พระเจ้าปุกกุสาติ พระเจ้าปุกกุสาติยอมรับเครื่องบรรณาการอันสูงส่งนี้เพราะว่าพระเจ้าพิมพิสารมองไม่เห็นว่าจะมีสิ่งใดที่จะเป็นเครื่องบรรณาการสูงสุดระหว่างกษัตริย์กับกษัตริย์ด้วยกันก็เลยมองเห็นแต่ว่าพระรัตนตรัยเท่านั้นที่ทรงคุณค่าในคราวครั้งนั้นพระเจ้าปุกกุสาติอ่านบทพระรัตรปริตรนี้สามเดือนอยู่บนปราสาทโดยไม่ลงมาจากปราสาทเลยจิตดิ่งลงสู่กระแสพระรัตนตรัยจนได้ฌานสี่จากนั้นก็อธิษฐานเพศออกบวชเพราะอ่านบทรัตนปริตร,00.18.13,00.19.53
บอกว่าได้เคยสาบานกับสิ่งศักดิ์สิทธิ์ว่าจะไม่ดื่มแอลกอฮอล์เมื่อสิบปีที่แล้วขอไว้แล้วเคยขออะไรบางอย่างไว้ แล้วก็เลยได้ตามคําขอแต่เมื่อสามปีที่แล้วเผลอดื่มไวน์ก็เลยเกิดเหตุการณ์ที่ทำให้ป่วยเมื่อสองปีที่แล้วปวดหลังเวียนหัวแต่ตอนนี้อาการดีขึ้นแล้วเลยอยากถามว่าอาการที่เราเจ็บป่วยอาจจะเกิดจากการที่เราเผลอดื่มหรือผิดคําสาบานหรือไม่แต่ตอนนี้ตั้งใจใหม่แล้วว่าจะรักษาศีลข้อนี้ให้เคร่งครัด,จิตของเราเวลาเราคิด เราพูด เราทำอะไรระบบของกรรมมันจะบันทึกคําว่าบันทึกไม่มีใครบันทึกแต่ว่ามันเป็นกระบวนการแห่งกรรมหรือมันถูกโปรแกรมไว้แล้วว่าเราตั้งอย่างนี้ไว้แล้วทำเราทำสิ่งที่ผิดจากความตั้งใจของเราเองเรียกว่าเราไปทำลายเจตนาที่เราตั้งไว้ด้วยดีแล้วนั้นให้อาจจะเป็นการเผลอเรอไปแต่มันก็เป็นการเผลอเรอที่ ส่งผลกระทบจากกระบวนการที่มันถูกสั่งการไว้ในภายในจิตเราเมื่อมันผิดไปจากเจตนาเดิมที่เราตั้งไว้แล้วมันก็ต้องส่งผลตามเหตุปัจจัยที่มันผิดพลาดนั้นเราอาจจะอ้างว่าสิ่งศักดิ์สิทธิ์อย่างนั้นอย่างนี้แต่ถ้าที่จริงแล้วจิตเราเองเป็นผู้แสดงออกให้เราได้ทราบว่าเราทำสิ่งนี้ผิดพลาดสิ่งนั้นผิดพลาดก็เป็นการเตือนตัวเราเองด้วยที่จะไม่ให้ประมาทในโอกาสต่อไป ถ้าอย่างงั้นก็ตั้งใจใหม่ได้,00.20.30,00.22.05
แต่ก่อนเคยนั่งสมาธิได้สม่ำเสมอแต่ช่วงนี้นั่งไม่ได้ นั่งแล้วซึมตลอดพอไม่ได้นั่งก็เริ่มจะขี้เกียจนั่งและนั่งแล้วทำยังไงให้ก้าวข้ามเวทนาได้เพราะมันเจ็บขา,สมาธิไม่ได้เกิดจากการนั่งเสมอไป พระองค์ตรัสสรรเสริญสมาธิที่เกิดจากการเดินด้วยซ้ำ บุคคลผู้เดินจงกรม พระองค์บอกว่าสมาธิของบุคคลผู้เดินจงกรมนั้นจะเป็นสมาธิที่ตั้งมั่น ไม่เสื่อมง่าย ฉะนั้นสมาธิจริงๆไม่ได้เกิดจากการนั่งอย่างที่เราเข้าใจ ที่เราเข้าใจก็การนั่งด้วยแล้วก็การอิริยาบถอื่นเราก็ควรจะฝึกไม่อย่างงั้น เราก็จํากัดอยู่เพียงแค่การนั่งเท่านั้นถึงจะเกิดสมาธิอิริยาบถอื่นเราทำไม่ได้มันก็เป็นการทำให้เรามีข้อจํากัดที่ผูกมัดตัวเอง จะต้องอยู่กับท่านั่งในการทำสมาธิ การเดินจงกรมก็เป็นส่วนหนึ่งปวดขาก็ลุกไปนั่งง่ายๆแค่นี้ไม่ได้มีอะไรซับซ้อน,00.22.07,00.23.14
ถ้าเวรกรรมตามเราทัน ณ ตอนนี้เราควรทำอย่างไรดี,ถ้าตามทันจริงๆก็ต้องยอมรับเพราะกรรมนั้นจะได้เป็นอโหสิกรรมแต่ถ้าไม่ยอมรับ กรรมเกิดไม่เกิดเป็นอโหสิกรรมเมื่อกรรมไม่เกิดเป็นอโหสิกรรมคือกรรมจะไม่ให้ผลสำเร็จกรรมนั้นก็จะวนเวียนอยู่กับเราแล้วก็คอย บีบคั้นและก่อกวนเราติดตามเราอยู่ตลอดเวลาเพราะเขาติดตามให้ผลเพื่อให้เราเกิดการยอมรับผลแห่งกรรมนั้น เมื่อยอมรับแล้วมันก็ผ่านพ้นไปเสร็จสิ้นไปในแต่ละครั้ง ประดุจดังแพะตัวหนึ่งที่เขาจะจับไปสู่หลักประหาร แพะตัวนี้ดีใจเลยว่ามันเป็นวาระสุดท้ายและเป็นกรรมของเราที่เราจะได้รับยินดีเลยที่จะได้รับกรรมอันนี้เพราะเราจะพ้นจากกรรมที่เราเคยทำมาเมื่อห้าร้อยชาติก่อนนี้เคยเป็นนายพราหมณ์ที่ข้าแพะบูชายัญมาก่อน ตัวเองก็เลยเกิดเป็นแพะแล้วถูกนําไปสู่หลักประหารเพื่อทำการบูชายัญ ดีใจว่าตัวเองจะได้ถูกประหารเป็นวาระสุดท้าย คือชาติสุดท้ายเราจะได้พ้นจากพบของแพะจะได้พ้นจากกรรมสักที,00.23.39,00.24.55
