question,answer,start_time,end_time
ได้รับภาพงษ์นะเจ้าคะพระอาจารย์ครับการที่เราออกกำลังกายเพื่อรูปร่างที่ดีเพื่อสุขภาพที่ดีแบบนี้มันมันมีขัดกับคำสอนที่ว่าร่างกายไม่ใช่ของเราร่างกายเป็นดินน้ำไฟลมแล้วเราไปยึดติดกับรูปร่างหุ่นของเราหรือเปล่าครับ,ก็ไม่ใช่ของเรานั่นแหละต้องรักษาข้อให้ดีดีเพื่อจะได้เอาไว้ใช้นั้นนั้นมันไม่ใช่ของเราเพราะเราต้องทอดทิ้งในวันใดวันหนึ่งแน่นอนแต่ก็ต้องดูแลรักษาการดูแลรักษาจัดอยู่ในการบริหารขันการบริหารขันไม่ได้ชื่อว่าเป็นกายึดติดแต่เป็นการเข้าใจและรู้จักกายตามความเป็นจริงว่ามันมีทุกข์มากมันมีโทษมากถ้าไม่รักษาไม่เยียวยาไม่หาวิธีการในการดูแลมันก็เสื่อมสิ้นไปโดยง่ายแล้วก็เกิดความทุกข์บีบคั้นในอาพาธที่เข้าเบียดเบียนอันนี้ปัญหาหนักการดูแลรักษาสุขภาพให้ดีนั่นแหละเป็นสิ่งที่ควรทำ,00:01:14,00:02:24
เวลาสวดแล้วจิตใจวอกแวกคิดนู่นคิดนี่ไปเรื่อยทำอย่างไรให้มันโฟกัสดูสดให้มากขึ้นได้บ้างครับ,เอาหนังสือบทสวดมาอ่านเลยขณะที่สวดแล้วคิดคิดไปนู่นคิดไปนี่เอาหนังสือมาอ่านตามตัวหนังสือแล้วปักจิตในการเข้าไปสู่การรับรู้ต่อบทสวดนั้นตามตัวหนังสือนั้นน่ะตัวต่อตัวตัวต่อตัวตัวต่อตัวไปทำอย่างนี้ไล่สายตาไปปรับจิตลงไปในการรับรู้ตัวบทสวดแต่ละบทแต่ละคำแต่ละคำแต่ละคำแต่ละคำจิตมันจะถูกดึงเข้ามาสู่ตรงนั้นเองก็เป็นการฝึกสติแบบ,00:02:32,00:03:15
หากคุณภัทราบทพิณาร่างกายก็เหมือนพิณาความตายไหมคะหรือควรต้องพิจารณาความตายแยกค่ะ,จะพิจารณาทั้งสองอย่างควบคู่ไปด้วยก็ไม่ผิดเป็นการเพิ่มพูนการพิจารณาเกิดความรู้เป็นองค์ประกอบเข้ามาให้เกิดความละเอียดทางด้านการพิจารณาอย่างมากก็ถือว่าเป็นการเกื้อกูลหรือมีอุปการะมากต่อการเจริญปัญญาทำได้,00:03:17,00:03:55
พระพุทธเจ้าทราบได้อย่างไรว่ารูปนี้ประกอบไปด้วยธาตุสี่และนามนี้ประกอบด้วยเวทนาสัญญาสังขารวิญญาณหมายถึงท่านพิจารณาอย่างไรถึงได้ทราบ,โอยโหยมอีคิ้วเขารู้กันเป็นพื้นฐานเป็นแบบความรู้แบบการเรียนการศึกษาในครั้งพุทธกาลโดยการเข้าใจชีวิตโดยความเป็นทาสลัทธิอื่นเขาก็สอนเช่นอาชิตเกศะกำพลสรบอกว่าร่างกายนี้ก็เพียงแค่ดินน้ำไฟลมที่กองรวมกัเท่านั้นเองคือเขาสอนมาก่อนหน้านี้เป็นความรู้พื้นฐานคือพื้นในครั้งคือการอันนี้เขาเรียกว่าเป็นความรู้พื้นพื้นที่ทุกคนรู้เข้าใจว่ามันคือธาตุทั้งสี่แต่มันไม่ได้เข้าใจบนหลักการของสมาธิฐิมันก็เลยเกิดปัญหาที่มีทิฐิเข้าไปตั้งว่าคือร่างกายมนุษย์เป็นเพียงแค่ดินน้ำไฟลมการฆ่าสิ่งที่เป็นดินน้ำไฟลมไม่ถือว่าเป็นการฆ่าเพราะมันคือดินน้ำไฟลมไม่ใช่การฆ่าชีวิตไม่ใช่การฆ่ามนุษย์ไม่มีโทษไม่มีบาปไม่มีเบนไม่มีกรรมไม่มีอะไรรองรับในภพหน้าที่ต้องไปชดใช้อีกอันนี้เขาเขาสอนกันมาตั้งแต่สมัยไหนแล้วเป็นลัทธิที่เป็นมิจฉาทิฐิคืออาชีพตเกศกพลพุทธเจ้าก็เอาความรู้เดิมที่มันมีอยู่แล้วโดยหลักธรรมชาติตอนนี้ในพื้นฐานของความรู้ประจำโลกเนี่ยเข้ามาสู่การดึงมาสู่หลักการของสมาธิคือพระองค์เอาทุกวิธีการที่อยู่ในเวลานั้นกลุ่มที่เรียนรู้เรื่องของการว่าเป็นห้าสีดินน้ำไฟลมก็ดึงเข้ามาสู่สมาธิสิกลุ่มที่เรียนเรื่องสมาธิชานก็ดึงเข้ามาสู่สัมมาธิฐิกลุ่มที่เรียนวิปัสสนาก็ดึงเข้ามาสู่สมาธิสิกลุ่มที่ติดในเรื่องของการทำบุญให้ทานก็ดึงเข้ามาสู่มาธิติกลุ่มที่ติดเรื่องการยึดถือสิ่งที่ไม่มีอะไรรองรับตนเกิดแล้วมีชีวิตในโลกหน้าหรือไม่หรือไม่มีดึงเข้ามาสู่หลักการสัมมาทิฐิให้เขาได้เข้าใจว่ามันมีการเวียนว่ายตายเกิดและรับกรรมรับผลของกรรมของบุคคลผู้เกิดมาแล้วกระทำสิ่งต่างต่างใดใดใดก็ตามลงไปได้รับผลตามมาแน่นอนทั้งพวกนี้พบหน้านาคตต่อไปและก็มีหลักการและเส้นทางในการดำเนินปฏิบัติจนออกจากภพก็มีเหมือนกัน,00:04:23,00:06:45
คุณภูนิ่มอยากให้พระอาจารย์ช่วยแนะนำวิธีการสอนลูกวัยสิบเอ็ดขวบกับหกขวบปฏิบัติธรรมอย่างไร,สอนให้เขามาปฏิบัติธรรมก็แนะนำให้เขาระลึกถึงรัตนตรัยก่อนนำพาเขาว่านำพาเขาพูดถ้าเขาไม่สนใจก็อย่าเพิ่งไปยัดเยียดและบอกสอนเขาประพฤติตนเองให้เป็นที่ตั้งของการการเคารพของลูกเป็นมิตรกับลูกเป็นอุปการคือให้ลูกรู้สึกไว้วางใจกับเราโดยที่ไม่ได้มองเราเป็นผู้ที่คอยควบคุมบังคับเขาเด็กเขาจะไวมากต่อการรับรู้ความรู้สึกที่ผู้ใหญ่แสดงออกต่อเขาแล้วเขาก็จะประพฤติตนออกห่างจากเราถ้าเราพยายามยัดเยียดหรือควบคุมหรือบังคับแต่พยายามให้เหตุผลให้ความเข้าใจให้คำแนะนำให้ชี้ให้เขาเห็นความสำคัญทางด้านการปฏิบัติก็ยากอยู่พอสมควรก็สังเกตพฤติกรรมของลูกตนเองแล้วแล้วหาวิธีที่จะป้อนข้อมูลให้ถูกช่องถูกที่ถูกทางกับเขา,00:06:46,00:07:54
พลเดชนะคะพระจันทร์ต้นครับโสดาบันสามารถดื่มสุราเพียงลำพังที่เป็นการดื่มเพราะอยากดื่มดื่มด่ำในรสชาติเพียงเท่านั้นไม่ได้ดื่มจนเสียสติเช่นนี้ถือว่าผิดไหมครับ,ถ้าโสดาบันจะไม่น้อมใจไปเพื่อดื่มสุราเขาก็จะรู้ว่ามันไร้สาระเขาจะไม่ดื่มแล้วก็การดื่มนี้ถือเป็นศิลปะปรามาสไหมไม่ได้ถือว่าเป็นศีลปรามาสเพราะตัวศีลข้อห้าดื่มสุรานี้คือบัญญัติมาทีหลังเพื่อป้องกันการพลาดในศิลหนึ่งถึงสี่แต่หากโสดาบันมีสติชัดจะถือว่าผิดไหมครับและหากเสรบันพลาดื่มสุราขึ้นมาจริงจริงองค์ธรรมของพระสุรบัญจะหายไปไหมครับพระโสดาบันจะไม่ได้น้อมใจเพื่อการดื่มสุราเด็ดขาดไม่ว่ากรณีใดก็ตามไม่มีการน้อมใจไปเพื่อการดื่มสุราโดยประกันทั้งปวงนะและแม้ดื่มคุณธรรมความเป็นโสดาบันก็ไม่เสื่อมแต่ถ้าโสดาบันจะไม่ดื่มpackageก็ดึกก็เป็นยาก็ไม่ได้เป็นไม่ได้เป็นสุรา,00:07:56,00:09:21
youtube นะเจ้าค่ะคุณคำสวนในระหว่างวันที่สังเกตความคิดมีความคิดอิจฉาดูถูกผู้อื่นมีความโกรธแค้นพยาบาทเราต้องยอมรับความคิดอารมณ์เหล่านี้ใช่ไหมเจ้าคะแล้วเราจะฝืนใจแสดงความยินดีกับคนที่เราอิจฉาและรัคนที่เราเกลียดไหมคะ,ฝืนไปก่อนฝืนไปฝืนไปเรื่อยเรื่อยฝืนนี่แหละคือการฝึกฝนจิตใจฟื้นนี่แหละคือการขัดเกลาจิตใจฝืนนี่แหละคือการแก้ไขจิตใจที่มันตั้งอยู่กับความอิจฉาริษยาเอาลงยากมากไอ้ตัวนี้ฟื้นก่อนฟื้นไปเรื่อยเรื่อยฟื้นไปเรื่อยเรื่อยฝืนไปเรื่อยเรื่อยเดี๋ยวมันก็แก้ไขได้เอง,00:09:24,00:10:05
คุณควาพระจานทเวลาพิณากายถ้าพิณาไปถึงทาสหรือโมเลกุลที่เคยเรียนมาทางโลกเข้ามาพิจารณาได้ไหมคะซึ่งรู้สึกว่าเวลาพิจารณาไปแล้วยิ่งเหมือนกับว่าร่างกายเรามีเหมือนต้นไม้เฟอร์นิเจอร์รถยนต์ค่ะมีข้อดีข้อเสียอย่างไรหรือเปล่าคะดี,พิจารณาได้เลยดีถูกต้อง,00:10:08,00:10:35
ถ้านายปรัชญานะถ้าแยกรูปกับนามได้แล้วต่อมาเข้าใจว่าตัวรู้มันคิดปรุงแต่งทุกทุกขณะจิตแม้ตอนไม่คิดก็ยังคิดว่าไม่คิดหนีความคิดไม่ได้รู้ว่าทุกทุกขณะจริงมีการคิดจะถือว่าละสั่งยอดข้อหนึ่งหรือยังครับ,มันต้องบอกก่อนว่าตัวรู้ที่กำลังถามถึงเนี่ยเป็นตัวรู้ชนิดไหนถ้าเป็นตัวรู้ชั้นของสติยังไม่เข้าถึงโสดาบันถ้าเป็นตัวรู้ของชั้นญาณก็ยังไม่ถึงโสดาบันถ้าเป็นตัวความรู้ของวิชาก็ไปถึงแต่โสดาบันถ้าเป็นตัวความรู้ของปัญญาก็ยังไม่ถึงโสดาบันต้องเป็นความรู้แจ้งอริยสัจสี่พร้อมกับเห็นกระแสคนิพพานและทำกิจในการละสากายธิฐิความรู้นี้จะเกิดขึ้นพร้อมกันพริบตาเดียวนั่นแหละโสดาบันจะปรากฏว่าเป็นอย่างไร,00:10:36,00:11:42
คุณเทฟอนนฮะกราบเรียนสอบถามพระจันทร์คะเวลาแม่ถวายผลไม้สานตาสารยายที่บ้านผลไม้ที่แม่ถวายสามแล้วเอามากินได้ไหมคะถ้ากินจะมีชาวทิพย์มาแฝงในร่างกายไม่,กินได้ไม่ต้องกลัวแฝงกินได้เลย,00:11:45,00:12:06
