question,answer,start_time,end_time
*คำบรรยายต้นคลิป*,มนุษย์ทั้งหลายนั้นไม่ค่อยจะเข้าใจความเป็นธรรมดาที่พระองค์ตรัสสอนแล้วชี้ให้เราได้เห็นที่มันประจําอยู่ในจิตในใจหรือในตัวในตนในธาตุในขันธ์นี่แหละ เพราะฉะนั้นมันเป็นสัจจะ เมื่อไม่เข้าใจก็ปฏิบัติต่อมันไม่ถูก เมื่อปฏิบัติต่อมันไม่ถูกก็เลยเก็บเอาความวุ่นวายมาเป็นปัญหาต่อ หลักการของพุทธศาสนาคือให้ไปเห็นว่าความวุ่นวายนั้นมันเกิดแล้ว มันดับไปตามกฎสัจธรรม หน้าที่ของเราคือเข้าใจการเกิดขึ้นของมัน เข้าใจการตั้งอยู่หรือปรุงแต่งจิตเราอยู่ให้เป็นความวุ่นแรกๆจิตอาจจะยังไม่สามารถอดทนต่ออาการวุ่นวายที่มาปรุงแต่งจิตได้ แต่เมื่อเรายอมเพื่อที่จะเรียนรู้มัน ต่อไปเราจะมีสติปัญญาขึ้นมารับรู้ในความวุ่นวายนั้น เมื่อสติปัญญามันได้เกิดขึ้นแล้ว ความวุ่นวายผ่านเข้ามาในจิต จะไม่ทําให้เรามีความทุกข์กับความวุ่นวายที่กําลังเป็นอยู่ จิตเราก็จะอยู่เหนือความวุ่นวายนี้ได้ ,00.00.16,00.01.10
ช่วงตั้งแต่นอนจนถึงเที่ยงคืนครึ่งค่ะ มันก็จะหลับๆตื่นๆ แล้วก็พะวง ก็เหมือนก่อนหน้านี้มันไม่ได้มีอาการอะไรค่ะพระอาจารย์แล้วเมื่อคืน พอเหมือนตอนแรกก็ท่องพระรัตนตรัยใช่ไหมคะก็ไม่ได้มีอะไร แต่พอจิตร่ำธาตุขึ้นมาอย่างนี้ค่ะ ก็คือวิ่งเลยอย่างนี้ มันก็เลยเหมือนพาพะวงอยู่กับอาการที่มันเกิดอย่างนี้ค่ะ มันก็หลับๆตื่นๆแล้วมันก็แบบเหมือนพอมันเกิดความกลัวก็ ตอนแรกก็เอาพระรัตนตรัยใช่ไหมคะ ทีนี้ก็เห็นแล้วก็มาๆไปๆอย่างนี้ค่ะวนๆไป หนูก็เลยลองมากําหนดดูมันค่ะพระอาจารย์ ทีนี้หนูก็เลยอยากถามพระอาจารย์ว่าเวลาที่ความกลัวมันเกิดอย่างนี้เราก็กําหนดดูมันไปเรื่อยๆแบบนี้เหรอคะพระอาจารย์ ,อันนั้นคือดีที่สุด ถ้ากําหนดดูจะได้สติได้ปัญญา ถ้าท่องบทพระรัตนตรัยก็ได้กุศลธรรมรองรับจิต แต่ถ้าจะให้ดีก็คือเอาทางด้านสติปัญญาจะดีที่สุด เหมือนตอนแรกมันกลัวมาก มันก็เลยพยายามหาที่อยู่ มันจะเป็นอย่างนี้แหละ คือกลไกธรรมชาติของมนุษย์ มันปกป้องตัวเอง ความกลัวเป็นกลไกอันหนึ่ง ที่อยู่ในตัวคนทุกคนอยากจะบอกว่ามนุษย์รอดพ้นสิ่งต่างๆมาได้ก็เพราะความกลัวนั้นก็ใช่ เพราะถ้าไม่มีความกลัวเป็นเครื่องบ่งบอก เขาก็จะไม่รู้จักวิธีในการที่จะปกป้องตัวเองแต่การปกป้องตัวเองก็จะมีสองแบบ คือปกป้องตัวเองด้วยความหวาดกลัว กลัวนี่คือเป็นอารมณ์แต่หวาดกลัวนี่คือหมายถึงว่าถูกอารมณ์ของความกลัวครอบงํา แต่การปกป้องตัวเองอีกกรณีหนึ่งคือการแสวงหาความรู้เพราะการหวาดกลัวจะไม่เกิดสติเกิดปัญญา แต่การแสวงหาความรู้นั้นจะเกิดสติปัญญา,00.01.23,00.03.18
 แล้วก็กําหนดดูความกลัวไปอย่างนี้หรอนะคะอาจารย์ ตอนจนเที่ยงคืนครึ่งค่ะตื่นประมาณสี่ห้ารอบ ก่อนหน้านะคะหลับแล้วก็ตื่นประมาณสี่ห้ารอบ สติดี ถ้าคนนอนหลับยาวนี่สติไม่ดี แล้วก็เลยคุยกับตัวเองว่า ก็ไม่มีอะไรนี่ ก็นอนไปเถอะ ก็นอนไปเลย แล้วก็หลับยาวเลยค่ะ ก็ทั้งๆก็มีเพื่อนนอนอยู่ข้างๆ ก็ยังกลัว เก็ยังกลัวค่ะ มันก็ยังเกิดค่ะอาจารย์กับเพื่อนหลับหลับไปแล้ว แต่ว่าเมื่อคืนก็มีแบบได้ยินเสียง เสียงเพลง เสียงอะไร แล้วก็มีเสียงแบบอะไรต่างๆนาๆก็จะสะดุ้ง ส่วนหนูก็ไม่สนใจค่ะ หลับ ว่าเหมือนไม่อยากไปสนใจอะไรประมาณนั้นค่ะ เพื่อนขนาดอยู่ด้วยก็เป็นอย่างนี้แหละ หลับดีหลับง่าย แต่อย่างเมื่อเช้าหนู หนูจะหลับใช่ไหมคะ แต่หนูก็ได้ยินเสียง คือหนูอยู่กุฏิคนเดียว เพราะหนูปวดท้องหนูก็เลยไปนอนพัก แล้วหนูก็ได้ยินเสียงเหมือน ใบไม้ แต่ไม่ใช่เสียงคนเดิน แต่เป็นเสียงเหมือนแบบครืดๆแล้วก็เหมือนเสียงแบบหมามาแทะราวบันได เสียงตึงตังๆหน้ากุฏิจนหนูเริ่มแบบเหมือนมีความสังสัยมันคืออะไรหมาหรือเปล่า ก็เลยลุกขึ้นมาดูเลยค่ะ แล้วก็ไม่มีหมา หนูก็เลยมีความแบบเหมือนหงุดหงิดนิดนึง เราก็เลยพูดไปว่าจะพักผ่อนอย่ารบกวนได้ไหมอะไรอย่างนี้ ,มันจะอะไรก็ตามอย่าไปสงสัยมัน สงสัยมากไม่ค่อยดี ปล่อยผ่านไป ก็ให้เข้าใจเลยว่า มันก็คือเสียงอันหนึ่งที่ปรากฏขึ้นมา อยากจะให้เรารับรู้หรือไม่รับรู้อะไรก็ แค่เข้าใจว่า มันก็แค่เสียง,00.03.21,00.05.07
จริงๆเคยฟังเรื่องนี้แล้วแต่ว่าอยากให้พระอาจารย์ สอนอีกรอบค่ะ เรื่องนิวรณ์ห้าค่ะพระอาจารย์,นิวรณ์ห้าก็คือสิ่งที่มันกั้นจิตนิวรณ์นั้น การกั้นจิตมันจะมีสองด้าน ด้านแรกนิวรณ์ฝ่ายดี คือฝ่ายกุศลเจตสิก ด้านที่สองคือนิวรณ์ฝ่ายไม่ดีคืออกุศลเจตสิก อกุศลเจตสิกคือความหมายของนิวรณ์ในกรณีนี้ ซึ่งมีอยู่ห้าประการ ก็คือมีกามฉันทะนิวรณ์ พยาบาทนิวรณ์ ถีนมิทธะนิวรณ์ อุทธัจจกุกกุจจะนิวรณ์ วิจิกิจฉานิวรณ์ คําว่าเป็นเครื่องตั้งนี่นิวรณ์แปลว่าเครื่องกั้น คําว่าเครื่องกั้นคือ ถ้าใครก็ตามถูก นิวรณ์ห้าครอบงําทางใจนั้นจะไม่สามารถบรรลุถึงกุศลธรรมในระดับฌานและสมาธิได้ ถ้าใครต้องการฌานและสมาธิ จะต้องแก้ไขนิวรณ์นี้ให้ได้ก่อน หรือสิ่งที่จะเป็นตัวกําหนดว่า จิตเขาได้ฌานหรือได้สมาธิจิตดวงนั้นจะต้องปราศจากนิวรณ์ห้าประการ คือไม่มีกามฉันทะ ความพอใจในกาม พยาบาทะ ความพยาบาทปองร้ายใคร ถีนมิทธะความง่วงเหงาหาวนอนเซื่องซึม จริงๆเขาแปลว่าง่วงเหงาหาวนอน แต่จริงๆโดยความหมายแล้วไม่ใช่ความง่วงเหงาหาวนอน ถีนะกับมิทธะมีอยู่สองศัพท์ ถีนะแปลว่าหดหู่หรือว่าความอ่อนแอทางใจ ใจไม่มีกําลัง ใจหดหู่ ใจมันหดถอย ใจประเภทนี้คือถีนะ มิทธะคือ เซื่องซึมเพราะใจไม่มีกําลัง ร่างกายก็เลยเซื่องซึมไปด้วย อย่างนี้ ก็คือถีนมิทธะควบคู่กัน ไม่ใช่ความง่วงเหงาหาวนอน หากง่วงนอน แต่สามารถระลึกถึงกุศลธรรมได้อยู่ เช่น พุทโธ เม นาโถ ธัมโม เม นาโถ สังโฆ เม นาโถ หรือบทท่องธาตุ อันนี้ไม่ถือว่าเป็นถีนมิทธะ ถีนมิทธะเขามุ่งถึงกับจิตที่มันอ่อนแอ จิตไม่มีกําลัง จิตที่มันเซื่องซึม แล้วก็วิจิกิจฉาความลังเลสงสัยที่ไม่สามารถตัดสินลงไปในอันในอันได้ จริงไม่ จริงไม่จริง ใช่ไม่ใช่ ถูกหรือผิด ลังเลอยู่ข้างในแหละ เลยไม่สามารถบรรลุถึงเรียกว่า ที่เรากําลังทําอยู่นั้นสิ่งที่เราทําอยู่นั้นถูกหรือไม่ถูก ใช่หรือไม่ใช่ กั้นเลยว่าไม่รู้จะเดินหน้าต่อหรือถอยหลังหรือยังไง ก็เลยเป็นนิวรณ์กั้น มาทำให้ไม่เข้าไปถึงวัตถุประสงค์ที่ต้องการจะเข้าไปถึง นิวรณ์อันนี้ในประเภทอกุศลธรรมนั้นไม่ใช่กั้นเฉพาะสิ่งที่จะบรรลุถึงฌานและสมาธิเท่านั้น มันรวมไปถึงแม้กระทั่ง เรื่องบางเรื่องการงานที่เราทําหรืออะไรก็ตามที่นําไปสู่การตัดสินใจในภาวะบางอย่างในภาวะชีวิตประจําวันของเรา,00.05.25,00.08.41
ความขี้เกียจก็รวมอยู่ในถีนมิทธะไหมคะพระอาจารย์ แบบเหมือนก็อยากจะทํานะ แต่ก็รู้สึกว่าการที่จะต้องลุกไปทํานี่มันแบบมันยากเหลือเกินอย่างนี้ค่ะพระอาจารย์ ,ขี้เกียจอยู่ในถีนะ จิตไม่มีกําลังนะสิขี้เกียจ จิตไม่มีกําลัง ถ้าจิตมีกําลังมันจะไม่ขี้เกียจ ฉะนั้นกามฉันทะเขาก็เลยมีกรรมฐานเพื่อแก้นิวรณ์กันไง กามฉันทะก็คือแก้ด้วยอสุภะ พยาบาทะแก้ด้วยเมตตา ถีนมิทธะก็แก้ด้วยเรื่องของการอนุสติคือการสร้างกําลังทางใจให้จิตมันมีกําลัง ,00.08.42,00.09.32
อนุสติต้องทำอย่างไรบ้างคะพระอาจารย์  ,อนุสติ สติคือการตามระลึกถึงพระพุทธ พระธรรม พระสงฆ์ ระลึกถึงไปในกายและกายคตาสติ อานาปานสติ แต่อานาปานสติไปแก้อุทธัจจกุกกุจจะ อานาปานสติไปแก้อุทธัจจกุกกุจจะ ถีนมิทธะกลุ่มพุทธานุสติธรรมานุสติ สังฆานุสติ ทําจิตให้เกิดกําลัง ความลังเลสงสัย ความลังเลสงสัยนี่แก้ด้วยอะไร ปัญญาใช่ไหม มีเหตุมีผลใช่ไหม ปัญญานี้เอาปัญญาประเภทไหนในกุศลธรรม ทิฐิใช่ไหม ตั้งความเห็นให้ตรง มันถ้ามันกั้นกุศลธรรม จําไว้เลยว่าอะไรก็ที่กั้นกุศลธรรม กั้นกุศลธรรมนั่นแหละหมายถึงนิวรณ์ อันนี้ฝ่ายไม่ดีฝ่ายอกุศล กั้นกุศล ฝ่ายดีก็สติเป็นนิวรณ์อันหนึ่ง ปัญญาก็เป็นนิวรณ์ สตินั้นกั้นกระแสจิต ไม่ให้รับอารมณ์ สมาธิก็กั้นอารมณ์ไม่ให้กระทบกับจิต เพราะเกิดความมั่นคง คือทําจิตไม่ให้คล้อยตามอารมณ์ ปัญญาก็คือตัด ตัดรากเหง้าของความหลงและกั้นกระแสของความหลง นิวรณ์ทั้งห้าประการนี้ หากเรา ระลึกถึงพระรัตนตรัยอยู่เป็นประจํา มันแก้ได้หมดเลยแก้ได้ทุกข์นิวรณ์ที่เป็นเครื่องกั้น,00.09.32,00.11.36
ก็นึกถึงพระรัตนตรัยไปเรื่อยๆก็สามารถแก้ เพราะว่าหนูก็รู้สึกว่าตัวเองขี้เกียจ ขี้เกียจทํางาน ขี้เกียจอะไรอย่างนี้ค่ะ สามารถแก้ได้เหมือนกันใช่ไหมคะ ,แก้ได้ เพราะว่าถ้าใจเรามีกําลังแล้วนั้นความเพียรมันก็จะเกิดขึ้น ความพยาบาทอาฆาตใครก็ไม่มี จิตที่ไปปลูกติดหรือหลงไปกับอารมณ์ของกามสุขมันก็ไม่มี ขี้เกียจก็จัดเป็นกามสุขอันหนึ่ง ที่จิตหรือว่าร่างกายเราถูกติดอยู่ แล้วก็สามารถแก้ไขความลังเลสงสัย แล้วก็ทําให้เกิดความฟุ้งซ่านสงบระงับไป จริงๆอนุสตินั้นมัน ครอบคลุมการปฏิบัติพุทธานุสติ ธัมมานุสติ สังฆานุสติ หรือพระรัตนตรัยที่พระอาจารย์สอนมันครอบคลุมการปฏิบัติ เพราะอนุสติจัดอยู่ในอารักขากรรมฐาน คําว่าอารักขากรรมฐาน คือสิ่งที่รักษากรรมฐานไว้ รักษาข้อปฏิบัติของเราไว้อารักขา นั้นเราปฏิบัตินั้นเราจะเอาอะไรมาเป็นเครื่องอารักขาใจเรา  เมื่อ พระพุทธ พระธรรม พระสงฆ์นั้น พุทธานุสติ ธัมมานุสติ สังฆานุสติ มันอยู่ในอารักขกรรมฐาน คือกรรมฐานที่อารักขาใจเรา เราก็ควรที่จะระลึกถึงย้ําๆซ้ําๆอยู่บ่อยๆ เพราะนั่นคือเครื่องอารักขาใจ เครื่องป้องกันใจอย่างนี้ มีความสําคัญมาก แต่จริๆอนุสติจริงๆมีอยู่สิบประการ สีลานุสติระลึกถึงศีลของตน จาคานุสติระลึกถึงทานที่ตัวเองเคยบริจาคไว้ กายาคตานุสติมีสติระลึกไปในกาย ก็ท่องธาตุกรรมฐานสี่ก็จัดอยู่ในกายาคตาสติ อุปสมานุสติ อุปสมานุสติระลึกถึงพระนิพพาน หรือว่าพยายามอุปมาอุปมัยเทียบเคียง คําว่าระลึกถึงพระนิพพาน แน่นอนเราไม่เคยเห็นพระนิพพานระลึกถึงไม่ได้ แต่เปรียบเทียบหรือเทียบเคียงได้ว่าโลกนี้มีทุกข์ พระนิพพานไม่มีทุกข์ โลกนี้วุ่นวาย พระนิพพานไม่มีความวุ่นวาย โลกนี้มีปัญหาพระนิพพานไม่ได้มีปัญหา โลกนี้มีแก่ พระนิพพานไม่แก่ โลกนี้มีเจ็บพระนิพพานไม่เจ็บ โลกนี้มีตายพระนิพพานไม่ตาย คือเปรียบเทียบอย่างนี้เพื่อให้เห็น คุณค่าของพระนิพพาน จิตจะโน้มเอียงไปสู่สภาพแห่งการดับ คือพระนิพพานเป็นวิถีหรือว่าเส้นทางของการดับทุกข์ทั้งปวง การระลึกอยู่บ่อยๆอย่างนี้ ก็จิตเราก็ได้รับการอารักขามีเครื่องคุ้มครองรักษาภายใน,00.11.37,00.14.19
พระอาจารย์คะหนูขอกลับไปที่เรื่องความกลัวนิดนึงเมื่อคืนค่ะ ที่มันกลัวตอนแรกก็คือด้วยอาการด้วยอะไรมันก็เกิดความกลัวที่เป็นความรู้สึกใช่ไหมคะทีนี้พอหนูตามดูความกลัวค่ะ มันก็จะมีสังขารแบบความคิดของเราค่ะ ที่มันโผล่ขึ้นมาแล้วหนูรู้สึกว่าสังขารนั่นแหละที่มันทําให้ความกลัวของเราค่ะมันเพิ่มขึ้น,สังขารไม่ได้ทําให้ความกลัวเพิ่มขึ้น เพราะเราไม่ได้เข้าใจความกลัวตั้งแต่แรก เราจึงไปมีสังขารกับความกลัว ถ้าเราเข้าใจแล้ว มันจะไม่มีสังขารสืบต่อ ความกลัวเป็นสังขารขันธ์อยู่แล้ว ถ้าจะจัดเป็นเป็นกลุ่มโมหะ ถ้าอยู่ในอกุศลก็คือ มันจะมีโลภะโทสะ โมหะ ใช่ไหม โมหะคือความหลง ความหลงไม่รู้จริง การหลงที่ไม่รู้จริงนั้นจึงเกิดความกลัว หลงว่าเราเป็นสิ่งนี้ สิ่งที่เป็นเราอย่างนี้ เกิดความกลัวขึ้น เข้าใจว่าความกลัวเป็นเรา เราเป็นความกลัว เพราะนั้นความกลัวเกิดขึ้น  เรามีความกลัวทันที แต่เราไม่ได้บอกว่าความกลัวเป็นสิ่งที่เราต้องรู้ เพราะฉะนั้นความหลงนั้นเพราะเข้าใจว่า ตนเองมีในสิ่งนั้น ก็เลยหลงว่าตัวเองเป็นในสิ่งนั้น เป็นความกลัว มันเกิดจากโมหะจิต  ฉะนั้นความกลัวเป็นอารัมมณะคืออารมณ์ อารมณ์คือสิ่งที่บ่งบอกให้เราทราบต่อสิ่งที่เรากําลังสัมผัสอยู่ เมื่อใดก็ตามที่เรารับทราบต่อสิ่งที่เรากําลังสัมผัสอยู่แล้วปรากฏสิ่งใดขึ้น สิ่งนั้นมันไม่ผิด เช่น เอานิ้วไปจุ่มน้ําร้อน มันก็ต้องร้อน ไปจุ่มน้ําเย็นมันก็เย็น ร้อนหรือเย็นเป็นเพียงแค่สิ่งที่แสดงออกให้เราทราบต่อสิ่งที่สัมผัสอยู่ แต่หมายถึงว่าใจเราไปสัมผัสกับภาวะบางอย่าง ที่เคยรับรู้มาก่อนว่าเป็นสิ่งที่น่ากลัว เราไม่ได้เคยเคลียร์สภาพทางใจแห่งการรับรู้ด้วยความเข้าใจไว้ก่อนในคราวครั้งในระยะเวลาที่ผ่านมา เวลาเกิดความกลัวขึ้น ความกลัวกลับใจเลยเกาะเกี่ยวกันได้อย่างสนิท จึงมีการปรุงแต่งต่อความกลัวชนิดนั้นๆ ถ้าเรามาสร้างความเข้าใจว่าความกลัว ก็คือสิ่งที่แสดงออกให้เราได้รู้ต่อสิ่งที่จิตกําลังสัมผัสเกี่ยวข้องอยู่ มันสัมผัสเกี่ยวข้องอะไรอยู่ มันแสดงออกอันนั้นก็ไม่ผิด ถูกต้องมันต้องกลัว ความกลัวต้องเกิดขึ้นกับจิต จิตเรากําลังมีความกลัว ความกลัวกําลังปรุงแต่งจิต จิตกําลังถูกความกลัวปรุงแต่ง ถ้าดูอย่างนี้มันจะไม่คิดต่อ มันจะรู้ ถ้าเราฝึกที่จะรู้อย่างนี้ความกลัวเกิดขึ้นอีกในครั้งต่อไป มันจะถูกรู้อย่างนี้,00.14.22,00.17.11
ก็คือเราก็ต้องกําหนดรู้ไม่ว่าอะไรมันจะเกิดขึ้นกับเราถูกไหมคะ ,ใช่ เราต้องกําหนดรู้เพราะเราไม่เคยสร้างความรู้ให้กับใจต่อสภาพการของสิ่งที่ปรากฏหรือแสดงออกให้เราได้เข้าใจ แต่เราไม่เข้าใจ แท้ที่จริงแล้วมันคือการแสดงออกแบบตรงไปตรงมา ร้อนเย็นหนาวสุขทุกข์มันแสดงออกแบบตรงไปตรงมา แต่เราไม่ได้ตรงไปกับเรื่องนั้นเราไปเปลี่ยนแปลงมัน เราไม่อยากให้มันเป็น นี่คือสิ่งที่เราปฏิบัติผิดไง ฉะนั้นข้อปฏิบัติจึงเข้าไปเรียนรู้มันเข้าไปสร้างความเข้าใจว่า ความกลัวกําลังเกิดขึ้นกับจิต จิตกําลังมีความกลัว ความกลัวกําลังปรุงแต่งจิต จิตกําลังถูกความกลัวปรุงแต่ง ความกลัวที่ถูกรู้ มันจะถูกแก้ไข อย่าไปโทษสังขาร ถ้าไปโทษสังขารเมื่อไหร่คือเราโทษผิดจุด เพราะไม่ถูกเหตุของมัน เราต้องไปดูเหตุของมันที่แท้จริง วิธีการง่ายๆ,00.17.12,00.18.19
พระอาจารย์คะเวลาง่วงค่ะ เราจะรู้ได้ไงว่าเป็นความง่วงจากกายที่มันเหนื่อย หรือว่าจากนิสัยหรืออะไร ,ก็ทักความง่วงก่อน ความง่วงกําลังเกิดขึ้นกับจิต กับเราก็ได้ เรากําลังเกิดความง่วง ความง่วงกําลังปรุงแต่งเรา เราถูกความง่วงปรุงแต่ง เรากําลังมีความง่วง ความง่วงกําลังมีอยู่ในเรา เราถูกความง่วงปรุงแต่ง ให้รู้ทันอารมณ์เหล่านี้ก่อน ,00.18.20,00.18.45
