question,answer,start_time,end_time
เวลาที่เราพิจารณากัน เคยได้ยินที่พระอาจารย์บอกว่าไม่จําเป็นต้องไปดูรูป พวกรูปศพ รูปอะไรอย่างนี้ สาเหตุที่พระอาจารย์ไม่อยากให้ไปดูรูป เพราะอะไรนะคะ,ถ้าเราดูรูปซากศพ รูปเปื่อยเน่า รูปความผุพองไม่สวยไม่งามอะไรประมาณนี้ มันคือการไปรับรู้สิ่งที่เป็นเหตุปัจจัยภายนอก เราอาจจะเกิดความรู้สึกรังเกียจ จนเราไปเข้าใจว่าจิตเราได้เบื่อสิ่งนั้นจริงๆ แต่แท้จริงแล้วเราไม่ได้เบื่อมันจริงๆ เพราะมันไม่ได้เกิดจากภายในจิตที่ได้ไปสู่กระบวนการการพิจารณา เป็นเพียงแต่ภาวะการรับรู้ของเรา เป็นการรับรู้ในส่วนของเราเอง ไม่ใช่ให้จิตมันเกิดความรู้ในภายใน ฉะนั้นจิตจะเกิดความรู้ในภายในจะต้องเป็นการพิจารณาใคร่ครวญจากภายในในจิตเองที่จิตรู้เอง จะกระจ่างภายในใจเอง แล้วก็ทราบแจ้งแต่ใจเอง การเพ่งดูรูปอสุภะ รูปเปื่อยเน่า รูปร่างกายสกปรกโสโครกยังไงก็ตามในภายนอก มันเบื่อในภายนอก มันไม่ได้เบื่อจากภายใน  มันคือทําให้คนไม่ถึงตัวความจริงของข้อปฏิบัติ,00.03.03,00.04.13
ตอนพิจารณากายหกขั้นตอน ภาพที่มันเคยดูมันมาผสมกับภาพที่เรากําลัง คือสมมุติพอมาพูดว่าอืดบวมพอง มันก็จะเห็นภาพอืดบวมพองที่เป็นแบบที่เราเคยเห็นมาอย่าง อย่างนี้มันจะขวางการปฏิบัติไหม,อันนี้ใช้ได้ ถ้ามันเป็นการพิจารณาจากภายใน ภาพเหล่านั้นจะเข้ามาประกอบเป็นคําอธิบายหรือเป็นการอธิบายให้จิตได้เข้าใจด้วยมโนภาพนั้น อันนี้ไม่ได้เสียหายอะไร ไม่ได้เป็นปัญหา แต่การไปเพ่งดูข้างนอกเลย มันก็คือการรับรู้อารมณ์จากภายนอก ซึ่งก็ไม่ต่างจากการรับรู้อารมณ์ที่ดีและไม่ดีของภายนอกอยู่นั่นเอง มันก็ไม่ได้ช่วยทําให้สติปัญญาเราเพิ่มขึ้น เพียงแต่เราได้รับรู้ทางด้านอารมณ์ที่เป็นของสกปรก ของเปื่อยเน่า ของพองขึ้นอืดขียวช้ําอะไรประมาณนี้ มันเป็นการรับรู้แค่นั้น ไม่ใช่การรับรู้จากภายใน,00.04.33,00.05.24
กรรมอะไรที่ทําให้กลายเป็นเจ้าชายนิทรา น้องชายเพื่อนอายุยี่สิบปีตอนนี้เพิ่งกลายเป็นเจ้าชายนิทราได้สามวัน สามารถแนะนําให้ครอบครัวเขาสวดพระปริตรได้ไหมคะ ลักษณะแบบนี้คือธาตุไม่สามารถตอบสนองได้ แต่จิตยังรับรู้หรือเปล่าคะ,โดยทางพยาธิสภาพนี่พระอาจารย์ไม่ทราบว่าคําว่านิทรา มันมีมันเป็นแบบไหนหรือมันเป็นอย่างไรหรือจะเกิดจากสาเหตุอะไร ตรงนี้ยังไม่แน่ใจ แต่กรรมมีแน่นอน แต่กรรมอะไร มันก็ยากที่จะระบุได้ว่ากรรมที่นําส่งผลมาให้ได้รับการเป็นอย่างนี้ คำว่านิทราก็ต้องไปดูว่าเหตุของนิทราที่ที่เป็น เป็นเพราะอะไร มันมีโรคอะไรอยู่ในนั้นหรือเปล่าหรือยังไง  ก็น่าจะมาจากประเภทความเครียด แรงกดดันความที่ไม่สามารถที่จะแก้ไขปัญหาอะไรที่ก่อให้เกิดความทุกข์ที่นํามาสู่การกระทบต่อกายภาพคือความเจ็บป่วย ก็ต้องระบุโดยอาการที่นํามาซึ่งโรคหรือปัญหาที่เป็นอยู่ ก็ต้องไปดูรายละเอียดของการนํามาซึ่งความเจ็บป่วยว่าเหตุอันนั้นมันคืออะไร  ก็เทียบเหตุอันนั้นจากกรรมที่ระบุลงไปว่ากรรมเหล่านี้ ถ้ารวมๆแล้วก็จะอยู่ในกลุ่มของปาณาติบาตทั้งหมด อาจจะไม่ถึงการทําที่ให้เขาถึงขั้นตายจริงๆ อาจจะประสงค์จะให้ตาย แต่ว่าในการลงมือนั้นเขาไม่ตาย ก็ต้องอยู่ในสภาพอย่างนี้นะกึ่งเป็นกึ่งตาย จนกว่าจะถึงวันตายจริง  ถามว่าถ้าจะสวดพระปริตรได้ไหม ก็สวดได้ แล้วก็รบกวนสวดด้วย เพราะว่าปาณาติบาต มันเป็นการให้ผลกรรม มีหลายระดับ หนึ่งระดับในการตัดรอนชีวิต สองในระดับของการบั่นทอนตัดลอนคือทําให้ถึงเป็นอุบาตกรรมคือทําให้ตายไปเลย บั่นทอนก็คือทําให้เกิดโรคอย่างนี้แหละ คือไม่ให้ใช้ชีวิตได้อย่างโดยปกติ ฉะนั้นไม่ว่าจะเป็นกรรมไหนก็ตาม ขอให้ทราบว่ามูลเหตุทั้งหมดมาจากปาณาติบาตที่ได้เกิดขึ้น เราสามารถที่จะสวดพระปริตรไปลดทอนกรรมวิบากนั้นได้หรือไม่ ถ้าหากเราสวดก่อนที่จะกรรมนั้นจะให้ผล มันจะสามารถลดถอนได้ แต่ถ้าเกิดแล้ว พระอาจารย์ก็ไม่แน่ใจว่าจะลดทอนได้มากแค่ไหน ผู้สวดก็ต้องมีความตั้งใจสวดเป็นอย่างดี แล้วก็พยายามอธิษฐานจิตเข้าถึงพระรัตนตรัยในขณะที่สวด พร้อมกับส่งกระแสพระรัตนตรัยไปถึงเขา ถ้าอยากจะทําอย่างนี้ สวดพระปริตรได้เลย ไม่เสียหายอะไร,00.05.31,00.08.58
 ไปอยู่ป่ากิเลสไม่เกิดเหมือนครูบาอาจารย์สายพระกรรมฐานหลวงปู่มั่น ขอพระอาจารย์ช่วยชี้ทัศนะกับข้อความนี้เจ้าค่ะ, ไปอยู่ป่ากิเลสไม่เกิด ไม่น่าจะใช่หลักการที่ถูกต้อง จริงๆพระไปอยู่ป่าก็เพื่อไปชําระกิเลสนั่นแหละ เป็นเพียงแต่ว่าไม่ให้กิเลสที่อยู่ในเหตุปัจจัยภายนอกที่เกี่ยวข้องอยู่ในเมือง อยู่ในสถานที่ที่เกี่ยวข้องกับผู้คนมากมายเป็นการคลุกคลีกัน จนทําให้สามารถที่จะจับประเด็นของกิเลสที่เกิดกับจิต แล้วก็อยากมีสติปัญญาในการสงบใจสงบอารมณ์ที่จะจัดการกับมัน ท่านก็เลยหลีกเลี่ยงเพื่อจะไม่ให้เหตุปัจจัยเหล่านั้นเข้ามาซ้ําเติมกับกิเลสที่อยู่ในภายใน ท่านไปอยู่ป่าเพื่อชําระกิเลสทั้งนั้น ก็คือกิเลสก็ยังอยู่ในใจท่านนั่นแหละ จะอยู่ป่า อยู่บ้านหรืออยู่ไหนก็ตาม เป็นเพียงแต่ว่าการอยู่ป่ามันเป็นอุบายอย่างหนึ่งที่จะทําให้จิตของท่านไม่ได้วุ่นวายมากนัก และก็จิตของท่านจะทรงตั้งมั่นอยู่กับสมาธิแล้วจะเห็นอาการที่กิเลสเกิดขึ้นกับจิต พอเห็นแล้วก็จะสามารถแก้ไขได้ด้วยปัญญาในขณะนั้น อันนี้คือลักษณะของการอยู่ป่า แต่ไม่ได้หมายถึงว่าไปอยู่ป่าแล้วกิเลสจะหมด คนมาอยู่ป่าคน นายพรานในป่าก็ยังมีกิเลสอยู่เต็มตัวอย่าง ไม่ได้หมดไปเพราะอยู่ป่า,00.09.17,00.10.34
เรื่องการปฏิบัติระหว่างวัน ถ้าว่างเว้นจากการงานจะระลึกถึงพระรัตนตรัย ท่องธาตุกรรมฐานและพิจารณาการหกขั้นตอน และถ้ามีเวทนาชัดก็จะพิจารณาอริยสัจสี่ เป็นอย่างนี้วนไปทั้งวัน แต่ก่อนนอนมีแค่สวดพระปริตรยังไม่เคยตั้งจิตอะไรเลย เราต้องปฏิบัติเพิ่มอย่างไรหรือมีแนวทางใดเพื่อเป็นแนวทางสําเร็จในมรรคผลคะ,เวลานอนก็เราก็นอนไปพร้อมกับการระลึกถึงพระรัตนตรัยนี่แหละ มรรคผลมันอยู่เบื้องหน้า มันไม่ได้อยู่ในตอนนี้ ฉะนั้นตอนนี้อยู่ในส่วนของการสร้างเหตุ การน้อมจิตเข้าถึงพระรัตนตรัยนั้นเป็นส่วนสําคัญที่เราพึงกระทําและใส่ใจไว้อยู่เสมอ ให้ระลึกถึงพระรัตนตรัยแล้วก็หลับไปพร้อมกับพระรัตนตรัยก่อนนอนนั้นเลย การที่จะเข้าถึงอริยมรรคอริยผล เดี๋ยวก็จะมีเหตุปัจจัยในระดับต่อไปในการปฏิบัติก็คือการท่องธาตุกรรมฐานสี่ การพิจารณาร่างกายของขั้นตอนซึ่งจะเป็นแบบวิธีที่พระอาจารย์วางไว้ให้เราปฏิบัติในการดําเนิน แต่อยากจะให้พวกเรากระทํา ขอให้ทําแบบประจักษ์แจ้งกับพระรัตนตรัย เกิดรองรับจิตหรือเห็นกับใจของตัวเองก่อนเป็นสําคัญ แล้วข้อปฏิบัติอันต่อไป มันจะเกิดประโยชน์และเกิดผลทางด้านการปฏิบัติดีขึ้น,00.10.36,00.11.56
ฟังพระอาจารย์แนะนําให้สวดพุทโธเมนาโถ ธัมโมเมนาโถ สังโฆเมนาโถทุกวัน เคยได้ยินในละครพูดว่าพุทโธธัมโม สังโฆ เหมือนกันใช่มั้ยคะ และถ้าสวดตามพระอาจารย์แนะนํา เคยสวดนะโมตัสสะตลอด และอิติปิโสก็ไม่ต้องก็ได้ใช่ไหมคะ,"การกล่าวถึงบทสวดนะโมตัสสะหรืออิติปิโส ยังไม่ใช่จุดประสงค์ในความหมายที่พระอาจารย์ต้องการอยากจะให้เราอธิษฐานจิตเข้าถึงพระรัตนตรัย มันคนละความหมายและคนละกรณี การที่พระอาจารย์ให้ใช้บทที่ว่าพุทโธเมนาโถ ธัมโมเมนาโถ สังโฆเมนาโถ พระอาจารย์มีความหมายเพื่ออยากจะเชื่อมต่อจิตกับพระรัตนตรัยกับใจเราให้เป็นอันหนึ่งอันเดียวกัน  เพราะเมื่อเราเข้าถึงพระธาตุไตได้แล้ว เราจะสามารถปฏิบัติกรรมฐานในด้านการเจริญจิตภาวนา เพื่อเข้าไปทําลายอาสวกิเลส มันจะปฏิบัติไปได้ดีและไปได้ง่าย อีกอย่างหนึ่งการเข้าถึงรัตนตรัยก็เป็นกุศลบาตรเบื้องต้นคล้องใจเราที่พึงจะทําให้มีขึ้น ทําให้เกิดขึ้น ทําให้มันรองรับ เพราะเราในฐานะของพุทธศาสนานิกชน ถ้าเราไม่เข้าถึงรัตนตรัยทางใจหรือไม่รับทราบความเป็นพระรัตนตรัยว่าพระรัตนตรัยในพุทธศาสนาเรายังมีอยู่เพื่อให้เกิดการยึดพึ่งสําหรับพุทธสาวกอยู่ เราก็จะไปคว้าอย่างอื่นมาเป็นเครื่องยึดพึ่ง นอกจากพระรัตนตรัยก็จะกลายเป็นผู้อยู่นอกศาสนา เป็นผู้ไปตกอยู่ในค่าความงมงายอีก การฝึกใจของเราให้น้อมเข้าถึงพระรัตนตรัยด้วยบท มันต้องเป็นบทนี้ด้วย เป็นบทอื่นไม่ได้ นะโมตัสสะก็ไม่ได้ อิติปิโสก็ไม่ได้  มันเป็นของจําเพาะมากที่พระอาจารย์ได้ให้ใช้บทนี้ เพราะเรื่องนี้มันเป็นเรื่องที่ระบุหรือสื่อถึงพระรัตนตรัยโดยตรง แต่บทอิติปิโสก็คือบทกล่าวถึงกิตติศักดิ์อันงามของพระพุทธเจ้า ใช้ในกรณีที่เป็นบทนี้อยู่ในธชัคคสูตร ธชัคคสูตรสามารถนํามาสู่การทําเป็นปริตร คือธชัคคปริตรได้ โดยการระลึกว่าอิปิติโสภะ อะระหังสัมมาสัมพุทโธ ใช้ในกรณีที่เราเกิดความกลัว ความสยองเกล้า อันนี้พระองค์บอกให้นํามาใช้ แต่ถ้าไม่ถึงขั้นนั้นก็ไม่จําเป็นต้องใช้ นะโมตัสสะก็คือการกล่าวนอบน้อมต่อพระสัมมาสัมพุทธเจ้า
ใช้เป็นเครื่องคุ้มครองได้ เครื่องรักษาได้ เครื่องป้องกันได้ แต่บทพุทโธเมนาโถเป็นบทที่พระอาจารย์ ค้นพบในระหว่างการปฏิบัติ โดยการที่มีจุดประสงค์ให้จิตเรากับพระรัตนตรัยเชื่อมต่อเป็นอันหนึ่งอันเดียวกัน ต้องใช้บทนี้เท่านั้น ใช้บทอื่นไม่ได้ ฉะนั้นบทแต่ละบทมันมีความจําเพาะในการที่จะใช้ต่อเรื่องนั้นๆอยู่ ไม่ใช่ไม่สามารถใช้ทดแทนกันได้ ขอให้เข้าใจว่ามันเป็นคนละความหมาย",00.11.58,00.15.02
เรื่องซิกเซนส์ เช่นรู้อนาคต ระลึกชาติ ตาทิพย์ หูทิพย์ ทรจิตร อ่านใจคนได้ มีพลังจิตและอื่นๆ ใครที่มีต้องมีสติ(มีธรรมะ) เพื่อแค่เห็นสิ่งที่เป็นไปใช่ไหมคะ แล้วปล่อยวางทั้งหมดจึงจะนิพพานได้ใช่ไหมคะ,การเข้าถึงนิพพานกับการกล่าวถึง การรับรู้แบบนี้มันคนละอย่างกันเลย อย่างสิ้นเชิงเลยนะ ไม่สามารถเป็นอันเดียวกันได้และไม่ใช่เส้นทางไปถึงพระนิพพานด้วย โดยธรรมชาติของจิตเรา ถ้าไม่มีอะไรปิดบัง มันสามารถรู้อดีต รู้อนาคตได้เลยโดยธรรมชาติ ไม่ต้องมีวิชา ไม่มีญาณ ไม่มีอะไรกันทั้ง มันก็สามารถรับรู้ได้เลย แต่เนื่องจากว่าจิตเรามันมีการถูกปกปิดไปด้วยกลุ่มอารมณ์ กลุ่มอสาวะ กลุ่มกิเลส กลุ่มอนุสัยเหล่านี้ แล้วสติเรามันไม่ได้ตั้งมั่นเพียงพอในการที่จะเข้าไประลึกรู้สภาพของจิตตามความเป็นจริง เราเลยไม่เข้าใจ แล้วก็ไม่ได้เห็นเรื่องราวของความเป็นธรรมชาติของจิต ถ้าเราไม่รู้เรื่องราวของความเป็นธรรมชาติของจิต เราจะรู้เลยว่ามันเป็นเรื่องธรรมดามาก เป็นปกติอยู่แล้วที่จิตมันสามารถรู้อดีตได้ แม้แต่ปัจจุบัน เรายังสามารถระลึกถึงเรื่องราวที่ผ่านมาในอดีตได้ เป็นเพียงแต่ว่าสติของเราระลึกไปไกลเกินกว่านั้นไม่ได้นะ ชาติก่อนเป็นแบบไหน? ชาติก่อนโน้นเป็นแบบไหน? ชาติก่อนโน้นโน้นเป็นแบบไหน? ก็คือสติเราไม่ได้เพียงพอระลึกได้ ระลึกใช้ได้แค่ชาตินี้เท่านั้น อนาคตเราก็สามารถที่จะเข้าใจได้ เพราะธรรมชาติของจิตมันสามารถรู้อนาคตได้ ตัวอย่างเช่น การที่เรามองไปข้างหน้า เราเห็นอะไรที่อยู่ข้างหน้าเรา นั่นหมายถึงมันคืออนาคตแล้วนะ เพราะคําว่าปัจจุบันก็คือเมื่อเราเดินไปถึงตรงสิ่งที่เราเห็น มันถึงจะเป็นปัจจุบัน นั่นหมายความว่าเราเห็นก่อนแล้ว ก่อนที่เราจะไปถึงตรงจุดนั้นก็คือรู้อนาคต แต่การรู้อนาคตของเรา มันรับรู้เพียงแค่สายตาเข้าไปมองเห็น แต่ระดับของจิต มันสามารถล่วงรู้สิ่งที่เกินกว่าสายตาที่จะมองเห็น คือมันล่วงรู้ไปก่อน ในระดับของความรู้ของจิต ฉะนั้นหลักการของการฝึกสติขึ้นมา มันดึงคนที่ฝึกสติถึงระดับหนึ่ง ที่ไปคลายสิ่งที่ปกปิดตัวจิตไว้ จึงจะไปเห็นธรรมชาติตัวนี้ พอเห็นธรรมชาติตัวนี้ก็จะเข้าใจธรรมชาติตัวนี้ว่าอ๋อ มันรู้อดีต รู้อนาคตได้อยู่แล้วโดยปกติ มันก็คือเป็นคุณธรรมอันชั้นกุศลธรรมที่เป็นสติที่ถูกสุขอย่างดีแล้วจึงเกิดผลอย่างนี้,00.15.26,00.17.54
อย่างพระบางรูปก็จะระลึกอดีตได้ก็จะไม่เท่ากันใช่ไหมคะ บางรูปก็ไปได้ แบบเท่านั้น เท่านี้ชาติ บางรูปไปได้ไกลเลยอย่างนี้ขึ้นอยู่กับอะไรเหรอคะ,ขึ้นอยู่กับบุญกุศลแต่ปางก่อนเป็นเครื่องรองรับให้ได้รู้ เท่าที่ได้รู้ เกินกว่านั้นก็ไม่ได้และการฝึกสติของท่านก็เพียงพอต่อการที่จะรับรู้เท่านั้น เกินกว่านั้นก็ไม่ได้ มันมีขอบเขต ไม่ใช่ใครอยากจะฝึกได้เท่าไหร่ ยังไง ตามใจตัวเอง อยากจะรู้อะไรแบบไหน? ยังไง ก็ไม่ใช่ เพราะฉะนั้นรู้แล้วก็ไม่ได้หมายถึงว่าจะต้องไปรับรู้จิตคนนั้น จิตคนนี้ได้ด้วย มันเป็นของจําเพาะอยู่เหมือนกัน สิ่งเหล่านี้ไม่ได้เป็นสาธารณะทั่วไปที่จะเป็นอย่างนี้ได้ทุกคน มันจึงกลายเป็นเรื่องว่าเป็นคุณวิเศษที่มีอยู่ในเฉพาะบุคคล ไม่ใช่ทั่วไปสําหรับบุคคล ,00.17.58,00.18.48
ทําอย่างไรให้นอนหลับง่าย ไม่ตื่นกลางดึก,อาการนอนหลับง่ายเคยแนะนําไปแล้วในคราวครั้งก่อนก็คือฝึกให้มีสติระลึกรู้อยู่กับกายตัวเองในขณะที่นอนก็คือ ระลึกรู้อยู่ที่หัวสัมผัสกับหมอน ลําตัวสัมผัสกับที่นอน เท้ายาวเหยียดออกไป ก็ให้ลึกรู้อยู่ในวงของกายตั้งแต่ศีรษะจรดเท้า แล้วก็เท้าขึ้นมาตามลําตัว แล้วขึ้นมาที่ศีรษะให้รับรู้อยู่ที่หัวสัมผัสกับหมอน ลําตัวสัมผัสกับที่นอน ตอนที่นอนแรกๆเราจะรู้สึกผ่อนคลาย แล้วก็เกิดความสบายในร่างกาย ให้น้อมความระลึกรู้ในกายกับความผ่อนคลายและความสบายนั้นคลุกคลีไปด้วยกันพร้อมกับการนอน มันจะนอนหลับได้ง่าย ขอให้ฝึกอย่างนี้บ่อยๆ ,00.19.20,00.20.09
ขอโอกาสพระอาจารย์อธิบายคําว่า อยู่แบบไม่มีเพื่อนสอง,เคยได้ยินอยู่ แต่คําว่าเพื่อนสองเราอาจจะไปพูดถึงปัญหาอะไรก็ได้ มีตัณหาเป็นเพื่อนสอง ก็มนุษย์ทุกคนมันมีเพื่อนสองอยู่แล้ว มันมีตัณหาอยู่คู่กับจิตมาแต่ไหนแต่ไรอยู่แล้ว เหมือนกับผลไม้ที่มีเปลือกติดมาอยู่แล้ว มันเป็นธรรมดาอย่างนี้ มันเป็นเรื่องปกติ การอยู่แบบมีเพื่อนสองก็คือการเข้าถึงภาวะความเป็นหนึ่งในตัวเอง ความเป็นหนึ่งในตัวเองก็คือการมีสติอยู่กับร่างกาย มีสติอยู่กับตัวตนของตัวเรา ลักษณะการอยู่อย่างนี้พุทธเจ้ามักจะอธิบายเกี่ยวกับความวิเวก คือความวิเวกโดยผู้เดียว แต่จริงๆแล้วคนที่อยู่รอบข้างเราก็มี อันนี้ไม่ได้มุ่งหมายตัวบุคคลที่มาเกี่ยวข้องเรา แต่เพื่อนสองนี่คือตัวกลุ่มตัณหากลุ่มอวิชา และกลุ่มที่เรียกว่าอยู่แบบไม่มีเพื่อนสอง ก็คือพยายามทํำลายตัณหาออกจากจิตให้ได้,00.20.16 ,00.21.25
