question,answer,start_time,end_time
สังโยชน์มีความหมายว่าอย่างไร และอะไรเป็นเครื่องผูก,สังโยชน์มีความหมายว่าเครื่องผูกใจสัตว์ พุทธเจ้าพระองค์ทรงตรัสไว้สิบประการในเครื่องผูก เครื่องผูกใจสัตว์ไว้ในวัฏฏะนี้ไม่ให้พ้นจากการเวียนว่ายตายเกิดหรือผูกติดไว้กับกามโรค รูปโรค เรียกว่า วัฏฏะการถูกผูกใจไว้อย่างนี้ มันมีเครื่องผูกอยู่สิบอย่าง เครื่องผูกอันแรก เรียกว่า สักกายทิฏฐิ เป็นตัวผูก อันที่สองเรียกว่าวิจิกิจฉา อันที่สามเรียกว่า สีลัพพตปรามาส อันที่สี่เรียกว่า กามราคะ ปฏิฆะอันที่ห้า อันที่หกเรียกว่ารูปราคะ อันที่เจ็ดเรียกว่า อรูปราคะ อันที่แปดเรียกว่ามานะ อันที่เก้าเรียกว่าอุทธัจจะ อันที่สิบเรียกว่าอวิชชา นี่คือเครื่องผูกเรียกว่าสังโยชน์ แปลว่าเครื่องผูก เครื่องผูกนั้นเป็นภาษาไทยแต่ภาษาบาลีถ้าแปลตามตัวคือการประกอบพร้อม ประกอบขันทั้งหมดไว้กับวัฏฏะพร้อมกันคือไม่ให้ออกจากกัน โยชนะคือการประกอบไว้ควบคุมไว้ ควบคุมให้ดวงจิตไม่สามารถถึงความหลุดพ้นนี่คือสังโยชน์สิทธิ์,00.01.51,00.03.39
อนุสัยคืออะไร,อนุสัยคือกิเลสนอนเนื่อง คําว่ากิเลสนอนเนื่องคือการที่กิเลสมันนอนเนื่องอยู่ในขัน ขันก็คือขันธสันดาน ขันธสันดานก็คือมีรูปขันธ์ เวทนาขันธ์ สัญญาขันธ์ สังข์ขันธ์และวิญญาณขันธ์ เรียกว่าขันธสันดานคือเป็นที่นอนเนื่องของกิเลส ที่นอนเนื่องของกิเลสนั้นหมายถึง กิเลสมันนอนเนื่องอยู่ในรูป ก็มีรูปราคะคือความพึงพอใจในรูป เป็นอนุสัยกิเลสที่เรียกว่าราคะนุสัย กิเลสที่นอนเนื่องอยู่ในปฏิฆะเรียกว่าปฏิฆานุสัย แล้วก็กิเลสที่นอนเนื่องอยู่ในความไม่รู้ในรูปเรียกว่าอวิชชานุสัย อนุสัยสาม กิเลสมันจะนอนเนื่องในรูปได้ก็ต่อเมื่อมีผัสสะในรูปหากไม่มีผัสสะในรูปกิเลสก็นอนเนื่องไม่ได้ ผัสสะในรูปนั้นเมื่อผัสสะรูปใดก่อเกิดเป็นสุขราคะจะนอนเนื่อง เมื่อผัสสะกับรูปใดเกิดเป็นทุกข์ปฏิฆะก็จะนอนเนื่อง หากผัสสะกับรูปใดแล้วไม่เกิดราคะไม่เกิดปฏิฆะนิ่งๆเฉยๆอยู่ และในขณะที่นิ่งๆเฉยๆไม่ได้พิจารณาในสิ่งที่ผัสสะขณะเฉยๆนั้นคือไม่มีจิตพิจารณา ฉะนั้นเอาวิชชานุสัยครอบงําคือความไม่รู้ครอบงําหรือว่าสิ่งที่ต่อเนื่องด้วยความไม่รู้มันนอนเนื่องอยู่ ในอนุสัยนี้คือกิเลสแท้ ส่วนตัวรูปไม่ใช่กิเลส รูปแม้จะมีอนุสัยนอนเนื่องตัวรูปไม่ใช่กิเลสแต่อนุสัยนี้คือกิเลสแท้ๆเป็นตัวที่นอนเนื่องอยู่โดยอาศัยผัสสะแล้วเกิดเวทนา เวทนามีสามคือสุขทุกข์ มีสุขมีทุกข์ สุขราคะนอนเนื่องทุกข์ ปฏิฆะนอนเนื่อง มีทุกข์คืออวิชชานอนเนื่อง ความเป็นรู้นอนเนื่อง,00.03.40,00.06.25
มารสูตรคืออะไร ,มารสูตรสูตรที่ว่าด้วยเรื่องของมาร สืบเนื่องมาจากเรื่องของพระราธะไปถามพระพุทธเจ้าว่า อะไรได้ชื่อว่ามารพระเจ้าค่ะ ที่เรียกว่ามารมันคืออะไร พุทธเจ้าก็เลยตอบว่า อันที่เรียกว่ามารเพราะทําให้ตายหรือเป็นผู้ฆ่า อะไรทําให้ตายอะไรเป็นผู้ฆ่า สิ่งที่ทําให้ตายคืออะไร พระพุทธเจ้าบอกว่ารูปอย่างใดอย่างหนึ่งบรรดารูปทั้งหมดเป็นสิ่งที่ต้องตาย เมื่อมีรูปก็ต้องมีตาย การที่รูปต้องตาย รูปนี้จึงได้ชื่อว่าเป็นมาร มารแปลว่าผู้ทําให้ตายในมารสูตร พระราธะถามอีกว่ามารนอกเหนือจากความเป็นรูปนี้มีอีกไหมพระเจ้าค่ะ พระพุทธเจ้าบอกมี คืออะไร คือเวทนา สัญญา สังขารและวิญญาณ โรคเป็นสิ่งที่ต้องตาย เกิดแล้วก็ตาย เวทนามันไม่ได้เกิดตายแต่มันเกิดแล้วมันดับ รูปเวทนา สัญญา สังขาร วิญญาณ มันเกิดแล้วมันก็ดับ ตายใช้กับร่างกายแต่ในส่วนของนามใช้คําว่าเกิดกับดับ ฉะนั้นผู้ฆ่าหรือผู้ทําให้ตาย ไม่มีอะไรตายในโลกนี้มีรูปเท่านั้นแหละที่ตาย เวทนาที่ตาย สัญญา สังขารวิญญาณ คือ คือผู้ตาย เพราะองค์ประกอบการรวมกันคือมันเกิดและดับนั่นเอง และชื่อว่าเป็นมารเป็นผู้ฆ่า ฆ่าอะไรคือมันไม่มีใครมาฆ่าแต่ตัวของมันฆ่าตัวมันเอง เมื่อมีรูปรูปก็ย่อมถึงความทรุดโทรมไปด้วยตัวของมันเองคือมันฆ่าตัวของมันเอง เมื่อมีเวทนา เวทนาก็เกิดขึ้นตั้งอยู่ดับไปด้วยตัวของมันเอง สัญญาสังขารและวิญญาณเหมือนกันเกิดขึ้นตั้งอยู่ดับไป รูปเวทนาสัญญาสังขาร วิญญาณจึงได้ชื่อว่าเป็นมารอันนี้คืออยู่ในมารสูตร ส่วนมารที่พระองค์ทรงตรัสไว้ประมาณห้าประการนั่นอีกส่วนหนึ่งไม่ได้อยู่ในมารสูตรนี้ มาสูตรนี้จะกล่าวถึงรูปเวทนาสัญญาสังข์วิญญาณเท่านั้นว่าเป็นมาร แต่เราก็รักมาร หวงมาร พอใจในมาร เดี๋ยววันนี้ที่มาหาหมอเพราะจะรักษามารไว้ มารนี้ไม่ใช่กิเลสแต่เป็นมารที่พุทธเจ้าบอกว่ามันเป็นทุกข์เพราะมารมีห้าใช่ไหมล่ะ หนึ่งขันธมารคือสิ่งที่ต้องตายคือขัน สองคือมัจจุมารการตายหรือความตายก็ชื่อว่ามาร สามอภิสังขารมารมารคือบุญกุศลคุณงามความดีก็เป็นมารอย่างหนึ่ง ทําไมอภิสังขารมาร ถึงชื่อว่าเป็นมารบุญกุศล ทำให้มนุษย์เกิดตายๆไม่มีที่สิ้นสุด บุญเป็นตัวนำผลแม้จะนําผลไปในทางที่ดีก็คือนําไปสู่การฆ่า ต้อนเราไปสู่โรงฆ่า ต้อนไปฆ่าอยู่ในโลกมนุษย์ ต้อนไปฆ่าอยู่ในโลกเทวดา ต้อนไปฆ่าอยู่ในโลกของภูตผีปีศาจ อสูรกายหรือต้อนไปฆ่าอยู่ในนรกก็ได้ ทั้งบุญทั้งบาปอภิสังขารมาร แล้วก็กิเลสมารคือกิเลส มารคือกิเลสคืออะไรบ้าง อนุสัยสามคือกิเลสแท้ อวิชชานุสัย กามราคะนุสัย ปฏิฆานุสัยคือกิเลสแท้ นอกนั้นไม่ใช่กิเลสแท้ แล้วถ้าอนุสัยสามคือกิเลสแท้แล้วสังโยชน์ล่ะเป็นกิเลสหรือเปล่า สังโยชน์ก็คืออนุสัยนั่นเองคือเกี่ยวโยงกัน หากเรามีความเห็นผิดในสักกายทิฏฐิอนุสัยก็นอนเนื่องมันเป็นกิเลสตัวเดียวกันกับสังโยชน์ สังโยชน์เป็นชื่อของการผูก อนุสัยเป็นชื่อของกิเลสที่นอนเนื่องอยู่ในสิ่งที่ผูก อะไรผูกความเห็นผิดในกายผูก ความลังเลสงสัยผูก ความยึดถือผิดอย่างเป็นเครื่องผูก ผูกมนุษย์ไว้และมนุษย์ทุกคนก็ตกอยู่ภายใต้เครื่องผูกนี้นั่นแหละอนุสัยเลยนอนเนื่อง และเพราะความนอนเนื่องของอนุสัยด้วยจึงถูกผูกด้วยอันนี้ก็ส่วนหนึ่งมันเกี่ยวโยงกัน ,00.06.30,00.12.13
อยากจะแนะนําในเรื่องของการละ ,เราอาจจะเคยได้ยินได้ฟังหลักคําสอนมาให้ละ โดยส่วนมากเราจะเข้าใจว่าการละคือละความโลภ ความโกรธ ความหลง ในความหมายที่พระพุทธเจ้าทรงสอนให้ละนั้นละแล้วนํามาซึ่งผลสำเร็จในเรื่องของจิต การที่จิตของเราเข้าสู่วิมุตติได้ ละเป็นผลสำเร็จก็คือละสังโยชน์ทั้งสิบประการเท่านั้นละอย่างอื่นไม่ใช่เป็นผลเท่าไหร่ แต่เมื่อละสังโยชน์สิบประการ ราคะ โทสะ โมหะ โลภโกรธ หลง มันจะถูกละไปเอง การละสังโยชน์สิบประการนั้นเป็นแบบตายตัวที่พระองค์ทรงตรัสกำกับไว้แล้วชัดเจนว่าจะละที่อื่นไม่ได้ เมื่อพระองค์ทรงตรัสไว้ว่าละสักกายทิฐิ วิจิกิจฉา สีลัพพตปรามาสนั่นเรียกว่าโสดาบันหมายถึงว่าบุคคลใดก็ตามมีความพากเพียรพยายามที่จะก้าวเข้าไปสู่ความเป็นพระโสดาบันในพระศาสนาจะได้สัมผัสกับคุณธรรมที่เรียกว่าสัจจะในเบื้องต้น ให้ละสักกายทิฐิ วิจิกิจฉา สีลัพพตปรามาสเท่านั้น อย่าไปยุ่งกับกามราคะ ปฏิฆะหรือโลภโกรธหลงใดๆก็ตาม ที่มันมีอยู่ในหัวใจปล่อยให้มันมีอยู่แต่ให้รู้สิ่งที่เราต้องรัก คือความเห็นผิดในกายความลังเลสงสัยแล้วก็การยึดถือผิดอย่างงมงายละพวกนี้ออกให้หมด ละคือการละในทางพุทธศาสนาพระองค์ทรงตรัสไว้ชัดเจนแล้ว หากยังไม่สามารถละกามราคะได้ให้เบาบางลงก็ยังดีแม้จะสงบจิต ข่มความโลภ ความโกรธ ความหลงในใจได้ จิตไม่โกรธกับอะไรเมื่อถูกกระทบ จิตไม่โลภในสิ่งใดๆ เมื่อสัมผัส จิตไม่หลงในสิ่งทั้งปวง อันเป็นไปเพื่อความยึดมั่นถือมั่นสงบได้ คําว่าสงบได้ไม่ใช่การละ คือสงบอารมณ์ความโลภ ความโกรธ ความหลงนั้นได้ด้วยอำนาจบางอย่างทั้งสมาธิและวิปัสสนา อารมณ์แห่งความโลภไม่เกิด โกรธไม่เกิด หลงไม่เกิด แต่ยังไม่ได้ละความเห็นผิดในกาย ยังไม่ได้ละความสงสัยลังเลและยังไม่ได้ละความถือผิดอย่างงมงาย แม้จะสงบกิเลสได้ก็ยังไม่เชื่อว่าเป็นการละ ท่านได้แค่สงบอันนั้นไม่ได้เรียกว่าสัมผัสธรรมะหรือว่าคุณธรรมในศาสนานี้ แม้เบื้องต้นอาจจะสัมผัสในองค์คุณคือสมาธิหรือวิปัสสนาอย่างใดอย่างหนึ่งได้นั้น เพราะฉะนั้นลำดับแห่งการละแล้วสำเร็จผลนั้นพระองค์ตรัสไว้ในสังโยชน์สิทธิ์หรือพูดง่ายๆว่าสิ่งที่จะต้องละนั้นมีแค่สิบเท่านั้นเอง ไม่ได้ไปละอะไรมากมาย ทำความเข้าใจสังโยชน์ให้ชัดเจนแล้วเอาไปตีเป็นองค์ความรู้ เขาเรียกว่าป้อนความรู้ขึ้นในจิต ตีความหมายให้ถูกต้องก็จะเข้าถึงผลแห่งความสำเร็จได้แน่นอน แต่ต้องประกอบด้วยองค์คุณห้าประการที่พูดเมื่อวานนี้ เชื่อปัญญาการตรัสรู้จริงของพระสัมมาสัมพุทธเจ้า มีสุขภาพร่างกายที่ธาตุไฟย่อยได้ดี เป็นผู้ไม่โอ้อวด เป็นผู้ปรารณความเพียร เป็นผู้มีปัญญาอันเห็นการเกิดและการดับ องค์คุณห้าประการนี้จะเป็นเครื่องยืนยันการบรรลุผลในชาตินี้ของคนๆนั้นว่าใครก็ตามมีคุณสมบัติครบทั้งห้าประการนี้จะสำเร็จผลแน่ คําสอนของพระพุทธเจ้าไม่มีอะไรเป็นเครื่องสร้างความสงสัย ตัดความสงสัยทั้งมวล พูดไว้อย่างชัดเจน องค์คุณครบห้าไม่ต่ำกว่าอนาคามีในชาตินี้แน่นอนและละสังโยชน์นั้นย่อมได้เข้าถึงผลในศาสนานี้ตามลำดับแห่งการละแน่ๆเหมือนกัน ละอย่างอื่นเคยละมาแล้วมันไม่สามารถสัมผัสได้แต่พอมาล้างความเห็นผิดในกาย มันสัมผัสได้ถึงคุณธรรมในศาสนาที่แท้จริง สัมผัสในสิ่งที่เรียกว่าสัจธรรม สัมผัสได้อย่างนั้นเป็นการสัมผัสทางใจ ,00.13.01,00.18.10
,,,
,,,
,,,
,,,
,,,
,,,
