question,answer,start_time,end_time
การที่ฟังธรรมของพระอาจารย์ในโทรศัพท์แล้ววางมือถือไว้ตรงที่นอน แต่เรานั่งอยู่เหนือโทรศัพท์ทำให้คิดว่าครูบาอาจารย์มาวางตรงนี้ไม่ได้ก็เลยจะยกไปที่สูงอีกใจนึงก็คิดว่าเรายึดติดเกินไปหรือเปล่า,ถือว่าเป็นการแสดงออกถึงความเคารพจากภายในที่เราแสดงออกมันปรากฏทําไมให้เราได้เกิดความระวัง แต่ความเป็นครูบาอาจารย์ที่แท้จริงไม่ได้อยู่ในนั้นแต่ก็เป็นความดีของใจที่ได้แสดงออกถึงความเคารพอย่างนั้นก็ถือว่าเป็นสิ่งที่เป็นบุญเป็นกุศลสำหรับเราเองที่จะได้ออกถึงความเคารพอย่างนั้นก็ไม่ได้เป็นปัญหาอะไรเทวดาอยู่บนสวรรค์ยังอยู่เหนือเศียรพระพุทธเจ้าเลยนั่งฟังอยู่บนโน่นก็มีประมาณสบายสบายอยู่โน่นก็มีไม่ต้องไปไม่ต้องไปกลัว ,00.03.25,00.05.31
ทำยังไงให้มีสติอยู่กับปัจจุบันไม่เอาอดีตมาทำร้ายตัวเอง,การมีสติอยู่ในปัจจุบันนี้ไม่ได้เป็นสิ่งที่พระอาจารย์อยากจะให้ทำ เพราะว่าเราทุกคนมันมีเรื่องราวอดีตเกี่ยวข้องอยู่วิธีการที่ดีที่สุดก็คือเข้าใจการเกิดขึ้นของมันการเข้าใจการเกิดขึ้นของมันนั่นแหละคือการอยู่กับปัจจุบันเพราะปัจจุบันคือสิ่งที่มันกําลังปรากฏอยู่กับจิต เมื่อปัจจุบันคือสิ่งที่กําลังปรากฏอยู่กับจิต สิ่งที่ปรากฏนั้นจะเป็นเรื่องราวของอดีตอย่างไรก็ตามและเราทำความเข้าใจมันการทำความเข้าใจว่าสิ่งที่เป็นอดีตก็คืออดีต อดีตก็คือสิ่งที่ละไปแล้ว ร่วงไปแล้วดับไปแล้วหมดสิ้นไปแล้วไม่ได้มีอยู่จริงแต่เราไปหลงเข้าใจว่ามีอยู่จริงอันนี้เป็นความหลงของเรา ฉะนั้นการมีสติในปัจจุบันก็คือการ แก้ไขความหลงอย่าหลงอย่าหลงยึดหรืออย่าหลงเข้าใจว่าสิ่งที่เป็นอดีตนั้นมันยังมาตามก่อกวนและทำให้เราได้ทุกข์หรือตามราวีเราอยู่จริงจริงมันไม่ได้ตามมามันเป็นการลักษณะของการถ่ายเทอารมณ์โดยธรรมชาติโดยปกติการที่เราพยายามจะทำให้ตัวเองไปอยู่กับปัจจุบัน มันเป็นการพยายามให้ตัวเองเข้าไปเป็นปัจจุบัน ซึ่งมันจะไม่ถูกต้องการที่เราเรียนรู้สิ่งที่มันเกิดขึ้นกับเราในขณะนั้นคือการอยู่กับปัจจุบันแล้ว การมีสติที่แท้จริงคือเข้าใจสิ่งที่เกิดขึ้นกับจิตและเห็นการเกิดขึ้นการก่อตัวการปรุงแต่งทางจิตใจให้รู้ว่าอดีตกําลังปรุงแต่งจิตใจเราจิตใจเรากําลังถูกเรื่องราวในอดีตปรุงแต่งเรื่องราวในอดีตที่มันเกิดขึ้นปรุงแต่งจิตใจเรานี้ทำให้เราเป็นอย่างนี้คือเรื่องราวของอดีตใจเราเป็นปัจจุบันการรับรู้ในขณะนี้ก็เป็นปัจจุบัน ฉะนั้นอย่าไปเปลี่ยนแปลงอดีตเพราะอดีตนั้นมันก็คืออารมณ์ที่มันมาปรากฏ ปรากฏผ่านตัวความจําเรียกว่าสัญญา สัญญาขันธ์มีหน้าที่ในการจำถ้าไม่มีสัญญาขันธ์การจำก็จะไม่เกิดขึ้นสัญญาขันธ์เป็นสิ่งที่จะต้องมีอยู่กับชีวิตมนุษย์ถ้ามนุษย์ไม่มีสัญญาการจำมนุษย์ก็จะไม่สามารถกำหนดหมายหรือทำอะไรได้เลยเรียกว่าสัญญาวิปลาสก็คือคลาดเคลื่อนไปจากทุกเรื่อง ฉะนั้นเรารู้เรื่องของอดีตรู้เรื่องของสิ่งที่มันเกิดขึ้นกับจิตใจเรามันก็คือทำให้เราได้รู้ว่าเรายังเป็นผู้มีสมบูรณ์ด้วยสัญญาเรียกว่าสัญญาวิปลาสยังสามารถรู้เรื่องของอดีตได้อยู่แต่เราไม่ยอมเรียนรู้คือปัญหาฉะนั้นเราต้องเรียนรู้อดีตให้เข้าใจว่าอดีตมันก็คือสิ่งที่เราผ่านพ้นมันมาแล้วปัจจุบันนี้มันไม่ได้เป็นอย่างนั้นต้องเข้าใจความเป็นจริงอย่างนี้ถึงจะได้,00.05.35,00.08.18
ทําไมคนที่ทำไม่ดีกับเราถึงมีความสุข แต่ทําไมคนที่ถูกกระทำกลับเป็นทุกข์,คนที่ทำไม่ดีกับเราเขาไม่ได้มีความสุข เพราะว่าเราอาจจะมองเห็นภาพว่าเขามีความสุขแต่แท้ที่จริงแล้วเบื้องหลังของความสุขคือความทุกข์ถ้าคนที่มีความสุขเขาจะไม่ทำไม่ดีกับใคร คนที่มีความสุขเขาก็อยู่กับความสุขสิ่งที่เขาเป็นแล้วการที่เขาไปทำไม่ดีกับคนอื่นก็คือเขามีความทุกข์ แต่เขาเข้าใจว่าเขาทำแล้ว เขาจะมีความสุข ที่แท้จริงแล้วก็ไม่ได้มีความสุขเลยแล้วเราก็ไปลงเข้าใจว่าเขาทำไม่ดีแล้วพอมีความสุขอย่างนั้นมันเป็นภาพที่เราไม่ได้เข้าใจความจริงของเรื่องราวของสิ่งที่เขาเป็นแต่เราเพียงแค่เห็นภาพเฉพาะหน้าสั้นๆเท่านั้นเองว่าเห็นเขามีความสุขที่แท้จริงแล้ว เขามีความทุกข์ ,00.10.00,00.10.52
มีคนหนึ่งสร้างภาพเข้าวัดชอบทำบุญ บริจาคสิ่งของแต่จริงๆแล้วเขาหลอกลวงเงินบริจาค หลอกลวงเงินจากคนอื่นเป็นมิจฉาชีพ แบบนี้เขาจะได้รับผลกรรมอย่างไรบ้าง,มีผลกรรมแน่นอน ยังไงก็ต้องมีผลกรรมแม้ในแง่ของการฉ้อโกง ลักขโมยหรือการ โกหกหลอกลวงอะไรประมาณนี้แน่นอนก็คือสิ่งนี้เป็นสิ่งที่จะต้องได้รับโทษอย่างหลีกเลี่ยงไม่ได้ยังไงก็ต้องได้รับไม่ต้องไปอิจฉาริษยาให้เขาได้รับอย่างนี้คือวิบากของมนุษย์ยังไงมนุษย์ก็หลีกเลี่ยงไม่ได้ในสิ่งที่มนุษย์กระทำลงไปถ้าได้เกิดการกระทำใดๆลงไปแล้วทางที่เป็นกรรมนะทางกายวาจาหรือใจมีวิบากตามมาเสมอแต่จะตามมาในชั่วขณะเวลาสั้นหรือเร็วนั้นก็ไม่อาจที่จะทราบได้ เพราะวิถีของกรรมพระองค์บอกว่า กรรมวิพังคือเรื่องของการให้ผลกรรมไม่ใช่วิสัยที่คนทั่วไปจะสามารถบอกและอธิบายได้อย่างชัดเจนว่าวาระของการให้ผลนั้นเร็วหรือช้าอย่างไรมีแต่ตถาคตเท่านั้นที่สามารถบอกได้แต่ได้รับผลแน่นอนไม่ต้องสงสัย ,00.11.28,00.12.44
เมื่อเรามีความกลัวเราจะจัดการกับความกลัวอย่างไรได้บ้าง,พระอาจารย์อยากจะบอกว่าความกลัวมันเป็นกลไกในระบบของธรรมชาติมนุษย์ แล้วกลไกตัวนี้มันทำให้มนุษย์ปกป้องตัวเอง แล้วหลายครั้งที่ชีวิตมนุษย์รอดพ้นมาจากภัยอันตรายต่างๆได้ ก็เพราะความกลัว ถ้าไม่มีความกลัวนี่มนุษย์จะไม่สามารถปกป้องตัวเองได้เลย ความกลัวจึงเป็นคุณสมบัติที่ติดตัวอยู่กับมนุษย์แต่มนุษย์ไม่เข้าใจความกลัวว่ามันเป็นสิ่งที่ไม่ดีมันเป็นสิ่งที่ไม่รบกวนเราแต่ความกลัวที่ทำให้เราได้พ้นจากภัยพิบัติอะไรต่างต่าง มันเป็นความกลัวที่เป็นความกลัวที่ทําให้เราต้องแสวงหาความรู้ ไม่ใช่ความกลัวที่จมปลักอยู่กับความกลัว ถ้าเราเกิดความกลัวแล้วจมปลักอยู่ความกลัว มันเป็นความกลัวที่ถูกอารมณ์ครอบงำอารมณ์ของความกลัวหรือครอบงำมันก็จะทำให้เราวิตกกังวล ฟุ้งซ่าน หวาดหวั่น ระแวงอะไรอย่างนี้ ซึ่งมันไม่ใช่สิ่งที่ดีแต่จริงๆคุณสมบัติของความกลัว มันเป็นสิ่งที่ดียิ่งกลัวมากเท่าไร ยิ่งทำให้เราแสวงหาความรู้ในเรื่องนั้นๆมากเท่านั้น เพราะการที่เราแสวงหาความรู้มามันก็จะแก้ไขเหตุปัจจัยที่เรากําลังกลัวอยู่และเราก็จะไม่ได้กลัวสิ่งนั้นอีกถ้าเราได้รู้มัน ,00.12.54,00.14.13
การนั่งสมาธิสามารถแก้กรรมได้ไหม,การนั่งสมาธิพระพุทธองค์บอกว่ากรรมเบาบางแก้ได้ กรรมระดับปานกลางสามารถทำให้เบาบางได้ กรรมหนักก็ลดทอนเบาบางได้ คําว่าได้นี่หมายถึงว่าไม่ได้แก้กรรมทั้งหมด เป็นเพียงแต่ว่าปิดโอกาสการให้ผลของกรรมในช่วงขณะที่ทำสมาธิอยู่นั้น เพราะว่าสมาธิเป็นกระแสของกุศลธรรม อกุศลธรรมที่มีกําลังมาก ย่อมปิดกั้น อกุศลกรรมบางอย่างได้ แต่จะไม่สามารถปิดกั้น อกุศลกรรมที่หนักได้ อย่างเช่นพระโมคคัลลานะ มีฌานชั้นสูง มีอิทธิฤทธิ์มากมายแต่ก็หนีไม่พ้นกรรมที่เคยกระทำมาแต่ปางก่อน อันนี้ยังไงก็ต้องได้รับ แต่ได้รับอย่างไรก็ตามนั่นก็ถือว่าเป็นเศษกรรมแล้วที่ท่านได้รับ เพราะถ้าโมคคัลลาพ้นมาจากนรกแล้วก็มาเกิดแล้วก็มาเจอพระพุทธเจ้าแล้วก็ตรัสรู้เป็นพระอรหันต์ คือพ้นมาจากนรกใหม่ชดใช้วิบากอันนั้นคือกรรมหนักแล้ว แต่ก็ไม่วายที่จะถูกเศษกรรมในการทำร้ายมารดาบิดาถึงขั้นถูกทุบตีจนตาย แม้จะมีชาญมีอิทธิฤทธิ์มีปาฏิหาริย์ก็เหาะหนีกรรมชนิดนี้ไม่พ้น ,00.15.16,00.16.37
มีศีลถึงจะมีสมาธิและจะเกิดปัญญาแต่ถ้าไม่มีศีลจะมีสมาธิได้ไหมและจะเกิดปัญญาไหม,สมาธิจะมีอยู่สองแบบสมาธิที่เป็น มิจฉาสมาธิกับสัมมาสมาธิ ในคําถามที่ถามมา น่าจะมุ่งไปถึงสมาสมาธิถ้าเอาสัมมาสมาธิ แน่นอนว่าก็ต้องอาศัยศีลก่อนเสมอ แต่ไม่ได้หมายถึงว่าต้องเริ่มจากศีล แต่สัมมาสมาธิที่ถูกต้อง ต้องเริ่มจากสัมมาทิฏฐิจะนําไปถึงศีลพอถึงศีลแล้วสมาธิก็จะเกิดขึ้นมาอัตโนมัติ คือมันจะเกิดขึ้นมารองรับ เพราะว่าตัวปัญญาซึ่งเป็นองค์ของสัมมาทิฏฐินี้ จะควบคุมกุศลธรรมทั้งหมดไว้ในตัวของสัมมาทิฏฐินั้นไว้ สัมมาทิฏฐิจึงเป็นตัวบ่มเพาะให้เกิดศีลแล้วก็สมาธิเป็นองค์ประกอบเกิดร่วมตามมา ,00.16.44,00.17.51
วิธีรับมือกับการโดนใส่ร้ายโดยที่เรายังไม่ได้ทําอะไรผิดเป็นแบบนี้มาตั้งแต่เกิดเลยเวลาโดนก็จะเจ็บแค้นแล้วก็ด่าเพราะทนไม่ได้กับเรื่องที่ไม่จริงที่คนอื่นพูด เราด่าเขาเราบาปไหมจะทํายังไงให้เรารับมือได้ใจเราสงบ,ไม่ว่าใครก็ตามเจอสภาพการณ์อย่างนี้มันอดไม่ได้หรอกที่จะไม่ กล่าวตอบโต้หรือไม่กระทำกรรมจากเหตุนั้นๆหรือเรื่องนั้นๆแล้วก็รู้สึกว่าเป็นพวกที่จะต้องมาคอยตามเก่าแก้ เรื่องที่คนอื่นเข้าใจเราผิดผิดที่ถูกใส่ร้ายต่างๆนาๆ แต่ให้เรามองว่าเราประสบเรื่องใดก็ตามในเหตุการณ์อย่างนี้ หรือเรื่องอื่นอื่นที่มีเหตุการณ์ทํานองเดียวกันนี้ให้เข้าใจว่านี่คือภาพของกรรมที่เขามาปรากฏกับเราแล้วพอมองภาพของกรรมเสร็จปั๊บ เนี่ย อาจจะมีความเป็นนายเวรต่อกันและกันกับผู้นั้นอยู่พระองค์ตรัสไว้ว่า เวรย่อมระงับด้วยการไม่จองเวร ฉะนั้นวิธีการที่ดีที่สุดที่เราจะต้องรับมือกับเรื่องนี้ก็คืออย่าตั้งจิตก่อเวรตอบกับบุคคลผู้นั้นแล้วยอมรับเหตุการณ์ที่ถูกใส่ร้ายนั้นว่า เป็นกรรมที่เราเคยทำมาการที่เรามัวแต่ไปตามกล่าวแก้สิ่งที่คนอื่นใส่ร้ายป้ายสีว่ากล่าวเราในเรื่องผิดๆนั้น มันจะทำให้เรา มันจะทำให้เรารู้สึกว่า แบกเรื่องที่หนักๆไว้อยู่เรื่อยๆ แล้ว ภาระเราจะหนักขึ้น ที่เราต้องคอยไปแก้ไขคําพูดคนนั้นคนนี้อยู่เสมอ ชีวิตเราก็จะไม่มีความสุข เพราะถูกการถูกว่ากล่าวด้วยคําที่ไม่จริงหรือเรื่องที่ไม่จริงหรือเหตุ การใส่ร้าย มันก็คือไม่มีความจริงอยู่แล้ว นี่คือสัจจะ ให้เราอยู่กับสัจจะชนิดนี้ อยู่กับความจริงชนิดนี้ว่าเราไม่ได้เป็นอย่างนั้นสิ่งนั้นเป็นอาจจะเป็นผลกรรมที่กําลังตอบสนอง หรือให้ผลเราอยู่ การตั้งจิตเผชิญกับกรรมอย่างนี้มันจะช่วยลดทอนกรรมอย่างนี้ ให้เบาบางลงไป หรืออาจจะหมดสิ้นได้ แล้วการที่ไม่กระทำเวรต่อก็ถือว่าเวรนั้นก็สงบระงับเพราะถ้าเราไม่ทำ ความเข้าใจอย่างนี้ ชีวิตเราก็จะหนักขึ้นอยู่เรื่อยๆ อยู่เสมอ มันจะไม่มีทางแก้ไขได้เลย มันจะเป็นวงจร ที่จะมาตอบสนองเราอยู่เรื่อยๆ เรื่องใดก็ตามที่เราไม่สามารถแก้ไข หรือก้าวข้ามมันได้มันจะมาเป็นโจทย์ให้เราแก้อย่างนี้ไปตลอดทั้งชีวิต ถ้าเราแก้มันได้ในคราวครั้งนี้แล้วมันจะไม่เจอกันอีกเลยตลอดไป ,00.18.03,00.20.27
สิ่งที่สําคัญที่สุดในการเกิดเป็นมนุษย์คืออะไรและเรื่องที่สําคัญเร่งด่วนที่ต้องทําก่อนเลยคืออะไร,สิ่งที่สําคัญที่สุดคือการแสวงหาความจริงเพราะมนุษย์ไม่เคยอยู่กับความเป็นจริงและเป็นความจริงที่มนุษย์ไม่เคยยอมรับความจริงในชีวิตตนเอง ว่าความจริงที่มันเกิดขึ้นกับตัวเรามันเป็นความจริงที่พยายามบอกสอนให้เราได้รู้ได้เข้าใจคือธรรมชาติรอบข้างเรามันบอกสอนเราอยู่ตลอดเวลา แต่เราไม่เข้าใจว่านั่นคือการบอกสอนเรา จึงมีพระพุทธเจ้ามาชี้ให้เราได้เห็นว่าธรรมชาติที่อยู่กับเราทั้งหมด ไม่ว่าความเกิดความแก่ ความเกลียด ความตาย ความพลัดพราก ความไม่ได้ดั่งใจหมาย หรือบรรดาผู้ต่างๆนาๆหรือปัญหาหลายหลายปัญหาที่มันเกิดขึ้น มันล้วนแล้วแต่เป็นเครื่องบอกสอนให้เราได้มีสติรู้สึกตัวว่า ถ้าเราเป็นอย่างนี้อีกคือเกิดอีกเราก็วนเวียนอยู่กับวงจรและวิถีชีวิตที่เป็นอย่างนี้ไม่ได้แตกต่างจากเดิม ฉะนั้นสาระสำคัญที่สุดของการเกิดขึ้นมา มันคือการแสวงหาความจริง ถ้าเราไม่แสวงหาความจริงชีวิตทั้งชีวิตเราจะอยู่กับสิ่งที่มันไม่จริงก็คือความจอมปลอม แล้วเมื่อใดก็ตามที่เราไม่รู้จักความจริงของชีวิต เราก็ไม่มีทางหลุดพ้นออกไปจากการเวียนว่ายตายเกิด เพราะการที่เรายังไม่เข้าใจความจริง เราจะต้องเกิดมาเพื่อแสวงหาความจริงอีกอยู่ร่ำไป เรามีหลักคําสอนของพระศาสดาสอนเราแล้ว ว่าสัจจะคือความจริงของชีวิตคืออะไร เราเรียนรู้มัน แล้วแสวง แสวงหาสิ่ง  เรียกว่าสัจจะอยู่ในตัวเราเมื่อเราเข้าใจว่ามันคือสาระสำคัญที่สุดคือการแสวงหาความจริง เราจะรู้เลยว่า ความจริงมันจะทำให้เราใช้ชีวิตอยู่ในโลกนี้แบบมีสติมากขึ้น ใช้ชีวิตแบบไม่ประมาทมากขึ้นใช้ชีวิตมีศักยภาพภายในตัวเองมากขึ้น ใช้ชีวิตแบบ สร้างสรรค์สังคม สร้างสรรค์  ผู้คนรอบข้างที่อยู่กับเราให้เป็นไปในทางที่ดีได้และแล้วสิ่งที่เร่งด่วนพระองค์บอกว่าสิ่งที่เร่งด่วนก็คือการเรียนรู้ความจริง เรียนรู้อริยสัจคือสิ่งที่เร่งด่วนที่สุดเลย สังเกตว่าพระพุทธเจ้าเราเรียนมาทั้งหมดสิบแปดแขนงสิบแปดศาสตร์เรียนรู้การเรียนรู้ของพระองค์เป็นที่หนึ่งไม่เป็นสองรองใคร คือเก่งทุกวิชาเก่งทุกศาสตร์ที่มีอยู่ในครั้งพุทธกาลนั้นแต่พระองค์ไม่เคยบอกว่าพระองค์มีความรู้เลยจนต่อเมื่อพระองค์ได้รู้ความจริง พระองค์จึงบอกว่าเรารู้แล้วคือพุทธพุทโธ คือเรารู้แล้วความจริงคืออะไรก่อนหน้านี้เราไม่เคยรู้เลยว่าความจริงคืออะไร,00.20.50,00.23.35
การที่เอาเงินให้คนที่ดูแลแมวพาแมวไปทําหมันเพราะแมวมีลูกเยอะจนตอนนี้เลี้ยงไม่ไหวแล้วอย่างนี้เราจะบาปไหม, มันก็ไม่ได้ผิดก็ถือว่ามันเป็นวิบากกรรมส่วนหนึ่งของสัตว์ที่เขาจะต้องได้รับ การกระทําแบบนี้ในลักษณะนั้นก็ให้เขาได้ใช้กรรมก็ไม่ได้เป็นปัญหาอะไร ,00.23.44,00.25.12
