question,answer,start_time,end_time
เราแค่เป็นผู้เฝ้าสังเกตใช่ไหม เมื่อความคิดอารมณ์เกิดก็รู้ว่ามันเกิดตั้งอยู่แล้วก็ดับไป. ,"การเฝ้าสังเกตเป็นสิ่งที่ดีแต่ในขณะที่เราเฝ้าสังเกตเราจะต้องมีความรู้หลักการของอริยสัจที่จะเข้าไปสังเกตสิ่งนั้นและแยกแยะให้ออกในสิ่งที่เรากําลังสังเกตอยู่ว่า
อะไรคือสิ่งที่ต้องรู้อะไรคือสิ่งที่ต้องรักอะไรคือสิ่งที่ต้องทําให้แจ้งแล้วก็ต้องเจริญขึ้น ฉะนั้นการเฝ้าสังเกตจึงเป็นการเฝ้าสังเกตด้วยหลักการทางสมาธิหรือว่าอริยมรรคเพราะเราต้องการสร้างอริยบัติให้เกิดขึ้น
อันนี้มักจะเกิดขึ้นก็ต่อเมื่อตั้งความเห็นตรงกับสิ่งที่เรากําลังสังเกตอยู่ ถ้าลําพังเพียงแค่การตั้งการสังเกตอย่างเดียวแล้วเห็นกระบวนการการเกิดขึ้นตั้งอยู่และดับไปของสิ่งนั้นมันได้สติแต่มันไม่ได้อริยมรรคนี่คือความต่าง",00.02.44,00.03.33
จิตเราเมื่อโกรธจะดับอย่างไรให้เร็วที่สุด,ปัญหาของมนุษย์ก็คืออยากจะเข้าไปดับ อารมณ์ ดับความโกรธ และอยากจะให้ดับเร็วที่สุดด้วย นั่นก็คือ เอ่อ การตั้งค่าของตัณหาไว้ในใจเราแล้ว เนื่องจากว่าเราต้องเข้าใจว่าสภาพการณ์ทุกอย่างที่เราเกี่ยวข้องอยู่ ไม่อยู่ภายใต้การควบคุมบังคับบัญชาของเรา ถ้าเราเข้าใจข้อนี้ดี เราจะไม่ต้องเข้าไปดับมัน และยังไม่ตั้งความอยากที่จะเข้าไปดับ และก็ไม่ต้องทําให้มันเร็วที่สุดด้วย แต่หลักการที่พุทธเจ้าตรัสก็คือ การเข้าไปตั้งความเห็น ให้ตรงกับสิ่งนั้นมาก ความโกรธกําลังเกิดขึ้นกับเรา เรากําลังมีความโกรธ ความโกรธกําลังมีอยู่ในเรา เรากําลังถูกความโกรธปรุงแต่ง ความโกรธกําลังปรุงแต่งเราอยู่ การเข้าไปรู้อย่าง เงี้ยความโกรธอันเป็นตัวอารมณ์เนี่ย มันจะถูกรับรู้หรือว่าถูกรู้ด้วยสมาธิจากเรา เมื่อมันถูกรู้แล้ว สิ่งที่ถูกรู้น่ะมันจะได้รับการแก้ไขโดยตัวมันเองหมายถึงว่าเราไม่ได้มีหน้าที่ในการเข้าไป ละหรือเข้าไปดับตัวอารมณ์ แต่เรามีหน้าที่ในการเจริญอริยมรรค คือตั้งความเห็นให้ตรงคือตัวสัมมาทิฐิเนี่ย เพื่อที่จะเห็นและเข้าใจกับสภาพการของจิตที่ถูกอารมณ์กระทบด้วยความรู้และเข้าใจว่าอารมณ์กําลังปรุงแต่งจิตเราอยู่ นี่คือหลักการที่เราสามารถทําได้ แต่การทํานอกเหนือจากเนี้ย ถ้าเราไปทําเนี่ย มันจะผิดทันทีเพราะทุกสภาพการทุกข์อารมณ์ไม่อยู่ภายใต้การควบคุมและบังคับสิ่งที่เราต้องการจะบังคับและเมื่อใดก็ตามที่เราบังคับในสิ่งที่ไม่เป็นไปตามการบังคับ เราก็จะได้รับความทุกข์ใหม่จากความทุกข์เดิมที่กําลังเกิดขึ้น,00.04.16,00.05.58
พ่อแม่แก่แล้วป่วยเป็นโรคร้ายพร้อมพร้อมกัน สามารถช่วยสวดพระปริตรให้พ่อแม่พร้อมกันได้ไหม? เพื่อจะช่วยให้หนักหนักเป็นเบาหรือพ้นโรคได้,"การสวดพระปริตรเป็นสิ่งที่ดี ไม่ว่ากรณีใดใดก็ตาม การสวดพระปริตรมีความจําเป็นแม้แต่สำหรับเราสำหรับบิดามารดาหรือผู้อื่นที่เราตั้งจิตอนุเคราะห์ปรารถนาดีกับเขา ฉะนั้นขอให้สวดเลยไม่มีผลเสียน่ะ ตั้งใจสวดแล้วก็น้อมการสวดนี้เป็นทั้งพุทธบูชาและตอบแทนบุญคุณ
บิดามารดาด้วย",00.07.27,00.08.05
เกี่ยวกับเรื่องของจริตหกอ่ะนะคะ ว่าราคะโมหะ โทษ สามารถพัฒนาเป็นวุฒิทุจริตได้ไหมคะ,จริตใดที่เป็นอยู่ภายในตัวบุคคล จริตนั้นก็ยังคงเป็นจริตนั้น แต่สิ่งหนึ่งที่เราสามารถเข้าถึงได้ก็คืออริยมรรค ทุกจริตสามารถเข้าถึงอริยมรรคได้และสามารถเดินทางแห่งอริยมรรคนี้เหมือนกันได้ พุทธองค์ตรัสรู้แล้ว พระองค์จึงบอกว่าทางแห่งอริยมรรคนี้เท่านั้น ที่ควรค่าแก่การดำเนินไม่ว่าจะเป็นจริตไหนก็ตามเพราะอริยมรรคคือทางสายกลาง คําว่ากลางคือเหมาะกับทุกจริตได้กับทุกจริต และทุกจริตก็ควรจะ ดําเนินตามทางสายกลางนี้ ไม่ควรจะแยกความรู้สึกส่วนตัวตัวเองออกไป และเลือกสิ่งที่ตรงกับตัวเอง พูดง่ายง่ายว่า ถ้าเลือกสิ่งที่ตรงกับจริตตัวเอง จริตมันเกิดจากกิเลส ถ้าเลือกกับสิ่งที่ตรงกับจริตก็เลือกเท่ากับสิ่งที่ตรงกับกิเลสตัวเอง นั่นหมายถึงว่า เราจะไม่สามารถเดินทางแห่งอริยมรรคอันเป็นทางสายกลางได้เลย เราต้องเสียสละความเป็นตัวเราคืออัตตาที่มีจริตใดใดก็ตามปรุงแต่งอยู่ ให้มาอยู่ในทางสายกลาง เอาทางสายกลางเป็นแกนหลักในการดําเนิน แล้วตั้งสมาธิให้ตรง พอสมาทิฐิมันควรจะต้องมีทุกจริตอยู่แล้ว ,00.08.07,00.09.24
ตายแล้วฟื้นเนี่ย มันเป็นยังไง  ในมุมมองของพระพุทธศาสนา,ถ้าเราจะพูดถึงคําว่าตายเนี่ยหมายถึงการหมดลมหายใจ เราก็เรียกตามโวหารของการสิ้นลม ว่าคือตายแต่มีการกลับฟื้นขึ้นมาอีก นั่นหมายถึงว่าสภาพการของร่างกายยังสามารถ กระทำกิจต่างต่างโดยภาวะปกติ คือมีลมหายใจกลับคืนมาได้เหมือนเดิม ก็คือยังไม่สิ้นลมเสียทีเดียว คือลมขาดไปเพียงแค่พักหนึ่งหรือพ่วงหนึ่งถ้าจะมองตามหลักการทางพุทธศาสนาเนี่ย การหมดลมหายใจโดยส่วนเดียวจะไม่เชื่อว่าเป็นการตายเพราะว่าพระอริยเจ้าหรือพุทธเจ้าพระปัจเจกกับพระพุทธเจ้าที่ท่านเข้าฌานสมาบัติแล้วสมาบัติก็ไม่มีลมหายใจเหมือนกัน ตราบใดก็ตามที่ลมหายใจขาดสิ้นไป ไออุ่นคือธาตุไฟหมดไป ดินกับน้ำแยกสลายออกจากกันไม่สามารถที่จะเกาะเป็นอยู่ในส่วนพร้อมมูลที่จะกระทำจิตให้กับชีวิตดำเนินไปได้เนี้ยนั่นคือการตาย คือขาดสิ้นไปแห่งอินทรีย์ของชีวิต เพราะอินทรีย์ชีวิต อาศัยอายุ ไออุ่น ความพร้อมมูลของธาตุทั้งหมด ที่พร้อมบุญกัน ดำเนินไป อินทรีย์ชีวิตจึงตั้งอยู่ได้ จึงสืบต่อไปได้ ฉะนั้นการตายจึงหมายถึงการขาดไปอินทรีย์คือชีวิตนั้น ไม่ไม่ได้นับว่าเป็นลมหายใจเสมอ มุมมองทางพุทธศาสนาก็มีเรื่องพวกนี้น คือกายแล้วกลับมาฟื้น ก็หมายถึงว่าสภาพร่างกายในอินทรีย์ชีวิตยังไม่ได้ขาด ก็คือกลับฟื้นขึ้นมาใหม่ได้ หรือถ้าเราจะมองจริงจริงก็คือมันไม่ได้ตายจริง เพราะคําว่าตายจริงจริงมันเป็นโวหาร โวหารการกล่าวตามภาษาสามัญญะ หรือภาษาของโลก แต่ความจริงเนี่ย ตัวตาย ตายจริงจริง เนี่ย คือตัวมรณะ หรือว่าการขาดการ์ดขาดตอนไปของการ สืบต่อของชีวิต เนี่ย มรณะต่างหากคือความตาย ที่แท้จริง, 00.09.28,00.11.31
เราให้อภัยคนที่พยายามฆ่าเราแต่เขาฆ่าไม่สำเร็จและจากกันมานานแล้ว เราให้อภัยไม่ติดใจ เขาจะพ้นจากเคราะห์กรรมที่เกิด เกิดขึ้นหรือไม่,"เราเป็นผู้ให้อภัยนะ เราได้รับอานิสงส์ของการที่หาก บุคคลที่เราให้อภัยแล้ว เขายังประทุษร้ายเราอยู่บุคคลผู้ประทุษร้ายเราก็จะประดุจดั่งบุคคลผู้ซัดฝุ่นทวนลม เราจะได้รับอานิสงส์ของการให้อภัยคือโทษหรือสิ่งที่ประทุษร้ายนั้นจะไม่ตกถึงเราแต่ถ้าผู้ประทุษร้ายยังไม่ยอมให้อภัย
เขาก็ยังจะมีกรรมมีเวรติดตัวเข้าไปอยู่แต่ไม่ใช่กรรมเวรจากเรา แต่เป็นกรรมเวรที่เขาสร้างขึ้นจากใจของเขาเอง",00.17.42,00.18.25
ว่าผู้ที่มีสติปัญญาฉลาดสามารถเรียนรู้และขวนขวายมุ่งมั่นจนสามารถสร้างฐานะได้ดีมากทางสังคม แต่ทําไมสติปัญญาในทางความรู้จักผิดชอบชั่วดีถึงน้อย เพราะในเมื่อสติปัญญาที่เขามีในชาตินี้ก็น่าจะมาจากการเจริญปัญญาในภพก่อนก่อนที่ส่งมา,การเจริญปัญญา ไม่ว่าจะมาจากพื้นฐานใดใดก็ตาม หากปัญญาที่เกิดขึ้นนั้น เราไม่ใช้เพื่อสร้างบุญเหตุปัจจัยที่ดีใหม่มันก็จะไม่เกิดมาเป็นคุณงามความดีใหม่ แต่คุณสมบัติทางด้านปัญญายังจะมีอยู่ เนื่องจากว่ากุศลเป็นสิ่งที่เกิดและดับได้ เขาอาจจะอาศัยเหตุแห่งกุศลแต่ปางก่อนเสร็จสิ้นแล้วมันก็ดับหมดไป ที่เหลือเป็นเพียงแค่ผล ผลคือสิ่งที่ปัญญาที่ติดตัวเขามามันเป็นคุณสมบัติภายในตนของตัวของเราเอง ฉะนั้นปัญญาเนี่ย มันเป็นสิ่งที่ไม่ไม่ใช่ปัญญาที่สมบูรณ์แบบพอ ถ้าเอาไปใช้ในสิ่งที่ผิด มันก็เหมือนกับอาวุธนั่นแหละ แต่ถ้าไปใช้ในสิ่งที่ผิดมันก็ผิด ก็เฉลียวฉลาดในด้านของความผิด แล้วก็ทำความผิดได้ดีแบบมีปัญญาด้วย ฉะนั้นปัญญาที่ดีเนี่ย ควรจะมาตั้งอยู่ที่อริยะมากคือสมาธิ ความเห็นพระองค์จึงบอกว่าความเห็นเป็นสิ่งที่มีความสำคัญมาก เพราะพระองค์บอกว่า ถ้าตั้งความเห็นผิดแล้ว ปัญญาที่เกิดขึ้นก็จะเป็นมิจฉา เป็นมิจฉาปัญญา คือมิจฉานะ มิจฉาทิฐิมิจฉาสังกะจะว่าเป็นมิจฉาปัญญา ถ้าเป็นมิจฉาปัญญาแล้ว เนี่ยมันก็จะผิดไปตลอดทั้งชีวิต แน่นอนเขาไม่ได้รับผลในชาตินี้ แต่ชาติต่อไปเขายังต้องได้รับผลตกมาถึงเขาแบบทุกข์ แบบทรมาน แบบโหดร้ายแน่ๆ นะ ควรจะตั้งสมาธิความคิดความเห็นใหม่ แก้ไขใหม่ได้ พุทธศาสนาเปิดโอกาสและเปิดกว้างในเรื่องของการแก้ไขและพัฒนาตนเอง ,00.18.58,00.20.56
ถามว่าถ้าเรามีเรื่องคิดมากซ้ำซ้ำในเรื่องเดิมทั้งวัน. และทำให้จิตเศร้าหมอง. จะหาวิธีแก้อย่างไร,จริงๆแล้วการคิดย้ำๆซ้ำๆเป็นคุณสมบัติที่ดีเป็นเพียงแต่ว่าคุณสมบทเหล่าเนี้ย เราไม่ได้เอาไปใช้ในการคิดดย้ำในทางพระรัตนตรัย เราไปคิดเราไปคิดย้ำๆซ้ำๆอยู่กับเรื่องราวอารมณ์ หรือสิ่งหน่วงเหนี่ยว ภายในจิตใจที่ครอบงำใจเราไว้ เรื่องราวเหล่าเนี้ย ถ้าคิดย้ำๆซ้ำๆลงไปในอารมณ์มากเท่าไหร่ เราก็จะจมปลักอยู่ในอารมณ์มากเท่านั้น ซึ่งเป็นสิ่งที่ไม่ดีหลักการก็คือการเข้าไปทักอาการนั้น แล้วก็เปลี่ยนความคิดที่ตั้งอยู่กับการระลึกถึงพระรัตนตรัย อาการแห่งการคิดย้ำว่าเรากําลังมีความคิด ความคิดกําลังเกิดขึ้นกับเรา จิตกําลังมีความคิด ความคิดกําลังเกิดขึ้นกับจิต จิตกําลังปรุงแต่งความคิด ความคิดเป็นสิ่งที่จิตปรุงแต่งขึ้น การทักด้วยบท การทักอย่างเงี้ย ที่พระอาจารย์พูดมาเมื่อกี้ เนี่ยมันจะช่วยทําให้เรามีสติเข้าไปรับรู้ สิ่งที่จิตมันกําลังคิดอยู่ แล้วเราจะได้รู้ว่ามันคือสิ่งที่จิตคิด มันคือความคิดของจิต ความคิดกําลังปรุงแต่งจิต จิตกําลังถูกความคิดปรุงแต่งเนี่ย สิ่งเนี้ย เราก็จะได้เข้าใจว่าตัวความคิดเป็นส่วนหนึ่ง เราเป็นส่วนหนึ่ง แล้วพยายามตั้งจิตให้คิดในเรื่องของพระรัตนตรัยว่า พุทโธเมนาโถ พระพุทธเจ้าเป็นที่พึ่งอันประเสริฐของข้าพเจ้า ธัมโมเมนาโถ พระธรรมเป็นที่พึ่งอันประสงค์ข้าพเจ้า สังโฆเมนาโถ พระสงฆ์เป็นที่พึ่งอันประเสริฐของข้าพเจ้าตั้งความคิดไว้อย่างเงี้ย ระลึกย้ำๆซ้ำๆ มันก็จะสามารถเปลี่ยนความคิดย้ำย้ำซ้ำซำในแง่อื่น มาเป็นการย้ำย้ำซ้ำซ้ำในกระแสแห่งพระรัตนตรัยอันเป็นมหากุศล ,00.20.59,00.22.43
เราต้องระลึกถึงพระคุณของพระพุทธ พระธรรม พระสงฆ์ในขณะที่ท่องด้วยไหมคะ,ในขณะที่ท่องครั้งแรกยังไม่ต้องระลึกถึงคุณของพระสัมมาสัมพุทธเจ้าพระอาจารย์พูดได้เต็มปากว่า ในฐานะปุถุชนเราจะยังไม่สามารถรู้ทุนของพุทธเจ้าได้อย่างเต็มเปี่ยมแน่นอน ไม่ว่าจะอยากจะโน้มใจเพื่อรู้ซึ้งถึงคุณของพระพุทธเจ้าแค่ไหนก็ตาม ก็มันเป็นแค่การปรุงแต่งแห่งการ อ่า รู้ซึ้งนั้นขึ้นมา ไม่ใช่เรื่องจริงที่มันเกิดจากใจเรา เอ่อ เราจะสามารถรู้ซึ้งถึงคุณค่าของพระพุทธเจ้าได้จริงจริง ก็ต่อเมื่อจิตเราสัมผัสกับกระแสรัตนตรัยและกระแสธรรม ที่พระองค์ตรัสสอนทั้งหมดตั้งแต่เบื้องต้น เมื่อจิตสัมผัสกับข้อธรรมอันใดอันหนึ่งได้แล้ว ความรู้ซึ่งมันจะออกมาจากภายใน แล้วเราจะสรรเสริญของพระพุทธคุณของพระพุทธเจ้าตรงกับข้อเท็จจริงและความเป็นจริง จากใจของเราเอง ,00.22.45,00.23.41
เวลาท่องเนี้ยจะเห็นเป็นรูปภาพพระพุทธเจ้าในหนังสือทุกครั้งเลย ขอความกรุณาแนะนําวิธีที่ถูกต้องด้วยค่ะ,วิธีที่ถูกต้องก็คือการท่องแล้วให้นึกถึงอักขระ หรือตัวหนังสือ คําว่าพุทโธ เม นาโถ ให้นึกถึงตัวหนังสือบท ธัมโม เม นาโถ ตัวหนังสือหรือตัวพยัญชนะในแต่ละบท ระลึกถึงบทนี้ มันจะตัดการไประลึกถึง กลุ่มลูกเคารพทั้งหลายเอง ,00.23.46,00.24.17
