question,answer,start_time,end_time
ฤกษ์การบวชกับการลาสิกขาอันนี้มีความจําเป็นหรือเป็นแค่การถือเป็นพิธีกรรม,เกี่ยวกับฤกษ์เนี่ยมันเป็นเรื่องของความเชื่อ ยังไม่ได้อยู่ในสมมติฐานของความจริง แล้วความเชื่อนี้เมื่อถูกยึดถือขึ้นก็เป็นความสําคัญในความรู้สึกของคนจึงมีการถือฤกษ์ถือยามกันขึ้นมา หลักการทางธรรมะเนี้ยเขาถือว่าการประพฤติดีเป็นฤกษ์ที่ดีอยู่แล้ว โดยตัวของการกระทํานั้นนั้นไม่ต้องอาศัยฤกษ์อย่างอื่น สมมุติว่าวันนี้เป็นฤกษ์ดีฤกษ์งามยามดีเลย วันนี้ทั้งวันคือเป็นวันที่มีฤกษ์งามยามดีตลอดทั้งวันเลยแล้วเดินไปเอาไม้ตีหัวคนอย่างเงี้ยแล้วก็บอกเขาว่าห้ามโกรธนะวันนี้ เพราะเป็นวันฤกษ์ดีเขาจะโกรธไหม เขาก็ยังโกรธเหมือนเดิมแต่ถ้าวันเนี้ยเป็นวันที่เลิกไม่ดีเลย เป็นวันซวยทั้งวันที่เขาบอกห้ามทําอะไรทั้งสิ้น แต่เราเอาของไปแบ่งปันคนอื่นและให้คนอื่น วันนั้นจะเกิดความดีขึ้นไหม เขาจะดีใจไหม มันเกี่ยวกับฤกษ์ไหม การกระทําความดีไม่เกี่ยวใช่ไหมล่ะ,00.03.16,00.04.37
ในกรณีลูกทํากรรมดีหรือกรรมชั่วต่อพ่อแม่ แล้วเวลาลูกไปมีครอบครัวมีบุตรขึ้นมาตามที่ลูกเคยทําทั้งกรรมดีหรือกรรมชั่วต่อพ่อแม่จะมีผลอย่างไร เช่น.... นาย ก ก้าวร้าวเกเรต่อพ่อแม่แล้วมีครอบครัวลูกนาย ก จะก้าวร้าวเกเรต่อพ่อแม่หรือไม่,ใช่ อาจจะหนักกว่าด้วยซ้ำเพราะกรรมทํากระทําต่อมารดาบิดาเทียบเท่ากับอรหันต์ด้วย ถึงแม้จะไม่ได้เทียบเท่าเต็มร้อยแต่ก็ ใกล้ใกล้ เคียงเคียงนั่นแหละนะได้มากเล่นหนักกว่า นั่นแปลว่าถ้าเกิดสมมุติเกิด เกิดมโนกรรมที่ไม่ดีกับพ่อแม่เนี่ย ยังไงอย่าให้ออกเป็นวจีกรรม อย่าให้เป็นกายกรรม ใช่ เพราะมโนกรรมสามารถสงบระงับได้เลย เพราะมโนกรรมให้ขณะที่คิดให้ผลขนาดนั้นเลยแล้วก็ถ้าดับก็ดับไปเลย พ่อแม่บางทีก็อาจจะไม่ได้ทําในสิ่งที่ถูกต้องเสมอ แล้วพอลูกเกิดความทุกข์ขึ้นมาจากสิ่งที่พ่อแม่ทํา ก็ใช้วิธีของพระอาจารย์ ก็คือดูความโกรธที่เกิดขึ้นแล้วเรียกความโกรธนั้นออกไปเลยว่าความโกรธเกิดขึ้นในใจของเรา ใช่ ในใจเรามีความโกรธเกิดขึ้นแล้วก็เฝ้าดูความโกรธนั้นน่ะ ทนหน่อยจนเขาหายของเขาไปเอง อย่าไปอยากหาย ใช่ เราก็หยุดมโน วจีกรรมกายกรรมไว้ตรงนั้นได้ ใช่ คือพระองค์ตรัสบทธรรมนี้ในเรื่องของการเพ่งโทษ การเพ่งโทษในตัวบุคคล ไม่ว่าจะเป็นใครก็ตาม การเพ่งออกไปข้างนอกเนี่ย อาสวะทั้งหลายย่อมเจริญโดยลําดับ เมื่ออาสวะเจริญโดยลําดับอย่างนี้เขาย่อมกระทํากรรมด้วยอาสวะนั้น โดยความไม่รู้สึกตัว และมันก็เผลอพูดหรือว่าเผลอกระทําลงไป ฉะนั้นเมื่อใดก็ตามที่อารมณ์เหล่านี้ยังมีอยู่ในจิตกรุ่นอยู่ก็ตามแต่อย่าให้เกิดการเพ่งออกไปหาบุคคล แต่เพ่งเข้าไปดูอารมณ์นั้นถ้าเราเพ่งเข้าไปดูอารมณ์นั้น อารมณ์นั้นจะไม่ถูกเพ่งออก ก็เลยไม่เกิดการเพ่งโทษ แต่มีโทษอยู่ในจิตเท่านั้นเองโทษที่อยู่ในจิตถ้ามันเกิดเพียงเท่านั้น แล้วมันถูกรู้จักเรามันก็จะดับไป แล้วก็ไปก่อเป็นโทษสืบต่อไปอีก แต่ถ้ากระทําออกไปทางกายและวาจาเกิดเป็นกรรม พอมีกรรมก็มีวิบากตามมาแน่นอน,00.04.46,00.07.00
เมียนายพรานที่ลับมีดให้นายพรานไปล่าสัตว์ที่บรรลุเป็นโสดาบันแล้ว นายพรานผู้เป็นสามีรู้หรือไม่คะ ว่านางบรรลุโสดาบันแล้วหรือบอกกล่าวสามีให้รับรู้ว่านางบรรลุแล้ว,สามีไม่รู้ สามีไม่รู้เลยว่าภรรยาตัวเองบรรลุธรรมแบบไหนอย่างไร ตอนไหน ไม่เคยรู้เลย ก็เลยสั่งเมียให้ทํา ลับมีดให้ ส่งลูกศรให้ เอาธนู เอาหน้าไม้ เอาหอกให้ ก็เลยก็ไปล่าสัตว์ แต่พระโสดาบันไม่ได้ทําปาณาติบาต เพราะจิตของนางตั้งไว้ว่าเป็นการทําหน้าที่ภรรยาทําตามอํานาจของสามี ก็คือไม่ได้ทําตามด้วยเจตนาของตน,00.07.31,00.08.20
 เรื่องการสักห้าแถวการสักสร้อยสังวาลย์อะไรพวกเนี้ยจริงจริงแล้วมีพุทธคุณแบบนั้นจริงจริงไหมครับ แล้วก็การทําแบบเนี้ยถือว่าเป็นการเหมือนกับสีลัพพตปรามาสไหมครับ,พุทธคุณในลายสักไม่มีอยู่จริงเป็นเพียงแต่อานุภาพที่อ้างอิงกับพุทธคุณนั้น ให้เกิดอานุภาพโดยการอิงอาศัยบทพุทธคุณนั้น เสกขึ้นมาให้เกิดมีอานุภาพ เขาเรียกว่าเป็นของพุทธคุณเทียม ไม่ใช่พุทธคุณแท้ คือมันเกิดจากการเสก พุทธคุณแท้ไม่ได้เกิดจากการเสกเกิดจากความเป็นจริงหรือสัจจะ ฉะนั้นการที่อ้างบทพุทธคุณไปสวดหรือเสกขึ้นแล้วจะเกิดอานุภาพอันนั้นขึ้น เป็นอานุภาพด้วยเวทคาถา ในในพิธีกรรมอันนั้น แล้วจัดเป็นสีลัพพตปรามาสและไม่นับเนื่องอยู่ในความเป็นพระรัตนตรัย บุคคลผู้ยึดถืออย่างนั้นทําให้ไตรสรณคมน์ขาด แล้วก็เป็นผู้หลุดออกจากศาสนาโดยที่ไม่รู้ตัว ก็ต้องรวมไปถึงพระเครื่อง ทั้งหมดเลยทุกทุกกรณี เพราะนั้นเป็นความเข้าใจผิดแล้วเราถูกปลูกฝังให้เชื่ออย่างนั้นว่าเป็นจริงว่าพุทธคุณจะอยู่ในนั้น เมื่อเราถูกบอกให้เชื่อว่าเป็นอย่างงั้น แล้วเราก็เชื่อโดยไร้การพิสูจน์หรือไร้การตั้งคําถามที่จะค้นหาความจริงและความรู้ในเรื่องพวกนี้ให้มันถูกต้องเห็นไหม เมื่อเราไม่ได้ตั้งคําถามแล้วนําไปสู่การแสวงหาความรู้และความจริง ความเชื่อจึงกลายเป็น ความงมงายที่ถูกผูกติดกับวิถีวัฒนธรรมของชาวพุทธเรา วัฒนธรรมเหล่าเนี้ยมันเกิดมาไม่กี่ปีนะ แต่หลักคําสอนของพระพุทธเจ้ามีมาสองพันห้าร้อยกว่าปี ซึ่งเกิดจากพื้นฐานแห่งความจริงหรือสัจจะที่แท้ และสิ่งเหล่านั้นไม่ได้มีเกี่ยวโยงกับพระเครื่องเลย พระเครื่องนี่เป็นเพียงแค่อ้างเอาคนที่แท้จริงมีอยู่นั้นน่ะไปใช้ในรูปแบบของ วัตถุซึ่งความเป็น พระพุทธคุณไม่ใช่วัตถุเป็นนามธรรม,00.09.02,00.11.20
อาสวะคืออะไร,อาสวะคือสิ่งที่ไหลออกไปตามการเพ่ง เราเพ่งในเรื่องใดเราก็จะไหล คือไหลเขาเรียกว่าคล้อยตามโอนตามเอนตามน้อมตามไปในเรื่องนั้น อาสวะเครื่องไหลไป ไหลไปตามสิ่งที่เห็น สิ่งที่ได้ยิน สิ่งที่โดนกลิ่นลิ้มรส แล้วการสัมผัส และใจรับอารมณ์ มันจะไหลตามไปเรื่องนั้น และไหลมันจะไหลออกไปจนเป็นความเคยชิน และมันก็จะไหลออกเรื่อยเรื่อยอย่างเงี้ย จนก่อให้เกิดโทษภายในใจตัวเอง ไหลไปตามด้านของกิเลส, 00.11.20,00.12.08
การทีเราบูชาพระโพธิสัตว์เราอาจจะเคยได้ยินท่านนั้นท่านนี้อย่างเงี้ยค่ะอย่างงี้ถือว่าทําได้ไหมคะ,พุทธเจ้าให้บูชาพระรัตนตรัยคือพระพุทธ พระธรรม พระสงฆ์ พระโพธิสัตว์ยังไม่ได้นับเนื่องในพระรัตนตรัย เพราะยังไม่เป็นผู้สิ้นกิเลสนะยังเป็นโพธิสัตว์ คือผู้บําเพ็ญอยู่โพธิคือยังต้องแสวงหาความรู้อยู่ สัตตะยังแปลว่าผู้ข้อง ผู้ยังข้องกับความรู้ คือยังไม่ได้รู้แจ้ง ยังไม่เป็นสัมมาสัมพุทธะ ความเป็นสัมมาสัมพุทธะเนี่ยเกิดขึ้นแล้วโพธิสัตว์จึงจะหายไป คือไม่แสวงหาความรู้ในไหนอีก เพราะได้บรรลุถึงความรู้อันนั้นอย่างสูงสุดแล้วจึงได้นามว่าสัมมาสัมพุทธะในคราวที่กําลังดําเนินอยู่ กําลังปฏิบัติอยู่ บําเพ็ญอยู่ ยังเป็นโพธิสัตว์อยู่ ไม่ได้นับเรื่องอยู่ในพระรัตนตรัยเลย ยังไม่เทียบเท่าคุณของพระโสดาบันด้วยซ้ำ เพราะพระโสดาบันละสักกายทิฏฐิได้แล้ว แต่พระโพธิสัตว์ยังละสักกายทิฏฐิไม่ได้ รอไปเป็นพระพุทธเจ้าในเบื้องหน้าอีกยาวนาน และยาวไกล แม้กระทั่งพระศรีอริยเมตไตรยในเบื้องหน้า ก็ยังเป็นปุถุชนอยู่ ยังไม่ควรค่าแก่การเคารพสักการะ กราบไหว้เท่ากับพระโสดาบันเลย,00.13.03,00.14.17
หากเราตักบาตรและสวดมนต์ภาวนา บวกกับเดินจงกรมนั่งสมาธิ พอนั่งเสร็จก็จะขอขมาละ ขออโหสิกรรมแก่เด็กที่ตายจากการทําแท้งของเพื่อน อยากจะขออนุญาตถามพระอาจารย์ว่าเขาจะได้รับผลบุญที่เราทําให้เขาไหมคะ แล้วเขาจะยอมยกโทษให้เราไหมคะ,ร้อย ทั้งร้อย วิญญาณของเด็กที่ตายจากการทําแท้ง มักจะไม่สามารถรับบุญได้เลยทันที หากไม่ทําการขอขมาเขาก่อน เพราะจิตวิญญาณของเขายังผูกโกรธ บุคคลผู้ไปทําแท้งอยู่ จิตที่ผูกโกรธอยู่เนี่ย จะส่งอะไรไปให้ก็ไม่ได้รับ ก็ไม่เอา เหมือนเด็กเวลามันโกรธเอาอะไรให้มัน มันก็สะบัดหนีทิ้งหมด ต้องไปปลอบใจให้มัน ใจเย็น ใจเบา ใจสบายดีกว่า ให้อะไรก็เอาแล้วตอนนั้น ต้องกล่าวคําขอขมาโทษเขาไป จนกว่ากระแสของการโกรธแค้นหรือผูกอาฆาต ลดทอนลงจนเบาบางและอุทิศบุญให้ เขาถึงจะรับ,00.15.00,00.16.05
การบวชคือคนที่นับถือพุทธใช่ไหม,การบวชคือคนที่นับถือพุทธ ถ้าเราสังเกตการบวชในคราวครั้งแรกนั้นมาจากคนต่างศาสนาทั้งหมดเลย เพราะความเป็นพุทธยังไม่ได้เกิดขึ้น ปัญญาบัญชีทั้งห้าก็คือ คนที่ไม่ใช่พุทธศาสนานะ ยศศาสตร์กุลบุตรก็ไม่ใช่คนนับถือพืชศาสนานะ แต่เขารู้อะไร เขาทําไมเขาถึงบวช เขารู้อะไรประเด็นก็คือว่า จะนับถือหรือนับไม่ ไม่นับถือไม่ได้เป็นปัญหา แต่ปัญหาว่าเราได้รู้ความจริงของหลักคําสอนทางศาสนาหรือไม่ บางคนบวชเข้ามาโดยที่ไม่รู้ความจริงเขาหลักคําสอนเลย แต่บวชตามประเพณีหรือตามธรรมเนียม หรืออาจจะมาเรียนรู้ทีหลังได้ พระอาจารย์ก็เป็นส่วนหนึ่งของประเพณีที่ถูกบวชเข้ามา ก็คือไม่ได้เข้าใจหลักคําสอนหรอกเพียงแต่ว่ามาฝึกฝนพัฒนาเอาในภายหลังได้ แต่โดยส่วนมากร้อยทั้งร้อยบวชเพราะไม่ได้เข้าใจหลักคําสอน แล้วก็ไม่ค่อยศึกษาเสร็จแล้วพอหมดเวลาช่วงเวลาก็ลาสิกขาออกไป ก็ไม่ได้เกิดประโยชน์อะไรเท่าที่ควร ฉะนั้นสําคัญที่สุดก็คือจะเป็นคนต่างศาสนาก็ตาม ขอเพียงแค่เข้าใจหลักคําสอน และรู้จุดประสงค์การบวชของตน ก็จะทําให้ หลักการทางศาสนาของเราเนี่ย มีเหตุผลมากขึ้น,00.16.05,00.17.23
การบูชาเจ้าแม่กวนอิมปี่เซียะ ควรเคารพ แต่ไม่ควรบูชาใช่หรือไม่คะ,ถ้าเคารพเราเคารพในความดีของท่าน ก็เคารพได้ แต่การสักการะบูชาไม่เป็นสิ่งที่ควรจะทําอย่างนั้น เหมือนกับการเราเคารพคนดีเนี่ย เราเคารพเขา เราให้ความเคารพต่อเขาอย่างเงี้ย แต่ไม่ถึงขั้นยกขึ้นมาเป็นสรณะ ,00.17.27,00.17.52
การแยกขันธ์ เวลาเราปวดท้อง ปวดห้องน้ํา ใช่เวทนาไหมครับ เราสามารถแยก เป็นคนดู จนความปวดหายจากร่างกายได้มั้ยครับ,การแยกเวทนาเนี่ย หรือว่าแยกขันธ์เนี่ย พระอาจารย์อยากจะบอกว่า โดยตัวของขันธ์เองมันแยกกันอยู่แล้วโดยปกติ เป็นเพียงแต่ว่าความเห็นผิดของเราไปเห็นเป็นตัวลวง ว่ามันรวมกัน แต่จริงจริงมันมันทําหน้าที่แยกกันอยู่แล้วเวทนาก็แสดงด้านความรู้สึก สัญญาก็แสดงเรื่องของการจํา แยกกันอยู่แล้วโดยอัตโนมัติ สังขารก็แสดงอาการทางการคิด วิญญาณก็แสดงอาการการรับรู้ มันไม่ได้ปนกัน ไม่ได้ทําแย่งหน้าที่ของใครของมัน มัน มันแยกกันโดยปกติ แต่เราไปเหมาเอาผลรวมทั้งหมดที่ขันธ์ระบบขันธ์แสดงอาการออกมาเนี่ย ว่ามันเป็นอันเดียวกัน จริงจริงมันมันแค่คนละอัน ถ้ามันเป็นอันเดียวกันเราจะกําหนดไม่ได้หรอกว่าอันนี้เวทนาขันธ์ อันนี้สัญญาขันธ์ อันนี้สังขารขันธ์ และอันนี้วิญญาณขันธ์ ใช่ไหม เพราะฉะนั้นในกรณีอย่างเงี้ย ปวดท้องเข้าห้องน้ํา มันก็เป็นเวทนาขันธ์ แต่เป็นกายิกเวทนา เวทนาทางกาย กับอีกอันหนึ่งเป็นเวทนาทางใจ เรียกว่าเจตสิกเวทนา เวทนาทางใจ กายวิกเวทนาจะแสดงออกสามประการคือสุข ทุกข์ไม่สุขไม่ทุกข์ เจตสิกเวทนาก็แสดงออกสามก็คือโสมนัสดีใจ โทมนัสเสียใจ อุเบกขาเฉยเฉย,00.18.32,00.19.50
