question,answer,start_time,end_time,Unnamed: 4,Unnamed: 5,Unnamed: 6
แม่ น้า พี่สาวของสามีเป็นมะเร็งเฉพาะอาหารลำไส้เล็กลำไส้ใหญ่ระยะสุดท้ายทั้งหมดสี่คน หมอดูแลทุกคนมาสามปีแล้วตอนนี้ทุกคนเอ็นเสดจนจะแอดวานซ์เพจอยู่โรงพยาบาลบำรุงราษฎร์กับโรงพยาบาลกรุงเทพ หมอก็รักษาทั้งร่างกายและจิตใจแบบมาเลสิแคร์คือการประคับประคอง คำพูดหมอจะตาม text หนังสือที่ไปอ่านมาบางคนเซ็งว่าบางคนอยากตายเร็วๆ บางคนอยากอยู่ไม่อยากตาย รบกวนขอคำแนะนำพระอาจารย์ว่ามีอะไรที่คุณหมอควรจะพูดหรือทำได้อีกไหมครับ,"ความรู้สึกของผู้ป่วยเขาแสดงออกมาตามความเป็นจริง การที่เขาแสดงออกมาตามความเป็นจริงนั้นนั้นก็คือสิ่งที่สะท้อนให้เห็นถึงภาวะชีวิตที่เริ่ม ที่เขารู้สึกว่าร่างกายที่เป็นอยู่ในขณะนี้ไม่สามารถที่จะใช้ประโยชน์อย่างที่เคยทำมาได้ จึงมีความคิดในการที่ด่วนจากไปอะไรก็มี อย่างนี้ก็มี คือเป็นเรื่องปกติในผู้ป่วยที่เป็นลักษณะอย่างนี้ทีนี้สิ่งที่ผู้ป่วยเองจะต้องเข้าใจเลยก็คือว่าแม้ร่างกายเราจะไม่สามารถทำสิ่งที่เป็นประโยชน์ได้แบบเดิมก็จริง แต่ว่าจิตใจของเรายังสามารถทำสิ่งที่เป็นมหากุศลภายในจิตในใจได้ ในร่างกายมันเจ็บป่วย แต่ใจมันไม่ได้มีความเจ็บป่วย ใจมันไม่มีโรค มะเร็งมันเป็นส่วนของร่างกายที่มันเกิดขึ้น แต่ตัวใจเนี่ยมันจะไม่มีตัวเชื้อมะเร็ง เป็นเพียงแต่ใจของเราเองนี่ไม่ได้เข้าใจ ในส่วนของร่างกายที่เจ็บป่วยว่ากายมันจะต้องเจ็บป่วยและมันสามารถเจ็บป่วยได้
และการเจ็บป่วยก็เกิดขึ้นกับกายได้ แล้วก็ควรจะยืนยันกับใจตัวเองว่าใจเราไม่สามารถที่จะเจ็บป่วยแบบไกลได้ เป็นเพียงแต่ใจเข้าไปรับผลทางการเจ็บป่วยฉะนั้นแม้ร่างกายจะไม่สามารถทำประโยชน์ได้ก็จริง แต่ทางใจยังสามารถทำประโยชน์ได้ อย่าเพิ่งละเลยประโยชน์ทางใจที่ควรจะเกิดขึ้นที่เราสามารถกระทำได้ก็ คือการระลึกถึงสิ่งที่เป็นมหากุศลก็คือรัตนตรัยระลึกไว้ในใจ การที่เราด่วนตัดสินใจในการที่ไม่อยากจะอยู่ในโลกนี้อีกต่อไป โดยที่ไม่ได้สร้างเครื่องรองรับทางจิตใจของเราให้ดีเลยว่าเราจะละชีวิตจากโลกนี้ไปไปได้อย่างไร เพราะแน่นอนว่าทุกคนก็ต้องละชีวิตในโลกนี้ นี่คือสัจจะ นี่คือกฎเกณฑ์ตายตัว แต่เราจะไปสู่โลกหน้านั้นน่ะด้วยเครื่องรองรับทางใจอย่างไร นั่นหมายถึงว่าตอนที่เราเจ็บป่วยยิ่งจะต้องให้ใจเราผูกติดอยู่กับรัตนตรัยให้ได้มากที่สุด ไม่ควรปล่อยใจให้เป็นผู้เข้าไปรับผลทางความเจ็บป่วยแล้วให้ความเจ็บป่วยบีบคั้นใจให้ได้รับความทุกข์และความเจ็บป่วยที่บีบคั้นใจให้ได้รับความทุกข์ ย่อมเกิดความกระสับกระสาย ความกระสับกระสายย่อมเป็นภาวะแห่งความดิ้นรนเดือดร้อน ความดิ้นรนเดือดร้อนจะทำให้จิตใจ สองจิตที่เศร้าหมองและละชีวิตไปเนี่ยย่อมได้ทุคติวินิบาติอบายภูมิ ซึ่งมันเป็นสิ่งที่ไม่ดีต่อตัวเราเลย ดังนั้นพยายามดึงใจของเราออกมาจากการเป็นผู้รับผลทางไกล แล้วระลึกถึงพระรัตนตรัยคือพระพุทธ พระธรรม พระสงฆ์ ด้วยบทระลึกที่ว่า พุทธเมนโท พระพุทธเจ้าเป็นที่พึ่งอันประเสริฐของข้าพเจ้า ธัมโมเมนาโถก็ทำเป็นที่พึ่งอันประเสริฐของข้าพเจ้า สังโฆเมนาโถเป็นที่พึ่งอันประเสริฐของข้าพเจ้า เราจะรู้ว่าใจเรายังสามารถสร้างสิ่งที่เป็นมหากุศลอย่างนี้ได้ติดต่อเนื่องกัน แม้จะถึงจวบจนวาระสุดท้าย จิตกับพระรัตนไตรก็จะอยู่คู่กันไม่พลาดจากกัน แม้ใจจะพรากจากร่าง ร่างจะพรากจากใจ แต่ใจกับพระรัตนไตรจะอยู่แนบติดกันแล้วก็นำเราไปสู่สุคติได้ ถ้าถึงแม้ว่าร่างกายเขาจะเจ็บปวดทรมาน แต่ถ้าเกิดมีความเจ็บปวดทรมานอีกเจ็บก็เจ็บไป แต่ความเจตนาก็ยังทนไม่น่าโทษทนไม่น่าทั่วอยู่อย่างนี้พ่อจะพาไปสู่สุคติภูมิได้ ใช่ถูกต้องอีกอย่างหนึ่งก็จะไม่ดึงใจไม่ทำให้ใจของเราเนี่ยไปรับผลทางความเจ็บป่วยมากเกินไป มันจะดึงใจออกมาจากภาวะนั้นอยู่
 ก็คือไม่ได้ว่าหายเจ็บแต่ว่ามันจะไม่เข้าไปเยอะเกินไม่ไปทวีคูณเข้าไปอีกอย่างนั้นใช่ไหมคะอาจารย์ ถูกต้อง",00:03:56,00:08:41,,,
ควรสวดบทรัตนปริตทุกคืนได้หรือไม่ หากไม่ควรสวดกรณีใดและบทสวดไหนที่ควรสวดก่อนนอนทุกคืน,เรื่องนี้เป็นคำถามที่ดีมากและอาจารย์อยากจะตอบแล้วจะเป็นการแก้สิ่งที่อาจารย์เคยพูดไว้มาแต่ก่อนก่อนนี้ว่าไม่อยากจะให้สวดติดต่อเนื่องกัน เนื่องจากว่ามีโยมท่านหนึ่งเขาได้สวดติดต่อเนื่องกันมาเป็นประมาณปีกว่ากว่าโดยที่ไม่ได้ขาดเลย ปรากฏว่ามันส่งผลดีมากกว่า มันส่งผลดีหรือมันได้รับมันตอบสนองต่อสิ่งที่จากการที่เขาสวด แล้วมันให้ผลเกินความคาดคิดในสิ่งที่เขาต้องการเนี่ย พระอาจารย์ก็เลยอยากจะมาแก้ใหม่ว่าบทรัตนปริตเนี่ย สามารถสวดติดต่อเนื่องกันได้ตลอดไปเลย ไม่ต้องหยุดก็ได้ ไม่ต้องรอจังหวะหรือโอกาสของเหตุหรือเพศภัยจะเกิดขึ้น ในเหตุสามประการก็คือโรคระบาด เอามนุษย์เบียดเบียนและการดำรงชีพที่ฝืนเกิน สวดได้เลยติดต่อเนื่องกันเพราะนี่คือผลที่ญาติโยมเขาได้ไปปฏิบัติหรือธรรมมาแล้วและแจ้งรายงานรายงานใหม่ พอตอนแรกถ้าอาจารย์ก็ยึดถือตามหลักว่าถ้าไม่มีเหตุก็ไม่ควรสวด แล้วตอนนี้ก็ขอบอกว่าสามารถสวดได้กี่ปีกี่ทีติดต่อเนื่องกันทุกวันก็ได้ไม่เป็นปัญหา แล้วจะส่งผลดีกับเราด้วยได้,00:08:41,00:10:20,,,
บุคคลทั่วไปที่ไม่ใช่พระสงฆ์สามารถบรรลุนิพพานได้ไหม,การรู้พระนิพพานจะเริ่มรู้ตั้งแต่คุณธรรมขั้นโสดาบัน จะรู้กระแสพระนิพานเรียกว่ากระแสแรกของพระนิพพาน สามารถอยู่ในนิสัยของชาวบ้านได้ แล้วระดับต่อไปคือสกทาคามีก็ยังอยู่ในนิสัยของชาวบ้านได้ ระดับต่อไปคืออนาคามีก็ยังอยู่ในวิสัยของชาวบ้านได้ ระดับอรหันต์อยู่ในนิสัยชาวบ้านได้ แต่อยู่ได้ไม่นานต้องอุปสมบทหรือบรรพชา เพราะฉะนั้นถ้าจะอยู่ได้ก็อยู่ได้เกินยี่สิบสี่ชั่วโมง ฉะนั้นความเป็นอรหันต์นี่คือคุณธรรมชั้นสูงสุดในพุทธศาสนา ไม่สามารถดำรงอยู่ในธาตขันธ์ของคฤหัสถ์หรือคาราวาได้ จะต้องอยู่ในเพศของพระภิกษุหรือนักบวช จึงจะรองรับคุณธรรมของความเป็นอรหันต์ได้ ก็คือในขณะที่บรรลุธรรมเป็นพระอรหันต์หรือเป็นพระอรหันต์นี่เป็นปุทุชนได้แต่เมื่อบรรลุเป็นพระอรหันต์ไปแล้วเนี่ย คุณอาจต้องบวชเป็นพระภายในยี่สิบสี่ชั่วโมงอย่างนี้ บวชไม่เป็นพระก็ได้ ถ้าเป็นผู้หญิงก็เป็นแม่ชีถือศีลบท แปดประการหรือสิบประการก็ได้ไม่เป็นปัญหา ขอให้อยู่ในสถานะของนักบวช ถึงแม้ไม่มีพระอุปชาบวชให้ก็อธิษฐานเพศบวชได้ ขอให้อยู่ในเพศนักบวช แต่ถ้าเป็นผู้ชายตั้งแต่เป็นสามารถเรียนได้เลยรองรับคุณธรรมนั้นได้ แล้วค่อยนำไปสู่การอุปสมบทจะไม่เป็นปัญหา,00:10:20,00:12:14,,,
คุณตาผมเสียครับ แล้วก็ผมก็ได้เข้าไปอาบน้ำศพแล้วก็พอระหว่างที่อาบน้ำศพนี่ก็จะมีแบบเขาเก็บไว้หนึ่งวัน แล้วเขาก็จะมีหนองไหลมีน้ำไหลออกมาตามร่างกายต่างต่าง ทีนี้จิตมันก็เกิดสภาวะคือตอนแรกก็เกิดอาการตกใจ ตกใจปุ๊บมีอาการแบบเหมือนอยากจะอวบคลื่นไส้นิดนึง เพราะว่ากลิ่นค่อนข้างแรงค่อนข้างที่จะแรงมาก ทีนี้ผมก็พอตั้งสติได้ในระดับหนึ่งผมก็กลับมามองแล้วก็พยายามจะพิจารณา แล้วอยากจะถามพระอาจารย์ว่าเมื่อเวลาเราอยู่ในสถานการณ์แบบนี้ครับเราจะพิจารณากายของคนอื่นแบบนี้อย่างไร,ลักษณะอย่างนี้ไม่ต้องพิจารณาให้รับรู้ตามความเป็นจริงไปเลย ไม่ต้องพิจารณา คือความจริงเวลามันประจักษ์แล้วเนี่ยให้จิตมันได้เรียนรู้ในสิ่งนั้นเลยคือให้รับสิ่งนั้นตรงตรง เกิดการเรียนรู้ในสิ่งนั้นตรงตรง แต่ถ้าไม่มีเหตุผ่านเข้ามาให้เกิดการรับรู้ทางใจอย่างนั้น เราต้องพิจารณาเพื่อให้ใจเกิดความรู้มันจึงใช้กรณีต่างกันอย่าง ถ้าอย่างนี้เราสอนจิตตรงนั้นเลยได้ไหมคะพระอาจารย์ เช่นสมมุติเราเห็นศพแบบเป็นน้ำเลือดน้ำเหลืองไหลอย่างนี้ แล้วเราก็บอกเลยว่าเนี่ยไอร่างเนี่ยเดี๋ยวก็เหมือนกันอย่างนี้ได้ไหมคะอาจารย์ ได้อย่างนั้นก็ได้ ผมก็บอกว่าร่างกายเป็นของแบบสกปรกมากดูซิว่าวันหนึ่งที่เรารักษาความสะอาดกันมากแค่ไหนเนี่ย ผลสุดท้ายก็มีแต่ของเสียเต็มเลยอย่างนี้ ผมพิจารณาแบบนี้พอถูกบ้างไหมครับอาจารย์ การพิจารณาอย่างนี้ก็เป็นการพิจารณาได้ แต่ต้องเข้าใจว่าการพิจารณานั่นแหละมันเป็นการสร้างความรู้ด้านกุศล ให้จิตได้เรียนรู้ เขามาเรียนรู้ก็คือจิตจะได้มีความรู้อยู่ในภายในตัวเอง เพราะจิตมันไม่เคยรับรู้รับทราบความเป็นจริงด้านนี้ของร่างกาย จึงเกิดการยึดมั่นถือมั่น การพิจารณาอย่างนี้ก็จะถักคลายออกไปบ้างหรือจะไม่คลายก็ตาม แต่ขอที่ว่าถือว่านั่นคือการทำให้จิตเกิดการเรียนรู้ ส่วนการที่เราได้เห็นศพของผู้ตายจริงจริงเนี่ย เราก็มองอาการที่ศพนั้นเป็นตรงตรงไม่ต้องพิจารณาอะไรก็ได้ คือมองไปตรงตรงเลยให้จิตหรือได้เห็นตามสิ่งที่เราได้เห็นจิ ตมันได้รู้ตามสิ่งที่เรา มันจะนำความรู้นั้นเข้าไปหาจิตจิตจะเกิดการเรียนรู้สิ่งนั้นเอง แล้วในระหว่างวันนี้ค่ะอาจารย์เราสามารถ คืออย่างเราพยายามอย่างนี้เนี่ยตอนนี้พิจารณากายในระหว่างวันด้วยนะคะ ทีนี้ในระหว่างวันเนี่ย บางครั้งเราก็ไม่ได้เป็นหกขั้นตอนแบบทั้งหมดอย่างนี้ค่ะ บางทีอาจจะเช่นสมมุติว่าเราแปรงฟันอยู่เนี่ยค่ะ แต่เมื่อวันก่อนมันจะมีจังหวะในขณะที่เราแปรงฟันอยู่ดีดีเราก็เห็นฟันนี่มันไม่ใช่ของเรา แต่มันเป็นเหมือน shortcut นะคะ เหมือนเห็นเป็นวัตถุอื่นมาเกาะอยู่กับเราหรือแม้กระทั่งเราหนีบผมอย่างนี้ค่ะ เงาะทำผมก่อนไปทำงานเนาะ ก็เหมือนแบบเรารีดเสื้อผ้าอย่างนี้ค่ะ เราก็เห็นมันร่วงไปแล้วเราก็รู้สึกว่าเส้นได้มันร่วงมันแบบ เราทำเหมือนมันคือภาระที่เราต้องทำความสะอาดเหมือนเราซักผ้าเ ราเห็นแบบนี้ค่ะอาจารย์ แต่มันก็เป็นเพียงรูปเดียวแล้วเราก็สอนใจลงไปว่ามันก็เป็นเช่นนั้นแหละที่เรากำลังทำความสะอาดของสกปรกธาตุดินที่มันอยู่บนร่างนี้อยู่อย่างนี้ค่ะอาจารย์ แต่ว่าไม่ได้เป็นขั้นตอนอย่างนี้อย่างนี้ได้ไหมคะอาจารย์ ลักษณะอย่างนี้เขาเรียกว่าเป็นความรู้ของจิตที่เขาปรากฏขึ้นมาเป็นระยะระยะ หมายถึงว่าความรู้ในจิตมันเริ่มส่งผลให้จิตนั้นได้แสดงออกต่อการรับรู้รับทราบในสิ่งที่เราได้ปฏิบัติและเรียนรู้มาความรู้อย่างนี้จะเริ่มสะสมในจิตทีละนิดทีละนิด จะปรากฏให้เรารับทราบทีละขนาดแต่ละขั้นตอนขั้นตอนไป เราก็จะรู้ว่าความรู้ที่เราเคยทำมาทั้งหมด มันจะเกิดผลทางด้านการปฏิบัติอยู่อย่างนี้เป็นช่วงเป็นช่วงเป็นช่วง มันจะค่อยค่อยปรากฏให้ทราบอย่างนี้จนต่อเมื่อความรู้นี้มันเกิดเป็นองค์ความรู้เต็มพร้อมเมื่อไหร่ มันจะแสดงผลอันนั้นออกมาอย่างเต็มที่ แล้วเราจะเข้าใจอันนั้นแบบตลอดสาย ไม่ใช่เป็นพักพักแล้วมันจะตลอดสายเลย ทีนี้ถ้าเกิดสมมติว่าอย่างเราเดินในสภาวะในแต่ละวันอย่างนี้ค่ะอาจารย์บางทีก็ไม่ได้เป็นหกขั้นตอนทุกครั้ง แต่บางทีเป็นเหมือนแบบสมมติว่าออกกำลังกายอยู่นี้อาจารย์สมมติว่า sit up หรืออะไรก็ตาม แล้วพอทันทีที่เราเห็นเห็นขาตัวเองว่า sit up เข่าตัวเองอย่างก็จะมองว่าเป็นเห็นเป็นขาแล้วก็ไปถึงอื่นหรือบางทีเห็นเป็นแห้งหมายถึงว่าติดเป็น ตั้งใจไม่ได้เห็นเองนะคะอาจารย์ จะเห็นเป็นเหมือนแห้งไปอย่างนี้ค่ะ ไม่ได้ไปตั้งแต่ขั้นแรกมาเป็นขั้นตรงกลางบ้างอย่างนี้ค่ะอาจารย์ ทำได้ไหมคะหรือว่ามันควรเริ่มต้นหนึ่งทุกครั้งไปอย่างนี้ ก็ไม่แนะนำให้ทำ ถ้าจะทำก็ทำเป็นกิจลักษณะเป็นขั้นตอน เพราะจิตให้ให้มันเรียนรู้แบบต่อเนื่อง อย่าให้มันเรียนรู้แบบกับท่านกระแท่นจะไม่ค่อยดีเท่าไหร่ให้มันเรียนรู้แบบต่อเนื่องไปเลยมันถึงจะเกิดผลดี,00:12:14,00:17:54,,,
ในคราวมีผัสสะมากระทบเกิดอารมณ์ขุ่นมัว หนูก็กำหนดว่าตอนนี้เกิดอารมณ์ขุ่นมัวก็ดูอารมณ์ที่เกิดจนมันดับไป ไม่ได้ระบุลงขันอย่างนี้ถูกหรือไม,"ก็ถูกในระดับหนึ่ง การกำหนดรู้แบบนี้มันจะช่วยสงบระงับอารมณ์ แต่การที่จับลงสู่ขันแล้วกำหนดรู้ในขันเราจะเห็นสภาวะ
ทั้งสองอย่างเนี่ยให้ผลต่างกัน การกำหนดรู้เพื่อเห็นสงบระงับอารมณ์นี้เป็นสมถะ แต่การเห็นขันเกิดดับเป็นวิปัสสนา",00:17:55,00:18:34,,,
การพิจารณาธาตุเหมือนหรือต่างกับการพิจารณากายค่ะ,เป็นอันเดียวกัน เป็นเพียงแต่ว่าเป้าหมายของการพิจารณานั้นอันหนึ่งมุ่งเน้นไปในทางการรู้จักทาสของใจ อันหนึ่งพิจารณาไม่ว่าจะเป็นอาการสามสิบสองหรืออสุภะก็คือส่วนของกายนั่นแหละแต่มุ่งเน้นเป็นเรื่องของอสุภะหรืออาการสามสิบสอง ซึ่งให้ผลต่างกันทำไมพระอาจารย์ถึงเลือกเอาภาคกรรมฐานสี่ เพราะกรรมฐานสี่มันมีผลข้างเคียงน้อยที่สุดในบรรดากรรมฐานที่เราปฏิบัติก็คือ ถ้าเป็นอาการสามสิบสองมันจะเกิดผลข้างเคียงทางด้านการปฏิบัติบางอย่างที่เกิดขึ้นแล้ว มันต้องตามแก้กันถ้าเป็นอสุภะนี่หนักใหญ่เลย บางคนกินข้าวไม่ได้ ไม่อยากแตะเนื้อต้องตัวกัน เกิดการรังเกียจกันมันเกิดสิ่งที่ต้องแก้ในด้านทิฐิอีกเยอะสอน มันมีผลข้างเคียงอีกด้านหนึ่งนะน้อยมากแล้วก็ปลอดภัยในขณะที่ปฏิบัติ,00:18:35,00:19:48,,,
นั่งสมาธิสลับกับเดินจงกรมพร้อมเจริญรัตนตรัยทุกเช้าวันละยี่สิบนาที ทำมาหลายเดือนแต่ยังคงคิดฟุ้งซ่านไม่มีสมาธิเลย จะทำอย่างไรให้การปฏิบัติก้าวหน้าและหากยังไม่ก้าวหน้าสามารถท่องท่าควบคู่ไปด้วยได้เลยไหม,ถ้าลักษณะอย่างนี้ควรจะระลึกถึงพันภัยในระหว่างวันต่อเนื่องครั้งตลอดทั้งวันในช่วงที่ระลึกได้และควรจะเป็นการระลึกย้ำย้ำซ้ำซ้ำให้ติดเนื่องอยู่กับจิต ไปจนกว่าจะจนถึงการนอน พอนอนหลับตื่นขึ้นมาก็ระลึกถึง ถ้าไปได้เลยเข้าห้องหน้าแปลงฟันทำกิจวัตรประจำวันส่วนตัวของตัวเองก็ระลึกถึงพระรัตนไตรไปได้ตลอดจนไปทำการทำงานก็ระลึกถึงพระน้ำไรตลอดวัน จนถึงเข้าหลักถึงพระไปจนหลับหลับแร้วตื่นขึ้นมาระลึกถึง ถ้าไปอีกอย่างนี้วนเวียนย้ำย้ำซ้ำซ้ำอย่างนี้จะช่วยทำให้จิตของเราเข้าถึงสมาธิได้ง่ายขึ้น,00:19:48,00:20:47,,,
ได้ลองจับจิตตนเองตอนที่กลัว ความกลัวมันเกิดขึ้นที่ท้อง มันเกิดวูบวูบสักพักก็หายไป หากจับได้ขึ้นเรื่อยเรื่อยต่อไปความกลัวจะลดลงได้หรือไม่คะควรทำอย่างไรต่อไป,การเห็นอารมณ์ของความกลัวเกิดขึ้นที่ไหนก็ให้รับรู้การเกิดขึ้นอยู่ที่นั่น แล้วจะเห็นการดับไปของอารมณ์ที่นั่นเมื่อเห็นการดับไปของอารมณ์ที่นั่น การเกิดขึ้นอีกของความกลัวก็จะเกิดที่เดียวที่เดิมที่เดียวกัน แล้วเราก็เห็นการเกิดการดับการเกิดการดับของอารมณ์อย่างนั้น จะทำให้สติเราไปเท่าทันต่ออารมณ์แห่งความกลัวเมื่อสติเราเท่าทันแล้วความกลัวก็จะไม่มีผลต่อตัวเรา อย่าหายหรือไม่หาย ไม่เป็นปัญหาอีก คือเหมือนพอเราเห็นมันเกิดเดี๋ยวมันดับ มันก็จะค่อยค่อยฉลาดขึ้นว่าเดี๋ยวมันเกิดอีกเดี๋ยวมันก็ดับอีก มันก็จะไม่ค่อยมีผลอะไรกับเราอย่างนี้ใช่ไหมคะอาจารย์ ใช่,00:20:48,00:22:20,,,
การถอดจิตนี้มีอยู่จริงไหม,การถอดจิตมีอยู่จริง แล้วก็มีอยู่ในหลักการทางพระศาสนาที่บันทึกไว้ในพระไตรปิฎกเป็นความรู้ที่สามารถศึกษาเรียนรู้ได้ แต่ไม่แนะนำให้ทำ ถ้าช่วยเมตตาบอกทีค่ะว่าที่ไม่แนะนำให้ทำเพราะมันจะมีเหตุอะไรที่ที่จะทำให้เราหลุดออกจากเส้นทางได้บ้าง คือการถอดจิตโดยที่ไม่เข้าใจหรือความรู้ไม่เพียงพอจะเกิดปัญหาด้านการที่ถอดออกไปแล้วเนี่ย มันจะมีบางสิ่งบางอย่างหลายสิ่งหลายอย่างเข้ามาเชื่อมต่อกับจิตในระหว่าง พอมีบางสิ่งบางอย่างเข้ามาเชื่อมต่อกับระหว่างจิต แล้วถ้าเกิดการเชื่อมต่อกับจิตแล้วไม่รู้จักการแก้ไขสิ่งที่เข้ามาเชื่อมต่อกับจิตในตอนที่ถอดออกไปน่ะ เพราะการเลิกถอดออกไปมันจะเริ่มเห็นและรับรู้ภาวะนอกเหนือปรากฏการณ์แห่งการรับรู้โดยทั่วไปของคนปกติ การรับรู้หล่านั้นมันจะเข้ามาเชื่อมต่อกับจิต แล้วการที่จิตมันได้เชื่อมต่อกับสิ่งใดมันจะโน้มเข้าไปปักใจเชื่อในสิ่งนั้น ยึดถือสิ่งนั้นเมื่อยึดถือแล้วเนี่ย กำลังทางความรู้กำลังสติปัญญาไม่พอก็ไม่สามารถที่จะแก้ไขเรื่องราวเหล่านั้นได้ เพราะแก้ไขไม่ได้มันจะเกิดปัญหาในด้านจิตใจขึ้นมาที่จะทำให้เราปักใจหรือปักดิ่งลงไปในสิ่งนั้นที่จะทำให้เราหลงยึดถือผิด อันนี้อันตราย,00:22:20,00:23:48,,,
การผีสิง สิงได้จริงจริงไหม หมายถึงว่าก็เหมือนจิตมันต้องมีดวงเดียว หมายถึงว่าจิตเรานี้แล้วสิ่งอื่นเข้ามาแทรกในร่างกายเรามันได้อย่างไรอะไรอย่างนี้ค่ะอาจารย์,หากเราคิดว่ามีจิตเรามีดวงเดียวเนี่ยคิดผิด พระพุทธเจ้าบอกว่าแค่พื้นที่ในอากาศเนี่ยหนึ่งปลายเข็ม เทวดาสามารถสถิตได้อยู่สิบหกต้น โอ้โห ในร่างกายเรามีที่สถิตของดวงจิตดวงวิญญาณตั้งมากมาย ไม่ใช่มีแค่จิตเราเท่านั้น มันมาจากกลุ่มวิบากกรรมทั้งหลายที่ดึงดวงจิตดวงวิญญาณบางดวงเข้ามาเกี่ยวข้องด้วยเหตุปัจจัยที่ส่งผลให้เราต้องได้รับผลทางด้านการถูกก่อกวนถูกแทรกสิง พิสูจน์ในทางพุทธการเองที่ถูกสิงอย่างนี้ก็เข้าไปกราบทูลพุทธองค์ว่าพวกเขาคงจะจัดการแก้ไขอย่างไรกับพิสูจน์ที่ที่ถูกสิ่งนี้ พระเจ้าก็บอกว่าพวกเธอจงช่วยกันแก้ไขที่สุดที่ถูกสิ่งนี้ทำอะไรอยู่ก็ตามให้หยุด หยุดแม้จิตนั้นจะเป็นกิจสำคัญสำหรับสงฆ์แค่ไหนก็ตาม ให้มาช่วยเหลือและแก้ไขสิ่งที่ถูกผีสิ่งนี้ก่อนเป็นอันดับแรก ให้ความสำคัญขนาดนั้นแก้ไขผีสิงออกได้แล้วหรือไปทำกิจตามปกติได้ ก็มีคำถามพอพูดถึงจุดนี้แล้วที่พระอาจารย์เคยเล่าให้ฟังว่าแม้ขนาดพระโมคลานะเนี่ยเป็นอัครสาวกเบื้องซ้ายเนี่ยยังมีการถูกสิงได้ ทีนี้ในตัวของพระโมคคัลลานะเนี่ยแน่นอนพระรัตนตรัยต้องเป็นหนึ่งเดียวกับท่านแล้วแน่แน่ ทีนี้ทำไมวิญญาณพวกนี้ยังสามารถก้าวข้ามตรงนี้เข้ามาได้อย่างนี้ อดีตชาติพระโมคคัลลานะเคยเกิดเป็นมารชื่อว่า ทูสีมัน ได้เข้าได้เข้าสิงอัครสาวกเบื้องซ้ายของพระพุทธเจ้าองค์ก่อนมาหรือประมาณนี้แหละ คือคำว่าวิบากกรรมนั้นรุนแรงมาก เขาเข้าสิงแล้วเนี่ย พระโมคคัลลานะไปเข้าสิงพอเข้าสิงแล้วน่าจะเอาก้อนหินหยิบเอาก้อนหินขว้างปาใส่พระพุทธเจ้าหรือยังไงเนื่ยแหละ พระพุทธเจ้าเหลือบไปมองแค่นั้นแหละมารนั้นก็ดิ่งลงสู่นรก พระโมคคัลลานะลงสู่นรกทันทีแล้วกรรมอันนี้นี่เองเมื่อพระโมคคัลานะได้มาเป็นอัครสาวกเบื้องซ้ายของพระพุทธเจ้า เหล่ากรรมนั้นก็ดึงให้มันเอามนุษย์ผีปีศาจเข้ามาสิงอยู่ในท้อง ทำให้เกิดความเจ็บปวด ก็คือเป็นกรรมวิบากคือ คือถ้าถ้าไม่มีกรรมสัมพันธ์ต่อกันมาเนี่ยหากเรามีพระรัตนตรัยเป็นเครื่องป้องกันแล้วเนี่ย หนักก็จะกลายเป็นเบาเบาก็จะกลายเป็นชิ่งหายไปเลย แต่หากมีกรรมสัมพันธ์ยังไงก็เลี่ยงไม่ได้ ยังไงก็ต้องวิบากนั้นอย่างนี้ใช่ไหมคะ โดยเฉพาะวิบากกรรมของพวกผู้ที่เป็นประเภทร่างทรงเนี่ย การเปิดร่างกายให้คนอื่นเข้ามาแทรกถึงหรือควบคุมตนเรียกว่า เข้าทรง อย่างนี้มันคือกรรมส่วนเกี่ยวข้องกัน เกิดอีกชาติหนึ่งคนนั้นก็จะต้องถูกส่งต่อร่างกายของคนนั้น มันเป็นกรรมที่จะต้องกระทำกันไปอย่างนี้สืบเนื่องเรื่อยไม่มีที่สิ้นสุด การแทรกสิงก็เกิดมาจากส่วนนี้ ซึ่งเป็นเหตุที่ทำให้คนถูกสิงแม้จะไม่อยากถูกสิงในภพต่อไป แต่ก็ต้องถูกสิงเพราะเป็นกรรมอย่างหนึ่ง อือละเอียดอ่อนมากเลยนะคะ แล้วก็เป็นเรื่องที่ถ้าเราไม่มีโอกาสได้ฟังเราคงจะไม่มีความรู้ความเข้าใจที่แจ่มแจ้งว่าจะสงสัยนั้น สงสัยนี่ไปในความละเอียด,00:23:48,00:27:56,,,
