Unnamed: 0,question,answer,start_time,end_time,Unnamed: 5
,เวลาที่เวทนาเกิดเนี่ยความรู้สึกปฏิฆะหรือความรู้สึกปฏิเสธบางครั้งถ้ามันเป็นทุกขเวทนาเป็นเป็นความรู้สึกความรู้สึกทางไม่ดี มันจะมีปฏิฆะเกิดร่วมมาด้วยแบบพอดีมันจะตามกันมาอย่างนี้ เลยมันมีไหมคะ ที่ทุกขเวทนาเกิดขึ้น คือหมายถึงว่าเราต้องปฏิบัติไปถึงระดับหนึ่งที่พอทุกขเวทนาเกิดขึ้นแล้วเราไม่ได้มีสติมากพอที่จะไม่ไปปฏิฆะมันค่ะพระอาจารย์,พระอาจารย์อยากจะอธิบายอย่างนี้ว่าทุกขเวทนาเกิดขึ้นจะต้องมีปฏิฆะนอนเนื่องเสมอเขาเรียกว่าอนุสัย แต่ถ้าเราไม่รู้จักปฏิฆะที่มันนอนเนื่องอยู่นั้น ปฏิฆะนั้นจะเป็นปฏิฆะตสังโยชน์ คืออยู่ในส่วนของกิเลสคือในตัวของปฏิฆะตโดยตัวของปฏิฆะเองมันเป็นเพียงแค่อนุสัยที่นอนเนื่องมาพร้อมกับเวทนา ฉะนั้นการรอบรู้เวทนาเพื่อรู้อนิสัยอนุสัยที่มันนอนเนื่องมานี้ เพื่อที่จะไม่ให้ปฏิฆะตัวนี้ไปเป็นสังโยชน์ถูกจิตเรา ประเด็นของการปฏิบัติเพื่อรอบรู้อนุสัยอนุสัยใดก็ตามที่ถูกรู้ในทุกขเวทนาปฏิฆะอนุสัยเหล่านี้มันก็จะเป็นปฏิฆะอนุสัยที่เกิดและดับไป ไม่ได้เป็นสังโยชน์ที่จะเป็นเชื้อแห่งภพในการนําเกิดด้วยตัวปฏิฆะนั้น 	ๆ ฉะนั้นพระอาจารย์จึงบอกว่าเวทนาที่เป็นทุกขเวทนาปฏิฆะนอนเนื่องแล้วปฏิฆะที่นอนเนื่องมาแล้วไม่ได้ถูกรู้จักเราปฏิฆะนี้จะไปเป็นสังโยชน์ ,00.02.02,00.03.54,
,*ครูเงาะอธิบายเพิ่มเติม ,ที่ครูเงาะถามพระอาจารย์ คือเวทนา คือความรู้สึกบางทีเราเจ็บ เจ็บปุ๊บ มันคือเหมือนการปฏิเสธ เหมือนการที่เราไม่อยากเจ็บ มันจะนอนมันจะแนบมาด้วย ก็จะกลายเป็นว่าเหมือนเรามีกิเลสแนบตลอดเวลาเลย แต่ถ้าเรารู้ว่ามีเวทนาแล้วเราก็รู้ด้วยว่ามีปฏิฆะ เกิด ไอ้ตัวรู้ตัวนี้มันจะไปตัดไม่ให้ไม่ให้ไปเกิดกิเลสนอนเนื่องในจิตของเราเพื่อก่อภพก่อชาติอีก ถ้าขอแค่เรารู้ ตอนแรกก็เข้าใจว่าทําไมเราถึงมีปฏิฆะ หรือการปฏิเสธแต่จริง ๆ แล้วเมื่อมันเป็นทุกขเวทนาหรือเป็นความรู้สึกที่ไม่ชอบ เช่น เจ็บปวดหรืออะไร ไอ้ความรู้สึกปฏิเสธมันแนบมานอนมาด้วยกันอยู่แล้วเรามีหน้าที่แค่แค่รู้นะคะ ,00.04.14,00.05.05,
,*พระอาจารย์ต้น อธิบายเพิ่มเติม ,"จริงๆ ควรจะอธิบายลักษณะของเวทนากับปฏิฆะที่นอนเนื่องมาด้วยกันด้วยอริยสัจ 4 จึงจะแจ่มแจ้งได้ทางปัญญาว่าทุกขเวทนาไม่ใช่กิเลสเป็นอริยสัจข้อที่หนึ่ง ตัวปฏิฆะที่ต่อเนื่องมาเป็นสมุทัยสมุทัยสัตย์ใหญ่ใช่ไหม เพราะทุกขเวทนาเนี่ยเป็นทุกขสัจจักร ปฏิฆะเป็นสมุทัยสัจจะเมื่อปฏิฆะถูกรู้ปฏิฆะใหม่ไม่เกิดจากปฏิฆะเดิมที่เกิดขึ้นปฏิฆะใหม่ถูกละก็คือสมุทัยถูกละ เมื่อสมุทัยถูกละมันก็เป็นนิโรธ วิธีการเจริญมรรคในเวทนานี้ให้รู้ว่าทุกขเวทนาเป็นทุกขสัจจักให้รู้ว่าปฏิฆะเป็นสมุทัยสัจจะให้รู้ว่าเมื่อเรารู้จักปฏิฆะแล้ว
สมุทัยใหม่ก็ดับไปเรียกว่านิโรจน์สกัดการรู้อย่างนี้ รอบรู้อย่างนี้ คือการเจริญมรรคในเวทนา
	ฉะนั้นเวทนาจะต้องถูกรู้อย่างนี้ ",00.05.06,00.08.16,
,แคทได้ฟังคลิปพระอาจารย์ต้นมาหลายคลิปเรื่องการฝึกการละสักกายทิฐิวิจิกอิจฉาศิลปะปรามาส ตอนนี้พอเข้าใจแล้วถ้าจะปฏิบัติต่อเพื่อละราคะและปฏิฆะต้องปฏิบัติต่ออย่างไรขอบคุณครับ,"กามระคะปฏิฆะยังสืบเนื่องอยู่กับกายเพราะกามยังอาศัยกายปรากฏ
กามระคะปฏิฆะเป็นชั้นของอารมณ์ที่เกี่ยวเนื่องกับกาย ฉะนั้นวิธีการในการที่จะแก้ไขกามราคะปฏิฆะเราก็ยังจะต้องพิจารณาร่างกาย 6 ขั้นตอนเป็นตัวยืนพื้น ที่จะกำหนดรู้อารมณ์ที่เกี่ยวเนื่องกับกายนั้นว่า กามราคะปฏิฆะเกิดขึ้นเพราะอะไร เราก็จะรู้ว่ากามระคะปฏิฆะเกิดขึ้นเพราะเวทนา เวทนาที่เรียกว่าสุขก็คือเกิดกามราคะ เวทนาที่เรียกว่าทุกข์ก็เกิดปฏิฆะ 
	ฉะนั้นกามระคะปฏิฆะตัวนี้ที่มันเป็นสังโยชน์ได้ก็ต่อเมื่อที่โยมครูเงาะพูดมาตั้งแต่ต้นว่าเวลาเราเจอเวทนา ทุกขเวทนา มีปฏิฆะนอนเนื่อง ซึ่งการที่มีปฏิฆะตนเนื่อง มันเป็นการนอนเนื่องมาโดยที่ไม่ได้ผิดจากหลักแห่งความเป็นจริงมันต้องนอนเรื่องมา อาตมาใช้คําว่าเป็นสมุทัยที่มาพร้อมกับขันธ์ สมุทัยที่มาพร้อมกับขันธ์อันนี้ ไม่ใช่สมุทัยที่เราต้องละแต่สิ่งที่เราต้องละคือปฏิฆะสังโยชน์ ปฏิฆะสังโยชน์นอนเนื่องที่ไหน ปฏิฆะสังโยชน์นอนเนื่องที่ฐิติแต่ปฏิฆะธรรมดาที่เป็นปฏิฆะนุสัยนอนเนื่องอยู่ที่เวทนาต่างกันนะ การที่ปฏิฆะนอนเนื่องเวทนาเพื่อแสดงออกถึงความเป็นสมุทัยสัจจะในทุกขเวทนานั้น แต่ปฏิฆะสังโยชน์นอนเนื่องอยู่ทิฐิ ทิฐิคืออะไร ทิฐิ คือการที่เราไม่ได้เห็นกามราคะปฏิฆะ ตอนที่มันเกิดและนอนเรื่องมาพร้อมกับเวทนานั้นเมื่อเราไม่ได้เห็นเราจึงไปปฏิบัติต่อ กามราคะปฏิฆะผิดโดยอาศัยราคะนุสัยกับปฏิฆะนุสัย กระทำต่อ ๆ อารมณ์เหล่านั้น	ฉะนั้นราคะหรือปฏิฆะทั้งสองอย่างที่อยู่ในส่วนสังโยชน์ เราจะต้องแก้ไขที่ความเห็นเท่านั้นแต่ความเห็นนี้มันสืบเนื่องมาจากกายสังขารอยู่เราไม่ได้ไปแก้ที่อาการของกามราคะปฏิฆะที่เกิดในขันธ์ นั่นหมายถึงว่ากามราคะปฏิฆะเกิดในกายได้เกิดในขันธ์ได้ ไม่ผิดมันเป็นสิ่งที่นอนเรื่องมามันแนบมาพร้อมกับกายอยู่แล้วมันแนบมาพร้อมกับขันอยู่แล้วแต่ทำยังไงที่เราจะไม่เห็นผิดในกามราคะปฏิฆะอันนั้น การที่เราจะไม่เป็นผิดก็คือยกกามราคะปฏิฆะมากำหนดดูรู้ว่านี่คือทุกข์
กามราคะปฏิฆะ เกิดขึ้นให้กำหนดว่านี่คือทุกข์การที่ไม่รู้จักกามราคะตามความเป็นจริง ปฏิฆะตามความเป็นจริงคือเหตุที่เกิดทุกข์ การรู้ว่ากามราคะปฏิฆะเกิดขึ้นมาแล้ว แล้วถูกรู้จักเราอยู่ก็คือนั้นไม่ถูกปิดบังด้วยอวิชชาคือความไม่รู้ คือการที่เราไม่รู้จักกามราคะปฏิฆะเกิดดับตามความเป็นจริงอันนี้มันจะมีอวิชชาอยู่ สิ่งเหล่านี้คือเราต้องแก้ไข เพราะอวิชชามันนอนเรื่องอยู่ที่ทิฐิ อวิชชาจะไม่ได้นอนเนื่องอยู่ในขันธ์ 5 แต่นอนเนื่องอยู่ในทิฐิคือผู้ที่เห็นผิด อวิชชาจะนอนเนื่องอยู่
	นั้นหมายถึงว่ากามราคะเกิด ปฏิฆะเกิด แล้วเราไม่ได้เห็นกามราคะปฏิฆะเกิดตามความเป็นจริงว่ามันเกิดยังไงแล้วดับไปอย่างไร เมื่อไม่เห็นกามราคะปฏิฆะเกิดดับตามความเป็นจริงอวิชชาจึงมีใช่ไหมล่ะ ฉะนั้นเมื่อเราเข้าไปกำหนดรู้กามราคะปฏิฆะอยู่อวิชชาก็ถูกแก้ไข คือทิฐิ คือความเห็นผิดก็จะหายไป มันจะเหลือแต่ตัวกามราคะนุสัยกับปฏิฆะนุสัย ไม่ใช่กามราคะสังโยชน์กับปฏิฆะสังโยชน์คนละส่วนกัน ในระหว่างที่เรารู้กามราคะปฏิฆะเกิดดับอยู่นั้นเราก็พิจารณาร่างกาย6 ขั้นตอนไปด้วยพร้อมกับขณะที่กามราคะปฏิฆะเกิดนั้น แม้จะละกามราคะปฏิฆะไม่ได้ก็ตาม แต่กามราคะปฏิฆะยังเกี่ยวเนื่องกับกายอยู่ฉะนั้นการพิจารณาร่างกายยังต้องเป็นตัวยืนพื้นพระอาจารย์จึงสอนให้พิจารณาร่างกาย 6 ขั้นตอน เป็นความคุ้นเคย เป็นอัตโนมัติในจิตและเป็นเครื่องเครื่องมือในการที่จะดำเนินในข้อปฏิบัติด้านต่อไป ก็คือกามราคะปฏิฆะนี้เองยังต้องจัดการยังต้องอาศัยกายเข้ามาเกี่ยวข้องในการพิจารณาอยู่ แล้วเมื่อใดก็ตามที่เราเข้าไปรู้กามราคะปฏิฆะตามความเป็นจริงแล้วไม่เกิดเป็นสังข์โยชน์ กามราคะปฏิฆะสังโยชน์ก็ดับไปในคราวครั้งนั้นแต่ยังไม่ได้ดับถาวรนะยังไม่คือดับไปในคราวเมื่อมันดับไปในคราวครั้งนั้นแล้วบุคคลผู้รู้จักกามราคะปฏิฆะที่เกิดขึ้นมาพร้อมกับเวทนา รู้การเกิดการดับพร้อมกับพิจารณาร่างกาย 6 ขั้นตอน ก็เป็นรู้สมุทัยสัจจะ บุคคลนั้นก็ได้เป็นผู้ละกามราคะปฏิฆะสังโยชน์นั้นในคราวครั้งนั้น การรู้อยู่อย่างนี้ปฏิบัติอยู่อย่างนี้ คือการเจริญอริยมรรค เมื่อมรรคเต็มเมื่อไหร่มันก็จะทําลายเมื่อนั้นถ้ามรรคยังไม่เต็มมันก็จะยังไม่ทําลาย ",00.09.11,00.14.14,
,*ครูเงาะอธิบายเพิ่มเติม ,"คือสมมุติว่าเราลองใช้คําว่าเจ็บแล้วกันนะคะ เวทนาทุกขเวทนาสมมุติเป็นความเจ็บ พอเราเจ็บมาสิ่งที่มันจะแนบไปกับความเจ็บคือความไม่ชอบความเจ็บ สมมุติลมเย็นหรือกลิ่นหอมหรือ
อะไรที่เรารู้สึกชอบ มีสัมผัสดี ๆ แล้วเรารู้สึกชอบความรู้สึกชอบมันก็แนบมากับความรู้สึกดี ตัวที่แนบมานี้ เราเรียกมันสมมุติว่าเราไม่ชอบเราเรียกปฏิฆะ ไม่ชอบคือปฏิฆะ
อันนี้ที่พระอาจารย์เรียกว่าปฏิฆะนุสัย มันคือติดมาตั้งแต่ในอดีตเพราะเราละมันไม่ได้ตั้งแต่อดีตชาติสะสมมารวมถึงปัจจุบันอดีตในชาติปัจจุบันด้วย สั่งสมมาเราเรียกว่าเป็นอนุสัย ตัวที่ติดมาด้วยตัวนี้ยังไม่ได้ทำให้เราเป็นอันตรายต่อการใช้ชีวิตในฐานะมนุษย์ ตัวกิเลสของเรานอนมาแต่พอเราไม่มีความเห็นที่ถูกต้องมันก็เลยทําให้เรามีปฏิฆะตัวใหม่ขึ้นมาจากความที่เราไม่มีสัมมาทิฐิหรือมรรคข้อที่หนึ่ง พอเราไม่เห็นถูกต้องว่าสิ่งนี้มันเป็นสิ่งที่มันเกิดขึ้น นี่คือทุกข์ สิ่งที่เกิดขึ้นคือเราไม่เห็น เราเข้าไปเป็นกับมันเลยพอเจ็บปุ๊บโอ๊ยไม่ชอบ โอ๊ยเมื่อไหร่จะ โอ๊ยทําไมมันถึงเจ็บเมื่อไหร่มันจะหาย ต่าง ๆ นา ๆ ตัวนี้แหละเราสร้างปฏิฆะตัวใหม่ตัวใหม่ตัวนี้อันตรายกับชีวิตเราในฐานะมนุษย์ ที่พระอาจารย์ท่านเรียกว่าปฏิฆะที่เป็นสังโยชน์ สังโยชน์คือตัวที่มันยึดเราไม่ให้เราออกจากการเวียนว่ายตายเกิด ตัวใหม่นี้มันสร้างเลยยึดเลยแล้วมันก็โยงเราต่อทําให้เราเกิดเป็นภพเป็นชาติเวียนว่ายตายเกิดไม่จบไม่สิ้นคือตัวนี้
	ฉะนั้นถ้าเราเจ็บแล้วเรารู้สึกไม่ชอบความเจ็บ ไม่เป็นไรแต่ขอให้เรารู้สัมมาทิฐิที่พระอาจารย์บอกคือรู้แล้วเห็นมันว่าเรียกมันได้ว่าเจ็บคือทุกข์อยากที่จะไม่เจ็บคือสมุทัย ให้เรียกมันรู้มันไปตามสิ่งนี้ พอเรารู้เราเห็นแล้วเราอดทนอยู่กับความเจ็บ ไม่ได้แปลว่าเราจะเดินออกจากความเจ็บไม่ได้ สมมุติว่ามีของทับมือไม่ใช่แบบตามรู้ไปเราก็เอาออกได้ แต่ว่าให้เรารู้เราเห็นทั้งทุกขณะว่ามันเจ็บอยากหายเจ็บ แล้วตอนนี้เราก็แก้ความเจ็บสมมุติมันความเจ็บทางกายเราก็เอาออกมันได้ใช่ไหม เราก็ย่อมเอาออกได้แต่ทั้งหมดทําแบบรู้หมดเลยว่ามันเกิดอะไรขึ้น รู้ไปจนเห็นการดับของมัน ตัวนี้ก็จะไม่สร้างอันตรายให้ชีวิตของเราคือการไปถูกรัดยึดโยงกับชีวิตของเรานี่คือคําว่าสังโยชน์ที่พระอาจารย์บอก แล้วมนุษย์เรามี 10 สังโยชน์ เรามี 10 สังโยชน์ ที่เราต้องค่อย ๆ แก้เป็นด่าน ที่เรียกว่าด่านอรหันต์ เราต้องแก้ไปถ้าเราแก้ 3 ตัวแรกได้เราเรียกบุคคลผู้นั้นว่าโสดาบัน ฉะนั้นตัวที่เพื่อนถามมา ศักยทิฐิก็คือศักยทิฐิ การยึดว่ากายนี้มันเป็นเรา วิจิอิจฉาความสงสัยในการปฏิบัติ สงสัยพระพุทธศาสนาสอนถูกใช่ไหม ไอที่ฉันทําถูกหรือเปล่า สงสัยทั้งมวลศิลปะะปรามาสคือไปยึดถือวิธีผิด ๆ ไปถูหวยไปกราบไหว้สิ่งศักดิ์สิทธิ์นู่นนี่นั่น คือยึดถือมั่วซั่วหรือปฏิบัติมั่วซั่วอะไรต่าง ๆ 3 ตัวนี้มันจะหายพอหายแปลว่าเราเข้าสู่โสดาบันใช่ไหมคะ แล้วเราก็จะค่อยไปต่อขั้นที่ละราคะปฏิฆะ ฉะนั้นแปลว่าถ้าเราแค่เข้าใจมันละไม่ได้ พระอาจารย์ต้นก็เลยให้เราฝึกเห็นการพิจารณากายของเราจนจิตมันไม่ใช่แค่เข้าใจแต่มันคือเข้าถึง บางทีเห็นชัด ๆ แจ้ง ๆ เหมือนวันนี้ครูเงาะอธิบายว่า อเมริกาดีแต่ถ้าเราไม่เคยไปเราก็ไม่แจ้ง ฉะนั้นพอเราเห็นแล้วเราแจ้งเราถึงจะละได้แล้วเราค่อยไปละตัวถัด ๆ ไป ฉะนั้น 3 อันนี้อย่าให้แค่พอเข้าใจเอาให้เข้าถึงให้ได้ โดยการทําตามลําดับที่พระอาจารย์ต้นสอนมาอย่างชัดเจนนะคะ ว่าไม่ว่าจะเป็นเริ่มจากการบทพระรัตนตรัยแล้วก็ท่องธาตุแล้วก็รวมไปถึงการพิจารณาการ 6 ขั้นตอน ย้ำ ๆ ซ้ำ ๆ จนจิตมันเชื่อจนมรรคเป็นอย่างที่พระอาจารย์บอกนะคะ ",00.14.32,00.18.45,
,เคยฟังพระอาจารย์พูดเรื่องอโหสิกรรมว่าถ้ามีใครมาทําอะไรให้เราแล้วเราอโหสิกรรมให้ก็จะเป็นการจบกรรมระหว่างเรากับเขาใช่ไหมครับ แล้วการอโหสิกรรมถือเป็นอภัยทานด้วยไหมครับ,อโหสิกรรม มีความหมายว่ากรรมที่ให้ผลสําเร็จแล้วการที่จะให้ผลสําเร็จแล้วก็เกิดจากการที่เรารู้จักยอมรับผลวิบากที่เกิดขึ้นกับตัวเราว่านี่คือผลกรรมที่เราเคยทํามาไม่ว่าเราจะได้รับผลกรรมในด้านใด ๆ ก็ตามก็ให้มองภาพกรรมนั้นเป็นสิ่งที่เราจะต้องยอมรับตามความเป็นจริง ถ้าเราทําจิตยอมรับได้กรรมจะเกิดเป็นอโหสิกรรมถ้าเราไม่ทําจิตให้ยอมรับกรรมจะไม่เป็นอโหสิก็จะคอยวนเวียนเพื่อให้เราได้ยอมรับต่อสภาพกรรมนั้น ๆ ฉะนั้นเมื่อเราทํากรรมให้เป็นอโหสิโดยการตั้งจิตยอมรับในกรรมที่เราเคยทําเขาเรียกว่าตั้งจิตสํานึกในกรรมที่เราเคยทําพลาดพลั้งไม่ว่าแต่ปางไหนก็ตามแล้วเราก็ไม่พยายามที่จะทํากรรมแบบนั้นที่จะเกิดกับตน ไม่ว่ากรรมนั้นจะอํานวยผลผ่านการกระทําจากบุคคลอื่น บุคคลรอบข้าง หรือใครก็ตาม หรือคนที่เราไม่ชอบก็ตามกรรมในการกระทําผ่านบุคคลเหล่านั้นก็อย่าไปตั้งครรภ์เพ่งโทษในบุคคลเหล่านั้นไว้ ถ้าเราไม่ตั้งครรภ์เพ่งโทษใดใดไว้กรรมก็จะเกิดอโหสิที่เรียกว่าจบกรรมไม่ใช่จบกรรมจากคน ๆ นั้นนะ คือจบกรรมที่เราเคยทํามาแล้วเราจะไม่ได้รับผลแบบนี้จากใคร ๆ และไม่มีใคร ๆ ทํากรรมแบบนี้กับเราอีก อย่างนี้เขาเรียกว่าจบกรรม ถามว่าเป็นการอภัยไหม อภัยเขาไม่ได้ใช้ในกรณีของการที่เป็นอโหสิกรรมการอภัยเราจะใช้ในกรณีที่เราเห็นคนอื่นทําความผิดกับเราแล้วเราตั้งใจอภัยให้เขาได้ แล้วจริง ๆ การอภัยไม่ได้การเป็นการแสดงออกถึงน้ำใจของเราที่แสดงออกต่อคนอื่นที่เขากระทําผิดแต่แท้ ๆ ที่จริงแล้วอภัยทานเนี่ยมันเป็นการแสดงออกต่อสภาพการทางจิตใจของเราเองที่ทําให้ใจของเราไม่ไปเกิดการเพ่งโทษในสิ่งที่เขาทำผิด ,00.18.54,00.21.04,
,*ครูเงาะอธิบายเพิ่มเติม ,"คือบางทีคนพูดคํานี้กันว่ามันมาทําให้เราอโหสิกรรมให้มันไปคืออันนี้จริง ๆ คือเป็นการให้อภัยทานถูกไหมคะพระอาจารย์ ใช่
ที่ว่าเป็นอโหสิกรรมที่พระอาจารย์ว่าก็คือเช่นอย่างสมมุติว่าครูเงาะเจ็บไข้ได้ป่วยอะไรก็แล้วแต่แล้วครูเงาะไม่พยายามที่จะไปด่าทอโรคภัยที่ครูเขาเกิดก็ยอมรับว่ามันเกิดแล้วรักษาก็รักษาไปรักษาไม่ได้หรือได้แค่ไหนก็ยอมรับว่านี่คือกรรมที่เราเคยไปทําไว้ก็เผชิญยอมรับกับสิ่งที่เกิดขึ้นแล้วเมื่อกรรมนี้ พอเรายอมรับเสร็จแล้วกรรมเขาก็ถือว่าเขาก็ได้ให้ผลกับเราแล้วกรรมนี้ก็จะหมดฤทธิ์ของเขาไปที่เรียกว่าอโหสิกรรมที่พระอาจารย์ต้นหมายถึงนะคะ ก็คือกรรมมันหมดรอบของมันแล้วจบแล้วนะคะ ",00.21.09,00.21.56,
,เมื่อช่วงบ่ายนั่งสมาธิได้พักใหญ่แล้วได้ยินเสียงคล้ายคนแก่มากระซิบข้างหู ฟังจับใจความไม่ได้ขณะนั้นจิตอยู่กับตัวไม่รู้สึกตกใจจึงทําสมาธิต่อไป แต่เมื่อออกจากสมาธิแล้วเกิดความสงสัยขอพระอาจารย์เมตตาแนะนําการปฏิบัติต่อเหตุการณ์แบบนี้ด้วยค่ะ,การทําสมาธิเราจะสามารถรับรู้รับทราบทางเสียงทางภาพหรือทางไหน ๆ ก็ได้อาตมาเคยบอกว่าเวลาทําสมาธิมันจะเกิดการเชื่อมต่อกับภาวะรอบข้างกับเรา เราไม่รู้หรอกว่าภาวะรอบข้างก่อนที่เราจะนั่งสมาธิมันมีอะไรอยู่กับเราบ้างในแวดล้อมขนาดนั้น เวลาทําสมาธิลงไปจิตที่เป็นสมาธิในขณะบางขณะคือคุณสมบัติของสมาธิบางอย่างมันจะเกิดการเชื่อมต่อกับสิ่งรอบข้างอยู่เมื่อมันเกิดการเชื่อมต่อสิ่งนั้นจะแสดงออกมา ถ้าเป็นทางเสียงก็จะมาพูดกับหูเราอย่างนี้แหละแล้วเราก็มาสงสัยว่ามันเกิดอะไร มันคือการระบบการเชื่อมต่อในทางสมาธิทางจิตนั่นเองก็นี่แหละคือคําตอบ,00.22.00,00.23.01,
,เรื่องอาศวะกิเลสครับ การพูดหรือนึกคิดถึงผู้อื่นในทางที่ไม่ดีพูดเพื่อแนะนําสอนหรือคิดเองเพื่อระมัดระวังตัวเองไม่ให้ถูกกระทําไม่ดีจากคนคนหนึ่งจะส่งผลทําให้เราหมักดองอยู่ในอาศวรกิเลสหรือไม่ครับ,ก็เป็นการหมักดองในอาศวะกิเลสแต่เป็นการหมักดองในทางที่ดีแล้วก็จะมีอัสวะทางที่ดีที่ดองเราไว้ให้อยู่ในส่วนที่ดี จะเป็นอัสวะเหมือนกัน ,00.23.05,00.23.34,
,มีข้อสงสัยว่าการอธิษฐานยกบุญให้คนอื่นกับการแผ่เมตตาเหมือนกันหรือแตกต่างกันไหมคะ ถ้าอธิษฐานยกบุญให้คนอื่นแล้วบุญของเราจะลดลงไหมคะ,การอธิษฐานยกบุญให้คนอื่นต่างจากเมตตาคนละส่วนกัน การอุทิศส่วนกุศลหรือแบ่งปันบุญให้คนอื่นนั้นจัดอยู่ในปฏิธานามัยบุญที่สําเร็จด้วยการให้ส่วนบุญ พระพุทธองค์บอกว่าบุญที่เกิดจากการให้ส่วนบุญเป็นบุญอย่างหนึ่ง เป็นบุญอย่างหนึ่งหมายถึงว่าเราให้ส่วนบุญยิ่งให้ก็ยิ่งจะเกิดบุญใหม่ที่เกิดจากการที่ให้ส่วนบุญนั้นอีกชั้นหนึ่งซ้อนขึ้นมา ฉะนั้นเราให้ไปเท่าไหร่ก็ตามมันไม่มีทางหมดเพราะจะมีบุญใหม่ซ้อนขึ้นมาจากการให้ส่วนบุญนั้น ส่วนในการแผ่เมตตาก็คือการทําจิตของเราให้ปราศจากเวรคนละส่วนกับการให้ส่วนบุญหรืออุทิศส่วนกุศลให้คนอื่นต่างกัน ,00.23.47,00.24.42,
