question,answer,start_time,end_time
ถ้าตัวเราไม่ทราบว่าคนที่เราคบด้วยเขามีแฟนแล้วเป็นคนที่ทํางานเดียวกันกับเรา แต่พอเราทราบเราก็ถอยออกมาแต่พอเวลาที่เห็นเขาอยู่ด้วยกันเรากลับรู้สึกเจ็บปวดและคับแค้นใจที่เค้าไม่บอกความจริงแล้วก็โมโหคิดต่างๆนานาความคิดต่างๆนานาก็เกิดตลอด พยายามท่องพระรัตนตรัยแล้วแต่ความคิดก็คิดตลอดจะกําหนดอย่างไรดี,ในเมื่อเราต้องเจอพวกเขาในที่ทํางานทุกวันเรื่องนี้ต้องใช้ความเข้าใจเพราะพื้นฐานจิตของเรามันจะมีการเก็บอารมณ์ไว้ในภายใน เมื่อมันถูกเก็บไว้มันย่อมจะแสดงออกเมื่อประจวบกับเหตุหรือเรื่องราวที่ส่งผลให้เรารู้สึกอย่างนั้นกับเหตุการณ์ที่เคยเป็น เมื่อมันเป็นอย่างนี้แล้วจิตเรามันจะเกิดการถ่ายเทอารมณ์มันจะดึงเหตุปัจจัยที่เราได้เห็นได้ทราบในเรื่องนั้นที่มันมันไม่ตรงกับสิ่งที่เราต้องการ มันก็จะถูกดึงออกมาแล้วก็แสดงออกผ่านจิตใจเรา เรื่องนี้ต้องใช้ความเข้าใจอย่างมากที่ว่ามันจะต้องเป็นอย่างงี้แหละ แม้เราจะรู้สึกในด้านลบก็ตามแต่เราต้องยอมเข้าใจสภาพจิต ไม่ต้องไปกําหนดไม่ต้องไปเปลี่ยนแปลงเราสามารถระลึกถึงพระรัตนตรัยได้แต่อย่าไประลึกถึงพระรัตนตรัยเพื่อให้สภาพของจิตของเราไม่ได้ถูกถ่ายเทอารมณ์ออกมา แต่เป็นการระลึกถึงพระรัตนตรัยเพื่อควบคุมใจของเราไม่ให้ตกไปในข้างของอกุศลเมื่อประสบกับเรื่องราวนั้นที่มากระทบจิต ความรู้สึกเจ็บปวดเสียใจมันมีอยู่แล้วปกติก็ยอมรับมันต้องให้มันมีนี่คือความจริงของชีวิต,00.02.39,00.04.33
การปฏิบัติธรรมในตอนนี้ทําไมมีหลายรูปแบบ ทําไมไม่สอนเหมือนๆกัน,เรื่องนี้สะท้อนถึงตัวศาสนาเองด้วยในเวลานี้ซึ่งไม่ได้ทําความเข้าใจให้คนได้รับรู้พระพุทธศาสนาทางด้านหลักคําสอนเป็นหลักหรือเป็นเกณฑ์เนื่องจากว่าเราสืบทอดพระพุทธศาสนาทางด้านประเพณีมาเป็นระยะเวลายาวนาน จึงไม่ได้เข้าใจประเด็นของตัวคําสอนที่พยายามจะบอกสอนพวกเราบนพุทธสาวกจึงทําให้เรามองต่างในเรื่องของการปฏิบัติในหลายแง่หลายมุมออกไปเสียมากมาย ความเข้าใจในหลักคําสอนแต่ละชั้นแต่ละลําดับมันจึงทําให้ความเข้าใจถูกบอกสอนไปตามการรับรู้ของผู้สอน เมื่อผู้สอนต้องการสอนให้ผู้ปฏิบัติได้รับรู้อย่างไรเขาก็จะบอกแต่เรื่องที่เขาได้รับรู้มาและเข้าใจมา คําสอนที่ถูกสอนออกไปต่างๆนานาหลายแง่หลายมุมนั้นจริงๆมันไม่ได้ผิดอะไร ที่ผิดก็คือหลักคําสอนเหล่านั้นมันไม่ได้ถูกรวบรวมให้เกิดความเป็นหนึ่งทางด้านความเข้าใจว่าเราจะต้องรู้จักและเข้าใจเป็นอย่างดีว่าสัจจะมันมีแค่หนึ่งเดียว หลักคําสอนด้านการปฏิบัติที่มีหลากหลายเขาเรียกว่าเป็นทางเข้ามาสู่ความจริงอย่างไรก็ตามแต่ความจริงคือสัจจะจะต้องเข้าใจเป็นหนึ่งเดียวกัน เรื่องราวอย่างนี้มิใช่จะเกิดขึ้นตอนที่คําถามนี้ถามมาแต่เรื่องราวอย่างนี้เคยเกิดขึ้นมาในทางพุทธกาลแล้วที่มีพระภิกษุหลายรูปไปกราบทูลพระองค์ว่าทําไมบางคนพิจารณาอาตยนะ ทําไมบางคนพิจารณาขันธ์ห้า ทําไมบางคนทําอานาปานสติ อันเดียวกันแต่ทําไมข้อปฏิบัติมันต่างกันเหลือเกิน พระเจ้าก็บอกว่าข้อปฏิบัติที่ต่างมันเป็นตามอัธยาศัยอุปนิสัยและจุดเริ่มต้นของคนๆนั้นเขาเริ่มต้นมาอย่างไร แต่ถ้าจุดเริ่มต้นมาอย่างไรแล้วไม่เข้ามาถึงสัจธรรมนี้สัจธรรมก็จะไม่ปรากฏหรือไม่เกิดผลทางด้านการปฏิบัติมันก็อยู่ในชั้นของการบําเพ็ญกุศลธรรม แต่ถ้าเรามาอย่างไรก็ตามในด้านการปฏิบัติถ้าเราอาศัยสัจธรรมคืออริยสัจเป็นเครื่องดําเนินทางด้านมรรคเราก็จะไปถึงตัววิมุตติแบบเดียวกัน แล้วเราก็จะรู้ว่าธรรมะทั้งหมดมันเป็นสิ่งเดียวกันมันจะมีความแตกต่างกันแค่ที่มามันต่างกันเท่านั้นเอง,00.04.36,00.07.15
คนที่ขี้ลืมจัดว่าเป็นคนไม่มีสติหรือไม่,ขี้ลืมมันเป็นภาวะบางอย่างไม่เกี่ยวกับสติ ที่ลืมมันอาจจะเกี่ยวกับพยาธิสภาพทางร่างกายที่บกพร่องในด้านของความทรงจําก็มีไม่ได้เกี่ยวกับการขาดสติ สติในความหมายของพระพุทธศาสนาคือสติที่รู้เห็นความเกิดความดับไม่ใช่ว่าไปจําเรื่องนั้นจําเรื่องนี้ไว้ ผู้ที่มีสติคือผู้ไม่หลงลืมความจริงว่าทุกสิ่งเกิดและดับสติจะไม่หลงลืมตรงนี้ แต่หลงลืมเรื่องอื่นมันเป็นการหลงลืมอยู่แล้วมันมีอยู่มันเกิดขึ้นพระอานนท์ก็ขี้ลืมเหมือนกันจนพุทธองค์อนุญาตในความลืมนั้นไม่ให้ต้องอาบัติ เช่น พระองค์บอกว่าพระภิกษุจะต้องมีผ้าสังฆติติดตัวตลอดยี่สิบสี่ชั่วโมงห้ามออกจากพระสังฆติเลยนะคือห่างได้ไม่เกินหนึ่งช่วงแขนห้ามห่างจากตัว สังเกตได้เราไปที่ไหนเราจะเห็นมีพระจะพาดสังฆติไปด้วยทุกที่ มีอยู่ครั้งหนึ่งพระอานนท์น่ะลืมไปบิณฑบาตในหมู่บ้านแล้วไม่ได้เอาผ้าสังฆติดไปด้วยนะภิกษุทั้งหลายก็กราบทูลเรื่องนี้กับพุทธเจ้าพระพุทธเจ้าก็เรียกพระอานนท์ไปว่าทําไมเธอถึงไม่ได้นําผ้าสังฆติดติดตัวไป พระอานนท์ก็บอกข้าพระองค์ลืมพระเจ้าค่ะ ขนาดว่าผู้เลิศในด้านทรงจําแล้วยังลืมได้นั่นหมายความว่าความลืมเป็นเรื่องธรรมชาติมนุษย์ไม่ได้ผิดปกติอะไร,00.07.19,00.08.49
ทําอย่างไรถึงจะหยุดคิดถึงสิ่งที่ไม่ชอบและไม่พอใจ ทั้งๆที่กําหนดหยุดแล้วก็ยังผุดขึ้นมาอีก,เรื่องนี้ต้องเข้าใจให้ดีว่าการที่เราอยากจะให้ความคิดมันหยุดคิดในเรื่องที่เราไม่ได้พอใจหรือเราไม่ต้องการมัน การตั้งค่าไว้อย่างนี้เป็นการตั้งค่าไว้ผิดเพราะว่าการที่ไม่อยากให้ความคิดป่วนเกิดขึ้นทั้งๆที่ความคิดนั้นมันก็ผุดเกิดขึ้นแล้วปรากฏกับใจเราแล้วจะไปบอกไม่ให้มันไม่เกิดขึ้นไม่ได้ แต่เราจะทํายังไงกับสิ่งที่เกิดขึ้นแล้ววิธีการที่เราจะทําก็คือเข้าใจกับสิ่งที่มันเกิดขึ้น ถ้าเราได้เข้าใจเรื่องราวที่มันเกิดขึ้นว่าเป็นเรื่องราวที่ล่วงไปแล้วดับไปแล้วหมดไปแล้วก็ให้รู้ตามความเป็นจริงเลยว่าเรื่องนี้ล่วงไปแล้วไม่ได้มีอยู่จริงในเวลานี้ ที่มีอยู่จริงเป็นเพียงแค่การแสดงออกถึงเรื่องราวของมันคือเรียกว่าอารมณ์อารัมมณะ อารัมมณะเป็นสิ่งที่แสดงออกต่อจิตในสภาพการที่เคยประสบและเกี่ยวข้องกับสิ่งนั้นมาแต่การประสบและการเกี่ยวข้องกับสิ่งนั้นมันไม่ได้มีอยู่แล้ว เป็นเพียงแต่ห้ามแสดงออกทางด้านอารัมมณะคืออารมณ์ให้จิตได้เข้าใจเท่านั้นเอง,00.08.52,00.10.10
การใช้ปัญญาอบรมสมาธิใช้อย่างไร สามารถใช้ได้ตอนไหนบ้าง,พระองค์บอกว่าบุคคลใดก็ตามที่เจริญสมถะแล้วแต่ยังไม่สามารถเจริญวิปัสสนาพึงหาอาจารย์ผู้สอนวิปัสสนาผู้จะพูดได้สมถะพึงหาอาจารย์ผู้สอนวิปัสสนาให้ได้อย่าหยุดเพียงแค่การทําสมถะเพราะถ้าหยุดอยู่เพียงแค่การทําข้อปฏิบัติก็จะได้เท่านั้นมันไม่ได้ก้าวไปกว่าเดิม บุคคลใดก็ตามที่เจริญวิปัสสนาแล้วได้เกิดวิปัสสนาญาณพึงหาอาจารย์ผู้สอนสมถะเพราะว่าธรรมวิปัสสนาอย่างเดียวไม่ทําสมถะมันก็ไม่เกิดผลทางด้านการปฏิบัติมันได้แค่ชั้นวิปัสสนา ฉะนั้นวิปัสสนาจึงไม่ใช่การปฏิบัติที่อยู่ในหลักอริยมรรคนะแต่เป็นวิธีการอย่างหนึ่งนะในบรรดาข้อปฏิบัติที่พระองค์ตรัสสอนเรา จึงไม่สามารถแยกออกไปปฏิบัติเฉพาะวิปัสสนาด้านเดียวได้เลยนะ ถ้าเจอวิปัสสนาได้แล้วหาอาจารย์ผู้สอนสมถะแต่ถ้าบุคคลใดก็ตามได้เจริญทั้งสมถะและวิปัสสนาแล้วควบคู่กันอยู่ไม่ต้องหาครูบาอาจารย์ไหนพึงเจริญสมถะวิปัสสนานั้นกระทําให้มากเจริญให้มากแล้วย่อมเข้าถึงพระพุทธได้,00.10.14,00.11.48
สมถะคืออะไรวิปัสสนาคืออะไร,สมถะคือการทําสมาธิหรือว่าการทําจิตของเราให้อยู่กับความสงบเบากายเบาใจอยู่ใน การที่ทําจิตของเราให้สงบเป็นผลเกิดจากสมถะ ส่วนวิปัสสนาคือการพิจารณาจนเกิดความเห็นแจ้งในสังขารธรรมทั้งหลาย สังขารธรรมก็คือกายสังขาร วจีสังขาร มโนสังขาร การพิจารณารู้สังขารว่ามีโทษเป็นภัยเกิดและดับแต่สลายถึงความเสื่อมสิ้นหาความตั้งอยู่ในความเป็นตัวของมันเองไม่ได้สุดท้ายทุกคนก็ต้องทอดทิ้งสภาพสังขารร่างกายที่ตัวเองยึดถืออยู่ ฉะนั้นวิปัสสนาที่เข้าไปเห็นแจ้งในข้อนี้ก็จะทําให้เกิดความเบื่อหน่ายแต่ความเบื่อหน่ายนี้ถ้ายังไม่สามารถไปทางด้านอริยมรรคได้คือยังไม่สามารถเจริญอริยมรรคได้ จิตก็จะหยั่งลงสู่ญาณ ญาณกับฌานไม่เหมือนกัน ญาณคือจะมีปัญญาหยั่งทราบความจริงของสภาพสังขาร แล้วความรู้อันเป็นญาณหยั่งทราบนี้จะส่งผลให้จิตเกิดความรอบรู้ เหมือนกับความรอบรู้ของผู้รับอาสวะกิเลสได้คือตอนนั้นกิเลสมันจะไม่เกิดขึ้นมันจะทําให้กิเลสไม่ปรากฏมันจะเกิด แล้วจะมีอันหนึ่งแทรกเข้ามาคือเขาเรียกว่าวิปัสสนูปกิเลส วิปัสสนูปกิเลสจะแทรกเข้ามาในกลุ่มคนผู้ทําวิปัสสนาญาณจนเขาเรียกเพี้ยนออกไป ถ้าทําวิปัสสนาญาณอย่างเดียวก็เพี้ยนได้ ทําสมถะอย่างเดียวก็เพี้ยนได้ สมถะคือการทําสมาธิหรือทําใจให้สงบ สมถะเริ่มตั้งแต่พระรัตนตรัยก็เป็นสมถะ กรรมฐานสี่ก็เป็นสมถะ พิจารณาหกขั้นตอนก็เป็นสมถะแต่เริ่มมีกึ่งวิปัสสนาเข้ามาเกี่ยวข้องแล้ว แล้วพิจารณาขันธ์ห้ารู้ความเกิดดับโดยมีอริยสัจสี่เป็นคําอธิบายในการดูการเกิดดับอันนี้เป็นวิปัสสนาที่ประกอบด้วยอริยมรรค จะมีวิปัสสนาที่เป็นวิปัสสนาธรรมดากับวิปัสสนาที่ประกอบไปด้วยอริยมรรคซึ่งต่างกัน,00.11.49,00.14.10
การทําพิธีแก้กรรมด้วยการสักยันต์เติมของสามารถพลิกชีวิตที่ไม่ดีให้กลายเป็นดีหรือเปลี่ยนชะตาได้จริงหรือ,มันเป็นการเปลี่ยนชะตาชั่วครั้งชั่วคราวแต่ไม่ได้เป็นการเปลี่ยนจากพื้นฐานของความจริงเป็นการเปลี่ยนเพื่ออิงอาศัยอย่างอื่นเข้ามา เปลี่ยนโดยอิงอาศัยจากเหตุภายนอก การอิงอาศัยจากเหตุภายนอกแม้จะเปลี่ยนชะตาชีวิตได้อย่างชั่วคราวหรือดีขึ้นในคราวครั้งนั้น แต่ก็จะมีโทษตามมาอย่างที่เราไม่ได้รู้ว่ามันจะเกิดโทษอะไรบ้าง ฉะนั้นการที่พระพุทธเจ้าตรัสสอนให้เปลี่ยนภาพชีวิตตัวเองนั้น ควรจะเปลี่ยนภาพหรือเปลี่ยนชะตาชีวิตตัวเองจากการสร้างเหตุปัจจัยในภายในซึ่งเป็นการสร้างจากพื้นฐานของความจริงด้านกรรม การเชื่อกรรมเชื่อผลของกรรมว่าเราทํากรรมชนิดนี้ผลแห่งชีวิตของเราก็จะเป็นไปตามกรรมแห่งการกระทํา เราสามารถกําหนดชีวิตด้วยการกระทํานี้ในสิ่งที่เรากําลังตัดสินใจกระทําอยู่จะเป็นการเพิ่มพูนกรรมที่ดีพัฒนากรรมที่ดีให้กับตัวเอง,00.14.14,00.15.17
*ครูเงาะอธิบายเพิ่มเติมจากพระอาจารย์*,บางทีเราเคยเห็นดาราต่างประเทศเขามาสักยันต์อะไรต่างๆนานาที่บ้านเราคนก็จะแห่ไปทําตามกันเพราะเห็นชีวิตเขาดีเขาเป็นดาราดังแต่พอตอนที่ชีวิตเขาแย่ตกต่ำเป็นข่าวไม่ดีลืมนึกไปว่ายันต์ก็อยู่ตรงนั้นด้วย,00.15.18,00.15.37
ที่ผ่านมาภาวนาพุทโธเมนาโถ ธัมโมเมณาโถ สังโฆเมนาโถ มาประมาณสี่สัปดาห์แล้วเปิดซีดีสอนธรรม จิตตื่นขึ้นมาจิตเห็นการภาวนาเอง พุทโธเมนาโถ ธัมโมเมณาโถ สังโฆเมนาโถ ก็เห็นจิตตั้งใจฟัง จิตไม่คิดเรื่องอื่นใดนอกจากพิจารณาตามธรรม เมื่อเกิดสภาวะนี้แล้วจะพิจารณาอย่างไรให้เกิดปัญญาได้ดวงตาเห็นธรรม,ตอนนี้ให้อาศัยการระลึกถึงพระรัตนตรัยเป็นมหากุศลรองรับผิดไปก่อน เมื่อจิตได้เข้ามาหน่วงเหนี่ยวเอาบทพระรัตนตรัยนี้แนบอยู่กับกิจ เมื่อหน่วงเหนี่ยวแนบอยู่กับกิจไว้อย่างนี้พึงทําให้บทพระไตรนี้แนบแน่นและควบคู่อยู่กับจิต่อเนื่องกันต่อไปอีกสักระยะหนึ่งเราจะเห็นความเปลี่ยนแปลงทางจิตใจ การที่เราถามหาปัญญาโดยที่เราไม่ได้เข้าใจว่าปัญญาเกิดขึ้นมาอย่างไร การถามหาปัญญาชนิดนั้นยังไม่ควรจะถามหาในช่วงเวลานี้แต่ก็เป็นสิ่งที่ดีที่อยากจะเกิดภาวะที่เรียกว่ามีดวงตาเห็นธรรม แต่ทําตามที่พระอาจารย์แนะนําไปเรื่อยๆอย่างน้อยความเปลี่ยนแปลงมันเริ่มเกิดขึ้นแล้วและเมื่อมันเกิดขึ้นแล้วไม่ต้องกลัวว่าปัญญาที่จะไปทํากิจของการกําหนดรู้หรือมีดวงตาเห็นธรรมนั้นมันจะไม่เกิดขึ้นอันนั้นเป็นปลายเหตุ ต้นเหตุคือเราสร้างเหตุตัวนี้คือต้องระลึกถึงพระรัตนตรัยย้ำๆต่อไปกว่านี้หรือถ้าเพิ่มการท่องธาตุเข้าไปด้วยในขั้นตอนนี้ก็ได้แต่ยังอยากให้เอาพระรัตนตรัยเป็นหลักอยู่ แต่เติมการท่องธาตุเข้าไปอีกก็ได้,00.15.38,00.17.30
ไม่รู้ว่าจะต้องปฏิบัติอย่างไรให้ไม่ต้องกลับมาเกิดอีก,แน่นอนการปฏิบัติเพื่อไม่กลับมาเกิดอีกมีหนทางเดียวคืออริยมรรคเป็นเส้นทางในพุทธศาสนาเราแล้วก็มีจุดมุ่งหมายเพื่อไม่ให้กลับมาเกิดอยู่แล้วถ้าเราดำเนินตามหลักอริยมรรคในแบบวิธีที่พระอาจารย์ได้แนะนําซึ่งก็เป็นเส้นทางของอริยมรรคนี้ ขอให้มั่นใจว่าหลักการและเส้นทางที่พระอาจารย์แนะนํานี่มีจุดมุ่งหมายอย่างที่ตั้งคําถามนี้ขึ้นมาก็คือไม่ต้องการให้กลับมาเกิดได้ผลแน่นอน ,00.17.40,00.18.12
