question,answer,start_time,end_time
มีธรรมะในข้อใดที่พระพุทธองค์ได้เคยสอนคนที่ทําการค้า คนที่ทําธุรกิจ คนที่ครองเรือน ท่านได้มีธรรมะอะไรที่สอนให้เขาเจริญงอกงามในหน้าที่การงานที่เขาทํา มีบ้างไหมคะ,"ธรรมะในเรื่องนี้ พระพุทธองค์ตรัสไว้เยอะพอสมควร แล้วก็รายละเอียดในพระไตรปิฎกน่าจะเรียกว่า คือสามารถเป็นแบบแผนทางด้านทําการค้าขายเลยก็ว่าได้ คือจะเรียกว่านักการตลาดก็ว่าได้ พุทธองค์เข้าใจหลักการใช้ชีวิต เข้าใจเหตุปัจจัยที่จะทำให้บุคคลผู้นั้นเข้าถึงความเจริญด้วยเหตุแห่งการกระทําและพระองค์เป็นผู้เน้นหนักเรื่อง การสร้างเหตุแห่งการกระทํานี้เอง จึงทําให้พระองค์ได้บัญญัติหลักในการดําเนินชีวิตสําหรับชาวบ้าน และก็ทราบดีว่าชาวบ้านเองก็ยุ่งเกี่ยวอยู่การงาน พระองค์ก็ทราบด้วยว่าเหตุปัจจัยของการงานที่จะนําไปสู่ความเจริญของผู้คนนั้น ควรจะสร้างเหตุปัจจัยอย่างไร และในหลักธรรมที่มีรายละเอียดมาก หลักๆก็ที่เราอาจจะเคยได้ยินใช่ไหมว่า หัวใจเศรษฐีก็คือ อุอากะสะ ที่เราเคยได้ยินกัน นํามาถูกบอกสอนบ่อยครั้งมาก ถือว่าเป็นหัวใจของการทําการค้าขายหรือว่าการใช้ชีวิตตัวเองหรือทําให้ตัวเอง ดําเนินตัวเองอยู่ในหลักการการทําการงานในวิถีชีวิตที่เราจะต้องดํารงชีพอย่างไรจึงจะเหมาะจะควร หัวใจเศรษฐีที่พวกเราชาวพุทธคุ้นเคยกันอย่างมาก ไม่ใช่ให้เอาไปท่อง ไม่ใช่ท่องเพื่อให้เกิดความร่ํารวยเป็นเศรษฐีอะไร แต่มันหลักของการปฏิบัติ ต้องเข้าใจว่าพระพุทธเจ้าสอนอะไรก็ตาม สิ่งที่พระองค์ทรงสอน ต้องนําไปสู่การปฏิบัติถึงจะเกิดผล พระองค์จึงได้ชื่อว่าเป็น กัมมวาทีคือว่าบุคคลผู้มีวาทะคือกล่าวเรื่องการกระทําเป็นความสําคัญ การรอผลดลบัน อันนั้นเป็นหลักการที่พระองค์ไม่สรรเสริญแล้วก็ไม่เคยสอนให้เราไปกระทํากันอย่างงั้น แล้วก็ชี้ให้เห็นด้วยว่าเป็นความงมงายอย่างหนึ่งในชีวิต คําว่าอุอากะสะก็คือ อุ มาจากคําว่า อุทานสัมปทาน เราถึงพร้อมด้วยความขยันหมั่นเพียร ขยันหา หรือว่าขยันในการที่จะแสวงหาในการงานที่จะนํามาซึ่งทรัพย์สมบัติ รู้จักช่องทาง รู้จักโอกาส รู้จักการที่จะทําสิ่งนั้นให้จริงจริงจังจังให้ถึงที่สุด ไม่เข็นแก่เหน็ดเหนื่อยหรือเหนื่อยยากในการกระทํา พระองค์ใช้คําว่าอาบเหงื่อต่างน้ำในการกระทําในสิ่งเหล่านั้นและอุทานสัมปทาน แล้วก็ถึงพร้อมด้วยความขยันหมั่นเขียร ถ้าเกิดเราจะดูตามศัพท์ เราอุฏฐานะ คือการหมั่นที่จะลุกขึ้นอยู่บ่อยๆ ถ้าขี้เกียจคือขยับร่างกายอย่าอยู่นิ่งๆอะไรประมาณนี้ แต่ทีนี้บางทีการงานในเวลานี้ มันเป็นการงานที่อยู่ในโลกออนไลน์เสียส่วนมาก คําว่าอุฏฐานสัมปทาก็คือการใส่ใจไม่ทอดธุระในการงานนั้นอยู่เสมอ,สอง อารักขสัมปทาก็คือ เมื่อได้ทรัพย์มาแล้วหมั่นรักษาทรัพย์นั้นไม่ให้ไปใช้จ่ายในทาง สูญเสียโดยเปล่าประโยชน์ คือเก็บไว้ลงทุน การที่พระองค์ตรัสเรื่องการใช้ทรัพย์ พระองค์ก็บอกว่าเมื่อได้ทรัพย์มาแล้ว ส่วนหนึ่งให้เก็บไว้ลงทุนก่อน อย่าเพิ่งเอาไปใช้จ่าย ขอให้หักไว้ลงทุนก่อน เหลือจากการลงทุนนั้น เราก็เลือก หนึ่งตอบแทนคุณมารดาบิดาเรียกว่าใช้หนี้เก่า,สองก็ใช้กับตัวเอง เรียกว่าทิ้งลงเหวก็คือเอามาเลี้ยงชีพตนเอง,สาม ก็คือการให้กู้ยืมคือเขาเรียกว่าให้คนอื่นกู้ยืม อันที่สี่ก็คือทําบุญ อันนี้คือนอกเหนือจากการที่เก็บไว้ลงทุนแล้ว แต่ถ้าไม่เหลือจากการเก็บไว้ลงทุนนี้ต้องรักษาทุนทรัพย์เพื่อการลงทุนนี้ไว้ก่อน กัลยาณมิตตตา เขาเรียกว่าคบเพื่อนที่ดี เพราะว่าการคบเพื่อน บางครั้งเพื่อนบางคนไม่ได้มองเห็นประโยชน์กับเรา ผลาญประโยชน์จากทรัพย์ของเราก็มี
เพื่อนที่ดีที่สุดก็คือเพื่อนที่รักษาประโยชน์จากทรัพย์และการงานที่เราทํา คือเห็นแก่ทรัพย์ เห็นแก่ประโยชน์ของเราโดยที่ไม่ทําให้ทรัพย์และประโยชน์ในการงานของเราได้เสียหายไป มีแต่คอยสนับสนุนส่งเสริมให้เราได้สําเร็จในหน้าที่การงานอันนั้น ถ้าเพื่อนที่ดีต้องเป็นอย่างนี้เรียกว่ากัลยาณมิตร ประเภทที่เรียกว่ายืมเงินแล้วไม่ยอมคืน แล้วก็ประเภทที่ คอย เซาะ เบะ ขอ ยืมนิดๆหน่อยๆ คือบางทีมันบ่อยครั้งๆ ทําให้ทรัพย์เราไม่เพิ่มพูนหรือทรัพย์เราเสียหาย หรือว่าเพื่อนชักชวนไปในทางอบายมุข ไปในทางการดื่มสุราที่เราทําให้เสียทรัพย์ ไม่ได้นํามาซึ่งประโยชน์แก่ทรัพย์นั้น เพื่อนประเภทนี้พระองค์บอกว่า เราต้องมองให้ออกแล้วก็เลือกในการที่จะคบ เพราะไม่งั้นมันส่งผลต่อหน้าที่การงานและส่งผลต่อความเป็นอยู่ของชีวิตเราด้วย นี้คือเรียกว่ากัลยาณมิตร อันที่สี่สมชีวิตา ใช้ชีวิตให้เสมอกับทรัพย์ที่แสวงหามาได้ อย่าใช้จ่ายเกินกว่าทรัพย์ที่ตัวเองมีอยู่ คือไม่ฟุ่มเฟือยมาก เอาพอเลี้ยงชีพ พอเลี้ยงตัวให้เสมอกับที่ตัวเองได้มา ได้มากใช้มาก ได้น้อยใช้น้อย แต่พอควร ฉะนั้นในหลักการนี้ก็คือเป็นหลักการที่พระองค์วางไว้สำหรับบุคคลผู้ปรารถนาประโยชน์สําเร็จในหน้าที่การงานและนํามาซึ่งโชคทรัพย์สมบัติที่ตัวเองจะได้รับประโยชน์อันนี้ที่เรียกว่าเป็นที่จะทําให้กระทําประโยชน์หรือประโยชน์ในปัจจุบันนี้ที่เราจะได้รับ ก็เลยมีภาษาหรือคํากล่าวที่เป็นคําบัวหาร ให้เราได้จําง่ายก็คือว่าอันแรกก็คืออุฏฐานสัมปทาเรียกว่าขยันหา อารักขะสัมปทาเรียกว่ารักษาไว้ดี กัลยาณมิตตตาคือมีเพื่อนที่ดี สมชีวิตาใช้ชีวิตให้เสมอ สมควรแก่ทรัพย์ที่ได้มา เขาเรียกว่า ขยันหา รักษาดี มีเพื่อนที่ชอบ เพื่อนที่ทางดี แล้วก็ใช้ชีวิตให้เหมาะสม เหมาะสมกับฐานะของตัวเอง",00.01.45,00.09.19
ชอบคิดมากเรื่องชาวบ้านทําไงดี,ชอบคิดมากเรื่องชาวบ้าน เราก็มาดูความคิดที่เรากําลังคิดออกนอกไปจากเรื่องราวของตัวเรา ว่าจิตเรากําลังมีความคิด ความคิดกําลังเกิดขึ้นกับจิต จิตกําลังถูกความคิด ลักษณะนี้ปรุงแต่งอยู่ ความคิดลักษณะนี้กําลังปรุงแต่งจิตเราอยู่ การรู้เท่าทันจิต จะทําให้จิตที่มันถูกรู้อยู่ ไม่เข้าไปดึงเอาเรื่องของคนอื่นมาเป็นปัญหาอยู่ภายในใจของตนเอง การคิดเรื่องชาวบ้าน ไม่ได้หมายถึงว่ามันจะผิด แต่ถ้าหากเราคิดในทางประโยชน์เกื้อกูล คิดในทางสร้างสรรค์ คิดในการที่จะช่วยเหลือกัน มันก็เป็นความคิดที่ดี แต่ถ้าหากเรามองว่าความคิดที่เราไปคิดเรื่องของชาวบ้าน มันเป็นความคิดที่อยากจะไปรู้เรื่องของเขา ประเภทสอดรู้สอดเห็น มันก็เป็นสิ่งที่ไม่ดี ก็ไม่ควร ไม่เหมาะในการที่จะไปคิดอย่างนั้น สังคมเราไม่ได้หมายถึงว่าจะไม่ให้คิดเรื่องของบุคคลที่เราเกี่ยวข้อง สังคมเราไม่ได้บอกว่าจะต้องไม่แยแสหรือไม่สนใจกับสิ่งรอบข้าง แต่พระองค์สอนให้พวกเราสนใจและก็เข้าใจในสิ่งที่เราเกี่ยวข้องอยู่ สังคมรอบข้างจะดี มันก็ส่งผลต่อเราด้วย สังคมรอบข้างจะไม่ดี ก็ส่งผลกับเราด้วยในทางที่ไม่ดี ฉะนั้นให้เรามองหรือเกี่ยวข้องกับเรื่องของชาวบ้านในมูลเหตุปัจจัยที่เป็นไปเพื่อประโยชน์และสร้างสรรค์จะดีที่สุด ,00.10.21,00.11.55
อายุสิบแปด เป้าหมายสูงสุดคือไม่อยากกลับมาเกิดอีก  แต่ไม่ทราบว่าจะเริ่มอย่างไร,อันนี้พระอาจารย์ได้เคยบอกแนวทางอย่างชัดเจนไว้แล้วนะคะ หรืออย่างน้อยลองไปเสิร์ชนะคะ แนวทางการปฏิบัติสู่โสดาบัน คํานี้เลยนะคะ ลองเสิร์ชในยูทูป พระอาจารย์บอกแนวทางเป็นขั้นเป็นตอนไว้อย่างชัดเจน,00.12.00,00.12.20
เวลาใส่บาตรถ้าเราทําอาหารใส่เอง แล้วเราชิมตอนปรุงได้ไหม จะผิดไหม,ในขณะที่ทําอาหารให้ตั้งใจไว้ว่าเราจะทําอาหารเพื่อเรา พอทําอาหารเสร็จแล้วค่อยแบ่งอาหารของเราไปทําบุญ ให้ทําอย่างงี้ ถ้าเราตั้งใจว่าจะทําอาหารเพื่อใส่บาตร อาหารนั้นจะน้อมใจไปเพื่อเป็นของสงฆ์ ถ้าเราไปชิมก็คือได้มีโทษ แต่มันก็ไม่ได้โทษมาก เป็นโทษอ่อนๆที่จะเกิดขึ้น แต่ทางที่ดีที่สุดก็คืออย่างที่พระอาจารย์บอกก็คือให้ทําอาหารนั้นเพื่อตนก่อน แล้วแบ่งส่วนของตนไปทําบุญจะได้บุญมากกว่า,00.12.30,00.13.10
เพิ่งเริ่มนั่งสมาธิได้สองสามวัน แต่เมื่อวานขณะที่นั่งอยู่หนิงรู้สึกถึงตัวลอยๆ แล้วเห็นเหมือนวงกลมสีรุ้ง ถือว่าปกติมั้ย,การนั่งสมาธินี้เป็นภาวะปกติของบุคคลผู้นั่งทั่วไปที่จะต้องเกิดนิมิตปรากฏให้ทราบภายในสมาธินั้น คือเรียกว่าเริ่มมีสมาธิจิตอ่อนๆขึ้นมา เป็นสมาธิที่จะกําลังรวมตัวกันก็จะปรากฏเป็นลักษณะอย่างนี้ พระอาจารย์ก็อยากจะให้แนะนําให้ไปดูการวิธีการนั่งสมาธิ เพื่อรองรับสติแบบที่พระอาจารย์สอน เพราะว่าบางคนในขณะที่นั่งสมาธิ ถ้าขาดสติหรือไม่มีสติในขณะที่นั่ง เวลาเจอนิมิตบางอย่างปรากฏขึ้นมา อาจจะตั้งสติไม่ทัน หากนิมิตนั้นเป็นนิมิตในทางด้านของความหวาดกลัว อาจจะส่งผลต่อสภาพจิตใจในขณะที่นั่งได้ด้วย จึงอยากจะให้ไปฝึกสมาธิแบบรองรับสติไว้ก่อน,00.14.00,00.15.01
อยากเรียนรู้เรื่องพรหมวิหาร หนทางแห่งพระโสดาบัน,พรหมวิหารสี่นี้เป็นได้ทั้งโลกียะห์แล้วก็โลกุตระห์ แต่พื้นเดิมของพรหมวิหารสีนี้เป็นโลกียะห์ แต่ทํายังไงถึงจะให้เกิดเป็นโลกุตระห์  เราก็ต้องพัฒนาจิตให้ก้าวเข้าสู่อริยมรรค ถึงจะเป็นโลกุตระห์ได้ นั้นจะต้องแทงตลอดอริยสัจสี่ ถ้าเขาไม่แทงตลอดอริยสัจสี่ จะไม่มีทางเข้าสู่โลกุตระห์เข้าถึงความเป็นโสดาบัน ฉะนั้นหากเราจะยึดถือการเจริญพรหมวิหารเป็นพื้น  ขอให้เข้าใจขอบเขตของพรหมวิหารนี้ว่าที่สุดของพรหมวิหารสี่นี้นําสู่พรหมโลกเท่านั้น ไปเกินกว่านั้นก็ไม่ได้ แต่ถ้าหากเราปรารถนาจะเข้าถึงพระนิพพานคือความเป็นพระโสดาบัน เราก็ใช้พรหมวิหารสี่เป็นบาทฐาน การเจริญพรหมวิหาร ก็คือเมตตา ตั้งจิต ปราศจากเวรกับทุกๆคน คือมีใจไม่เป็นเวรกับใครๆเลย อันนี้คือเมตตา กรุณามีใจปรารถนาเกื้อกูลต่อบุคคลอื่นอยู่เสมอ หรือจะเรียกว่าความสงสารที่คอยจะช่วยเหลือคนอื่นอยู่เรื่อยๆ อันนี้ก็เป็นการบําเพ็ญขึ้นมา อันนี้เป็นการบําเพ็ญทางใจ เขาเรียกว่าตั้งใจไว้ ตั้งมุมมองหรือตั้งทัศนะไว้ก็ได้ มุทิตาตั้งจิตยินดีให้คนอื่นเข้าถึงความสําเร็จ ความสุข ประดุจดั่งตนเป็นผู้ได้รับความสุขความสําเร็จอันนั้น อุเบกขาพิจารณาเรื่องราวทุกเรื่องราวให้ถี่ถ้วนโดยรู้เหตุของเรื่องราวนั้นๆจนประจักษ์แจ้งแล้ว แล้วค่อยดูท่าทีในการที่จะกระทําตอบหรือไม่กระทําตอบโดยเรื่องนั้นอย่างถูกต้อง เขาเรียกว่ารอดูท่าที เพื่อที่จะกระทําเหตุที่เหมาะที่ควรต่อเรื่องนั้นๆ โดยที่จิตใจของเราไม่หวั่นไหวหรือว่าไม่รู้สึกเป็นทุกข์ ความหมายของอุเบกขาจึงเป็นความหมายของการที่ไม่ได้ใช่เพียงแค่การวางเฉย ที่เราอาจจะคุ้นเคยคําว่าปล่อยวาง คําว่าปล่อยวางคือการเข้าใจเหตุปัจจัยของเรื่องราวนั้นๆอย่างถูกต้อง หากมีเรื่องใดเรื่องราวหนึ่งเกิดขึ้น ปรากฏขึ้น หากเราไม่รู้เรื่องราวนั้นโดยเหตุปัจจัยของมัน บางทีเราจะเข้าไปตัดสินเรื่องนั้นด้วยทัศนคติที่เรารับทราบอยู่ขณะนั้น แต่การนิ่งดูท่าทีจนกว่าจะรู้เรื่องราวของสิ่งนั้นอย่างแจ่มแจ้งจึงทําให้เราเข้าถึงอุเบกขาจริงๆ คือการวางใจต่อเรื่องราวนั้นได้ ไม่ใช่ว่าได้ยินเรื่องบางเรื่องเข้าหูว่าบุคคลนั้นไม่ดีแบบนั้นแบบนี้ก็โปร่งใจไปเชื่อตามเรื่องราวนั้นไม่ยอมดูเหตุดูผล ไม่ยอมใคร่ควรพิจารณาหาเหตุผลในความเป็นจริง คือไม่ได้ข้อมูลจริง ปักใจเชื่อไปเลย แล้วตัดสินในเรื่องราวต่อบุคคลนั้นด้วยทัศนคติแบบนั้น ก็ถือว่าเป็นการไม่ได้ใช้อุเบกขา ฉะนั้นหลักพรหมวิหารสี่คือ เมตตาการทําจิตให้ไม่มีเวรต่อใครๆ กรุณาตั้งจิตที่จะช่วยเหลือคนอื่นอยู่เสมอ หรือไม่เบียดเบียนใครๆ มุทิตาตั้งจิตในการที่จะอนุโมทนายินดี ไม่อิจฉาริษยาต่อใครๆ อุเบกขาตั้งใจในการที่จะวางใจเป็นการหนักแน่น นิ่งดูเรื่องราวต่างๆด้วยเหตุและผลจึงตัดสินได้ด้วยปัญญาในเรื่องนั้น การตั้งใจไว้อย่างนี้อยู่เสมอทั้งองค์คําศิลปการ จะทําให้จิตของเราตั้งอยู่บนเหตุกับผล แล้วก็ทําให้เรามีคุณธรรมของพรหมวิหารรองรับ ทีนี้เมื่อใจของเรามันตั้งมั่นอยู่กับพรหมวิหาร จิตย่อมไม่วอกแวก แล้วจิตที่ไม่วอกแวกย่อมจะเห็นสภาพการที่เขามาเกี่ยวข้องกับเราในด้านสิ่งที่เป็นกุศล แม้ปัญหาหรือเรื่องราวใดก็ตามที่มาอาจกระทบกับจิต เราก็จะมองเห็นสิ่งนั้นเป็นเรื่องของกุศล เพราะหนึ่งจิตเราไม่มีเวรกับใครๆ สองจิตเราไม่คิดเบียดเบียนต่อใครๆ สามจิตเราไม่อิจฉาริษยาใคร สี่จิตเรามีความหนักแน่นในการที่จะดูนิ่ง ดูท่าทีเรื่องราวต่างๆที่ผ่านเข้ามาโดยที่ไม่ลงความเห็นหรือตัดสินเรื่องนั้นทันทีทันใด เมื่อเรามีองค์คุณอย่างนี้แล้ว เราจะเห็นสภาพการณ์ต่างๆของเรื่องราวที่มาปรากฏกับชีวิตเรา เป็นธรรมชาติที่เกิดแล้วก็ดับไป บุคคลผู้เห็นความเกิดความดับจะเข้าใจธรรมชาติแห่งความเสื่อมความสิ้น เมื่อเข้าใจความเสื่อมความสิ้นละเอียดลึกลงไปจนเกิดปัญญาแทงตลอดในสรรพสิ่งของสังขารทั้งหลายที่เกี่ยวข้องกับตนเองด้วย เกี่ยวข้องกับคนอื่นด้วยและเกี่ยวข้องกับสังขารโลกทั้งหลายทั้งปวงด้วย ว่าทั้งหมดทั้งสิ้นในการที่ตัวเราเอง คนอื่นด้วย แล้วก็โลกใบนี้เป็นเพียงแค่ธรรมชาติที่ตั้งอยู่บนความเสื่อมความสิ้น ความเกิดความดับ การเข้าใจทางด้านปัญญาก็จะเกิดขึ้น เมื่อเกิดขึ้นอย่างนี้จิตจะไปแทงตลอดอริยสัจสี่ เมื่อแทงตลอดอริยสัจสี่ จิตจะค่อยๆเข้าไปสู่ความเป็นพระโสดาบัน แต่บุคคลผู้จัดทําอย่างนี้ได้แสดงว่าคนๆนั้นจะต้องมีวาสนาในการบําเพ็ญในพรหมวิหารสี่มาแต่ปางก่อนแล้วจึงรู้สึกอยากจะเลือกใช้หลักธรรมข้อนี้มาเป็นเครื่องดําเนิน ถ้าดําเนินก็ต้องดําเนินอย่างพระอาจารย์แนะนํานี้ จิตมันจะเป็นไปเองโดย กลไกธรรมชาติที่เขามีทุนเดิมจากภพก่อนหรือการบําเพ็ญมาแต่ก่อนเขาจะหนุนนําจิตไปได้เอง,00.15.21,00.21.14
มีวิบากถูกคนชักชวนไปดูดวงกับพระรูปหนึ่งที่ชอบทักวันตายของคนแล้วทําผิดพฤติกรรมปัดเป่าเช่นนี้ถือว่าเป็นปาราชิกหรือไม่  แล้วฆราวาสที่ทําเช่นนี้มีโทษเช่นเดียวกันกับพระหรือไม่, ถ้าพระที่ทําก็ได้รับโทษในชั้นของอเนสนา คือการเลี้ยงชีพในทางที่ไม่ถูกต้อง เป็นการเลี้ยงชีพที่พระองค์ตรัสไว้ว่าหากละชีวิตไปแล้วด้วยการที่ไม่แก้ไขในพฤติกรรมที่ทําอยู่ ละชีวิตไปแล้วจะไปเกิดเป็นเปรตพระที่มีผ้าสังฆทาน มีไฟลุกโครงท่วมร่างกาย ผ้าสังฆาฏิที่มีไฟลุกโพรงนั้นก็จะทับร่างกายไว้ แล้วก็ร้องตะโกนครวญคราง โอดโอย โหยหวน เพราะไฟคลอกด้วยเปลวเพลิงที่เกิดจากผ้าสังฆาฏินั้น อันนี้คือพระภิกษุที่ดํารงชีวิตในเรื่องของอเนสนาคือการแสวงหาในทางที่มิชอบ ที่ผิดจากเส้นทางแห่งความเป็นสัมมานะ หากฆราวาสกระทํำก็จะจัดอยู่ในเรื่องของกลุ่มมิจฉาทิฐิ ก็กําเนิดเปรตผีผีศาจอสุรกาย อย่างใดอย่างหนึ่ง แต่สําหรับพระจะไม่เกิดเป็นปาราชิกเป็นโทษของอดีต , 00.23.00,00.24.22
ถ้าเราถือศีล แต่ถ้าเราเลี้ยงข้าวน้องๆที่ทํางาน ถ้าน้องๆดื่มเหล้า แต่เราไม่ห้าม แบบนี้เราเป็นเป็นคนเลี้ยง ถือเป็นการสนับสนุนให้ผิดศีลด้วยไหม,ควรจะห้ามก่อนอันดับแรก เพื่อป้องกันโทษของตัวเราเองไม่ให้มีส่วนร่วมกับโทษของน้องๆที่เขาทํางาน เขาก็อาจจะมีการสังสรรค์กันบ้าง การห้ามก็เป็นการเฟื่องโทษเราออกจากการเป็นผู้มีส่วนร่วมในกรณีนั้นๆ ห้ามครั้งแรกแล้วเขาไม่ยอมเชื่อฟัง คือก็ควรจะกล่าวห้ามไว้ก่อน ส่วนเขาจะดื่มเลี้ยงกันต่อยังไง ก็ให้เป็นส่วนของเขาไป แต่ส่วนเราก็ได้เฟื่องโทษของเราออกมาแล้ว แต่ไม่ถึงกับผิดศีลนะ ,00.27.27,00.28.20
เรื่องกฎแห่งกรรม เคยได้ยินว่าถ้าทําด้วยเจตนาก็จะเกิดกรรมใช่ไหม แต่ส่วนตัวเป็นคนไม่ดื่มแอลกอฮอล์ แม้ผู้ปกครองจะค้าขายแอลกอฮอล์ แล้วส่วนตัวก็ไม่ได้คิดอยากสนับสนุนเกี่ยวกับสิ่งนี้เลย แต่พอไปดูดวงกับโดนเตือนว่าผิดศีลข้อห้าเลยสงสัยว่าผิดไหม, เราต้องยืนยันกับเจตนาของเราเองว่าเราไม่ได้มีเจตนาในการที่จะทําในสิ่งที่เป็นโทษอันนั้น คือเขาก็ไม่รู้ใช้เกณฑ์อะไรมาเป็นเครื่องวัดในดวงนั้นว่าเราผิดได้อย่างไร อันนี้ก็ต้องเอาถือข้างหลักคําสอนของพระองค์ไว้ก่อน เรื่องดวงใครจะว่ายังไงก็ตาม ให้เป็นเฉพาะส่วนตัวของบุคคลผู้กล่าวอย่างนั้น แต่เราต้องถือข้างคําสอนที่พระองค์ตรัสไว้ ถ้าหากเราไม่ได้กระทําผิด บาปย่อมไม่เกิดแก่ผู้ไม่มีเจตนาในการกระทํานั้น ที่เคยมีคนเขาบอกว่าพ่อแม่ทํากรรมหนึ่งที่มันตกมาที่ลูก มันตกมาไม่ได้กรรมที่บุคคลทําก็เป็นของคนคนนั้น ,00.28.52,00.30.40
ทุกข์เกิดจากการสูญเสีย ทํายังไงถึงจะผ่านไปได้,ความทุกข์ที่เกิดจากความการสูญเสีย มันต้องเกิด มันต้องมี มันต้องเป็น และเป็นเรื่องที่ไม่มีใครสามารถหลีกเลี่ยงได้ ในเมื่อมันเป็นสิ่งที่หลีกเลี่ยงไม่ได้ ความทุกข์นี้ก็เป็นสิ่งที่มีอยู่ พระอาจารย์อยากจะแนะนํานะว่า ถ้ามีกําลังใจเข้มแข็งดี ให้เราดูความทุกข์หรือบอกตนเองไว้ว่าสิ่งนี้แหละคือทุกข์ ทุกข์คือสัจธรรม สัจธรรมจะต้องเกิดอย่างนี้ แล้วก็เป็นอย่างงี้ สิ่งนี้แหละคือทุกข์ มันจะต้องเป็นทุกข์ ความทุกข์จะต้องมี ความทุกข์จะต้องเป็น ความทุกข์จะต้องเกิด ความทุกข์เพราะความสูญเสียมันเป็นสัจจะ มันเป็นความจริง บอกสอน กล่าวสอน อบรมตัวเองไว้อย่างนี้ตลอด พระอาจารย์เชื่อว่าถ้าเรามีจิตใจเข้มแข็งในการที่จะทําอย่างนี้ได้นี้ได้เจ็ดวัน ภายในเจ็ดวันมันจะเกิดกระแสของความรู้เข้ามาตัดอารมณ์แห่งความทุกข์ หรือสัญญาณที่บีบคั้นจิตใจมันมีภาวะแห่งการเกี่ยวโยงยึดเกาะกับบุคคลผู้สูญเสีย ระหว่างใจเรากับบุคคลผู้ได้สูญเสียไปแล้ว ใจที่ยึดเกาะอันมันจะถูกกระแสของความรู้ตัด คําว่าตัด ไม่ได้ตัดความเกี่ยวข้องนะ คือเราตัดแรงแห่งการยึดถือที่นํามาซึ่งความทุกข์ที่เกิดขึ้นกับใจเราในขณะนี้ แต่ถ้าหากว่ากําลังใจเราอ่อนแอ กําลังใจเรามีไม่มาก พระอาจารย์แนะนําให้ระลึกถึงพระรัตนตรัยเพื่อดึงกําลังใจเราให้พอมี พอมีกําลังจากภายในที่จะต่อสู้และเผชิญกับอารมณ์แห่งความทุกข์ที่เป็นความสูญเสีย ใช้หลักวิธีการสอนวิธีการนี้กับตัวเอง คิดว่าเหมาะกับอะไรหรือใช้ทั้งสองอย่างก็ได้ บางช่วงจะใช้การระลึกถึงพระรัตนตรัย พุทโธ เมนาโถ ธัมโม เมนาโถ สังโฆ เมนาโถ บางช่วงก็กําหนดรู้และบอกตนเองไว้ว่านี่แหละความทุกข์มันเป็นอย่างนี้แหละ ทุกคนที่เกิดขึ้นมาจะต้องหลีกหนีไม่พ้น ทุกข์อย่างนี้จะต้องเกิดขึ้น ทุกข์อย่างนี้ต้องมี และความทุกข์นี้ก็เกิดขึ้นกับเราแล้ว แล้วทุกข์นี้ก็คือสัจจะ สัจจจะต้องเป็นอย่างนี้ คือความเป็นจริงอย่างที่ไม่เปลี่ยนแปลงตัวของมันเอง อย่าพยายามที่ไปจะไปกําจัด อย่าพยายามที่จะทําให้ความทุกข์หมดไปหายไป อย่าพยายามที่จะไม่ทําให้ตัวเองมีทุกข์ หรือจะไปลืมมันว่าเราไม่อยากจะทุกข์ อย่าพยายามหาวิธีการลืม การเข้าไปรับรู้ตรงๆมันจะเป็นส่วนช่วย แล้วก็มันจะทําในระหว่างที่เรากำหนดรู้ตรงๆ มันจะถูกสร้างสติขึ้น จะถูกสร้างกระแสแห่งความรู้ขึ้น อาจจะไม่รู้หรอกว่าในระหว่างที่เราทุกข์ แล้วเรารู้มัน กระแสของสติกับกระแสของปัญญากระแสแห่งความรู้จะถูกสร้างขึ้นทีละนิดภายในใจเรา พอมันเกิดองค์ความรู้ขึ้นมาเต็ม พระอาจารย์กําหนดไว้ที่เจ็ดวัน มันจะเป็นเรื่องแปลกมากว่ามันจะมีกระแสความรู้เข้ามาตัดสัญญาณความทุกข์ในใจ คืออารมณ์แห่งความทุกข์ที่เกิดจากความสูญเสียมันยังมี แต่ว่าไม่มีเราก็เป็นผู้รับผลทางความทุกข์อันนั้น มันจะแยกกันอย่างนั้นจะเห็นได้ชัดจากภายในใจเรา ,00.31.01,00.34.18
