question,answer,start_time,end_time
เวทนาในกายกายไม่ใช่เราโดยลักษณะไหน ไม่พิจารณาแยกกายไม่ใช่เราเลยลักษณะไหน ถึงจะว่ากายไม่ใช่เรา,รู้ว่ากายเนี้ยมันคือธาตุสี่  ที่ประกอบด้วยมีดินน้ำไฟลมพิจารณาแยกอย่างงั้นอยู่เกิดขึ้นถ้าอยู่อย่างนั้นก็ดับไป,00.00.4,00.00.27
อธิบายให้ตัวเองฟัง อธิบายให้ตัวเองรับทราบ แล้วสามารถเชื่อมโยงไป ในเวทนาได้ยังไง,มันก็เกิดความเจ็บความปวดอะไรขึ้นมาเนาะ  ก็เห็นมันเกิดขึ้นมาอีก  ในนามมันก็ ไม่มีตัวตนมันเป็นแค่นาม  มันเกิดขึ้นตั้งอยู่ แต่มันก็ดับไปของมัน ควรจะยืดมั่นถือมั่นอะไรกับมัน มันไม่มีสาระ หาสาระแก่นสารไม่ได้,00.00.28,00.01.05
เข้าไปหาสัญญาได้ยังไง ตรวจสัญญาได้ยังไง,มันก็เป็นความจําว่า มันมันมันเกิดการกระทบกันระหว่าง ภายในภายนอก.อายตนะ.มันก็เป็นสัญญากรรมให้ ให้เรารู้ว่ามันเป็น การกรรมทาง อารมณ์ เราไปจําอารมณ์แห่งความเจ็บ จําอารมณ์แห่งความรู้สึก ในการจํา จํา จํา จํา จนอาการจํานั้นจนเข้าใจว่าเป็นความจริง ก็เลยรู้สึกว่าเป็นจริง เจ็บจริง ปวดจริงอย่างงั้นขึ้นมา พอพิจารณาแยกอย่างนี้ จึงเข้าใจว่าเป็นเพียงแค่สัญญา การจําไว้ในอารมณ์และความรู้สึก ของเวทนาเท่านั้น เมื่อพิจารณาเห็นกายไม่ใช่เรา เวทนาที่เกิดกับกายก็ต้องไม่ใช่เรา ความทรงจําในอารมณ์ที่ทําให้เกิดความรู้สึกในความเจ็บปวดในกายก็ไม่ใช่เรา,00.01.09,00.02.14
เห็นสัญญาขันธ์เกิดดับ อย่างนั้นอยู่เหรอ ทีนี้ ชัดแบบไหน ชัดโดยการเกิดดับหรือชัดแบบไหน,ก็เกิดจากเหตุในการพิจารณาจึงไปเจอความว่าง แสดงว่าความยากว่านั้น ก็มาจากผลของการปรุงแต่ง ปรุงแต่งในจิตที่พิจารณาอยู่ มันเป็นความว่างได้ ทีนี้ก็คือ เกิดความรู้ตามมา ในธรรมทั้งปวง ในกาย ในขันนั่นแหละ ความรู้ก็เลยเกิดขึ้นมาเป็น ไหลมาเหมือนกับตาน้ําน่ะเนอะ ไหลลงสู่ใจนี่ เกิดรู้ เกิดอธิบายให้ตนเองฟังให้รับทราบ ให้แจ่มแจ้ง ไม่ให้สงสัยอะไร ในสิ่งที่รู้อยู่นั้น มันจะไม่ให้เราสงสัย,00.02.44,00.04.24
สภาพธรรม,จําไว้เลยว่า เวลามันเกิดปัญญารู้แล้ว มันจะไม่ให้เราสงสัยในธรรม มันไม่มีทางงงกับ กับสิ่งที่เกิดขึ้นหรือสภาวะที่เกิดขึ้น ถ้ามองกับสภาวะที่เกิดขึ้น ไปเจอสภาวะแล้วงงไม่รู้ไม่เข้าใจอันนั้นน่ะ ไม่ใช่ปัญญา อันนั้นไม่ใช่ธรรม บางคนปฏิบัติไปเจอสภาวะและงงไม่รู้ไม่เข้าใจมาถาม ถ้ามาถามสภาวะอย่างงี้แสดงว่า มันไม่ถูกมาตั้งแต่แรกแล้ว แล้วไปงงกับสภาวะอันนั้นน่ะ น่ะ มันไม่ถูกแล้ว หรือถ้าถูกแล้วไปดันงงกับสิ่งที่มันถูกอยู่นั่นโดยไม่ทําความเข้าใจ แสดงว่าการพิจารณาไม่พอ แต่นี่พอ เนี่ย พอ พอจึงสามารถเกิดเป็นความรู้และอธิบายให้ตัวเองฟังได้ แล้วอธิบายนั้นไม่ใช่ว่า ไปอธิบายแบบยกเรื่องนั้นเรื่องนี้ยังไม่ได้อธิบายนะ มันเป็นของมันเอง มันเกิดความรู้รวมตัวเกิดขึ้น อธิบายในตัว ตัวเองเอง เขาเรียกว่าเป็นการรอบรู้ รู้รอบ รู้แบบชัดเจน ของแท้แล้ว จึงเป็นเรื่องของความรู้ที่มาอธิบายต่อจิตเอง เราก็ได้แค่รับรู้ต่อสิ่งที่มันอธิบายแล้วก็เกิดความเข้าใจตามนั้น ใช่ไหมล่ะ แจ่มแจ้ง จิตก็เบา โกรธ โล่ง รับทราบ แต่เป็นการรับทราบ เบาโป่งโล่ง หรือสบาย แบบมีปัญญา ไม่ใช่ รู้เฉยเฉย รู้ซื่อซื่อ ดูทื่อทื่อ, 00.04.25,00.05.51
พอมันเข้าไปถึงจุดที่ว่าไม่เหลืออะไรเลย แล้วใจมันเกิดความหดหู่ สังเวทน้ำตามันไหล,ส่วนนิพิธาน เริ่มเกิดนิพิธาน คือมันก็ต้องไปอย่างเงี้ยแหละ เราก็ต้องเอาความสงบสังเวทนิพิธานเนี้ย เป็นตัวเดิน เพราะตัวหดหู่หรือสลดสังเวท อันนี้เป็นตัวปัญญา เป็นตัวเดินเลย,00.08.00,00.08.35
สถานที่ให้ประโยชน์อะไรกับการปฏิบัติบ้าง,ได้ความสงบ มันจะมีความเพียรของมันข้างในเองจิตมันรับความสงบของสถานที่ได้ สัมผัสกับจิตอยู่ แต่ว่าเวลาทํางานอะไรมันก็เรา เรารู้ได้ตลอดค่ะ ว่ามัน มันพิจารณา อืม ตอนทํามันก็ทํา ใช่ แล้วแล้ว แตกต่างกับตอนอยู่ที่บ้านอายตนะ ตาหู จมูก ลิ้น กาย ใจ รับได้หมดเลย ก็เลยเกิดการกระทบ พอกระทบก็เกิดการ อะไร เกิด ก่อเกิดก่อให้เกิดการรับ รับศัพท์สัมผัสรับทราบอยู่ภายใน กระเทือนจิต สะเทือนใจกันไป แล้วก็ ปัญญา ที่นาเอามาใช้ในตอนนั้นใช่ไหมล่ะ รู้เท่าทันกัน ถ้ารู้ทันก็โอเค ถ้ารู้ไม่ทันก็ เสร็จทีนี้ อารมณ์ก็ครอบงํา ,00.10.05,00.11.34
การที่มีคนเชื่อว่าคนตายแล้วห้ามเผาวันศุกร์ความเชื่อของพราหม์,ไอ้พวกที่วิจารณ์ก็วิจารณ์ไป พวกนี้ไม่มียานอ่ะ ถ้าวิจารณญาณคือมีญาณหยั่งทราบแล้ว มันจะไปไม่วิจารณ์ใครก็แค่วิจารณ์ภายในตนเอง คือคิดหาเหตุผลไตร่ตรองภายในตนเอง เอ่อ ถูกใช่ไม่ใช่ อะไรตามเหตุปัจจัยไอ้พวกที่ไม่มีญาณนี่ วิจารณ์ วิจารณะ คือใช้แต่คําวิจารณ์ วิพากษ์วิจารณ์ไปหมดว่า คนนั้นติดผิดไปหมด ไอ้พวกเนี้ย ระดับปุถุชนที่ลุ่มหลงงมงาย พวกเนี้ย น่ะ วันเวลา มัน มันตายวันไหนก็เผาวันนั้นไม่เห็นจะมีแปลกอะไร วันศุกร์ ใครเป็นผู้กําหนดวันศุกร์ขึ้นมาวันมันมีวันจันทร์อังคารพุธพฤหัสศุกร์ไหม โดยที่แท้จริงมันมีไหม มันมีแค่วันหนึ่งคือหนึ่งใช่ไหม มันไม่มีหรอก จันทร์ อังคาร พุธ พฤหัส ศุกร์ เสาร์ อาทิตย์มันไม่มี วันหนึ่งคืนหนึ่งเท่านั้นที่ล่วงไปล่วงไป แล้วจะพูดถึงสละเวลาแล้วก็ไม่มีหรอกวันหนึ่งคือหนึ่งมีแค่พันโคจรทุกดวงอาทิตย์เท่านั้นเอง วันคืนมันก็ไม่มีอยู่จริง ทีนี้พราหมณ์มันโง่ไง พราหมณ์มันโง่กว่าวันนี้ วันดี วันนั้น วันไม่ดี ห้ามเผา วันนั้น ห้ามเผาวันนี้ไอ้พวกโง่โง่ของพวกเรา คือพราหมณ์พราหมณ์ธุรการ ไม่ด่าหรอก พรามยุคนี้ พราหมณ์ขังพุทธกาลน่ะเขาไม่รู้ความจริง เขาไม่ได้เป็นพุทธะ เมื่อเขาไม่ได้รู้ ไม่ได้เป็นพุทธะ เขาจึงกําหนดวันเดือนปีขึ้นมาวันนี้ดี วันนี้ไม่ดีห้ามเผาวันนี้ ให้เผาวันนั้น เพราะเขาไม่รู้เรื่องของวันเวลา แต่พระพุทธเจ้าทรงทราบ  ไม่มีวัน ไม่มีเวลา ทุกอย่างมันเป็นเหตุปัจจัย พระอาทิตย์ขึ้น พระอาทิตย์ตก นี่คือสิ่งที่เราเห็น แต่ความเป็นจริงมีพระอาทิตย์ขึ้นไหม ไม่มี มีพระอาทิตย์ตกไหม ไม่มี มันก็ไม่มีไง เห็นไหมล่ะ แล้วมันจะมีวันได้ยังไง แต่ทีนี้เรามาเห็นเพียงแค่สมมุติของโลกที่เขากําหนดไว้ว่า วันจันทร์กับวันศุกร์เป็นวันราชการเสาร์อาทิตย์เป็นวันหยุดอะไรประเภทเนี้ย เราก็มาติดอยู่กับวันเวลาที่เขากําหนดอย่างเงี้ย เพราะเป็นจริงติดอยู่ในสมมุติว่าเป็นจริงนี่คือความหลง หลงอย่างมหาหลง หลงอย่างแบบยังไง โคตรหลงเลยหนา คนน่ะน่ะ คือเราใช้สมมุติได้ในความเป็นอยู่ของชีวิตใช่ไหมล่ะ แต่เราอย่าไปหลงสมมุติว่าเป็นจริงแม้แต่กระทั่งกายของเราเอง พระพุทธเจ้าจึงบอกว่า ยังยึดถือเป็นจริงเป็นจังยังไม่ได้นี่น่ะ เราจะเอาอะไรเป็นจริงเป็นจังกับกายนี้ได้ไหมล่ะ วันนี้สบายดี พรุ่งนี้เรา รับประกันได้ไหม จะสบายดี รับประกันไม่ได้อีก วันนี้ป่วย พรุ่งนี้อาจจะหายก็ได้ อย่างเงี้ยมันไม่มีอะไรแน่นอน ไม่มีอะไรประกัน ไม่มีอะไรที่จะ ยึดถือได้ กายนี้ยึดถืออะไรก็ไม่ได้ เมื่อวานนี้ยังฉันอาหารอร่อยอร่อยอยู่เลย แต่วันนี้ดันฉันอาหารไม่ค่อยได้ ไงเฮ้อ ประกันอะไรไม่ได้เลยชีวิตนี้ หาความคงที่ก็ไม่ได้ คือความหลงของชาวบ้านเนี่ย มันหลงอยู่กับพวกนี้แหละ หลงกันแบบ ไม่รู้จะว่าหลงยังไง,00.13.52,00.17.17
ทุคติ มันก็ไม่ดี มันเป็นความงมงายอย่างหนึ่งในมิจฉาทิฐินําไปสู่ทุคติมีทุกข์คติเป็นที่ไป ไปไหนบ้างเป็นสัตว์เดรัจฉานเปตรผีปีศาจอสูรกาย เพราะอะไร,เพราะยึดถือความ ความงมงาย เอ้า ความงมงายมันเกี่ยวอะไรกับสัตว์เดรัจฉาน เห็นไหมเวลาสัตว์เวลางด เวลามันเดินต่อกันน่ะ มันเดินตามป้อนกันน่ะ มันรู้ไหมว่าตัวหน้าจะพาลไปไหน ไม่รู้หรอก ไอ้ตัวหน้าไอ้หัวใหญ่มันน่ะมันพาไปไหนมันไม่รู้หรอก มันรู้แต่ว่ากูต้องเดินตามปล้นกัน ไปอย่างงั้นแหละเราจะเหยียบมันตายอยู่แล้วมันก็ยังเดินเพราะมันเฉยอยู่นั่นน่ะ ใช่ไหม ขนาดว่ามันมาใส่อาหารซึ่งคนก็ทําอาหารวางไว้มันก็มาใส่อาหารอย่างเงี้ยแล้วมันไม่รู้ไรหรอว่าคนจะจะไล่มันออกหรือถึงกับค่าชีวิตมัน มันก็ยังตามไอหัวหน้ามาเฉยเป็นแถวกันอยู่นั่นน่ะ ไม่รู้หรอกว่าใครแห่งชีวิตจะมาถึงตัวมัน ไม่รู้ มันก็ตามกันมา ไอ้ตัวหน้าพากูไปกูก็จะไปไอคนก็เตรียมจะจัดการมันแล้วไอพวกนี้ ยังไม่รู้ตัวชะตาชีวิตมัน พระศาสดาสอนให้พวกเราเกิดความรู้ความเข้าใจ ไม่ให้เกิดความหลงแต่เราก็ยังเอาความหลงมาเป็นเครื่องประดับ จิตประดับใจ ประดับสติปัญญาของเราอยู่แล้วอวดในสิ่งที่เป็นเครื่องประดับอันเป็นความหลงว่าเราดี อย่างเงี้ย ไออันเครื่องประดับที่เป็นความหลงอ่ะ สัญลักษณ์แห่งความหลงว่าถูกต้อง,00.24.05,00.25.45
ความหลงยินดีในความสุขในความเป็นอยู่ของชีวิต,ยินดีในความสุขในความเป็นอยู่ของชีวิตในความเป็นมนุษย์อยู่เหรอ มันมีอะไรน่ายินดี แต่ก็ยินดีนั่นแหละ ธรรมดานั่นแหละ ความหลงบอกให้เรายินดี ความไม่รู้มันบอกให้เรายินดี กิเลสมันบอกว่า ยึดถือเลย ร่างกายเรานี่ของเรา เราต้องแสวงหาสุขในร่างกายให้เต็มที่ จะทําอะไรก็ทํา ให้มันได้ความสุขไม่ต้องไปนึกถึงหรอก ความถูกความผิด ความดีความชั่ว ไม่ต้องไปถึง นึกถึงภพหน้าชาติหน้า กอบโกยสุกเข้าใส่ตัวเองให้มากมาก เห็นไหมล่ะ กิเลสจะบอกอย่าง งั้นก็ดิ้นรน กอบโกยความสุขมาก็เจอแต่ทุกข์ ยิ่งดิ้นรน ยิ่งแสวงหาขอบคุณก็ไปเจอแต่ทุกข์ น่ะเดี๋ยวมันก็ผ่านไป กิเลสมันก็จะหลอกเรา แต่ไม่ยอมพิจารณาทุกข์ ให้มันเกิดเป็นสติปัญญาว่าอ๋อ นี่ชีวิตนี้มีความทุกข์อย่างงี้หรอ ไม่ยอมพิจารณาก็ดิ้นรน กอบโกยความสุขมาก็เจอแต่ทุกข์ ยิ่งดิ้นรน ยิ่งแสวงหาขอบคุณก็ไปเจอแต่ทุกข์ น่ะเดี๋ยวมันก็ผ่านไป กิเลสมันก็จะหลอกเรา แต่ไม่ยอมพิจารณาทุกข์ ให้มันเกิดเป็นสติปัญญาว่าอ๋อ นี่ชีวิตนี้มีความทุกข์อย่างงี้หรอ ไม่ยอมพิจารณาสลัดออก ไม่ต้องมาปรารถนาการเกิดกับมันอีก แต่ก็ถูกความหลงงมงายบอกว่า สู้ต่อไป ดิ้นต่อไป ว่าเงี้ย กิเลสมันบอกให้เราสู้ไปพร้อมกับมันแล้วมันโยนความทุกข์ให้กับเรา แต่มันกิเลสมันไม่ยอมรับความทุกข์ พร้อมกันกับเรา มันให้เรารับผิดชอบแต่ความทุกข์ฝ่ายเดียว แล้วเราก็มาบ่นว่าทุกข์ ทุกข์ ทุกข์ ทุกข์ ก็ศาสนานี้มีสอนไว้เพื่อให้พ้นจากความทุกข์ แล้วก็ไม่เดินทางศาสนานะครับ มันก็ต้องเป็นอย่างงี้กว่าจะมารู้ว่าศาสนามีประโยชน์นี่ก็ โห บางคนก็ใกล้จะตายเนอะ ที่มนต์พระมาให้หน่อย ใกล้จะตาย ตอนมีชีวิตอยู่ตอนดีดี ร่างกายแข็งแรงไม่ยอมไปหาพระแต่ตอนใกล้จะตายอยากให้พระมา อยากจะทําบุญนั่น ทําบุญนี่ อยากให้พระมาสวดให้ ก็ติดการอีกนั่นแหละ ตอนมีชีวิตอยู่ไม่ปฏิบัติ,00.31.44,00.33.30
